Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,98.46,99.84,98.07,99.36,77.253,0.75%,7538621
2015/3/25,99.03,99.61,98.11,98.14,76.305,-1.23%,6030491
2015/3/26,97.6,97.97,96.195,97.64,75.916,-0.51%,10445790
2015/3/27,97.36,97.85,96.77,96.96,75.387,-0.70%,4642232
2015/3/30,97.43,98.32,97.37,97.88,76.102,0.95%,4072090
2015/3/31,97.82,98.43,97.44,97.44,75.76,-0.45%,5616991
2015/4/1,96.81,97.02,96,96.29,74.866,-1.18%,7484752
2015/4/2,95.96,96.24,94.71,95.83,74.509,-0.48%,6614276
2015/4/6,95.75,96.82,95.45,96.28,74.858,0.47%,4500946
2015/4/7,96.24,96.79,96.095,96.35,74.913,0.07%,4443683
2015/4/8,96.73,97.5,95.98,96.85,75.302,0.52%,4445210
2015/4/9,96.85,97.43,96.21,96.55,75.068,-0.31%,4776933
2015/4/10,96.9,97.95,96.56,97.8,76.04,1.29%,5937547
2015/4/13,97.41,97.75,97.07,97.44,75.76,-0.37%,5197891
2015/4/14,97.16,97.74,96.97,97.58,75.869,0.14%,4961149
2015/4/15,97,97.55,96.275,96.44,74.983,-1.17%,6604429
2015/4/16,96.37,97.44,95.505,95.63,74.353,-0.84%,5071657
2015/4/17,95.13,95.345,94.46,94.88,73.77,-0.78%,6933561
2015/4/20,95,96.26,95,96.18,74.781,1.37%,4382441
2015/4/21,96.19,96.55,94.54,94.87,73.762,-1.36%,5981687
2015/4/22,97,99.35,96.24,97.84,76.071,3.13%,19253001
2015/4/23,97.44,97.52,96.555,97,75.418,-0.86%,6317607
2015/4/24,96.99,99.08,96.84,98.74,76.771,1.79%,7741339
2015/4/27,98.74,98.94,96.26,96.44,74.983,-2.33%,7203201
2015/4/28,96.27,96.89,95.78,96.83,75.286,0.40%,4357219
2015/4/29,96.58,97.67,96.07,97.02,75.434,0.20%,5678230
2015/4/30,96.65,97.37,96.41,96.55,75.068,-0.48%,8300190
2015/5/1,96.73,97.97,96.73,97.8,76.04,1.29%,6280298
2015/5/4,96.57,98.63,96.05,96.13,74.742,-1.71%,8418290
2015/5/5,96.39,96.47,95.57,96.13,74.742,0.00%,7637026
2015/5/6,96.1,96.66,95.875,96.39,74.944,0.27%,6609671
2015/5/7,96.27,97.33,96.12,96.78,75.247,0.40%,5019232
2015/5/8,98.19,99.15,97.79,98.23,76.375,1.50%,7540354
2015/5/11,98.07,98.39,97.15,97.51,75.815,-0.73%,4123670
2015/5/12,97.39,98.35,96.92,97.95,76.157,0.45%,4847951
2015/5/13,98.07,98.49,97.28,97.35,75.69,-0.61%,6526893
2015/5/14,97.66,97.87,97.28,97.71,75.97,0.37%,4743954
2015/5/15,97.74,99.04,97.54,98.04,76.227,0.34%,7607155
2015/5/18,97.97,98.25,97.62,98.02,76.211,-0.02%,4100835
2015/5/19,98.09,101.08,97.65,100.68,78.279,2.71%,10809150
2015/5/20,100.88,100.98,99.42,100.11,77.836,-0.57%,6185055
2015/5/21,99.89,99.96,99.06,99.28,77.191,-0.83%,4729942
2015/5/22,99.15,99.48,98.84,98.99,76.965,-0.29%,4559491
2015/5/26,98.85,99.2,98.04,98.46,76.553,-0.54%,7117177
2015/5/27,98.97,99.22,98.2,98.66,76.709,0.20%,8129366
2015/5/28,98,98.21,96.2,96.48,75.675,-2.21%,10204033
2015/5/29,97.59,97.77,95.84,95.93,75.243,-0.57%,6439130
2015/6/1,95.84,96.91,95.84,96.22,75.471,0.30%,4919073
2015/6/2,96.3,96.97,95.81,96.29,75.526,0.07%,4430155
2015/6/3,96.38,97.07,95.97,96.52,75.706,0.24%,4165709
2015/6/4,96.3,96.97,96.01,96.31,75.541,-0.22%,4702848
2015/6/5,95.93,96.09,95.47,95.54,74.937,-0.80%,3959308
2015/6/8,96,96.04,95.25,95.32,74.765,-0.23%,4594648
2015/6/9,95.52,95.559,94.49,94.73,74.302,-0.62%,7770880
2015/6/10,95.02,95.63,94.81,95.3,74.749,0.60%,4828577
2015/6/11,95.5,96.33,95.5,95.59,74.977,0.30%,4203867
2015/6/12,95.42,95.545,95,95.06,74.561,-0.55%,3702368
2015/6/15,94.74,95,94.02,94.3,73.965,-0.80%,5861757
2015/6/16,94.25,94.67,94.1,94.63,74.224,0.35%,3094773
2015/6/17,94.54,95.52,94.54,95.22,74.687,0.62%,3940986
2015/6/18,95.69,96.63,95.28,96.17,75.432,1.00%,5100999
2015/6/19,96.39,97.14,95.98,96.08,75.361,-0.09%,7374940
2015/6/22,96.31,97.03,96.14,96.87,75.981,0.82%,3893258
2015/6/23,97.59,97.96,97.12,97.18,76.224,0.32%,4541658
2015/6/24,96.75,97.45,96.64,96.64,75.8,-0.56%,3927133
2015/6/25,96.7,96.905,95.78,95.79,75.134,-0.88%,4299673
2015/6/26,96.13,97.35,95.93,97.29,76.31,1.57%,6039506
2015/6/29,96.62,97.23,95.42,95.44,74.859,-1.90%,8412742
2015/6/30,95.93,96.3,94.54,95.07,74.569,-0.39%,6656019
2015/7/1,95.1,95.82,94.73,95.76,75.11,0.73%,4446181
2015/7/2,96.13,96.6,95.58,96.17,75.432,0.43%,3250897
2015/7/6,95.89,96.28,95.25,95.65,75.024,-0.54%,3852464
2015/7/7,95.93,96.775,95.24,96.68,75.832,1.08%,4794388
2015/7/8,95.65,96.59,95.65,95.84,75.173,-0.87%,4914297
2015/7/9,96.64,97.27,96.44,96.49,75.683,0.68%,5482465
2015/7/10,97.25,97.78,96.95,97.65,76.592,1.20%,5179204
2015/7/13,98,98.505,97.7,98.43,77.204,0.80%,4578676
2015/7/14,98.12,99.05,97.96,98.78,77.479,0.36%,5746015
2015/7/15,98.15,99.63,97.85,99.07,77.706,0.29%,7572526
2015/7/16,99.11,99.11,97.21,97.86,76.757,-1.22%,7696176
2015/7/17,97.7,98.22,97,97.5,76.475,-0.37%,6429758
2015/7/20,97.78,98.21,97.4,97.49,76.467,-0.01%,4947041
2015/7/21,97.6,97.72,96.96,97.32,76.334,-0.17%,4206403
2015/7/22,97.71,98.25,97.43,97.58,76.538,0.27%,5391996
2015/7/23,98.9,99,96.151,97.09,76.153,-0.50%,10380706
2015/7/24,97.41,97.41,96.09,96.1,75.377,-1.02%,5554324
2015/7/27,96,96.75,95.7,96.04,75.33,-0.06%,5818602
2015/7/28,96.48,97.42,96.315,97.33,76.341,1.34%,4862990
2015/7/29,97.48,98.39,97,98.21,77.032,0.90%,6006535
2015/7/30,97.59,99.34,97.59,99.17,77.785,0.98%,5372197
2015/7/31,99.65,101.1,99.3,99.86,78.326,0.70%,7646980
2015/8/3,100,100.18,99.02,99.42,77.981,-0.44%,4427199
2015/8/4,99.47,99.52,98.77,99.14,77.761,-0.28%,2842075
2015/8/5,99.83,100.14,99.26,99.8,78.279,0.67%,3504927
2015/8/6,99.72,100.18,99.21,99.35,77.926,-0.45%,6729292
2015/8/7,99.29,99.42,98.45,98.92,77.589,-0.43%,3463672
2015/8/10,99.49,99.95,98.87,99.39,77.957,0.48%,3994541
2015/8/11,98.69,99.164,98.4,98.81,77.502,-0.58%,3584996
2015/8/12,98.27,98.43,97.23,98.28,77.087,-0.54%,4207236
2015/8/13,98.07,99.82,97.99,99.37,77.942,1.11%,4636302
2015/8/14,99.05,99.56,98.72,99.27,77.863,-0.10%,3185582
2015/8/17,99,100.91,98.92,100.66,78.953,1.40%,5204060
2015/8/18,100,101.44,100,100.76,79.032,0.10%,4257239
2015/8/19,100.45,101.88,100.19,101.1,79.299,0.34%,5988661
2015/8/20,100.73,101,99.74,99.76,78.247,-1.33%,6668035
2015/8/21,99.38,99.39,97.13,97.13,76.185,-2.64%,10979572
2015/8/24,91.58,95.879,87.5,92.87,72.843,-4.39%,15070701
2015/8/25,95.47,95.48,91.03,91.21,71.541,-1.79%,11468323
2015/8/26,92.93,95.2,91.47,95.15,74.632,4.32%,16418753
2015/8/27,95.83,97.37,95.57,97.33,76.341,2.29%,10186890
2015/8/28,96.14,96.66,95.785,96.25,76.161,-1.11%,5606013
2015/8/31,95.77,95.88,94.85,95.02,75.188,-1.28%,5085547
2015/9/1,92.78,94.28,92.6,93.47,73.961,-1.63%,7308209
2015/9/2,95.7,96.12,94.55,96.04,75.995,2.75%,6907899
2015/9/3,96.8,97.43,95.58,96.01,75.971,-0.03%,6313887
2015/9/4,95.05,95.58,94.31,94.85,75.053,-1.21%,4429092
2015/9/8,96.31,96.88,95.49,96.78,76.58,2.03%,5770053
2015/9/9,97.29,97.39,95.22,95.43,75.512,-1.39%,5129373
2015/9/10,94.96,95.85,94.75,95.25,75.37,-0.19%,6210823
2015/9/11,95.47,97.42,95.26,97.41,77.079,2.27%,6655055
2015/9/14,97.36,97.657,96.63,96.97,76.731,-0.45%,4557201
2015/9/15,97.29,98.59,96.74,98.19,77.696,1.26%,5142633
2015/9/16,98.65,98.74,97.53,98.69,78.092,0.51%,5198679
2015/9/17,98.57,98.97,97.39,97.84,77.419,-0.86%,7954984
2015/9/18,96.82,97.7,96.25,97.05,76.794,-0.81%,10492672
2015/9/21,97.48,98.17,97.01,97.9,77.467,0.88%,4543492
2015/9/22,97.12,98.08,96.71,97.2,76.913,-0.72%,6254535
2015/9/23,97.24,97.85,97.01,97.38,77.055,0.19%,3035339
2015/9/24,96.83,97.43,96.298,97.29,76.984,-0.09%,4138791
