Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,103.19,103.96,103.1,103.29,93.004,-0.22%,840360
2015/3/25,103.17,103.18,101.7,101.7,91.573,-1.54%,931048
2015/3/26,101.7,102.4,101.155,102.09,91.924,0.38%,1077068
2015/3/27,101.8,102.81,101.7,102.49,92.284,0.39%,857781
2015/3/30,103.36,104.36,102.83,104.12,93.752,1.59%,777282
2015/3/31,103.68,104.42,102.93,103.8,93.464,-0.31%,1363451
2015/4/1,102.91,104.65,102.44,104.43,94.031,0.61%,967153
2015/4/2,104.15,105.705,103.92,104.7,94.274,0.26%,793481
2015/4/6,103.67,105.48,103.42,104.91,94.463,0.20%,604094
2015/4/7,105.15,105.48,104.58,104.58,94.166,-0.31%,454930
2015/4/8,104.93,105.84,104.53,105.32,94.832,0.71%,586715
2015/4/9,105.06,106.11,104.49,105.85,95.31,0.50%,487662
2015/4/10,105.78,105.99,104.7,105.73,95.201,-0.11%,472034
2015/4/13,105.69,106.17,105.31,105.42,94.922,-0.29%,585981
2015/4/14,105.41,105.49,104.14,104.91,94.463,-0.48%,467983
2015/4/15,104.83,106.15,104.62,105.69,95.165,0.74%,1018002
2015/4/16,105.66,105.97,104.94,105.22,94.742,-0.44%,622701
2015/4/17,104.28,104.72,103.39,104.4,94.004,-0.78%,756699
2015/4/20,104.83,106.005,104.61,105.87,95.328,1.41%,635785
2015/4/21,106.06,106.78,105.69,105.99,95.436,0.11%,518527
2015/4/22,105.95,107.44,105.65,107.23,96.552,1.17%,688013
2015/4/23,106.78,107.99,106.33,107.76,97.029,0.49%,513586
2015/4/24,107.63,107.92,107.1,107.5,96.795,-0.24%,426017
2015/4/27,107.54,108.17,106.78,107.34,96.651,-0.15%,609389
2015/4/28,107.14,107.87,105.98,107.7,96.975,0.34%,885113
2015/4/29,107.33,107.92,106.8,107.45,96.75,-0.23%,815548
2015/4/30,107.3,107.84,106.56,107.52,96.813,0.07%,1473091
2015/5/1,110,110.01,106.89,107.22,96.543,-0.28%,1429848
2015/5/4,107.72,108.72,107.13,108.4,97.606,1.10%,1215338
2015/5/5,108.33,108.77,107.91,108.24,97.462,-0.15%,1020609
2015/5/6,108.36,109.27,106.335,106.63,96.012,-1.49%,1077167
2015/5/7,106.46,107.11,105.96,107.01,96.354,0.36%,1002305
2015/5/8,107.97,108.49,107.47,107.88,97.137,0.81%,961984
2015/5/11,107.65,108.08,106.63,106.7,96.075,-1.09%,900433
2015/5/12,105.96,106.76,104.91,106.49,95.886,-0.20%,1213717
2015/5/13,106.67,107.73,106.67,107.2,96.525,0.67%,1250522
2015/5/14,107.7,108.91,107.18,108.73,97.903,1.43%,913116
2015/5/15,109.05,110.05,108.74,109.98,99.028,1.15%,1199038
2015/5/18,109.5,110.22,109.33,109.45,98.857,-0.48%,675401
2015/5/19,109.68,110.51,109.63,110.1,99.444,0.59%,718721
2015/5/20,109.72,110.41,109.45,110.27,99.598,0.15%,829515
2015/5/21,109.94,110.24,108.84,109.89,99.255,-0.34%,746324
2015/5/22,109.92,110.27,109.45,110.11,99.453,0.20%,800754
2015/5/26,110.07,110.07,108.35,108.58,98.071,-1.39%,1069870
2015/5/27,108.94,109.51,108.25,109.22,98.649,0.59%,673562
2015/5/28,108.59,109.27,108.18,108.83,98.297,-0.36%,530099
2015/5/29,109.02,109.4,107.58,108.1,97.638,-0.67%,1297593
2015/6/1,108.36,109.09,107.965,108.5,97.999,0.37%,865235
2015/6/2,108.34,108.78,107.51,108.41,97.918,-0.08%,514527
2015/6/3,108.81,109.75,108.28,109.19,98.622,0.72%,744407
2015/6/4,108.76,109.17,107.5,107.65,97.231,-1.41%,622445
2015/6/5,107.86,108.35,106.96,107.15,96.78,-0.46%,725878
2015/6/8,106.97,107.5,105.55,105.57,95.353,-1.47%,1190779
2015/6/9,105.65,106.45,104.87,106.01,95.75,0.42%,936288
2015/6/10,106.35,107.685,106.11,107.53,97.123,1.43%,1133666
2015/6/11,107.82,108.77,107.4,108.75,98.225,1.13%,882703
2015/6/12,108.6,108.95,107.88,108.71,98.189,-0.04%,1367105
2015/6/15,107.93,107.97,107.069,107.95,97.502,-0.70%,815399
2015/6/16,107.64,108.37,107.5,108.03,97.575,0.07%,638247
2015/6/17,108.4,108.85,107.91,108.42,97.927,0.36%,632404
2015/6/18,108.84,110.29,108.29,110,99.354,1.46%,1698788
2015/6/19,109.7,110.55,109.1,110.06,99.408,0.05%,2973297
2015/6/22,110.83,111.06,109.96,110.82,100.095,0.69%,703433
2015/6/23,110.75,111.06,109.96,110.57,99.869,-0.23%,552327
2015/6/24,110.2,111,109.91,109.95,99.309,-0.56%,520498
2015/6/25,110.04,110.31,109.23,109.24,98.668,-0.65%,470860
2015/6/26,109.63,110.6,109.268,110.55,99.851,1.20%,735693
2015/6/29,109.54,109.9,106.959,107.17,96.798,-3.06%,803681
2015/6/30,108,108.44,107.14,107.96,97.511,0.74%,1059958
2015/7/1,108.72,109.36,108.15,108.99,98.442,0.95%,654472
2015/7/2,109.29,109.31,108.12,108.71,98.189,-0.26%,565972
2015/7/6,107.86,109.19,107.85,108.45,97.954,-0.24%,1025177
2015/7/7,108.76,109.67,107.4,109.46,98.866,0.93%,787706
2015/7/8,108.38,109.11,107.69,108.07,97.611,-1.27%,871577
2015/7/9,109.33,110,107.94,108.38,97.891,0.29%,929842
2015/7/10,109.44,110.8,108.71,110.48,99.788,1.94%,797382
2015/7/13,111.48,111.7,110.72,111.18,100.42,0.63%,633059
2015/7/14,111.32,112.48,110.94,112.1,101.251,0.83%,482952
2015/7/15,112.05,112.4,111.53,112.33,101.458,0.21%,756151
2015/7/16,112.99,113.33,112.7,112.75,101.838,0.37%,853380
2015/7/17,112.72,112.97,112.08,112.74,101.829,-0.01%,536725
2015/7/20,112.87,113.54,112.38,112.9,101.973,0.14%,641379
2015/7/21,113.1,113.865,112.04,112.31,101.44,-0.52%,880549
2015/7/22,111.9,112.87,111.73,112.37,101.495,0.05%,726928
2015/7/23,112.46,112.74,111.23,111.76,100.944,-0.54%,869053
2015/7/24,111.27,113.44,111.02,111.82,100.998,0.05%,994421
2015/7/27,111.56,111.92,109.83,110.32,99.643,-1.34%,1394171
2015/7/28,111.06,111.06,109.36,109.75,99.128,-0.52%,653856
2015/7/29,109.93,110.5,109.38,110.33,99.652,0.53%,669132
2015/7/30,110.21,111.76,109.73,111.53,100.736,1.09%,643481
2015/7/31,111.78,111.93,110.32,110.43,99.742,-0.99%,729420
2015/8/3,110.66,110.66,109.34,110.62,99.914,0.17%,837850
2015/8/4,110.4,111.76,110.4,111.19,100.429,0.52%,544689
2015/8/5,111.8,112.58,111.34,111.8,100.98,0.55%,730747
2015/8/6,111.87,111.87,110.14,110.31,99.634,-1.33%,573239
2015/8/7,110.31,110.34,109.28,109.81,99.182,-0.45%,509948
2015/8/10,110.66,111.74,110.54,111.67,100.862,1.69%,630790
2015/8/11,110.83,111.44,110.21,110.54,99.842,-1.01%,511233
2015/8/12,109.61,110.053,108.01,109.43,98.839,-1.00%,886426
2015/8/13,109.66,110.61,109.242,110.18,99.517,0.69%,711461
2015/8/14,110.06,111.5,110.06,110.81,100.086,0.57%,804172
2015/8/17,110.11,111.35,109.53,111.28,100.51,0.42%,475483
2015/8/18,110.97,111.69,110.76,110.98,100.546,-0.27%,397153
2015/8/19,110.76,111.48,109.84,110.6,100.202,-0.34%,620028
2015/8/20,109.53,109.78,107.54,107.57,97.457,-2.74%,788874
2015/8/21,107,107.56,103.58,103.63,93.887,-3.66%,1258596
2015/8/24,98.33,103,96,99.47,90.118,-4.01%,1831411
2015/8/25,102.2,104.895,98.82,98.94,89.638,-0.53%,1809626
2015/8/26,100.84,102.77,98.84,102.52,92.882,3.62%,1256776
2015/8/27,103.56,104.86,102.755,104.57,94.739,2.00%,1264090
2015/8/28,104.09,104.73,103.45,104.39,94.576,-0.17%,872035
2015/8/31,103.85,104.38,102.26,102.31,92.691,-1.99%,841035
2015/9/1,100.21,101.06,98.41,98.99,89.683,-3.25%,1264179
