Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,35.47,35.63,34.95,35.01,28.314,-0.81%,8390749
2015/3/25,35.6,36.465,35.5,35.805,28.956,2.27%,23701293
2015/3/26,35.87,36.03,34.935,35.08,28.37,-2.02%,18564009
2015/3/27,35.06,35.69,34.76,35.55,28.872,1.34%,16697932
2015/3/30,35.85,36.55,35.71,36.5,29.643,2.67%,14393102
2015/3/31,36.4,36.49,36.035,36.09,29.31,-1.12%,10292174
2015/4/1,36.22,36.31,35.93,36.295,29.477,0.57%,11030705
2015/4/2,36.3,36.67,36.1,36.63,29.749,0.92%,11212685
2015/4/6,36.39,37.13,36.365,37,30.049,1.01%,7198193
2015/4/7,36.88,37.15,36.82,37,30.049,0.00%,6642274
2015/4/8,37.05,37.43,36.95,37.39,30.366,1.05%,10971341
2015/4/9,37.27,37.425,37.13,37.375,30.354,-0.04%,8107122
2015/4/10,37.42,37.64,37.17,37.4,30.374,0.07%,7331546
2015/4/13,37.38,37.42,37.225,37.25,30.252,-0.40%,8947270
2015/4/14,37.1,37.55,37.05,37.47,30.431,0.59%,6829892
2015/4/15,37.45,37.74,37.35,37.55,30.496,0.21%,6645037
2015/4/16,37.41,37.505,37.27,37.31,30.301,-0.64%,6393934
2015/4/17,36.95,37.05,36.68,36.965,30.021,-0.92%,7962747
2015/4/20,37.05,37.15,36.92,36.99,30.041,0.07%,8322997
2015/4/21,37.1,37.14,36.42,36.525,29.663,-1.26%,19475092
2015/4/22,36.63,36.88,36.44,36.83,29.911,0.84%,6069806
2015/4/23,36.75,36.91,36.62,36.81,29.895,-0.05%,20404520
2015/4/24,36.43,36.86,36.43,36.82,29.903,0.03%,5066588
2015/4/27,36.81,37.02,36.64,36.795,29.883,-0.07%,8815736
2015/4/28,36.67,36.82,36.48,36.8,29.887,0.01%,8316143
2015/4/29,37.89,38.85,37.75,38.7,31.43,5.16%,25065361
2015/4/30,38.8,39.08,38.32,38.37,31.162,-0.85%,15768837
2015/5/1,38.53,38.68,38.41,38.65,31.389,0.73%,8565066
2015/5/4,38.5,38.79,38.48,38.62,31.365,-0.08%,5774794
2015/5/5,38.55,38.68,38.16,38.32,31.121,-0.78%,8718789
2015/5/6,38.42,38.46,38.08,38.45,31.227,0.34%,10249167
2015/5/7,38.42,39.12,38.21,38.98,31.657,1.38%,12138638
2015/5/8,39.3,39.58,39.22,39.44,32.031,1.18%,10479589
2015/5/11,39.33,39.63,39.31,39.33,31.941,-0.28%,7198581
2015/5/12,39.11,39.42,38.91,39.31,31.925,-0.05%,6415503
2015/5/13,39.36,39.585,39.02,39.31,31.925,0.00%,9561883
2015/5/14,39.54,40.135,39.52,40.05,32.526,1.88%,12284501
2015/5/15,40.18,40.51,39.94,40.45,32.851,1.00%,9836703
