Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,45.713,45.784,45.33,45.357,28.844,-1.01%,8992968
2015/3/25,45.374,45.508,44.822,44.84,28.515,-1.14%,5025600
2015/3/26,44.608,45.374,44.545,45.08,28.668,0.54%,7006802
2015/3/27,44.911,45.08,44.652,44.804,28.492,-0.61%,5234335
2015/3/30,45.223,45.704,45.116,45.392,28.866,1.31%,5221735
2015/3/31,45.071,45.187,44.848,45.053,28.651,-0.75%,6047563
2015/4/1,44.786,45.062,44.608,44.804,28.492,-0.55%,4714464
2015/4/2,44.848,45.633,44.626,45.544,28.963,1.65%,5597661
2015/4/6,44.991,45.677,44.75,45.606,29.003,0.14%,7883946
2015/4/7,45.793,45.793,45.258,45.276,28.793,-0.72%,3576094
2015/4/8,45.472,45.753,45.258,45.544,28.963,0.59%,5879238
2015/4/9,45.401,46.003,45.285,45.856,29.161,0.69%,5234687
2015/4/10,45.731,45.847,45.267,45.294,28.804,-1.23%,5185226
2015/4/13,45.41,45.829,45.152,45.695,29.059,0.89%,5919169
2015/4/14,45,45.312,44.652,44.964,28.594,-1.60%,8135408
2015/4/15,45.08,45.588,45.08,45.321,28.821,0.79%,6826982
2015/4/16,45.312,45.686,45.027,45.455,28.906,0.30%,5428460
2015/4/17,45.098,45.267,44.759,45.009,28.623,-0.98%,6473383
2015/4/20,45.285,45.615,45.147,45.196,28.742,0.42%,4923224
2015/4/21,45.365,45.615,44.661,44.911,28.56,-0.63%,7241889
2015/4/22,44.893,45.553,44.492,45.499,28.935,1.31%,7529596
2015/4/23,45.321,45.856,45.294,45.57,28.98,0.16%,7034865
2015/4/24,45.499,45.704,45.018,45.152,28.713,-0.92%,4216624
2015/4/27,45.25,45.394,44.715,44.786,28.481,-0.81%,6048532
2015/4/28,44.875,45.374,44.501,45.321,28.821,1.19%,6562637
2015/4/29,45.508,46.774,45.455,46.471,29.552,2.54%,11089569
2015/4/30,46.381,46.524,45.642,45.713,29.071,-1.63%,7570166
2015/5/1,46.123,46.631,45.927,46.337,29.467,1.37%,7408568
2015/5/4,46.551,46.849,46.359,46.747,29.728,0.88%,4581603
2015/5/5,46.524,47.068,46.346,46.444,29.535,-0.65%,5174959
2015/5/6,46.72,46.783,45.793,46.15,29.348,-0.63%,7342593
2015/5/7,46.257,46.979,45.187,46.408,29.725,0.56%,10946842
2015/5/8,46.283,46.734,45.713,46.569,29.828,0.35%,8607428
2015/5/11,46.613,47.602,46.453,47.504,30.427,2.01%,10609754
2015/5/12,47.46,47.727,47.05,47.335,30.319,-0.36%,8485632
2015/5/13,47.059,47.487,46.97,47.326,30.313,-0.02%,6762444
2015/5/14,47.487,47.665,47.148,47.371,30.342,0.10%,5163987
2015/5/15,47.415,47.415,46.604,46.863,30.016,-1.07%,5520641
