Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,57.71,57.9,57.17,57.17,48.088,-0.90%,1560176
2015/3/25,57.17,57.26,55.92,55.92,47.037,-2.19%,1916081
2015/3/26,55.62,55.98,55.47,55.6,46.768,-0.57%,1453604
2015/3/27,55.63,55.79,55.44,55.62,46.785,0.04%,1759170
2015/3/30,55.95,56.67,55.93,56.55,47.567,1.67%,1449063
2015/3/31,56.16,56.35,55.93,56.09,47.18,-0.81%,1599829
2015/4/1,56.21,56.48,55.79,56.17,47.247,0.14%,1843346
2015/4/2,56.05,56.64,55.96,56.56,47.575,0.69%,1373384
2015/4/6,56.09,57.3,56.09,56.99,47.937,0.76%,1884651
2015/4/7,57.07,57.14,56.72,56.74,47.727,-0.44%,1245422
2015/4/8,56.45,57.12,56.39,57,48.181,0.46%,1692239
2015/4/9,56.8,57.05,56.52,56.84,48.046,-0.28%,1906844
2015/4/10,56.79,57.43,56.76,57.12,48.282,0.49%,1790011
2015/4/13,57.05,57.5,56.96,57.16,48.316,0.07%,1226672
2015/4/14,57.04,57.46,56.81,57.43,48.544,0.47%,1156517
2015/4/15,57.55,57.74,57.38,57.44,48.553,0.02%,1262464
2015/4/16,57.27,57.49,56.96,57.21,48.358,-0.40%,2318654
2015/4/17,56.82,56.88,56.05,56.19,47.496,-1.78%,4353358
2015/4/20,56.3,56.83,56.3,56.64,47.877,0.80%,2828972
2015/4/21,56.69,56.84,56.43,56.58,47.826,-0.11%,1602836
2015/4/22,56.54,56.81,56.11,56.43,47.699,-0.27%,2372363
2015/4/23,56.34,56.81,56.3,56.56,47.809,0.23%,2236278
2015/4/24,56.52,57.01,56.37,56.96,48.147,0.71%,1707819
2015/4/27,57.11,57.22,56.58,56.68,47.91,-0.49%,2339282
2015/4/28,56.56,56.99,56.48,56.93,48.122,0.44%,1338318
2015/4/29,56.72,57.24,56.63,56.89,48.088,-0.07%,1677871
2015/4/30,56.8,57.18,56.028,56.16,47.471,-1.28%,3398998
2015/5/1,56.5,56.81,56.11,56.66,47.894,0.89%,1704783
2015/5/4,56.66,57.1,56.62,57.05,48.223,0.69%,1707456
2015/5/5,56.86,57.12,56.375,56.47,47.733,-1.02%,3131856
2015/5/6,56.71,56.73,56.11,56.45,47.716,-0.04%,2617825
2015/5/7,56.52,57.25,56.32,57.17,48.325,1.28%,1909049
2015/5/8,57.65,57.99,57.41,57.96,48.992,1.38%,2099653
2015/5/11,57.82,58.36,57.71,57.93,48.967,-0.05%,1953694
2015/5/12,57.75,57.75,57.23,57.47,48.578,-0.79%,1893203
2015/5/13,57.58,57.73,57.18,57.42,48.536,-0.09%,1645321
2015/5/14,57.85,58.21,57.62,58.16,49.161,1.29%,1804239
2015/5/15,58.08,58.26,57.76,57.86,48.908,-0.52%,1684044
2015/5/18,57.8,58.57,57.8,58.49,49.44,1.09%,2325332
2015/5/19,58.65,58.87,58.47,58.8,49.702,0.53%,1358493
2015/5/20,58.77,59.28,58.55,59.08,49.939,0.48%,1331096
2015/5/21,58.93,59.25,58.93,59.1,49.956,0.03%,1947936
2015/5/22,59.06,59.26,58.98,59,49.871,-0.17%,1440971
2015/5/26,58.72,58.92,58.3,58.48,49.432,-0.88%,2097234
2015/5/27,58.71,58.995,58.58,58.86,49.753,0.65%,1431231
2015/5/28,58.68,58.83,58.43,58.72,49.635,-0.24%,1500709
2015/5/29,58.88,58.88,58.23,58.23,49.221,-0.83%,2353795
2015/6/1,58.39,58.57,58.01,58.16,49.161,-0.12%,1605285
2015/6/2,57.92,58.56,57.87,58.23,49.221,0.12%,1292406
2015/6/3,58.61,58.82,58.27,58.6,49.533,0.64%,1167463
2015/6/4,58.42,58.68,57.79,57.89,48.933,-1.21%,2957132
2015/6/5,58.14,58.39,57.69,57.85,48.899,-0.07%,2131061
2015/6/8,57.8,58.13,57.67,57.71,48.781,-0.24%,1711738
2015/6/9,57.69,58.06,57.67,57.94,48.975,0.40%,1626496
2015/6/10,58.16,58.945,58.12,58.87,49.762,1.61%,2006387
2015/6/11,58.93,59.45,58.84,59.35,50.167,0.82%,2174453
2015/6/12,59.19,59.28,58.91,59.12,49.973,-0.39%,1772425
2015/6/15,58.61,59.06,58.45,58.82,49.719,-0.51%,1753369
2015/6/16,58.65,59.16,58.625,59.03,49.897,0.36%,1522017
2015/6/17,59.28,59.49,59.01,59.21,50.049,0.30%,2114760
2015/6/18,59.43,59.99,59.38,59.84,50.581,1.06%,2483488
