Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,23.203,23.547,23.115,23.116,23.116,0.55%,5038421
2015/3/25,23.195,23.307,22.635,22.671,22.671,-1.93%,4863232
2015/3/26,22.513,22.887,22.43,22.762,22.762,0.40%,3832425
2015/3/27,22.69,23.213,22.578,22.998,22.998,1.04%,5513441
2015/3/30,23.028,23.425,22.785,23.407,23.407,1.78%,5070185
2015/3/31,23.313,23.388,23.06,23.066,23.066,-1.46%,6868974
2015/4/1,23.12,23.12,22.442,22.774,22.774,-1.27%,7473499
2015/4/2,22.76,22.888,22.518,22.61,22.61,-0.72%,5609717
2015/4/6,22.463,23.16,22.333,22.953,22.953,1.52%,8382686
2015/4/7,23.013,23.373,22.914,22.92,22.92,-0.14%,5556473
2015/4/8,22.935,23.103,22.8,22.965,22.965,0.20%,4970578
2015/4/9,23.008,23.105,22.695,22.933,22.933,-0.14%,4204822
2015/4/10,22.87,23.168,22.777,23.057,23.057,0.54%,3637359
2015/4/13,23.038,23.11,22.907,22.963,22.963,-0.41%,3521289
2015/4/14,22.835,23.072,22.558,22.633,22.633,-1.44%,4622242
2015/4/15,22.737,23.048,22.713,22.948,22.948,1.39%,3979629
2015/4/16,22.898,23.078,22.797,23,23,0.23%,4073308
2015/4/17,22.808,22.967,22.678,22.817,22.817,-0.80%,5268821
2015/4/20,23.108,23.47,23,23.263,23.263,1.95%,5084459
2015/4/21,23.375,23.583,23.18,23.309,23.309,0.20%,6671478
2015/4/22,23.34,23.357,23.15,23.318,23.318,0.04%,5150273
2015/4/23,23.333,23.45,23.173,23.393,23.393,0.32%,4901632
2015/4/24,23.46,23.755,23.27,23.63,23.63,1.01%,5485907
2015/4/27,23.785,24.115,23.76,23.907,23.907,1.17%,8337152
2015/4/28,23.713,23.748,23.202,23.457,23.457,-1.88%,7182889
2015/4/29,23.345,23.498,22.917,23.193,23.193,-1.13%,8272076
2015/4/30,23.022,23.225,22.728,22.852,22.852,-1.47%,15025887
2015/5/1,22.873,23.64,22.75,23.522,23.522,2.93%,9115683
2015/5/4,23.455,24,23.26,23.642,23.642,0.51%,8927294
2015/5/5,23.547,23.69,23.172,23.437,23.437,-0.87%,8790554
2015/5/6,23.5,23.665,23.202,23.413,23.413,-0.10%,7015633
2015/5/7,23.493,24.058,23.418,23.915,23.915,2.14%,11772071
2015/5/8,22.432,22.75,21.267,21.412,21.412,-10.47%,60458520
2015/5/11,21.54,23.17,21.5,22.334,22.334,4.31%,27756627
2015/5/12,22.183,22.307,21.855,21.987,21.987,-1.55%,14061002
2015/5/13,21.932,22.167,21.587,21.657,21.657,-1.50%,13171141
2015/5/14,21.855,22.128,21.733,22.107,22.107,2.08%,13216867
2015/5/15,22.16,22.26,21.955,22.053,22.053,-0.24%,5740487
2015/5/18,21.938,22.115,21.803,21.877,21.877,-0.80%,5407949
2015/5/19,21.95,22.142,21.635,21.717,21.717,-0.73%,6137610
2015/5/20,21.725,21.725,21.432,21.54,21.54,-0.82%,6941994
2015/5/21,21.545,21.747,21.503,21.702,21.702,0.75%,6306402
2015/5/22,21.582,21.697,21.507,21.568,21.568,-0.62%,6725106
2015/5/26,21.45,21.563,21.062,21.276,21.276,-1.35%,7734697
2015/5/27,21.263,21.813,21.257,21.672,21.672,1.86%,11659871
2015/5/28,21.607,21.708,21.472,21.533,21.533,-0.64%,4970584
2015/5/29,21.46,21.592,21.168,21.213,21.213,-1.49%,13803577
2015/6/1,21.303,21.362,21.062,21.195,21.195,-0.08%,7884361
2015/6/2,21.122,21.205,20.927,21.019,21.019,-0.83%,8091188
2015/6/3,21.023,21.112,20.873,20.995,20.995,-0.11%,7683493
2015/6/4,20.883,21.327,20.883,21.197,21.197,0.96%,8263856
2015/6/5,21.148,21.15,20.903,20.925,20.925,-1.28%,5747987
2015/6/8,20.905,20.992,20.755,20.915,20.915,-0.05%,7738327
2015/6/9,20.877,20.97,20.697,20.813,20.813,-0.49%,5061209
2015/6/10,20.907,21.253,20.797,21.172,21.172,1.72%,8757668
2015/6/11,21.147,21.318,20.992,21.195,21.195,0.11%,7946185
2015/6/12,21.448,21.652,21.367,21.397,21.397,0.95%,8496740
2015/6/15,21.327,21.395,21.055,21.152,21.152,-1.15%,5333825
2015/6/16,21.378,22.233,21.378,22.03,22.03,4.15%,8272106
2015/6/17,22.083,22.123,21.85,22.042,22.042,0.05%,5707127
2015/6/18,22.103,22.415,22.077,22.31,22.31,1.22%,6239490
2015/6/19,22.31,22.545,22.103,22.287,22.287,-0.10%,9167493
2015/6/22,22.467,22.55,22.228,22.25,22.25,-0.17%,4398352
2015/6/23,22.475,22.475,22.012,22.233,22.233,-0.08%,4882690
2015/6/24,22.24,22.24,22.031,22.159,22.159,-0.33%,5061425
2015/6/25,22.238,22.872,22.005,22.795,22.795,2.87%,8924108
2015/6/26,22.998,23.275,22.838,23.235,23.235,1.93%,15104073
2015/6/29,23.028,23.167,22.328,22.398,22.398,-3.60%,6201258
2015/6/30,22.622,22.653,22.25,22.337,22.337,-0.27%,5639411
2015/7/1,22.392,22.474,22.145,22.417,22.417,0.36%,5516057
2015/7/2,22.39,22.448,22.028,22.267,22.267,-0.67%,4333366
2015/7/6,21.968,22.477,21.957,22.47,22.47,0.91%,7475059
2015/7/7,22.543,22.793,22.278,22.723,22.723,1.13%,6095562
2015/7/8,22.64,22.64,22.178,22.3,22.3,-1.86%,5238653
2015/7/9,22.627,22.647,22.232,22.24,22.24,-0.27%,3911091
2015/7/10,22.447,22.745,22.32,22.685,22.685,2.00%,4582864
2015/7/13,22.912,23.258,22.834,23.232,23.232,2.41%,4945894
2015/7/14,23.255,23.543,23.242,23.48,23.48,1.07%,9533379
2015/7/15,23.417,23.662,23.31,23.353,23.353,-0.54%,4245994
2015/7/16,23.41,23.476,23.107,23.28,23.28,-0.31%,4762276
2015/7/17,23.36,23.36,23.03,23.343,23.343,0.27%,3623541
2015/7/20,23.357,23.86,23.357,23.792,23.792,1.92%,4363456
2015/7/21,23.81,24.07,23.68,24.008,24.008,0.91%,6081822
2015/7/22,24.143,24.817,24.097,24.642,24.642,2.64%,6819636
2015/7/23,24.593,24.96,24.423,24.755,24.755,0.46%,5384045
2015/7/24,24.573,24.878,24.553,24.815,24.815,0.24%,5293091
2015/7/27,24.79,24.925,24.538,24.793,24.793,-0.09%,5866067
2015/7/28,24.82,25.097,24.58,24.998,24.998,0.83%,5142245
2015/7/29,24.99,25.312,24.87,25.22,25.22,0.89%,4989322
2015/7/30,25.163,25.422,24.933,25.363,25.363,0.57%,3868959
2015/7/31,25.528,25.678,25.405,25.592,25.592,0.90%,4735288
2015/8/3,25.768,25.972,25.592,25.968,25.968,1.47%,7077445
2015/8/4,25.92,25.92,25.267,25.287,25.287,-2.62%,10789798
2015/8/5,25.333,25.758,25.252,25.667,25.667,1.50%,10106548
2015/8/6,25.65,25.65,24.048,24.145,24.145,-5.93%,20566748
2015/8/7,24.848,25.457,24.337,24.862,24.862,2.97%,15690021
2015/8/10,25.062,25.113,24.028,24.122,24.122,-2.98%,10860988
2015/8/11,23.877,24.12,23.605,23.8,23.8,-1.33%,7279597
2015/8/12,23.497,23.722,23.1,23.692,23.692,-0.45%,7482403
2015/8/13,23.973,25.085,23.962,24.843,24.843,4.86%,11966069
2015/8/14,24.727,25.112,24.663,25.067,25.067,0.90%,7008691
2015/8/17,24.927,25.162,24.9,25.118,25.118,0.20%,4817254
2015/8/18,25.275,25.283,24.997,25.087,25.087,-0.12%,4777636
2015/8/19,24.922,25.11,24.537,24.542,24.542,-2.17%,7498813
2015/8/20,24.273,24.545,24.1,24.1,24.1,-1.80%,6123048
2015/8/21,23.76,23.867,23.15,23.152,23.152,-3.93%,10126720
2015/8/24,21.42,22.972,19.27,22.577,22.577,-2.48%,15507417
2015/8/25,23.04,23.155,22.393,22.393,22.393,-0.81%,11046587
2015/8/26,22.812,23.118,22.385,23.098,23.098,3.15%,9274743
2015/8/27,23.27,23.643,22.892,23.335,23.335,1.03%,7391353
2015/8/28,23.102,23.418,22.978,23.405,23.405,0.30%,7214593
2015/8/31,23.343,23.629,22.75,23.077,23.077,-1.40%,9925389
2015/9/1,22.632,22.893,22.408,22.505,22.505,-2.48%,7141345
2015/9/2,22.73,22.783,22.355,22.733,22.733,1.01%,8523914
2015/9/3,22.81,22.93,22.498,22.607,22.607,-0.55%,6377256
2015/9/4,22.28,22.65,22.118,22.373,22.373,-1.04%,6964602
2015/9/8,22.682,23.027,22.43,22.817,22.817,1.98%,10115518
2015/9/9,23.033,23.092,21.085,22.067,22.067,-3.29%,7265197
2015/9/10,21.987,22.313,21.863,22.04,22.04,-0.12%,4752610
2015/9/11,22.042,22.243,21.933,22.128,22.128,0.40%,4532074
2015/9/14,22.233,22.25,21.788,22.027,22.027,-0.46%,6488694
2015/9/15,21.897,22.255,21.75,22.08,22.08,0.24%,4781578
2015/9/16,21.742,22.407,21.708,22.322,22.322,1.10%,6987876
2015/9/17,22.397,22.795,22.317,22.45,22.45,0.57%,5544689
2015/9/18,22.17,22.772,22.17,22.433,22.433,-0.08%,24766698
2015/9/21,22.48,22.635,22.371,22.54,22.54,0.48%,5678627
2015/9/22,22.282,22.632,22.135,22.423,22.423,-0.52%,7942225
2015/9/23,22.392,22.54,22.175,22.393,22.393,-0.13%,4184188
2015/9/24,22.683,23.032,22.375,22.857,22.857,2.07%,8846216
2015/9/25,23.092,23.163,22.575,22.705,22.705,-0.67%,5089445
2015/9/28,22.697,22.857,22.167,22.347,22.347,-1.58%,6778134
2015/9/29,22.388,22.537,22.214,22.425,22.425,0.35%,6716358
2015/9/30,22.667,22.98,22.367,22.523,22.523,0.44%,5766233
2015/10/1,22.407,22.55,22.01,22.367,22.367,-0.69%,5771789
2015/10/2,22.142,22.337,21.833,22.322,22.322,-0.20%,6340998
2015/10/5,22.493,22.9,22.35,22.52,22.52,0.89%,7992871
2015/10/6,22.525,22.667,22.262,22.317,22.317,-0.90%,4444276
2015/10/7,22.42,22.645,22.187,22.443,22.443,0.56%,5477477
2015/10/8,22.42,22.73,22.222,22.693,22.693,1.11%,4830538
2015/10/9,22.652,23.122,22.47,22.905,22.905,0.93%,5506043
2015/10/12,22.917,23.105,22.822,22.91,22.91,0.02%,2922662
2015/10/13,22.897,22.933,21.892,21.947,21.947,-4.20%,6662886
2015/10/14,21.802,21.935,21.227,21.428,21.428,-2.36%,8157770
2015/10/15,21.537,21.812,21.223,21.76,21.76,1.55%,6036834
2015/10/16,21.968,22.273,21.843,22.042,22.042,1.30%,5043239
2015/10/19,22.008,22.148,21.897,22.117,22.117,0.34%,3750285
2015/10/20,22.333,23.748,22.223,23.268,23.268,5.20%,15825141
2015/10/21,23.433,23.618,22.967,23.148,23.148,-0.52%,6810234
2015/10/22,23.223,23.914,23.173,23.745,23.745,2.58%,6538260
2015/10/23,23.843,23.845,23.253,23.597,23.597,-0.62%,4015588
2015/10/26,23.577,23.917,23.417,23.577,23.577,-0.08%,6329478
2015/10/27,23.518,23.822,23.295,23.435,23.435,-0.60%,3744543
2015/10/28,23.467,23.568,23.123,23.557,23.557,0.52%,2993882
2015/10/29,23.347,23.347,22.327,22.773,22.773,-3.33%,9877599
2015/10/30,22.788,23.015,22.667,22.72,22.72,-0.23%,6518910
2015/11/2,22.658,22.732,22.225,22.497,22.497,-0.98%,4735138
2015/11/3,22.348,22.75,22.088,22.45,22.45,-0.21%,6711306
2015/11/4,22.417,22.488,21.873,22.137,22.137,-1.39%,9374163
2015/11/5,22.255,22.295,21.805,22.04,22.04,-0.44%,10178770
2015/11/6,23.833,25.478,23.833,25.04,25.04,13.61%,24976254
2015/11/9,24.96,24.994,24.457,24.842,24.842,-0.79%,9153123
2015/11/10,24.853,25.423,24.585,25.315,25.315,1.90%,8848526
2015/11/11,25.527,25.65,25.02,25.342,25.342,0.11%,9588213
2015/11/12,25.322,25.322,24.523,24.743,24.743,-2.36%,6197604
2015/11/13,24.67,25,24.358,24.455,24.455,-1.16%,5422937
2015/11/16,24.525,24.587,24.17,24.578,24.578,0.50%,4428028
2015/11/17,24.583,24.858,24.142,24.268,24.268,-1.26%,4903312
2015/11/18,24.262,24.89,24.243,24.855,24.855,2.42%,4574452
2015/11/19,24.822,24.988,24.658,24.893,24.893,0.15%,4489072
2015/11/20,25.065,25.073,24.57,24.682,24.682,-0.85%,8911496
2015/11/23,24.767,25.387,24.752,25.068,25.068,1.56%,7596625
2015/11/24,25.097,25.476,24.85,25.377,25.377,1.23%,6136500
2015/11/25,25.365,26.17,25.258,26.068,26.068,2.72%,7011151
2015/11/27,26.068,26.277,25.932,26.09,26.09,0.08%,2488892
2015/11/30,26.118,26.392,25.725,25.768,25.768,-1.23%,7265131
2015/12/1,25.925,26.377,25.835,26.203,26.203,1.69%,5873441
2015/12/2,26.167,26.298,25.75,25.802,25.802,-1.53%,5345177
2015/12/3,25.725,26.343,25.352,25.512,25.512,-1.12%,6564624
2015/12/4,25.515,26.378,25.515,26.116,26.116,2.37%,6901416
2015/12/7,26.698,26.75,25.733,25.93,25.93,-0.71%,9575451
2015/12/8,25.79,26.27,25.585,26.083,26.083,0.59%,7033549
2015/12/9,25.913,26.07,25.097,25.333,25.333,-2.88%,8058476
2015/12/10,25.215,25.595,25.17,25.305,25.305,-0.11%,4487416
2015/12/11,25.003,25.312,24.857,24.957,24.957,-1.38%,5557181
2015/12/14,24.983,25.356,24.87,25.318,25.318,1.45%,5072849
2015/12/15,25.438,25.637,25.15,25.43,25.43,0.44%,5559515
2015/12/16,25.53,25.703,25.132,25.552,25.552,0.48%,4778338
2015/12/17,25.735,25.735,24.938,25.048,25.048,-1.97%,6187020
2015/12/18,24.84,24.999,24.257,24.307,24.307,-2.96%,24424050
2015/12/21,24.535,24.862,24.325,24.58,24.58,1.12%,5638241
2015/12/22,24.685,24.715,24.27,24.582,24.582,0.01%,4532212
2015/12/23,24.793,24.983,24.553,24.578,24.578,-0.02%,4466278
2015/12/24,24.64,24.95,24.588,24.803,24.803,0.92%,2009978
2015/12/28,24.772,24.882,24.522,24.693,24.693,-0.44%,2632718
2015/12/29,24.848,25.177,24.755,25.028,25.028,1.36%,3395961
2015/12/30,24.983,25.185,24.8,25.04,25.04,0.05%,3543411
2015/12/31,24.91,25.152,24.715,24.827,24.827,-0.85%,4328758
2016/1/4,24.42,24.605,23.678,24.057,24.057,-3.10%,7978375
2016/1/5,24.057,24.395,24.047,24.345,24.345,1.20%,5533277
2016/1/6,23.99,24.45,23.767,24.383,24.383,0.16%,8913854
2016/1/7,23.943,24.393,23.858,24.2,24.2,-0.75%,7417465
2016/1/8,24.223,24.345,23.993,24.042,24.042,-0.65%,5028401
2016/1/11,24.298,24.625,24.042,24.34,24.34,1.24%,6407628
2016/1/12,24.465,24.887,24.37,24.55,24.55,0.86%,7569637
2016/1/13,24.348,24.897,23.903,23.945,23.945,-2.46%,7819039
2016/1/14,24.04,24.141,23.43,23.737,23.737,-0.87%,6921516
2016/1/15,23.148,23.685,23.072,23.522,23.522,-0.91%,8896484
2016/1/19,23.852,24.335,23.763,24.127,24.127,2.57%,7282003
2016/1/20,23.883,23.912,22.577,23.337,23.337,-3.27%,11182649
2016/1/21,23.595,23.667,22.805,23.003,23.003,-1.43%,10316578
2016/1/22,23.263,24.068,22.967,24.027,24.027,4.45%,9926349
2016/1/25,23.877,23.975,23.315,23.348,23.348,-2.83%,5963261
2016/1/26,23.373,23.567,23.052,23.175,23.175,-0.74%,4791016
2016/1/27,23.238,23.245,22.85,22.995,22.995,-0.78%,5162267
