Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,51.52,52,51.11,51.11,27.163,-0.99%,7223813
2015/3/25,51.27,51.29,50.14,50.15,26.652,-1.88%,10189267
2015/3/26,49.68,50.54,49.03,50,26.573,-0.30%,14549055
2015/3/27,49.92,50.43,49.88,50.34,26.753,0.68%,8566509
2015/3/30,50.71,50.8,50.35,50.53,26.854,0.38%,7215699
2015/3/31,50.52,50.52,50.01,50.02,26.583,-1.01%,7905569
2015/4/1,50.16,50.4,49.55,50.3,26.732,0.56%,7768774
2015/4/2,50.42,51.29,50.36,51.19,27.205,1.77%,9000939
2015/4/6,51.02,51.91,51.01,51.49,27.365,0.59%,7575027
2015/4/7,51.61,52.13,51.51,51.7,27.476,0.41%,7369095
2015/4/8,51.55,51.98,51.32,51.62,27.434,-0.15%,5883549
2015/4/9,51.65,51.93,51.475,51.86,27.561,0.46%,4556425
2015/4/10,52.15,52.99,52.01,52.51,27.907,1.25%,6442044
2015/4/13,52.35,52.47,51.7,51.77,27.513,-1.41%,6731107
2015/4/14,51.68,52.25,51.53,52.12,27.699,0.68%,4956552
2015/4/15,52.11,52.56,51.54,51.61,27.428,-0.98%,5944497
2015/4/16,51.98,52.4,51.61,52.05,27.662,0.85%,7569737
2015/4/17,51.93,52.08,51.65,51.75,27.503,-0.58%,7499259
2015/4/20,52,52.84,52,52.63,27.97,1.70%,8742737
2015/4/21,52.77,52.99,52.02,52.1,27.689,-1.01%,6473899
2015/4/22,52.08,52.13,51.51,52.12,27.699,0.04%,9810849
2015/4/23,52.04,52.92,51.8,52.35,27.822,0.44%,8189791
2015/4/24,52.51,52.64,52.035,52.07,27.673,-0.53%,4911122
2015/4/27,52.14,52.15,51.3,51.4,27.317,-1.29%,6451808
2015/4/28,51.25,51.71,51.16,51.71,27.482,0.60%,6596627
2015/4/29,51.39,51.56,50.06,50.2,26.679,-2.92%,11260918
2015/4/30,50.15,50.3,49.83,50.05,26.599,-0.30%,10130859
2015/5/1,50.12,50.67,50.11,50.66,26.923,1.22%,5958295
2015/5/4,50.9,50.9,50.45,50.68,26.934,0.04%,4963139
2015/5/5,50.5,50.58,50.15,50.35,26.759,-0.65%,4968724
2015/5/6,50.43,50.78,50.13,50.68,26.934,0.66%,7011102
2015/5/7,50.48,51.36,50.42,51.24,27.232,1.10%,5127349
2015/5/8,51.61,52.435,51.53,52.17,27.726,1.81%,5545522
2015/5/11,52.2,52.31,51.29,51.34,27.285,-1.59%,5396200
2015/5/12,50.79,51.285,50.711,51.15,27.184,-0.37%,5849927
2015/5/13,51.23,51.48,50.89,51,27.104,-0.29%,5759100
2015/5/14,51.41,52.63,51.38,52.6,27.955,3.14%,6821772
2015/5/15,52.56,52.88,52.56,52.82,28.071,0.42%,5023018
2015/5/18,52.61,52.795,51.93,51.95,27.609,-1.65%,4937562
2015/5/19,52.03,52.03,51.63,51.78,27.519,-0.33%,4764694
2015/5/20,51.94,52.28,51.78,51.8,27.529,0.04%,4430580
2015/5/21,51.84,51.84,51.22,51.64,27.444,-0.31%,6576534
2015/5/22,51.5,51.57,51.2,51.23,27.226,-0.79%,4141782
2015/5/26,51.23,51.45,50.99,51.28,27.253,0.10%,5673344
2015/5/27,51.4,52.03,51.24,51.83,27.545,1.07%,5564350
2015/5/28,51.94,52.01,51.5,51.62,27.434,-0.41%,4634437
2015/5/29,51.45,51.73,51.115,51.2,27.21,-0.81%,7490255
2015/6/1,51.29,51.48,50.85,51.2,27.21,0.00%,3842166
2015/6/2,51.04,51.07,50.51,50.63,26.908,-1.11%,4778792
2015/6/3,50.91,50.93,50.25,50.35,26.759,-0.55%,5866327
2015/6/4,50.26,50.39,49.78,49.88,26.509,-0.93%,6077425
2015/6/5,49.71,49.71,48.1,48.21,25.621,-3.35%,10415088
2015/6/8,48.17,48.51,47.78,48.32,25.68,0.23%,7983769
2015/6/9,48.35,48.77,48.12,48.56,25.807,0.50%,6326253
2015/6/10,48.68,49.64,48.68,49.22,26.158,1.36%,10217612
2015/6/11,48.7,48.81,48.27,48.33,25.962,-1.81%,7135057
2015/6/12,48.26,48.3,47.31,48.04,25.806,-0.60%,8740606
2015/6/15,47.71,48.12,47.52,47.54,25.537,-1.04%,6494875
2015/6/16,47.66,48.138,47.47,48.02,25.795,1.01%,4561337
2015/6/17,48.01,48.73,47.989,48.56,26.085,1.12%,5714496
2015/6/18,48.68,49.65,48.655,49.46,26.569,1.85%,6494480
2015/6/19,49.29,49.64,49.23,49.32,26.493,-0.28%,8158032
2015/6/22,49.58,49.88,49.54,49.79,26.746,0.95%,5782789
2015/6/23,49.99,49.99,49.04,49.08,26.364,-1.43%,5248125
2015/6/24,49.12,49.25,48.96,48.97,26.305,-0.22%,6502554
2015/6/25,49.06,49.27,48.96,49.16,26.407,0.39%,5807766
2015/6/26,49.29,49.67,49.17,49.48,26.579,0.65%,7631683
2015/6/29,49.25,49.51,48.64,48.67,26.144,-1.64%,7299875
2015/6/30,48.97,49.275,48.57,48.91,26.273,0.49%,8247296
2015/7/1,49.09,49.26,48.74,49.1,26.375,0.39%,4897127
2015/7/2,49.28,49.45,48.7,48.99,26.316,-0.22%,4575136
2015/7/6,48.88,49.89,48.76,49.87,26.789,1.80%,7862679
2015/7/7,49.97,51.82,49.94,51.68,27.761,3.63%,13340985
2015/7/8,51.32,51.49,50.95,51.03,27.412,-1.26%,8154638
2015/7/9,51.63,51.8,50.93,50.95,27.369,-0.16%,7009978
2015/7/10,51.48,51.78,51.23,51.31,27.562,0.71%,7263112
2015/7/13,51.56,51.8,51.26,51.33,27.573,0.04%,8124428
2015/7/14,51.33,51.46,51.21,51.35,27.584,0.04%,7433181
2015/7/15,51.36,51.52,51.13,51.23,27.519,-0.23%,6862371
2015/7/16,51.58,53.36,51.52,52.91,28.422,3.28%,12569276
2015/7/17,52.77,53.34,52.52,53.22,28.588,0.59%,7805861
2015/7/20,53.24,53.84,53.23,53.71,28.852,0.92%,6572425
2015/7/21,53.67,53.7,53.43,53.55,28.766,-0.30%,5657878
2015/7/22,53.66,54.02,53.65,53.96,28.986,0.77%,7979538
2015/7/23,53.95,53.97,53.48,53.82,28.911,-0.26%,4768831
2015/7/24,53.77,53.97,53.61,53.79,28.895,-0.06%,5440990
2015/7/27,53.53,54.13,53.51,53.95,28.98,0.30%,5979930
2015/7/28,54.1,55.3,54,55.25,29.679,2.41%,9298331
2015/7/29,55.51,55.72,54.052,54.4,29.222,-1.54%,9425562
2015/7/30,53.73,54.36,53.5,54.2,29.115,-0.37%,7259055
2015/7/31,54.55,54.59,54.26,54.38,29.211,0.33%,4843871
2015/8/3,54.43,54.68,54.1,54.66,29.362,0.51%,4054923
2015/8/4,54.55,55.08,54.5,54.92,29.502,0.48%,4901642
2015/8/5,55.13,55.63,54.945,55.47,29.797,1.00%,6144797
2015/8/6,55.65,55.795,55.48,55.57,29.851,0.18%,5965465
2015/8/7,55.5,55.66,55.07,55.49,29.808,-0.14%,5507723
2015/8/10,55.7,55.985,55.51,55.71,29.926,0.40%,4658444
2015/8/11,55.43,56.39,55.24,55.73,29.937,0.04%,8357805
