Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,65.04,65.63,64.92,65.29,65.29,0.46%,514142
2015/3/25,65.31,66.6,64.61,64.62,64.62,-1.03%,735481
2015/3/26,64.24,64.72,63.3,64.34,64.34,-0.43%,349509
2015/3/27,64.23,65.44,64.2,65.36,65.36,1.59%,402033
2015/3/30,65.92,66.647,65.57,66.3,66.3,1.44%,485625
2015/3/31,66.26,67.58,66.07,67.29,67.29,1.49%,896876
2015/4/1,67.27,67.43,65.84,66.31,66.31,-1.46%,1308284
2015/4/2,66.67,67.71,66.298,67.23,67.23,1.39%,459479
2015/4/6,66.89,67.7,66.67,67.5,67.5,0.40%,424265
2015/4/7,67.7,67.99,66.3,66.53,66.53,-1.44%,295160
2015/4/8,66.34,67.94,66.09,67.5,67.5,1.46%,791734
2015/4/9,67.28,67.98,66.17,66.71,66.71,-1.17%,547653
2015/4/10,66.95,67.04,66.27,66.66,66.66,-0.07%,363837
2015/4/13,67.11,67.53,66.38,66.47,66.47,-0.29%,455073
2015/4/14,66.9,66.9,65.73,66.35,66.35,-0.18%,673998
2015/4/15,66.75,66.755,63.75,64.12,64.12,-3.36%,640988
2015/4/16,64.55,65.15,64.23,64.7,64.7,0.90%,1044121
2015/4/17,64.16,64.462,62.53,62.97,62.97,-2.67%,450010
2015/4/20,63.59,63.92,62.84,62.92,62.92,-0.08%,563002
2015/4/21,63.31,64.15,63.288,63.73,63.73,1.29%,316124
2015/4/22,63.89,63.97,62.28,63.02,63.02,-1.11%,324961
2015/4/23,62.91,63.99,62.57,63.98,63.98,1.52%,303574
2015/4/24,64.11,64.12,63.621,63.85,63.85,-0.20%,269481
2015/4/27,63.86,64.49,61.77,62.09,62.09,-2.76%,335440
2015/4/28,62.6,63.17,60.77,62.92,62.92,1.34%,423305
2015/4/29,62.45,62.48,59.28,59.67,59.67,-5.17%,890412
2015/4/30,59.56,60.93,58.8,59.23,59.23,-0.74%,811047
2015/5/1,59.24,60.08,59.15,59.55,59.55,0.54%,437359
2015/5/4,59.55,60.41,59.31,59.8,59.8,0.42%,513182
2015/5/5,59.54,59.87,57.89,58.25,58.25,-2.59%,764813
2015/5/6,58.8,59.22,57.35,58.34,58.34,0.15%,853387
2015/5/7,58.44,59.61,57.86,58.23,58.23,-0.19%,763089
2015/5/8,62.02,66.04,61.78,65.12,65.12,11.83%,2511647
2015/5/11,65.11,67.28,65.11,65.96,65.96,1.29%,944755
2015/5/12,65.64,68.15,65.52,67.86,67.86,2.88%,1382009
2015/5/13,67.97,69.19,67.81,68.17,68.17,0.46%,981182
2015/5/14,68.44,69.43,67.47,69.17,69.17,1.47%,843447
2015/5/15,69.31,69.75,68.23,69.25,69.25,0.12%,468146
2015/5/18,69.27,69.95,68.8,69.36,69.36,0.16%,653698
2015/5/19,69.5,71.34,69.31,70.12,70.12,1.10%,1699944
2015/5/20,70.55,70.77,70,70.35,70.35,0.33%,601438
2015/5/21,70.35,71.38,70.2,71.15,71.15,1.14%,697384
2015/5/22,71.1,71.98,70.59,71.01,71.01,-0.20%,1085186
2015/5/26,71.05,71.56,70.26,70.63,70.63,-0.54%,641839
2015/5/27,71,72.19,70.66,71.61,71.61,1.39%,548705
2015/5/28,71.53,72.077,70.94,71.71,71.71,0.14%,918144
2015/5/29,71.7,73.98,70.38,72.74,72.74,1.44%,1342350
2015/6/1,72.84,73.049,71.34,72.27,72.27,-0.65%,806882
2015/6/2,72.17,72.35,69.91,70.35,70.35,-2.66%,964209
2015/6/3,70.39,70.59,68.25,68.25,68.25,-2.99%,1967488
2015/6/4,67.28,67.73,65.84,66.74,66.74,-2.21%,5141539
2015/6/5,66.59,67.68,66.59,67.42,67.42,1.02%,1684737
2015/6/8,67.51,67.98,67.03,67.43,67.43,0.01%,1128934
2015/6/9,67.2,67.55,65.74,67.51,67.51,0.12%,1192227
2015/6/10,67.38,68.29,66.985,68.2,68.2,1.02%,863535
2015/6/11,68.2,68.88,67.985,68.72,68.72,0.76%,690313
2015/6/12,68.34,68.73,67.84,67.98,67.98,-1.08%,853035
2015/6/15,67.91,69.14,67.34,68.2,68.2,0.32%,837823
2015/6/16,68.35,69.13,68.11,68.78,68.78,0.85%,763383
2015/6/17,69.35,70.329,68.29,68.83,68.83,0.07%,1573299
2015/6/18,69.2,69.46,68.01,68.18,68.18,-0.94%,642019
2015/6/19,68.31,69.24,68,68.87,68.87,1.01%,835046
2015/6/22,69.79,70.31,69.41,69.73,69.73,1.25%,930069
2015/6/23,69.98,70.48,69.53,70.4,70.4,0.96%,670372
2015/6/24,70,70.93,69.86,70.15,70.15,-0.36%,1115616
2015/6/25,70.22,72.18,69.95,71.53,71.53,1.97%,882973
2015/6/26,71.88,72.31,70.15,70.45,70.45,-1.51%,830782
2015/6/29,70.13,71.38,70.01,70.09,70.09,-0.51%,631203
2015/6/30,70.76,70.84,69.74,70.3,70.3,0.30%,6309044
2015/7/1,70.94,71.59,70.425,71.3,71.3,1.42%,839440
2015/7/2,72.14,72.26,69.25,69.36,69.36,-2.72%,1549962
2015/7/6,68.65,70.71,68.03,70.7,70.7,1.93%,1266542
2015/7/7,70.75,70.75,67.25,68.82,68.82,-2.66%,899410
2015/7/8,68.56,68.79,67.12,67.53,67.53,-1.87%,639497
2015/7/9,68.42,68.95,67.83,67.96,67.96,0.64%,490361
2015/7/10,68.74,69.8,68.27,69.71,69.71,2.58%,790318
2015/7/13,70.36,70.69,69.44,69.78,69.78,0.10%,557418
2015/7/14,69.91,72.12,69.9,71.91,71.91,3.05%,814028
