Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,46.92,47.135,46.42,46.92,38.68,0.11%,3865479
2015/3/25,47.07,47.595,46.49,46.53,38.359,-0.83%,3528793
2015/3/26,46.59,47.29,46.51,46.73,38.524,0.43%,3871821
2015/3/27,46.89,46.89,45.95,46.05,37.963,-1.46%,4371933
2015/3/30,46.33,47.556,46.26,47.36,39.043,2.84%,4043655
2015/3/31,47.11,47.39,45.95,46.06,37.971,-2.74%,5448270
2015/4/1,46.26,46.26,45.25,45.47,37.485,-1.28%,4667443
2015/4/2,45.53,46.1,45.37,45.87,37.815,0.88%,2453468
2015/4/6,45.75,46.03,45.46,45.89,37.831,0.04%,2917636
2015/4/7,45.88,46.32,45.81,45.84,37.79,-0.11%,2179249
2015/4/8,46,46.5,45.76,46,37.922,0.35%,3456761
2015/4/9,46.11,46.26,45.92,46,37.922,0.00%,2308389
2015/4/10,46.1,46.4,45.84,45.85,37.798,-0.33%,2268013
2015/4/13,45.79,46.15,45.53,45.62,37.609,-0.50%,2558022
2015/4/14,45.81,45.85,45.35,45.61,37.6,-0.02%,2274059
2015/4/15,45.87,46.06,45.65,45.95,37.881,0.75%,3502620
2015/4/16,45.95,46.32,45.73,46.02,37.938,0.15%,3125002
2015/4/17,45.91,46.08,45.29,45.32,37.361,-1.52%,4482346
2015/4/20,45.42,45.7,44.96,45,37.097,-0.71%,4199696
2015/4/21,44.97,45.15,44.49,44.69,36.842,-0.69%,3902219
2015/4/22,44.65,44.93,44.55,44.65,36.809,-0.09%,3752104
2015/4/23,44.81,45.47,44.73,44.88,36.998,0.52%,1068826
2015/4/24,44.9,45.27,44.72,44.99,37.089,0.25%,794602
2015/4/27,45.07,45.16,44.59,44.6,36.768,-0.87%,3841432
2015/4/28,44.5,44.88,44.29,44.3,36.52,-0.67%,3763462
2015/4/29,44.2,44.39,43.96,44.03,36.298,-0.61%,5651032
2015/4/30,44.13,44.34,43.33,44,36.273,-0.07%,6371174
2015/5/1,44.54,45.41,44.44,44.98,37.081,2.23%,7087553
2015/5/4,44.97,45.19,44.65,44.66,36.817,-0.71%,4405014
2015/5/5,44.72,45.16,44.03,44.11,36.364,-1.23%,4836184
2015/5/6,44.4,44.66,44.085,44.34,36.553,0.52%,5281231
2015/5/7,44.22,44.56,44,44.49,36.677,0.34%,9009959
2015/5/8,44.95,45.67,44.87,45.46,37.477,2.18%,4712645
2015/5/11,45.38,45.57,44.96,45,37.097,-1.01%,3003053
2015/5/12,44.76,44.88,44.42,44.84,36.966,-0.36%,3062152
2015/5/13,44.91,45.58,44.69,45.42,37.444,1.29%,5199000
2015/5/14,45.54,45.63,45.12,45.56,37.559,0.31%,3187247
2015/5/15,45.92,46.63,45.6,46.62,38.433,2.33%,4470166
2015/5/18,46.67,46.77,46.52,46.68,38.482,0.13%,4122838
2015/5/19,46.77,46.81,46.23,46.6,38.416,-0.17%,3565638
2015/5/20,46.63,47.31,46.42,47.28,38.977,1.46%,5209317
2015/5/21,47.32,47.68,47.1,47.43,39.101,0.32%,4903804
2015/5/22,47.46,47.56,47.02,47.03,38.771,-0.84%,4464167
2015/5/26,46.75,46.94,46.39,46.47,38.309,-1.19%,4103302
2015/5/27,46.5,46.69,46.309,46.59,38.408,0.26%,3837368
2015/5/28,46.47,46.64,46.25,46.53,38.359,-0.13%,3390645
2015/5/29,46.57,46.66,45.78,45.85,37.798,-1.46%,5009617
2015/6/1,45.9,46,45.13,45.36,37.394,-1.07%,4197646
2015/6/2,45.07,45.5,45,45.27,37.547,-0.20%,3322025
2015/6/3,45.44,45.63,45.1,45.41,37.663,0.31%,2538932
2015/6/4,45.1,45.16,44.53,44.58,36.974,-1.83%,3115394
2015/6/5,44.35,44.62,44.22,44.31,36.75,-0.61%,2352172
2015/6/8,44.25,44.36,44.02,44.03,36.518,-0.63%,2283522
2015/6/9,44,44.25,43.81,43.93,36.435,-0.23%,2267659
2015/6/10,44.22,44.74,44.09,44.61,36.999,1.55%,3157451
2015/6/11,44.61,44.96,44.58,44.85,37.198,0.54%,2979049
2015/6/12,44.71,44.995,44.41,44.54,36.941,-0.69%,2942527
2015/6/15,44.25,44.76,44.03,44.45,36.867,-0.20%,3040432
2015/6/16,44.5,44.74,44.39,44.6,36.991,0.34%,2480942
2015/6/17,44.7,44.92,44.32,44.87,37.215,0.61%,3571067
