Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,55.54,55.61,54.43,54.5,49.779,-1.78%,297937
2015/3/25,54.9,54.9,51.725,52.04,47.532,-4.51%,532504
2015/3/26,51.32,51.84,50.35,51.37,46.92,-1.29%,665680
2015/3/27,51.21,53.045,50.96,52.8,48.409,2.78%,281502
2015/3/30,52.92,53.54,52.36,53.34,48.904,1.02%,310840
2015/3/31,53.12,53.24,52.52,52.65,48.271,-1.29%,327625
2015/4/1,52.59,52.64,50.93,51.99,47.666,-1.25%,335908
2015/4/2,52,52.05,51.5,51.7,47.4,-0.56%,301769
2015/4/6,51.28,52.01,50.95,51.9,47.584,0.39%,240696
2015/4/7,51.87,52.255,51.415,51.51,47.226,-0.75%,344725
2015/4/8,51.6,52.1,51.31,51.75,47.446,0.47%,253199
2015/4/9,51.48,52.1,51.32,51.81,47.501,0.12%,184722
2015/4/10,52.14,52.38,51.91,52.21,47.868,0.77%,131081
2015/4/13,52.29,52.82,51.66,51.74,47.437,-0.90%,161723
2015/4/14,51.78,52.11,51.22,51.64,47.345,-0.19%,233176
2015/4/15,51.97,53.37,51.88,52.96,48.555,2.56%,238196
2015/4/16,52.58,53.84,52.21,53.47,49.023,0.96%,285916
2015/4/17,53,53.05,51.95,52.79,48.4,-1.27%,306600
2015/4/20,52.95,53.94,52.95,53.4,48.959,1.16%,298609
2015/4/21,53.9,54.15,53.4,53.96,49.472,1.05%,283591
2015/4/22,54.47,54.59,53.02,53.92,49.436,-0.07%,236752
2015/4/23,54.43,55.56,50.55,53.51,49.06,-0.76%,683942
2015/4/24,53.5,54.18,49.25,49.96,45.805,-6.63%,1124712
2015/4/27,49.7,51.09,49.39,50.42,46.227,0.92%,616960
2015/4/28,50.4,51.14,49.8,50.98,46.74,1.11%,540801
2015/4/29,50.69,52.22,50.68,52.01,47.684,2.02%,820832
2015/4/30,51.61,52.28,51.32,51.83,47.519,-0.35%,827493
2015/5/1,52,53.06,51.87,52.92,48.519,2.10%,475265
2015/5/4,52.7,53.06,52.525,52.79,48.4,-0.25%,498780
2015/5/5,52.54,52.62,51.64,51.7,47.4,-2.06%,449167
2015/5/6,51.62,52.33,50.97,51.56,47.272,-0.27%,312168
2015/5/7,51.56,52.6,51.56,51.91,47.593,0.68%,234713
2015/5/8,51.79,53.33,51.71,52.55,48.18,1.23%,228683
2015/5/11,52.37,52.83,52.17,52.21,47.868,-0.65%,151391
2015/5/12,52.06,52.38,51.24,52.16,47.822,-0.10%,220518
2015/5/13,52.41,53,51.92,52.33,47.978,0.33%,140903
2015/5/14,52.77,53.2,52.02,53.17,48.748,1.61%,219610
2015/5/15,53.03,53.03,52.52,52.9,48.5,-0.51%,220894
2015/5/18,52.87,54.46,52.75,54.3,49.784,2.65%,284733
2015/5/19,54.25,54.86,53.57,53.86,49.381,-0.81%,207351
2015/5/20,54,54.4,53.49,53.62,49.161,-0.45%,162061
2015/5/21,53.76,54.17,53.4,54.1,49.601,0.90%,183244
2015/5/22,54.04,54.34,53.77,54.13,49.628,0.06%,238702
2015/5/26,53.85,53.89,52.76,53.34,48.904,-1.46%,239715
2015/5/27,53.56,55.04,53.22,54.73,50.178,2.61%,357644
2015/5/28,54.76,55.12,54.4,54.95,50.38,0.40%,164698
2015/5/29,54.78,55.06,54.36,54.6,50.059,-0.64%,200853
2015/6/1,54.81,55.11,53.905,54.53,49.995,-0.13%,232475
2015/6/2,54.33,54.74,53.64,54.38,49.857,-0.28%,287627
2015/6/3,54.61,54.71,53.88,54.59,50.05,0.39%,234309
2015/6/4,54.28,54.72,53.76,54.1,49.601,-0.90%,262846
2015/6/5,54,54.36,53.36,53.64,49.179,-0.85%,258783
2015/6/8,53.39,53.975,52.42,52.46,48.097,-2.20%,260478
2015/6/9,52.21,52.43,51.72,52.19,47.85,-0.51%,293104
2015/6/10,52.49,53.46,52.49,53.26,48.831,2.05%,190265
2015/6/11,53.18,53.34,52.79,53.03,48.62,-0.43%,125553
2015/6/12,52.71,53.413,52.63,53.12,48.702,0.17%,125562
2015/6/15,52.69,53.58,52.17,53.34,48.904,0.41%,132143
2015/6/16,53.26,53.73,52.83,53.62,49.161,0.52%,183495
2015/6/17,53.87,54.1,53.55,53.62,49.161,0.00%,111476
2015/6/18,53.74,54.38,52.685,54.12,49.619,0.93%,279076
2015/6/19,54.4,54.6,53.92,54.27,49.757,0.28%,320772
2015/6/22,54.68,54.87,53.9,54.69,50.142,0.77%,223546
2015/6/23,54.95,55,54.07,54.35,49.83,-0.62%,141175
2015/6/24,54.43,54.51,53.905,53.95,49.463,-0.74%,162461
2015/6/25,54.22,54.46,52.32,53.81,49.335,-0.26%,139705
2015/6/26,53.55,53.71,52.18,52.48,48.299,-2.47%,292058
2015/6/29,52.03,52.49,50.71,50.8,46.753,-3.20%,199183
2015/6/30,51.21,51.44,50.65,50.71,46.67,-0.18%,309393
2015/7/1,51.24,51.59,50.32,50.93,46.872,0.43%,195667
2015/7/2,50.9,51.6,50.72,51.58,47.47,1.28%,209767
2015/7/6,51.01,51.52,50.385,50.96,46.9,-1.20%,273342
2015/7/7,50.88,50.88,49.05,50.6,46.569,-0.71%,314226
2015/7/8,49.97,51.31,47.41,49.23,45.308,-2.71%,449140
2015/7/9,49.86,50.01,47.6,47.73,43.927,-3.05%,360803
2015/7/10,48.24,48.92,48.04,48.66,44.783,1.95%,497663
2015/7/13,48.83,49.17,48.37,48.89,44.995,0.47%,197662
2015/7/14,49.03,49.57,48.67,49.51,45.565,1.27%,164642
2015/7/15,49.6,49.95,49.215,49.71,45.749,0.40%,239252
2015/7/16,50.16,50.19,49.13,49.21,45.289,-1.01%,458704
2015/7/17,49.28,49.37,48.8,48.96,45.059,-0.51%,251849
2015/7/20,49.32,49.32,48.72,49.06,45.151,0.20%,188794
2015/7/21,48.94,49.33,48.54,48.79,44.903,-0.55%,211127
2015/7/22,48.09,48.11,46.947,47.33,43.559,-2.99%,449521
2015/7/23,47.51,49.74,47.51,49.21,45.289,3.97%,549464
2015/7/24,49.25,49.84,48.08,48.33,44.479,-1.79%,256794
2015/7/27,47.61,48.61,47.41,47.77,43.964,-1.16%,328136
