Date,Open,High,Low,Close,Adj. Close,Change,Volume
2018/12/10,18.9,19.439,18,18.8,18.8,1.08%,4233345
2018/12/11,20.55,20.66,17.99,18.01,18.01,-4.20%,3435271
2018/12/12,18.55,19.48,18.02,18.68,18.68,3.72%,2590873
2018/12/13,19.25,19.29,18.68,18.76,18.76,0.43%,1608629
2018/12/14,18.75,18.881,18.25,18.32,18.32,-2.35%,746412
2018/12/17,18.33,18.47,16.9,17,17,-7.21%,1581242
2018/12/18,17.1,17.25,16.25,17,17,0.00%,1621904
2018/12/19,16.86,17.37,16,16.18,16.18,-4.82%,941528
2018/12/20,16,16.14,14.75,15.5,15.5,-4.20%,2365203
2018/12/21,15.4,15.5,13.95,14.47,14.47,-6.65%,2063235
2018/12/24,14.32,14.32,13.75,14.03,14.03,-3.04%,665427
2018/12/26,14.15,14.31,13.03,13.52,13.52,-3.64%,1817977
2018/12/27,13.49,14.95,13.27,14.65,14.65,8.36%,1769545
2018/12/28,14.72,14.85,13.818,14.15,14.15,-3.41%,929098
2018/12/31,14.24,15.3,14.213,15.27,15.27,7.92%,994726
2019/1/2,14.93,15.45,14.51,15.33,15.33,0.39%,2318094
2019/1/3,15.49,16.08,15.2,15.5,15.5,1.11%,1588921
2019/1/4,16,17.5,15.894,16.96,16.96,9.42%,1652033
2019/1/7,17.54,17.94,16.18,16.27,16.27,-4.07%,1585442
2019/1/8,17.35,17.468,16.05,16.95,16.95,4.18%,1892977
2019/1/9,17.2,17.25,16.15,16.33,16.33,-3.66%,1187350
2019/1/10,16.36,16.51,16,16.48,16.48,0.92%,487284
2019/1/11,16.6,17.06,16.53,17,17,3.16%,580570
2019/1/14,17,17.06,16.72,16.74,16.74,-1.53%,612922
2019/1/15,17,17,16.41,16.59,16.59,-0.90%,468080
2019/1/16,16.8,16.95,16.26,16.26,16.26,-1.99%,272804
2019/1/17,16.05,16.53,16.05,16.31,16.31,0.31%,315678
2019/1/18,16.46,16.8,16.25,16.69,16.69,2.33%,629965
