Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,42.78,43.17,42.75,42.9,37.026,0.11%,25513252
2015/3/25,42.92,42.925,41.44,41.46,35.783,-3.36%,43469907
2015/3/26,41.22,41.61,40.92,41.21,35.567,-0.60%,37495627
2015/3/27,41.12,41.43,40.83,40.97,35.36,-0.58%,34401398
2015/3/30,41.1,41.54,40.91,40.96,35.352,-0.02%,35049662
2015/3/31,40.78,41.03,40.54,40.655,35.088,-0.74%,34887219
2015/4/1,40.6,40.76,40.31,40.72,35.144,0.16%,36865322
2015/4/2,40.66,40.74,40.12,40.29,34.773,-1.06%,37487476
2015/4/6,40.34,41.78,40.18,41.545,35.856,3.11%,39223692
2015/4/7,41.61,41.91,41.31,41.53,35.843,-0.04%,28809375
2015/4/8,41.46,41.69,41.04,41.42,35.749,-0.26%,24753438
2015/4/9,41.25,41.62,41.25,41.48,35.8,0.14%,25723861
2015/4/10,41.63,41.95,41.41,41.72,36.007,0.58%,28022002
2015/4/13,41.4,42.06,41.39,41.76,36.042,0.10%,30276692
2015/4/14,41.8,42.03,41.39,41.65,35.947,-0.26%,24244382
2015/4/15,41.76,42.46,41.68,42.255,36.469,1.45%,27343581
2015/4/16,41.95,42.34,41.82,42.16,36.387,-0.22%,22509652
2015/4/17,41.67,41.74,41.16,41.615,35.917,-1.29%,42387608
2015/4/20,41.73,43.17,41.68,42.905,37.03,3.10%,46057733
2015/4/21,43,43.15,42.53,42.635,36.797,-0.63%,26013844
2015/4/22,42.67,43.13,42.55,42.985,37.099,0.82%,25064273
2015/4/23,42.89,43.61,42.8,43.34,37.406,0.83%,46309530
2015/4/24,45.66,48.14,45.65,47.87,41.315,10.45%,130933665
2015/4/27,47.23,48.13,47.22,48.03,41.453,0.33%,59248172
2015/4/28,47.78,49.21,47.7,49.155,42.424,2.34%,60730778
2015/4/29,48.72,49.31,48.5,49.06,42.342,-0.19%,47804562
2015/4/30,48.7,49.54,48.6,48.64,41.98,-0.86%,64725457
2015/5/1,48.58,48.875,48.4,48.655,41.993,0.03%,38937336
2015/5/4,48.37,48.87,48.18,48.24,41.635,-0.85%,34039485
2015/5/5,47.82,48.16,47.31,47.6,41.082,-1.33%,50369191
2015/5/6,47.57,47.77,46.02,46.28,39.943,-2.77%,52433020
2015/5/7,46.27,47.085,46.16,46.7,40.306,0.91%,32971654
2015/5/8,47.55,47.98,47.52,47.75,41.212,2.25%,35364911
2015/5/11,47.55,47.91,47.37,47.37,40.884,-0.80%,24609416
2015/5/12,46.85,47.68,46.42,47.35,40.867,-0.04%,29928264
2015/5/13,48.19,48.32,47.57,47.625,41.104,0.58%,34184613
2015/5/14,48.03,48.82,48.03,48.72,42.049,2.30%,32980892
2015/5/15,48.87,48.905,48.05,48.295,41.682,-0.87%,28642694
2015/5/18,47.98,48.22,47.61,48.01,41.436,-0.59%,24136502
2015/5/19,47.56,47.81,47.18,47.58,41.333,-0.90%,28574813
2015/5/20,47.39,47.93,47.27,47.58,41.333,0.00%,25047919
2015/5/21,47.28,47.6,47.005,47.42,41.194,-0.34%,22410698
2015/5/22,47.3,47.35,46.82,46.9,40.742,-1.10%,25720583
2015/5/26,46.83,46.88,46.19,46.59,40.473,-0.66%,29581860
2015/5/27,46.82,47.77,46.62,47.61,41.359,2.19%,27335639
2015/5/28,47.5,48.02,47.39,47.45,41.22,-0.34%,19283666
2015/5/29,47.43,47.57,46.59,46.86,40.707,-1.24%,36519594
2015/6/1,47.06,47.77,46.62,47.23,41.029,0.79%,28837332
2015/6/2,46.93,47.35,46.62,46.92,40.759,-0.66%,21498326
2015/6/3,47.37,47.735,46.82,46.85,40.698,-0.15%,28002154
2015/6/4,46.79,47.16,46.2,46.36,40.273,-1.05%,27745512
2015/6/5,46.31,46.52,45.84,46.14,40.082,-0.47%,25438086
2015/6/8,46.3,46.43,45.67,45.73,39.726,-0.89%,22121634
2015/6/9,45.76,45.94,45.46,45.65,39.656,-0.17%,24406057
2015/6/10,45.79,46.83,45.69,46.61,40.49,2.10%,28417405
2015/6/11,46.66,46.92,46.13,46.44,40.342,-0.36%,27347758
2015/6/12,46.22,46.47,45.9,45.97,39.934,-1.01%,23930972
2015/6/15,45.45,45.65,45.02,45.475,39.504,-1.08%,33254517
2015/6/16,45.35,46.24,45.3,45.83,39.812,0.78%,27070306
2015/6/17,45.73,46.07,45.36,45.97,39.934,0.31%,28704061
2015/6/18,46.22,46.8,46.17,46.72,40.586,1.63%,32658343
2015/6/19,46.79,46.825,45.99,46.1,40.047,-1.33%,63837036
2015/6/22,46.33,46.72,46.16,46.23,40.16,0.28%,20318055
2015/6/23,46.13,46.28,45.62,45.91,39.882,-0.69%,25896473
2015/6/24,45.67,46.245,45.55,45.635,39.643,-0.60%,34890901
2015/6/25,46.03,46.06,45.5,45.65,39.656,0.03%,20615995
2015/6/26,45.65,46.28,45.03,45.26,39.317,-0.85%,49835287
2015/6/29,45.04,45.23,44.36,44.37,38.544,-1.97%,34081746
2015/6/30,44.71,44.72,43.94,44.15,38.353,-0.50%,35945384
2015/7/1,44.46,45.23,44.1,44.445,38.609,0.67%,28343907
2015/7/2,44.48,44.75,44.06,44.4,38.57,-0.10%,21752013
2015/7/6,43.96,44.48,43.95,44.39,38.562,-0.02%,23033961
2015/7/7,44.34,44.49,43.32,44.3,38.483,-0.20%,36435827
2015/7/8,44.44,44.9,44.03,44.24,38.431,-0.14%,39785901
2015/7/9,44.75,45.22,44.5,44.52,38.674,0.63%,32424672
2015/7/10,45.01,45.14,44.57,44.61,38.753,0.20%,25465757
2015/7/13,44.975,45.62,44.95,45.54,39.561,2.08%,28178329
2015/7/14,45.45,45.96,45.31,45.62,39.63,0.18%,22880260
2015/7/15,45.68,45.89,45.43,45.76,39.752,0.31%,26629615
2015/7/16,46.01,46.69,45.965,46.66,40.533,1.97%,26271673
2015/7/17,46.55,46.78,46.26,46.62,40.499,-0.09%,29467107
2015/7/20,46.65,47.13,46.44,46.92,40.759,0.64%,30631905
2015/7/21,46.78,47.33,46.48,47.28,41.072,0.77%,42781899
2015/7/22,45.44,46.93,45.203,45.54,39.561,-3.68%,59152427
2015/7/23,45.27,46.23,45.1,46.11,40.056,1.25%,33934010
2015/7/24,45.91,46.32,45.8,45.94,39.908,-0.37%,32333244
2015/7/27,45.94,46.01,45.25,45.35,39.395,-1.28%,39701420
2015/7/28,45.58,45.639,44.79,45.34,39.387,-0.02%,34328948
2015/7/29,45.4,46.78,45.26,46.29,40.212,2.10%,40945864
2015/7/30,46.26,47.4,45.93,46.88,40.725,1.27%,39777883
2015/7/31,47.29,47.37,46.5,46.7,40.568,-0.38%,31201480
2015/8/3,46.98,47,46.45,46.81,40.664,0.24%,24125886
2015/8/4,46.75,47.71,46.68,47.54,41.298,1.56%,33403916
2015/8/5,47.98,48.41,47.54,47.58,41.333,0.08%,26739584
2015/8/6,47.71,47.77,46.33,46.62,40.499,-2.02%,27368000
2015/8/7,46.39,46.78,46.26,46.74,40.603,0.26%,19163038
2015/8/10,46.95,47.49,46.84,47.33,41.115,1.26%,23079870
2015/8/11,46.82,46.94,45.9,46.41,40.316,-1.94%,29237402
2015/8/12,46.19,46.9,45.705,46.74,40.603,0.71%,30198532
2015/8/13,47.06,47.1,46.49,46.73,40.594,-0.02%,22627241
2015/8/14,46.53,47.1,46.52,47,40.829,0.58%,21473402
2015/8/17,46.81,47.45,46.57,47.32,41.107,0.68%,21099746
2015/8/18,46.84,47.43,46.7,47.27,41.333,-0.11%,23574104
2015/8/19,46.78,47.08,46.3,46.61,40.756,-1.40%,31485511
2015/8/20,46.07,46.47,45.66,45.66,39.925,-2.04%,36238227
2015/8/21,45.3,45.48,43.07,43.07,37.66,-5.67%,70053084
2015/8/24,40.45,43.31,39.72,41.68,36.445,-3.23%,88753660
2015/8/25,42.565,43.24,40.39,40.47,35.387,-2.90%,70616597
2015/8/26,42.01,42.84,41.06,42.71,37.345,5.53%,63407996
2015/8/27,43.14,43.95,42.925,43.9,38.386,2.79%,50943211
