Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,327.77,329.46,324.87,325.17,325.17,-1.06%,111200
2015/3/25,325.31,327.652,320.09,320.4,320.4,-1.47%,80400
2015/3/26,318.61,320.84,318.15,318.88,318.88,-0.47%,84400
2015/3/27,319.62,324.55,318.64,323.29,323.29,1.38%,60500
2015/3/30,323.89,327.67,323.57,324.83,324.83,0.48%,111000
2015/3/31,321.92,331.02,321.92,328.65,328.65,1.18%,156100
2015/4/1,327.42,327.42,320.54,325.09,325.09,-1.08%,127400
2015/4/2,323.31,326.7,319.7,321.47,321.47,-1.11%,141800
2015/4/6,320.29,327.02,320.29,326.16,326.16,1.46%,151800
2015/4/7,326.5,329.705,322.88,322.9,322.9,-1.00%,114200
2015/4/8,322.9,327.46,322.42,326.77,326.77,1.20%,126500
2015/4/9,325.95,329.42,324.26,329.23,329.23,0.75%,122200
2015/4/10,331.17,332.13,327.13,331.15,331.15,0.58%,71700
2015/4/13,331.34,333.47,327.1,327.6,327.6,-1.07%,103600
2015/4/14,327.74,328.135,323.71,324.5,324.5,-0.95%,89600
2015/4/15,325.41,328.26,325.27,327.09,327.09,0.80%,73700
2015/4/16,327.48,327.58,324.55,325.74,325.74,-0.41%,54800
2015/4/17,324.28,325.24,319.04,320.54,320.54,-1.60%,112500
2015/4/20,321.84,325.01,320.68,323.19,323.19,0.83%,104200
2015/4/21,325.08,325.08,322.52,323.48,323.48,0.09%,46600
2015/4/22,322.6,324.53,320.275,324.14,324.14,0.20%,71000
2015/4/23,324.24,326.65,323.07,324.36,324.36,0.07%,63000
2015/4/24,324.52,326.47,321.41,322.06,322.06,-0.71%,62000
2015/4/27,322.56,324.85,319.25,320.02,320.02,-0.63%,88500
2015/4/28,320.08,323.74,317.82,322.43,322.43,0.75%,70000
2015/4/29,321.4,322.84,318.17,320.56,320.56,-0.58%,125400
2015/4/30,318.08,323.77,315.19,317.01,317.01,-1.11%,185500
2015/5/1,318.18,322.12,317.31,320.5,320.5,1.10%,149400
2015/5/4,320.97,324.25,320.97,324.04,324.04,1.10%,84900
2015/5/5,322.59,324.87,318.95,321.23,321.23,-0.87%,146100
2015/5/6,321.32,323.68,319.275,323.39,323.39,0.67%,156500
2015/5/7,324.53,325.75,319.72,321.89,321.89,-0.46%,145000
