Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,28.11,28.35,27.88,27.96,27.367,-0.21%,15670770
2015/3/25,27.86,27.87,26.4,26.57,26.006,-4.97%,35874028
2015/3/26,25.76,27.17,25.61,26.66,26.094,0.34%,44702370
2015/3/27,26.93,27.14,26.05,26.675,26.109,0.06%,30908987
2015/3/30,26.73,26.96,26.46,26.68,26.114,0.02%,26142921
2015/3/31,26.71,27.31,26.61,27.13,26.554,1.69%,25292130
2015/4/1,27.13,27.35,26.77,27.13,26.554,0.00%,39424694
2015/4/2,27.75,27.76,26.71,26.725,26.158,-1.49%,41390489
2015/4/6,26.5,27.445,26.4,27.43,26.848,2.64%,22460891
2015/4/7,27.35,27.45,26.86,26.87,26.3,-2.04%,17820551
2015/4/8,26.58,27.353,26.49,27.13,26.554,0.97%,22105764
2015/4/9,27.07,27.86,27.01,27.815,27.225,2.52%,18660009
2015/4/10,27.8,28.17,27.8,28.02,27.426,0.74%,19698695
2015/4/13,28.02,28.15,27.78,27.88,27.289,-0.50%,13636811
2015/4/14,27.73,27.9,27.41,27.72,27.132,-0.57%,16671924
2015/4/15,28,28.45,27.88,28.17,27.572,1.62%,20138852
2015/4/16,27.9,28.18,27.77,28.01,27.416,-0.57%,16393469
2015/4/17,27.75,28.08,27.6,28.02,27.426,0.04%,18157111
2015/4/20,28.12,28.39,28.01,28.26,27.661,0.86%,19901015
2015/4/21,28.33,28.59,28.16,28.55,27.944,1.03%,22172036
2015/4/22,28.58,29.75,28.56,29.495,28.869,3.31%,29662827
2015/4/23,28.93,29.78,28.86,29.515,28.889,0.07%,22039721
2015/4/24,29.74,29.74,28.89,29.2,28.581,-1.07%,18764299
2015/4/27,29.25,29.66,29.14,29.265,28.644,0.22%,14871378
2015/4/28,29.22,29.45,28.76,28.99,28.375,-0.94%,12372032
2015/4/29,28.7,28.99,28.51,28.87,28.258,-0.41%,10964310
2015/4/30,28.79,28.85,27.85,28.13,27.533,-2.56%,18988895
2015/5/1,28.31,29.25,28.31,28.99,28.375,3.06%,16701132
2015/5/4,29.07,29.15,28.49,28.67,28.062,-1.10%,13909551
2015/5/5,28.27,28.36,27.83,28.04,27.445,-2.20%,19347341
2015/5/6,28.22,28.295,27.44,27.99,27.396,-0.18%,19770733
2015/5/7,27.8,27.9,26.89,27.27,26.692,-2.57%,29689317
2015/5/8,27.37,27.43,26.76,27.18,26.603,-0.33%,34955419
2015/5/11,27.13,28.09,26.86,27.75,27.161,2.10%,24591243
2015/5/12,27.55,27.58,26.86,26.87,26.3,-3.17%,19518832
2015/5/13,27.34,27.66,27.08,27.19,26.613,1.19%,17530501
2015/5/14,27.33,27.52,26.47,26.69,26.124,-1.84%,32201120
2015/5/15,26.53,26.63,26.01,26.33,25.771,-1.35%,25864856
2015/5/18,26.16,26.83,26.04,26.76,26.192,1.63%,20150040
2015/5/19,26.83,26.93,26.06,26.31,25.752,-1.68%,19527021
2015/5/20,26.47,26.99,26.255,26.59,26.026,1.06%,22866335
2015/5/21,26.62,27.14,26.34,26.9,26.329,1.17%,17258148
2015/5/22,27.225,27.65,27.21,27.33,26.75,1.60%,20360307
2015/5/26,27.22,27.48,27.03,27.32,26.74,-0.04%,14966606
2015/5/27,27.43,28.42,27.39,28.13,27.533,2.96%,23441799
2015/5/28,28.19,28.62,28.11,28.28,27.68,0.53%,18667001
2015/5/29,28.42,28.42,27.93,27.93,27.338,-1.24%,18451268
2015/6/1,27.96,28.53,27.81,28.42,27.817,1.75%,20206394
2015/6/2,28.36,28.41,27.77,27.79,27.2,-2.22%,18228003
2015/6/3,28,28.01,27.01,27.08,26.506,-2.55%,29623360
2015/6/4,26.9,27.24,26.71,26.985,26.413,-0.35%,22186159
2015/6/5,27,27,26.5,26.59,26.026,-1.46%,16585396
2015/6/8,26.51,26.63,25.8,25.92,25.37,-2.52%,23252583
2015/6/9,25.91,25.95,24.94,25.19,24.656,-2.82%,39816660
2015/6/10,25.52,25.59,25.03,25.19,24.656,0.00%,23802909
2015/6/11,25.2,25.39,24.97,25.02,24.489,-0.67%,25793546
