Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,52.69,52.96,52.06,52.28,52.28,-0.67%,1150340
2015/3/25,52.25,52.26,51.09,51.15,51.15,-2.16%,656145
2015/3/26,50.82,51.61,50.08,51.19,51.19,0.08%,983687
2015/3/27,51.73,54.19,51.7,53.82,53.82,5.14%,2319015
2015/3/30,54.9,55.35,53.105,53.275,53.275,-1.01%,1363448
2015/3/31,53.11,54.05,52.61,54.01,54.01,1.38%,1100343
2015/4/1,54.14,54.52,53.4,54.48,54.48,0.87%,1490335
2015/4/2,54.56,54.955,54.17,54.46,54.46,-0.04%,761602
2015/4/6,54.28,54.61,53.79,53.89,53.89,-1.05%,851141
2015/4/7,54.03,54.94,53.09,53.15,53.15,-1.37%,1003277
2015/4/8,53.36,54.77,53.28,54.76,54.76,3.03%,1118066
2015/4/9,54.83,55.13,54.45,54.81,54.81,0.09%,788528
2015/4/10,55,55.38,54.38,54.51,54.51,-0.55%,428509
2015/4/13,54.49,54.715,53.71,53.78,53.78,-1.34%,932272
2015/4/14,53.86,54.17,53.48,53.73,53.73,-0.09%,703045
2015/4/15,53.78,54.36,52.95,53.03,53.03,-1.30%,1249173
2015/4/16,53.06,53.39,52.72,53.135,53.135,0.20%,1029557
2015/4/17,52.73,52.862,52.1,52.21,52.21,-1.74%,827314
2015/4/20,50.75,51.95,50.6,51.26,51.26,-1.82%,2876600
2015/4/21,51.52,52.1,51.34,51.48,51.48,0.43%,1182377
2015/4/22,51.65,51.91,50.97,51.095,51.095,-0.75%,1444747
2015/4/23,51.24,51.935,50.865,51.66,51.66,1.11%,1051111
2015/4/24,51.67,51.9,51.22,51.41,51.41,-0.48%,704524
2015/4/27,51.54,51.75,50.16,50.2,50.2,-2.35%,670311
2015/4/28,50.31,50.6,49.01,50.17,50.17,-0.06%,1301594
2015/4/29,49.97,50.57,48.92,49,49,-2.33%,1104789
2015/4/30,48.83,49.51,48.08,48.51,48.51,-1.00%,1107814
2015/5/1,48.6,49.33,48.31,49.27,49.27,1.57%,677556
2015/5/4,49.48,50.04,48.95,49.16,49.16,-0.22%,572574
2015/5/5,48.92,49.14,48.32,48.37,48.37,-1.61%,703372
2015/5/6,48.09,48.89,48.03,48.7,48.7,0.68%,1319591
2015/5/7,49.18,53.18,48.77,52.23,52.23,7.25%,2612763
2015/5/8,53.13,54.51,52.76,54.1,54.1,3.58%,2162127
2015/5/11,54.21,54.49,53.08,53.23,53.23,-1.61%,1273158
2015/5/12,53.01,53.62,52.401,52.965,52.965,-0.50%,1096464
2015/5/13,53,53.53,52.53,52.68,52.68,-0.54%,566994
2015/5/14,53.09,54.76,52.92,54.65,54.65,3.74%,1006663
2015/5/15,54.87,55.38,54.84,55.36,55.36,1.30%,1065757
2015/5/18,55.36,56.07,55.152,55.49,55.49,0.23%,788430
2015/5/19,55.98,57.55,55.74,57.3,57.3,3.26%,1631623
2015/5/20,54.95,55.14,54.5,54.78,54.78,-4.40%,5622893
2015/5/21,54.8,55.005,54.6,54.68,54.68,-0.18%,2057708
2015/5/22,55.19,55.19,54.75,54.86,54.86,0.33%,1762392
2015/5/26,54.79,55.06,54.4,54.54,54.54,-0.58%,1423155
2015/5/27,54.71,54.99,54.5,54.83,54.83,0.53%,1104511
2015/5/28,54.79,54.89,54.515,54.75,54.75,-0.15%,1067712
2015/5/29,54.2,54.805,54.075,54.56,54.56,-0.35%,3731436
2015/6/1,54.82,55.24,54.2,54.76,54.76,0.37%,1048251
2015/6/2,54.52,54.97,54.34,54.56,54.56,-0.37%,1348615
2015/6/3,54.62,55.55,54.6,55.36,55.36,1.47%,1770547
2015/6/4,55.19,56.22,54.96,55.09,55.09,-0.49%,1421370
2015/6/5,55.39,55.39,54.4,55.13,55.13,0.07%,952040
2015/6/8,55,55.06,54.35,54.37,54.37,-1.38%,1001107
2015/6/9,54.2,54.92,53.68,54.825,54.825,0.84%,1443719
2015/6/10,55,55.23,54.67,54.74,54.74,-0.16%,938598
2015/6/11,54.93,55.185,54.645,54.95,54.95,0.38%,949515
2015/6/12,54.8,55.17,54.485,54.92,54.92,-0.05%,654535
2015/6/15,54.46,54.86,54.14,54.7,54.7,-0.40%,1074240
2015/6/16,54.97,55.06,54.5,54.99,54.99,0.53%,1031879
