Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,26.335,26.59,26.188,26.21,20.292,-0.85%,8434616
2015/3/25,26.21,26.307,25.855,25.855,20.017,-1.35%,6805256
2015/3/26,25.703,25.945,25.575,25.68,19.881,-0.68%,6851460
2015/3/27,25.74,26.008,25.685,25.885,20.04,0.80%,6068084
2015/3/30,26.083,26.265,25.945,26.185,20.272,1.16%,6351664
2015/3/31,26.113,26.248,25.848,26.013,20.139,-0.66%,9165316
2015/4/1,25.985,26.29,25.715,26.19,20.276,0.68%,7568448
2015/4/2,26.155,26.318,26.068,26.188,20.274,-0.01%,5280620
2015/4/6,26.305,26.658,26.283,26.385,20.427,0.75%,6706804
2015/4/7,26.353,26.44,26.048,26.073,20.185,-1.18%,4168044
2015/4/8,25.99,26.085,25.823,26.01,20.137,-0.24%,5710592
2015/4/9,25.97,26.025,25.735,26.003,20.131,-0.03%,5282592
2015/4/10,26.065,26.29,25.98,26.225,20.303,0.85%,3734096
2015/4/13,26.118,26.203,25.91,25.938,20.081,-1.09%,4787360
2015/4/14,26.038,26.198,25.978,26.09,20.199,0.59%,4171484
2015/4/15,26.158,26.408,26.038,26.045,20.164,-0.17%,6437208
2015/4/16,25.953,26.103,25.735,25.94,20.083,-0.40%,6770788
2015/4/17,25.818,26.06,25.688,25.788,19.965,-0.59%,5973796
2015/4/20,25.838,26.328,25.778,26.125,20.226,1.31%,9675848
2015/4/21,26.125,26.295,25.788,25.85,20.013,-1.05%,7843148
2015/4/22,25.908,25.97,25.665,25.823,19.992,-0.10%,7294156
2015/4/23,25.85,26.148,25.79,26.07,20.183,0.96%,6742420
2015/4/24,26.053,26.448,25.975,26.263,20.332,0.74%,6124052
2015/4/27,26.36,26.363,25.86,25.955,20.094,-1.17%,7215328
2015/4/28,25.823,26.129,25.738,26.025,20.148,0.27%,8059076
2015/4/29,25.808,26.14,25.593,25.675,19.877,-1.34%,9267620
2015/4/30,25.58,25.725,25.063,25.233,19.535,-1.72%,15061860
2015/5/1,25.25,25.5,25.05,25.47,19.719,0.94%,9091796
2015/5/4,25.463,25.985,25.345,25.69,19.889,0.86%,12277236
2015/5/5,25.558,25.633,24.889,25.038,19.384,-2.54%,12636448
2015/5/6,24.995,25.188,24.778,25.008,19.361,-0.12%,12165028
2015/5/7,25.168,25.243,25.028,25.15,19.471,0.57%,8713180
2015/5/8,25.495,25.718,25.1,25.303,19.589,0.61%,9937916
2015/5/11,25.25,25.465,24.968,25.003,19.357,-1.19%,8073300
2015/5/12,24.903,25.09,24.705,24.978,19.337,-0.10%,8227784
2015/5/13,25.035,25.345,24.93,25.05,19.394,0.29%,9204340
2015/5/14,25.145,25.315,25.118,25.27,19.564,0.88%,7293512
2015/5/15,25.308,25.558,25.3,25.535,19.769,1.05%,11760736
2015/5/18,25.46,25.71,25.435,25.575,19.8,0.16%,7813604
2015/5/19,25.388,25.763,25.305,25.628,19.841,0.21%,6118152
2015/5/20,25.633,25.85,25.563,25.63,19.843,0.01%,7882064
2015/5/21,25.625,25.688,25.468,25.54,19.773,-0.35%,5361128
2015/5/22,25.518,25.628,25.38,25.558,19.786,0.07%,5525384
2015/5/26,25.558,25.568,25.1,25.258,19.554,-1.17%,13742684
2015/5/27,25.125,25.35,25.078,25.208,19.665,-0.20%,8504732
2015/5/28,25.188,25.581,25.188,25.568,19.945,1.43%,10481428
2015/5/29,25.535,25.693,25.363,25.585,19.959,0.07%,11191840
2015/6/1,25.638,26.095,25.61,25.883,20.191,1.16%,12547144
2015/6/2,25.698,25.748,25.405,25.555,19.936,-1.27%,9636588
2015/6/3,25.43,25.603,24.995,25.055,19.546,-1.96%,11419052
2015/6/4,24.965,25.223,24.938,25.093,19.575,0.15%,8868020
2015/6/5,24.828,24.833,24.635,24.693,19.263,-1.59%,9624144
2015/6/8,24.67,24.718,24.528,24.53,19.136,-0.66%,7328056
2015/6/9,24.533,24.658,24.518,24.548,19.15,0.07%,5774492
2015/6/10,24.693,24.868,24.675,24.78,19.331,0.95%,10831424
2015/6/11,24.905,24.985,24.783,24.918,19.438,0.56%,5803648
2015/6/12,24.795,24.958,24.753,24.81,19.354,-0.43%,4722968
2015/6/15,24.623,24.913,24.623,24.78,19.331,-0.12%,6126164
2015/6/16,24.783,24.943,24.648,24.883,19.411,0.42%,5038864
2015/6/17,24.873,25.245,24.773,25.175,19.639,1.17%,8509844
2015/6/18,25.198,25.6,25.16,25.565,19.943,1.55%,8681464
2015/6/19,25.56,25.62,25.24,25.24,19.69,-1.27%,8404148
2015/6/22,25.368,25.4,25.135,25.19,19.651,-0.20%,4985308
2015/6/23,25.15,25.22,24.805,24.823,19.364,-1.46%,6798896
2015/6/24,24.853,24.978,24.633,24.633,19.216,-0.77%,6317528
2015/6/25,24.713,24.758,24.465,24.498,19.111,-0.55%,5919232
2015/6/26,24.475,24.698,24.308,24.675,19.249,0.72%,6910792
2015/6/29,24.428,24.953,24.428,24.543,19.146,-0.53%,8041492
2015/6/30,24.645,24.76,24.451,24.508,19.118,-0.14%,10800848
2015/7/1,24.603,24.698,24.48,24.608,19.196,0.41%,7578616
2015/7/2,24.743,25.143,24.738,25.055,19.546,1.82%,8877944
2015/7/6,25.005,25.215,24.835,25.115,19.592,0.24%,6876452
2015/7/7,25.063,25.925,25.063,25.72,20.064,2.41%,12375744
2015/7/8,25.6,25.728,25.488,25.488,19.883,-0.90%,10838572
2015/7/9,25.565,25.705,25.205,25.295,19.733,-0.76%,11294588
2015/7/10,25.288,25.569,25.135,25.41,19.822,0.45%,6037056
2015/7/13,25.503,25.603,25.33,25.493,19.887,0.33%,5685128
2015/7/14,25.49,25.635,25.408,25.498,19.891,0.02%,4930908
2015/7/15,25.51,25.695,25.355,25.693,20.043,0.76%,5037340
2015/7/16,25.7,26.231,25.678,26.108,20.367,1.62%,9913208
2015/7/17,26.108,26.128,25.873,25.913,20.215,-0.75%,6275300
2015/7/20,25.933,25.995,25.675,25.788,20.117,-0.48%,8994544
2015/7/21,25.785,25.87,25.445,25.533,19.918,-0.99%,8643208
2015/7/22,25.545,25.855,25.535,25.7,20.049,0.65%,8381772
2015/7/23,25.7,25.713,25.305,25.518,19.906,-0.71%,7789812
2015/7/24,25.458,25.705,25.443,25.57,19.947,0.20%,4232052
2015/7/27,25.61,25.97,25.603,25.875,20.185,1.19%,5823356
2015/7/28,25.863,26.065,25.755,26.023,20.3,0.57%,11233516
2015/7/29,25.935,26.17,25.763,26.148,20.398,0.48%,8348956
2015/7/30,26.055,26.325,25.988,26.223,20.456,0.29%,7009344
2015/7/31,26.425,26.58,26.265,26.3,20.517,0.29%,10186136
2015/8/3,27.12,27.328,26.639,26.928,21.006,2.39%,18270152
2015/8/4,26.93,26.995,26.595,26.635,20.778,-1.09%,12734892
2015/8/5,26.73,26.785,26.485,26.49,20.665,-0.54%,7536892
2015/8/6,26.563,26.581,26.323,26.438,20.624,-0.20%,11786468
2015/8/7,26.435,26.913,26.31,26.75,20.868,1.18%,6700928
2015/8/10,26.773,26.873,26.508,26.633,20.776,-0.44%,12003316
2015/8/11,26.668,27.023,26.53,26.658,20.796,0.09%,7881892
2015/8/12,26.588,27.143,26.5,27.1,21.141,1.66%,14127756
2015/8/13,27.095,27.303,26.805,27.23,21.242,0.48%,7236248
2015/8/14,27.183,27.265,26.978,27.26,21.266,0.11%,5754032
2015/8/17,27.308,27.495,27.275,27.383,21.361,0.45%,5935504
2015/8/18,27.298,27.468,27.18,27.378,21.357,-0.02%,7287476
2015/8/19,27.253,27.403,26.995,27.268,21.272,-0.40%,9688496
2015/8/20,27.135,27.418,27.045,27.063,21.112,-0.75%,8223672
2015/8/21,26.963,27.063,26.698,26.74,20.86,-1.19%,11028056
2015/8/24,25.753,26.468,25,25.76,20.096,-3.66%,19775416
2015/8/25,26.175,26.208,25.11,25.128,19.602,-2.45%,15192208
2015/8/26,25.283,25.484,24.918,25.415,19.977,1.14%,13412180
2015/8/27,25.585,25.657,25.25,25.565,20.094,0.59%,12068632
2015/8/28,25.525,25.605,25.145,25.455,20.008,-0.43%,9229956
2015/8/31,25.325,25.369,24.405,24.603,19.338,-3.35%,20435188
2015/9/1,24.33,24.358,23.663,23.838,18.737,-3.11%,14461592
2015/9/2,24.075,24.105,23.588,23.76,18.676,-0.33%,13195552
2015/9/3,23.878,24,23.683,23.793,18.701,0.14%,10100560
2015/9/4,23.55,23.815,23.51,23.655,18.593,-0.58%,11545716
2015/9/8,23.95,24.288,23.925,24.273,19.079,2.61%,11685760
2015/9/9,24.458,24.483,23.785,23.825,18.727,-1.85%,9558088
2015/9/10,23.798,24.04,23.75,23.838,18.737,0.05%,9980372
2015/9/11,23.448,23.983,23.435,23.963,18.835,0.52%,18495680
2015/9/14,23.965,24.185,23.895,24.033,18.89,0.29%,12264504
2015/9/15,24.053,24.094,23.813,24.058,18.91,0.10%,13068388
2015/9/16,24.078,24.458,24.075,24.378,19.161,1.33%,11133468
2015/9/17,24.338,25.055,24.3,24.675,19.395,1.22%,11973920
2015/9/18,24.685,24.983,24.315,24.323,19.118,-1.43%,25546080
2015/9/21,24.378,24.645,24.353,24.513,19.267,0.78%,7882792
2015/9/22,24.32,24.48,24.145,24.263,19.071,-1.02%,10011788
2015/9/23,24.278,24.358,24.165,24.245,19.057,-0.07%,6479640
2015/9/24,24.153,24.415,24.118,24.38,19.163,0.56%,11708296
2015/9/25,24.433,24.895,24.293,24.653,19.377,1.12%,7595888
2015/9/28,24.61,24.763,24.325,24.388,19.169,-1.07%,8849512
2015/9/29,24.383,24.545,24.108,24.198,19.02,-0.78%,13321876
2015/9/30,24.155,24.413,24.155,24.388,19.169,0.79%,15085180
2015/10/1,24.448,24.465,23.96,24.138,18.972,-1.03%,12829736
2015/10/2,24.275,24.655,24.15,24.635,19.363,2.06%,11294492
2015/10/5,24.738,25.193,24.638,25.18,19.792,2.21%,10323424
2015/10/6,25.103,25.103,24.875,24.963,19.621,-0.86%,7887896
2015/10/7,25.013,25.21,24.938,24.983,19.637,0.08%,2014412
2015/10/8,24.89,25.243,24.803,25.213,19.817,0.92%,2088956
2015/10/9,25.2,25.303,25.06,25.263,19.857,0.20%,6959120
2015/10/12,25.263,25.53,25.25,25.363,19.935,0.40%,7199116
2015/10/13,25.318,25.465,25.238,25.31,19.894,-0.21%,5058776
2015/10/14,25.333,25.44,25.173,25.233,19.833,-0.30%,4806612
2015/10/15,25.358,25.843,25.313,25.8,20.279,2.25%,7179088
