Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,23.17,23.2,22.78,22.86,18.071,-1.21%,6394046
2015/3/25,23.03,23.2,22.47,22.48,17.771,-1.66%,5973654
2015/3/26,22.92,23.08,21.93,22.16,17.518,-1.42%,7907348
2015/3/27,22.19,22.51,22.08,22.23,17.573,0.32%,5659656
2015/3/30,21.94,22.265,21.75,22.02,17.407,-0.94%,3584892
2015/3/31,22.12,22.21,21.68,21.71,17.162,-1.41%,5269203
2015/4/1,21.83,22.77,21.79,22.72,17.961,4.65%,6842522
2015/4/2,22.68,22.91,22.15,22.34,17.66,-1.67%,6505052
2015/4/6,23.02,23.095,22.49,22.58,17.85,1.07%,8637113
2015/4/7,22.49,22.53,22.14,22.17,17.526,-1.82%,6258442
2015/4/8,22.33,22.38,21.84,22.08,17.455,-0.41%,5819037
2015/4/9,21.89,22.34,21.76,22.23,17.573,0.68%,5125425
2015/4/10,22.52,22.61,22.28,22.33,17.652,0.45%,4290524
2015/4/13,22.67,22.82,22.43,22.57,17.842,1.07%,6968223
2015/4/14,22.59,22.89,22.52,22.82,18.04,1.11%,5499405
2015/4/15,22.9,23.56,22.83,23.55,18.617,3.20%,9440771
2015/4/16,23.67,24.04,23.53,23.62,18.672,0.30%,6928613
2015/4/17,23.65,23.94,23.44,23.57,18.632,-0.21%,4912096
2015/4/20,23.4,23.61,23.31,23.52,18.593,-0.21%,5034611
2015/4/21,23.47,23.6,23.27,23.51,18.585,-0.04%,3883842
2015/4/22,23.4,23.49,22.58,22.77,18,-3.15%,5681212
2015/4/23,23.02,23.55,22.88,23.45,18.538,2.99%,6326916
2015/4/24,24.33,25.38,24.25,24.98,19.747,6.52%,12018899
2015/4/27,25.47,26.36,25.27,25.59,20.229,2.44%,11701781
2015/4/28,25.75,26.38,25.67,26.35,20.83,2.97%,7311021
2015/4/29,26.28,26.79,26.09,26.48,20.933,0.49%,8159091
2015/4/30,25.92,26.53,25.6,26.49,20.941,0.04%,6897195
2015/5/1,26.17,26.53,26.12,26.49,20.941,0.00%,4582092
2015/5/4,26.66,26.8,25.97,26.05,20.593,-1.66%,5824243
2015/5/5,26.74,26.74,25.75,25.95,20.514,-0.38%,5919492
2015/5/6,26.19,26.23,25.545,25.65,20.277,-1.16%,4704528
2015/5/7,25.31,25.84,25.3,25.82,20.411,0.66%,6652034
2015/5/8,25.96,26.32,25.74,26.04,20.585,0.85%,4377481
2015/5/11,26.17,26.38,25.96,26.36,20.838,1.23%,5557054
2015/5/12,26.62,26.66,26.35,26.65,21.067,1.10%,5909101
2015/5/13,27.03,27.64,26.96,27.31,21.589,2.48%,11211795
2015/5/14,27.53,27.77,27.15,27.2,21.502,-0.40%,4711620
2015/5/15,27.08,27.79,26.99,27.69,21.889,1.80%,7154739
2015/5/18,27.64,27.715,27.38,27.55,21.779,-0.51%,3465918
2015/5/19,27.18,27.45,26.98,27.05,21.383,-1.81%,8448438
2015/5/20,27.15,27.9,27.12,27.66,21.866,2.26%,5589132
2015/5/21,27.62,27.64,26.85,27,21.344,-2.39%,4965097
2015/5/22,26.92,27.27,26.84,27.01,21.352,0.04%,3198109
2015/5/26,26.62,26.715,26.1,26.55,20.988,-1.70%,5750719
2015/5/27,26.64,27.09,26.41,27.03,21.368,1.81%,4155407
2015/5/28,27.08,27.51,26.77,27.47,21.715,1.63%,7655976
2015/5/29,27.4,27.56,27.18,27.24,21.534,-0.84%,5183098
2015/6/1,27.35,27.48,27.005,27.17,21.478,-0.26%,3644824
2015/6/2,27.3,27.34,26.93,26.95,21.304,-0.81%,4595095
2015/6/3,26.86,27.01,26.14,26.38,20.854,-2.12%,7394390
2015/6/4,26.12,26.81,26.01,26.8,21.186,1.59%,5709673
2015/6/5,26.42,26.45,25.48,25.91,20.482,-3.32%,6117600
2015/6/8,25.96,25.97,25.6,25.84,20.427,-0.27%,3283767
2015/6/9,25.42,25.9,24.37,24.41,19.316,-5.53%,13320746
2015/6/10,24.03,24.13,23.65,23.7,18.754,-2.91%,38742225
2015/6/11,23.66,23.84,23.49,23.66,18.723,-0.17%,11342172
2015/6/12,23.56,23.86,23.46,23.55,18.636,-0.46%,8713357
2015/6/15,23.54,24.47,23.5,24.03,19.016,2.04%,11170031
2015/6/16,24.03,24.15,23.88,23.94,18.944,-0.37%,5179818
2015/6/17,24.04,24.66,23.635,24.53,19.411,2.46%,9398926
2015/6/18,24.94,25.09,24.79,25,19.783,1.92%,7229359
2015/6/19,24.95,25.065,24.45,24.65,19.506,-1.40%,9280148
2015/6/22,24.27,24.29,23.87,23.95,18.952,-2.84%,6546023
2015/6/23,23.92,24.41,23.91,24.13,19.095,0.75%,6100299
2015/6/24,24.21,24.39,23.985,24.12,19.087,-0.04%,3704935
2015/6/25,24.11,24.17,23.81,23.94,18.944,-0.75%,4113679
2015/6/26,23.88,24.05,23.73,23.83,18.857,-0.46%,3064705
2015/6/29,23.91,24.02,23.43,23.53,18.62,-1.26%,4722220
2015/6/30,23.41,23.605,23.1,23.36,18.485,-0.72%,5751521
2015/7/1,23.25,23.4,22.95,23.13,18.303,-0.98%,5159738
2015/7/2,23.3,23.705,23.2,23.67,18.731,2.33%,4138079
2015/7/6,23.47,24.07,23.44,23.86,18.881,0.80%,4706195
2015/7/7,23.33,23.47,22.4,22.41,17.734,-6.08%,10422886
2015/7/8,22.55,22.785,22.4,22.52,17.821,0.49%,5278117
2015/7/9,22.81,22.9,22.36,22.59,17.876,0.31%,3421179
2015/7/10,22.75,22.92,22.43,22.52,17.821,-0.31%,3260391
2015/7/13,22.32,22.555,21.84,22.5,17.805,-0.09%,5319312
2015/7/14,22.5,22.61,22.1,22.15,17.528,-1.56%,6344983
2015/7/15,22.08,22.15,21.77,21.8,17.251,-1.58%,4801446
2015/7/16,21.7,21.76,21.33,21.38,16.919,-1.93%,6842056
2015/7/17,21.16,21.2,20.65,20.69,16.373,-3.23%,7170718
2015/7/20,19.96,20,18.12,18.16,14.37,-12.23%,20495762
2015/7/21,18.54,19.08,18.31,18.74,14.829,3.19%,14139177
2015/7/22,18.32,18.93,18.22,18.52,14.655,-1.17%,9766302
2015/7/23,18.72,18.74,17.59,17.6,13.927,-4.97%,14277032
2015/7/24,17.52,17.95,17.36,17.8,14.086,1.14%,16378166
2015/7/27,17.68,18.15,17.1,17.22,13.627,-3.26%,11115033
2015/7/28,17.44,17.69,17.15,17.64,13.959,2.44%,10645587
2015/7/29,17.73,17.87,17.25,17.67,13.983,0.17%,11012079
2015/7/30,17.35,17.71,17.05,17.29,13.682,-2.15%,8478910
2015/7/31,17.8,17.8,17.11,17.17,13.587,-0.69%,10194085
2015/8/3,17.09,17.2,16.39,16.42,12.994,-4.37%,9042095
2015/8/4,16.62,16.84,16.22,16.4,12.978,-0.12%,9922497
