Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,43.58,43.8,43.07,43.09,11.915,-1.44%,1516057
2015/3/25,43.27,43.52,42.99,43.09,11.915,0,2804583
2015/3/26,43.1,43.34,42.78,42.8,11.834,-0.67%,2023000
2015/3/27,42.67,44.15,42.55,43.92,12.144,2.62%,2976383
2015/3/30,44,44.35,43.75,44.18,12.216,0.59%,1981867
2015/3/31,44.18,44.635,43.878,44.16,12.21,-0.05%,2902503
2015/4/1,44.06,44.45,43.5,44.25,12.235,0.20%,2601680
2015/4/2,44.31,44.86,44.07,44.16,12.21,-0.20%,2338693
2015/4/6,44.37,44.94,44.18,44.67,12.351,1.15%,1240203
2015/4/7,44.57,44.64,44.18,44.2,12.222,-1.05%,1666666
2015/4/8,44.32,44.365,43.83,44.03,12.175,-0.38%,1553069
2015/4/9,43.92,43.92,43.4,43.63,12.064,-0.91%,1250947
2015/4/10,43.77,43.98,43.41,43.88,12.133,0.57%,1313473
2015/4/13,43.94,43.94,43.22,43.22,11.951,-1.50%,1615957
2015/4/14,43.33,43.54,43.07,43.29,11.97,0.16%,2398769
2015/4/15,43.39,43.88,43.26,43.76,12.1,1.09%,2254255
2015/4/16,43.64,43.68,42.95,43.33,11.981,-0.98%,2292412
2015/4/17,42.95,43.32,42.8,43.15,11.931,-0.42%,2253327
2015/4/20,43.32,43.82,43.19,43.51,12.031,0.83%,2724865
2015/4/21,43.63,44.22,43.5,43.68,12.078,0.39%,2272477
2015/4/22,43.89,44.44,43.54,44.19,12.219,1.17%,2197813
2015/4/23,44.21,44.86,44.21,44.59,12.329,0.91%,1695761
2015/4/24,44.57,45.25,44.57,44.87,12.407,0.63%,1528410
2015/4/27,45,45,44.1,44.4,12.277,-1.05%,1767908
2015/4/28,43.9,44.51,43.8,44.3,12.321,-0.23%,1883518
2015/4/29,44.03,44.14,43.71,44,12.238,-0.68%,1571592
2015/4/30,44.02,44.5,43.13,43.42,12.076,-1.32%,2336986
2015/5/1,43.48,43.91,43.2,43.86,12.199,1.01%,2057228
2015/5/4,43.88,44.61,43.88,44.14,12.277,0.64%,1078531
2015/5/5,44.06,44.13,42.89,43.12,11.993,-2.31%,1858646
2015/5/6,43.23,43.42,42.25,42.86,11.921,-0.60%,2275327
2015/5/7,42.96,43.3,42.89,43.03,11.968,0.40%,1372423
2015/5/8,43.61,44.42,43.56,44.07,12.257,2.42%,2608621
2015/5/11,44.34,45.08,44.16,44.38,12.343,0.70%,2633024
2015/5/12,44.16,44.58,43.84,44.46,12.366,0.18%,2855594
2015/5/13,44.58,44.85,43.81,43.94,12.221,-1.17%,3202996
2015/5/14,44.14,44.84,44.05,44.16,12.282,0.50%,2776708
2015/5/15,44.18,45.49,44.08,45.48,12.649,2.99%,2892686
2015/5/18,45.2,46.6,45.1,46.58,12.955,2.42%,3878293
2015/5/19,46.21,47.1,46.14,46.93,13.053,0.75%,2618091
2015/5/20,46.96,47.79,46.83,47.21,13.13,0.60%,3744133
2015/5/21,47.08,47.42,46.74,47.09,13.097,-0.25%,2310738
2015/5/22,47.11,47.63,46.81,47.32,13.161,0.49%,1987258
2015/5/26,47.22,47.26,46.86,47.04,13.083,-0.59%,3047136
2015/5/27,47.07,47.21,46.725,46.85,13.03,-0.40%,1854586
2015/5/28,46.85,47.41,46.51,47.36,13.172,1.09%,1760478
2015/5/29,47.31,47.53,47.09,47.18,13.122,-0.38%,1935757
2015/6/1,47.14,47.42,47.02,47.06,13.089,-0.25%,1289436
2015/6/2,46.81,46.83,46.14,46.52,12.939,-1.15%,1639396
2015/6/3,46.52,46.68,45.83,46.04,12.805,-1.03%,1953217
2015/6/4,45.83,46.24,45.64,45.68,12.705,-0.78%,1347752
2015/6/5,45.19,45.42,44.77,45.29,12.596,-0.85%,1451050
2015/6/8,45.32,45.54,44.98,45.01,12.519,-0.62%,1729322
2015/6/9,45.03,45.33,44.96,45.06,12.532,0.11%,1057107
2015/6/10,45.37,45.81,45.21,45.64,12.694,1.29%,1426181
2015/6/11,45.89,46.37,45.711,46.35,12.891,1.56%,2356954
