Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,162.06,163.183,161.2,162.09,137.794,-0.39%,953527
2015/3/25,162.43,162.68,159.18,159.19,135.329,-1.79%,1189992
2015/3/26,158.06,159.92,157.11,159.31,135.431,0.08%,1158362
2015/3/27,159.14,160.87,158.899,160.48,136.426,0.73%,1436545
2015/3/30,161.15,163.57,160.785,162.68,138.296,1.37%,1042325
2015/3/31,161.94,162.87,160.96,160.96,136.834,-1.06%,1176283
2015/4/1,160.09,161.29,158.11,160.55,136.485,-0.25%,1449797
2015/4/2,160.67,162.78,160.28,161.63,137.403,0.67%,911736
2015/4/6,160.52,163.34,160.37,162.76,138.364,0.70%,1261287
2015/4/7,162.7,164.63,162.61,162.91,138.491,0.09%,961921
2015/4/8,162.32,164.88,162.085,164.21,139.597,0.80%,1021617
2015/4/9,163.76,165.21,163.08,164.57,139.903,0.22%,743514
2015/4/10,164.75,165.95,164.13,165.35,140.566,0.47%,630619
2015/4/13,165,165.93,163.56,163.58,139.061,-1.07%,948882
2015/4/14,163.43,164.37,162.17,163.24,138.772,-0.21%,696223
2015/4/15,163.84,164.43,162.9,163.24,138.772,0.00%,642011
2015/4/16,162.74,164.19,161.85,163.38,138.891,0.09%,913618
2015/4/17,162.2,162.29,159.7,160.16,136.154,-1.97%,1127236
2015/4/20,161.18,163.23,160.89,162.69,138.304,1.58%,846406
2015/4/21,163.72,163.84,162.091,162.49,138.134,-0.12%,986216
2015/4/22,162.37,162.53,160.65,162.08,137.786,-0.25%,772211
2015/4/23,161.535,163.94,161.15,162.83,138.423,0.46%,866739
2015/4/24,162.5,162.7,161.26,161.78,137.531,-0.64%,629147
2015/4/27,162.05,162.93,160.03,160.13,136.128,-1.02%,1231522
2015/4/28,160.01,160.95,158.91,160.51,136.451,0.24%,1132272
2015/4/29,162.05,163.38,158.35,159.14,135.287,-0.85%,1397336
2015/4/30,158.18,158.84,152.78,154.04,130.951,-3.20%,2465313
2015/5/1,154.87,156.06,154.29,156.01,132.626,1.28%,1136507
2015/5/4,156.18,157.43,155.53,155.83,132.473,-0.12%,1029019
2015/5/5,155.68,156.49,152.69,153.28,130.305,-1.64%,1244485
2015/5/6,154,154.68,152.44,153.3,130.322,0.01%,1262455
2015/5/7,153.3,154.14,152.7,153.46,130.458,0.10%,1075113
2015/5/8,155,156.55,154.755,156.31,132.881,1.86%,934180
2015/5/11,156.25,157.52,156.01,156.35,132.915,0.03%,746478
2015/5/12,155.95,156,154.69,155.44,132.141,-0.58%,947716
2015/5/13,155.38,156.17,155.11,155.22,131.954,-0.14%,823504
2015/5/14,156.59,157.88,156.05,157.67,134.037,1.58%,917296
2015/5/15,157.71,158.87,157.33,158.01,134.326,0.22%,667775
2015/5/18,157.91,158.65,157.49,158.02,134.334,0.01%,704803
2015/5/19,158,159.44,157.62,158.93,135.108,0.58%,954788
2015/5/20,159.43,160.36,158.5,159.62,135.695,0.43%,1093919
2015/5/21,160.25,161.79,160.04,161.18,137.021,0.98%,1079949
2015/5/22,160.73,161.05,159.58,160,136.018,-0.73%,956696
2015/5/26,159.92,159.92,158.05,158.47,134.717,-0.96%,861433
2015/5/27,159.37,159.65,158.09,159.32,135.44,0.54%,865545
2015/5/28,158,160.58,157.66,160.48,137.106,0.73%,1256126
2015/5/29,159.9,160.738,158.27,159.18,135.995,-0.81%,1909160
2015/6/1,159.09,160.78,158.3,159.94,136.644,0.48%,1329728
2015/6/2,159.21,161.25,157.44,160.35,136.995,0.26%,1258563
2015/6/3,160.57,161.44,159.83,160.26,136.918,-0.06%,1189132
2015/6/4,158.87,160.35,157.8,158.12,135.089,-1.34%,947769
2015/6/5,157.47,157.78,156.51,157.29,134.38,-0.52%,928705
2015/6/8,157.03,157.65,156.49,156.66,133.842,-0.40%,942745
2015/6/9,156.94,157.78,156.181,157.22,134.321,0.36%,938044
2015/6/10,157.84,159.11,156.436,158.56,135.465,0.85%,1271383
2015/6/11,158.82,161.05,158.77,160.77,137.353,1.39%,923906
2015/6/12,159.61,161.36,159.1,161.06,137.601,0.18%,1027364
2015/6/15,159.67,160.55,159,159.96,136.661,-0.68%,924147
2015/6/16,159.04,163.5,159.04,161.49,137.969,0.96%,871664
2015/6/17,162,163.38,161.121,162.87,139.148,0.85%,831404
2015/6/18,163.28,165.92,163.22,165.16,141.104,1.41%,1150410
2015/6/19,164.5,165.97,164.5,165.05,141.01,-0.07%,1943442
2015/6/22,165.79,166.55,165.35,165.47,141.369,0.25%,960364
2015/6/23,165.66,166.21,163.73,164.37,140.429,-0.66%,1249963
2015/6/24,164.24,164.68,162.89,163.21,139.438,-0.71%,869083
2015/6/25,163.62,164.1,162.01,162.13,138.515,-0.66%,891026
2015/6/26,162.42,162.84,161.45,161.77,138.208,-0.22%,2037549
2015/6/29,160.8,161.58,158.64,158.68,135.568,-1.91%,1055372
2015/6/30,159.99,160.24,158.16,158.63,135.525,-0.03%,900571
2015/7/1,159.64,160.51,159.04,160.1,136.781,0.93%,734427
2015/7/2,160.66,161.225,158.42,159.5,136.268,-0.37%,975920
2015/7/6,158.35,159.59,158.1,159.25,136.055,-0.16%,968219
2015/7/7,159.83,161.51,158.13,161.39,137.883,1.34%,986534
2015/7/8,160.22,161.75,160.175,160.66,137.26,-0.45%,888493
2015/7/9,163.01,164,162.55,162.69,138.994,1.26%,1228788
2015/7/10,164.3,165.95,163.68,165.37,141.283,1.65%,1167068
2015/7/13,167.02,167.62,166,167.3,142.932,1.17%,942862
2015/7/14,167.16,168.82,167.04,168.49,143.949,0.71%,1170089
2015/7/15,168.21,169.05,167.74,168.59,144.034,0.06%,991036
2015/7/16,169.32,170.07,168.47,169.86,145.12,0.75%,876956
2015/7/17,169.21,169.97,168.31,168.99,144.376,-0.51%,792086
2015/7/20,169.54,170.35,168.98,169.83,145.094,0.50%,877764
2015/7/21,169.11,169.47,165.98,166.77,142.48,-1.80%,833758
2015/7/22,166.75,167.24,165.75,166.28,142.061,-0.29%,905427
2015/7/23,166.61,167.59,165.14,165.5,141.395,-0.47%,1222635
2015/7/24,165.59,165.98,164.19,164.8,140.797,-0.42%,665470
2015/7/27,163.92,164.25,162.16,162.56,138.883,-1.36%,970453
2015/7/28,163.41,164.58,162,163.34,139.549,0.48%,1583896
2015/7/29,170.6,176.5,167.18,173.44,148.178,6.18%,3107157
2015/7/30,172.86,176.02,172.36,175.41,149.861,1.14%,1656804
2015/7/31,175.85,175.85,172.73,173.01,147.811,-1.37%,1742339
