Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,79.28,80.39,79.05,79.25,79.25,-0.04%,654940
2015/3/25,79.49,79.49,76.11,76.2,76.2,-3.85%,1430948
2015/3/26,75.56,77.68,75,77.03,77.03,1.09%,1620989
2015/3/27,77.31,78.8,76.9,78.47,78.47,1.87%,782538
2015/3/30,78.96,80,78.83,79.44,79.44,1.24%,611638
2015/3/31,79.26,80.04,78.61,78.78,78.78,-0.83%,975037
2015/4/1,78.55,78.77,75.126,75.65,75.65,-3.97%,1987612
2015/4/2,75.75,76.23,75.14,76.12,76.12,0.62%,1129214
2015/4/6,76.93,79.1,75.98,78.24,78.24,2.79%,1790022
2015/4/7,78.69,79.95,78.325,78.47,78.47,0.29%,842051
2015/4/8,78.76,81,78.76,80.84,80.84,3.02%,1137380
2015/4/9,80.72,81.9,79.78,81.74,81.74,1.11%,872934
2015/4/10,81.77,82.36,81.11,82.34,82.34,0.73%,698868
2015/4/13,82.79,83.52,80.66,80.73,80.73,-1.96%,1218535
2015/4/14,80.74,81.09,79.505,80.2,80.2,-0.66%,1003516
2015/4/15,80.46,80.95,79.71,80.75,80.75,0.69%,1159462
2015/4/16,80.36,83.45,80.305,82.84,82.84,2.59%,4304118
2015/4/17,74.75,74.99,70.32,73.29,73.29,-11.53%,13045337
2015/4/20,73.6,75.66,72.78,74.64,74.64,1.84%,3783547
2015/4/21,75.51,77.81,75.51,77.5,77.5,3.83%,3631247
2015/4/22,77.93,78.23,76.7,77.72,77.72,0.28%,2243700
2015/4/23,77.1,77.71,76.75,76.88,76.88,-1.08%,1803694
2015/4/24,77.31,77.345,76.01,76.09,76.09,-1.03%,1380861
2015/4/27,76.79,76.79,74.42,74.76,74.76,-1.75%,1342558
2015/4/28,74.98,75.96,74,74.99,74.99,0.31%,1127210
2015/4/29,74.62,79.5,73.641,77.47,77.47,3.31%,2818653
2015/4/30,76.66,77.57,74.57,74.86,74.86,-3.37%,1728100
2015/5/1,74.57,75.485,73.52,73.75,73.75,-1.48%,1455840
2015/5/4,73.73,74.54,73.425,73.61,73.61,-0.19%,869202
2015/5/5,73,73.79,71.42,73.28,73.28,-0.45%,1886343
2015/5/6,73.5,73.977,72.34,73.3,73.3,0.03%,889629
2015/5/7,73.29,74.41,73.05,74.01,74.01,0.97%,682815
2015/5/8,74.85,76.26,73.9,73.91,73.91,-0.14%,1862694
2015/5/11,73.71,74.66,73.39,73.99,73.99,0.11%,758603
2015/5/12,73,74.98,72.09,74.26,74.26,0.36%,837206
2015/5/13,74.39,75.31,73.46,75.11,75.11,1.14%,1600992
2015/5/14,75.34,77.14,74.46,76.05,76.05,1.25%,1571727
2015/5/15,76.01,76.35,75.04,75.71,75.71,-0.45%,867009
2015/5/18,75.32,77.53,75.32,77.26,77.26,2.05%,990633
2015/5/19,77.24,78.27,76.77,77.78,77.78,0.67%,1521638
2015/5/20,77.72,77.91,76.26,77.45,77.45,-0.42%,1826597
2015/5/21,77.74,78.96,77.55,78.87,78.87,1.83%,1153981
2015/5/22,78.58,79,77.6,78.76,78.76,-0.14%,1214417
2015/5/26,78.34,78.69,76.95,77.71,77.71,-1.33%,1019941
2015/5/27,77.25,78.65,75.66,78.39,78.39,0.88%,1488124
2015/5/28,78,79.13,77.62,78.4,78.4,0.01%,1364888
2015/5/29,77.97,78.05,76.02,76.61,76.61,-2.28%,2922551
2015/6/1,76.64,76.9,75.02,75.68,75.68,-1.21%,1360233
2015/6/2,75.6,75.91,75.04,75.38,75.38,-0.40%,1134658
2015/6/3,75.39,76.805,75.23,76.61,76.61,1.63%,898309
2015/6/4,76.2,77.115,74.95,75.46,75.46,-1.50%,953892
2015/6/5,74.91,77.16,74.91,76.89,76.89,1.90%,1139698
2015/6/8,76.78,77.105,74.67,74.67,74.67,-2.89%,1155008
2015/6/9,75.11,76.18,73.66,75.66,75.66,1.33%,1288967
2015/6/10,75.9,77.82,75.24,77.7,77.7,2.70%,1263542
2015/6/11,78,78.68,77.11,77.73,77.73,0.04%,822048
2015/6/12,77.33,78.28,77.33,77.94,77.94,0.27%,580551
2015/6/15,77.07,77.87,76.46,77.64,77.64,-0.38%,673985
2015/6/16,77.57,79.43,77.35,79.4,79.4,2.27%,941310
2015/6/17,79.51,80.89,79.37,79.92,79.92,0.65%,1313619
2015/6/18,80.19,81.15,79.2,80.97,80.97,1.31%,1598142
2015/6/19,81.32,81.32,80.01,80.38,80.38,-0.73%,1932027
2015/6/22,81,81.67,79.63,80.32,80.32,-0.07%,928917
2015/6/23,80.9,80.9,80.04,80.75,80.75,0.54%,674390
2015/6/24,80.39,80.642,77.13,77.47,77.47,-4.06%,1693316
2015/6/25,77.82,79.32,77.75,78.92,78.92,1.87%,1071705
2015/6/26,79.27,79.27,75.31,77.02,77.02,-2.41%,2086614
2015/6/29,75.81,76.61,73.46,73.77,73.77,-4.22%,1309288
2015/6/30,74.3,74.71,73.6,74.31,74.31,0.73%,1113588
2015/7/1,75.42,75.63,73.47,73.9,73.9,-0.55%,1072951
2015/7/2,73.87,74.6,73.16,74.53,74.53,0.85%,801960
2015/7/6,73.4,74.72,73.07,73.7,73.7,-1.11%,1079502
2015/7/7,73.87,75.86,72.08,75.68,75.68,2.69%,1380385
2015/7/8,74.99,76.04,74.21,74.83,74.83,-1.12%,703239
2015/7/9,75.61,77.054,75.61,76.18,76.18,1.80%,931106
2015/7/10,77.15,77.585,76.62,76.74,76.74,0.74%,656492
2015/7/13,77.34,77.55,75.81,76.6,76.6,-0.18%,999372
2015/7/14,76.7,78.85,76.7,77.41,77.41,1.06%,998335
2015/7/15,77.6,78.42,76.96,77.58,77.58,0.22%,911704
2015/7/16,78.15,79.15,77.835,78.92,78.92,1.73%,665940
2015/7/17,79.12,80.23,78.57,78.92,78.92,0.00%,809480
2015/7/20,79.17,79.33,78.57,78.84,78.84,-0.10%,453030
2015/7/21,78.81,79.68,77.97,78.57,78.57,-0.34%,574712
2015/7/22,78.11,78.94,77.77,77.85,77.85,-0.92%,622938
2015/7/23,78.32,79.25,77.47,78.02,78.02,0.22%,920539
2015/7/24,78.47,80.97,77.51,79.64,79.64,2.08%,1436829
2015/7/27,78.85,78.89,76.12,76.34,76.34,-4.14%,1579381
2015/7/28,76.77,78.88,76.08,78.63,78.63,3.00%,1055265
2015/7/29,76.9,78.5,74.95,77.98,77.98,-0.83%,3943093
2015/7/30,78.48,81.21,76.6,81.03,81.03,3.91%,3264682
2015/7/31,80.24,81.13,79.38,80.5,80.5,-0.65%,1827644
2015/8/3,80.5,80.96,78.56,79.15,79.15,-1.68%,1192544
2015/8/4,79.28,79.48,77.2,77.91,77.91,-1.57%,1973169
2015/8/5,78.22,79.89,78.02,78.41,78.41,0.64%,1151047
2015/8/6,78.28,78.28,75.42,75.99,75.99,-3.09%,1678395
2015/8/7,75.91,77,74.91,76.95,76.95,1.26%,932599
2015/8/10,77.54,77.84,76.32,76.59,76.59,-0.47%,879544
2015/8/11,75.795,77.1,75.3,76.67,76.67,0.10%,710925
2015/8/12,75.9,76.91,74.44,76.85,76.85,0.23%,1092566
2015/8/13,76.71,77.05,74.73,75.7,75.7,-1.50%,912878
2015/8/14,75.5,76.75,74.59,76.63,76.63,1.23%,805873
2015/8/17,76.03,77.28,75.82,77.25,77.25,0.81%,634204
2015/8/18,77.28,77.88,75.82,75.89,75.89,-1.76%,588102
2015/8/19,76.5,76.54,74.8,75.63,75.63,-0.34%,1155708
2015/8/20,74.88,74.95,70.16,70.31,70.31,-7.03%,1680380
2015/8/21,69.43,71,68.55,69.91,69.91,-0.57%,1832401
2015/8/24,65.97,71.96,64.29,68,68,-2.73%,3299850
2015/8/25,70.8,72.13,68.24,68.67,68.67,0.99%,1927242
2015/8/26,70.34,71.69,68.878,71.41,71.41,3.99%,1667585
2015/8/27,71.94,73.26,70.42,72.36,72.36,1.33%,1580744
2015/8/28,72.36,73.37,71.54,72.54,72.54,0.25%,856536
2015/8/31,72.15,72.78,70.84,70.96,70.96,-2.18%,1004594
2015/9/1,69.59,70.87,68.65,68.92,68.92,-2.87%,1573545
2015/9/2,69.02,69.96,67.85,69.95,69.95,1.49%,1781722
2015/9/3,70.34,71.93,70.07,71.22,71.22,1.82%,1544640
2015/9/4,70.21,70.75,69.25,69.79,69.79,-2.01%,1069085
2015/9/8,70.98,73.45,70.7,73.33,73.33,5.07%,1353668
2015/9/9,73.75,74.44,71.81,72.02,72.02,-1.79%,1250178
2015/9/10,71.64,73.24,71.64,72.66,72.66,0.89%,871193
2015/9/11,72.75,73.66,71.88,73.6,73.6,1.29%,839271
2015/9/14,73.57,73.87,72.35,73.56,73.56,-0.05%,1044612
2015/9/15,73.65,74.365,73.03,74.26,74.26,0.95%,827373
2015/9/16,74.41,74.62,73.37,73.94,73.94,-0.43%,894759
2015/9/17,73.61,75.54,73.57,74.61,74.61,0.91%,720911
2015/9/18,73.72,75.02,73.63,74.36,74.36,-0.34%,1424345
2015/9/21,74.78,75.619,73.64,74.41,74.41,0.07%,1010426
2015/9/22,73.27,73.75,72.17,73.06,73.06,-1.81%,1063803
2015/9/23,73.18,74.25,72.38,72.99,72.99,-0.10%,798083
2015/9/24,72.69,72.73,70.97,72.12,72.12,-1.19%,1107952
2015/9/25,73.13,74.48,71.94,72.86,72.86,1.03%,2369565
2015/9/28,72.63,72.81,68.76,69.03,69.03,-5.26%,1755732
2015/9/29,68.97,69.65,67.76,68.94,68.94,-0.13%,1083242
2015/9/30,69.72,70.3,67.07,69.45,69.45,0.74%,1690285
2015/10/1,69.14,71.65,67.65,71.58,71.58,3.07%,1778300
2015/10/2,70.35,72.26,69.9,72.23,72.23,0.91%,924313
2015/10/5,72.62,76.53,72.4,76.47,76.47,5.87%,1826627
2015/10/6,75.9,76.91,74.25,74.58,74.58,-2.47%,1272896
2015/10/7,75.23,75.27,73.02,74.97,74.97,0.52%,1845865
2015/10/8,74.93,74.93,71.77,73.02,73.02,-2.60%,1679374
2015/10/9,73.12,74.715,72.175,74.42,74.42,1.92%,942283
2015/10/12,74.34,75.24,73.56,74.28,74.28,-0.19%,555590
2015/10/13,74.08,76.21,73.6,74.16,74.16,-0.16%,767871
2015/10/14,74.02,75.02,73.43,73.9,73.9,-0.35%,1022964
2015/10/15,73.99,76.3,73.92,75.64,75.64,2.35%,1289136
2015/10/16,75.38,76.49,75.07,76.46,76.46,1.08%,1054692
2015/10/19,76.34,76.73,74.87,75.79,75.79,-0.88%,1039798
2015/10/20,75.92,76.59,74.32,74.73,74.73,-1.40%,1160673
2015/10/21,74.94,75.13,72.96,73.02,73.02,-2.29%,2593161
2015/10/22,72.31,78.61,72.29,77.95,77.95,6.75%,4022239
2015/10/23,78.19,78.96,75.32,78.89,78.89,1.21%,2620935
2015/10/26,78.87,79.3,77.75,78.8,78.8,-0.11%,938196
2015/10/27,78.37,80.47,78.17,80.17,80.17,1.74%,1799432
2015/10/28,80.08,82.178,79.715,82.15,82.15,2.47%,1742556
2015/10/29,82.01,82.91,81.38,81.56,81.56,-0.72%,815644
2015/10/30,81.94,82.35,80.9,81.65,81.65,0.11%,1432698
2015/11/2,81.68,82.42,80.64,82.02,82.02,0.45%,798762
2015/11/3,82,83.676,81.18,82.53,82.53,0.62%,1266314
2015/11/4,82.67,84.4,82.16,83.84,83.84,1.59%,1734920
2015/11/5,83.23,84.49,82.79,83.91,83.91,0.08%,1308872
2015/11/6,84.12,85.88,84,85.24,85.24,1.59%,1344942
2015/11/9,85,85.53,84.07,84.6,84.6,-0.75%,1355941
2015/11/10,83.73,84.5,83.21,84.15,84.15,-0.53%,1302264
2015/11/11,84,84.67,83.08,83.9,83.9,-0.30%,856444
