Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,106.33,107.01,105.84,106.07,85.618,-0.46%,1798600
2015/3/25,106.32,106.33,103.93,104.05,83.987,-1.90%,2637337
2015/3/26,101.97,104.35,101.96,103.91,83.874,-0.13%,3044139
2015/3/27,103.45,103.74,102.77,103.62,83.64,-0.28%,2597004
2015/3/30,104,104.47,103.525,104,83.947,0.37%,1402556
2015/3/31,103.48,103.93,102.818,102.92,83.075,-1.04%,1998500
2015/4/1,102.65,103.42,102.08,102.96,83.107,0.04%,1640604
2015/4/2,103.4,104.79,102.88,104.15,84.068,1.16%,2187070
2015/4/6,103.51,104.76,103.4,104.43,84.294,0.27%,2575243
2015/4/7,104.57,104.84,103.82,104.46,84.318,0.03%,2579059
2015/4/8,104.51,104.69,103.67,104.32,84.205,-0.13%,1863105
2015/4/9,104.29,105.83,104.09,105.77,85.376,1.39%,1403615
2015/4/10,106.25,106.73,105.85,106.35,85.844,0.55%,1293752
2015/4/13,105.78,106.24,104.754,104.87,84.649,-1.39%,2049313
2015/4/14,98.99,100.6,97.81,100.49,81.114,-4.18%,8715514
2015/4/15,100.87,101.3,99.79,100.74,81.315,0.25%,3637768
2015/4/16,100.61,100.61,99.85,100.27,80.936,-0.47%,2367681
2015/4/17,99.4,100.8,99.3,100.65,81.243,0.38%,2682572
2015/4/20,101,103.76,100.86,103.04,83.172,2.37%,3086801
2015/4/21,103.94,103.94,100.22,102.41,82.663,-0.61%,2708396
2015/4/22,102.21,105.19,102.21,104.97,84.73,2.50%,2584120
2015/4/23,104.48,107.31,104.295,106.21,85.731,1.18%,2373894
2015/4/24,106.2,106.5,104.43,105.29,84.988,-0.87%,1753902
2015/4/27,105.52,105.62,104.395,104.5,84.35,-0.75%,1798282
2015/4/28,104.35,104.69,103.76,104.37,84.245,-0.12%,1978516
2015/4/29,104.32,104.46,102.11,103.18,83.285,-1.14%,1951684
2015/4/30,102.16,102.515,100.55,100.85,81.404,-2.26%,3540453
2015/5/1,101.54,103.21,101.43,103.21,83.309,2.34%,2352345
2015/5/4,103.65,104.58,103.17,103.79,83.777,0.56%,2749188
2015/5/5,103.69,104.28,100.52,100.59,81.194,-3.08%,2021075
2015/5/6,100.33,100.73,98.97,100.11,81.283,-0.48%,2911917
2015/5/7,99.93,101.53,99.78,100.98,81.989,0.87%,1212382
2015/5/8,101.87,102.18,100.56,100.63,81.705,-0.35%,2405503
2015/5/11,100.35,101.31,100.16,100.16,81.324,-0.47%,1620655
2015/5/12,99.56,99.75,98.94,99.04,80.414,-1.12%,3066803
2015/5/13,98.91,99.84,97.27,97.72,79.343,-1.33%,2935271
2015/5/14,96.8,97.71,96.04,96.71,78.523,-1.03%,3079621
2015/5/15,97.07,97.72,96.63,97.56,79.213,0.88%,1941380
2015/5/18,97.44,98.17,97.2,97.97,79.546,0.42%,1647945
2015/5/19,97.85,98.25,97.07,97.28,78.985,-0.70%,1287484
2015/5/20,96.4,96.94,95.73,96.06,77.995,-1.25%,1559448
2015/5/21,96.06,98.12,96,97.11,78.847,1.09%,2503791
2015/5/22,96.86,97.29,95.51,95.53,77.564,-1.63%,1988288
2015/5/26,95.56,95.95,94.33,94.57,76.785,-1.00%,1740693
2015/5/27,95.08,95.23,94.24,94.83,76.996,0.27%,1582557
2015/5/28,94.5,94.55,92.8,93.71,76.087,-1.18%,2114919
2015/5/29,93.48,93.51,91.85,92,74.698,-1.82%,2521198
2015/6/1,92.48,93.06,91.85,92.76,75.315,0.83%,1598560
2015/6/2,92.54,93.81,92.28,92.7,75.267,-0.06%,1777134
2015/6/3,92.65,93.58,92.03,92.5,75.104,-0.22%,1568133
2015/6/4,92.01,93.06,91.59,91.96,74.666,-0.58%,2135730
2015/6/5,92.25,92.74,91.86,92.51,75.112,0.60%,1625432
2015/6/8,92.27,92.41,90.98,91.06,73.935,-1.57%,1480177
2015/6/9,91,91.25,90.39,90.44,73.432,-0.68%,1473179
2015/6/10,91,91,89.73,90.54,73.513,0.11%,1981104
2015/6/11,90.82,92.79,90.415,92.53,75.129,2.20%,2996745
2015/6/12,91.89,92.84,91.37,91.7,74.455,-0.90%,1965685
2015/6/15,91.24,91.912,90.89,91.36,74.179,-0.37%,1331505
2015/6/16,91.22,91.99,91.17,91.36,74.179,0.00%,1132953
2015/6/17,91.42,91.84,91,91.7,74.455,0.37%,1439178
2015/6/18,91.95,93.24,91.834,92.96,75.478,1.37%,1743498
2015/6/19,92.67,93.12,92.07,92.32,74.958,-0.69%,2141191
2015/6/22,92.67,93.3,92.39,92.81,75.356,0.53%,1575628
2015/6/23,92.72,93.09,92.25,92.31,74.95,-0.54%,1546803
2015/6/24,91.96,92.32,89.99,90.03,73.099,-2.47%,2117447
2015/6/25,90.33,90.622,88.74,88.76,72.068,-1.41%,1945396
2015/6/26,89.09,89.63,88.51,88.87,72.157,0.12%,2984684
2015/6/29,88.2,88.67,86.94,86.98,70.622,-2.13%,1722579
2015/6/30,87.37,87.89,86.74,87.36,70.931,0.44%,2404007
2015/7/1,87.88,88.13,87.63,88.1,71.532,0.85%,2323744
2015/7/2,88.31,88.65,87.715,87.83,71.313,-0.31%,2216954
2015/7/6,87.23,87.98,86.44,86.94,70.59,-1.01%,1466356
2015/7/7,86.9,88.21,86.12,87.82,71.304,1.01%,2098057
2015/7/8,86.97,87.49,85.17,85.4,69.339,-2.76%,1986125
2015/7/9,86.24,86.806,85.61,85.62,69.518,0.26%,1838109
2015/7/10,86.58,86.69,85.91,86.35,70.111,0.85%,1627609
2015/7/13,86.95,87.21,86.17,86.46,70.2,0.13%,1781516
2015/7/14,86.27,87.17,85.81,86.72,70.411,0.30%,3043041
2015/7/15,87.1,87.98,86.82,86.96,70.606,0.28%,2807848
2015/7/16,86.9,87.68,85.48,85.6,69.502,-1.56%,1727843
2015/7/17,85.6,86.83,85.6,85.94,69.778,0.40%,1907063
2015/7/20,86.17,86.63,85.76,86.09,69.9,0.17%,1270976
2015/7/21,86.1,86.97,85.59,85.92,69.762,-0.20%,1522266
2015/7/22,85.93,86.45,85.04,85.37,69.315,-0.64%,1238267
2015/7/23,85.17,85.17,83.13,83.48,67.781,-2.21%,1943117
2015/7/24,83.48,84.14,82.6,82.96,67.358,-0.62%,2046758
2015/7/27,82.31,84.67,82.31,82.8,67.228,-0.19%,2039592
2015/7/28,83,85.06,83,84.92,68.95,2.56%,2041754
2015/7/29,84.86,86.04,84.48,85.97,69.802,1.24%,2021949
2015/7/30,85.58,86.11,85.51,85.8,69.664,-0.20%,2107326
2015/7/31,85.46,85.909,84.12,84.33,68.471,-1.71%,2610322
2015/8/3,84.27,84.53,82.68,83.01,67.399,-1.57%,2438592
2015/8/4,82.75,83.57,82.48,83.18,67.537,0.20%,6077481
2015/8/5,83.15,84.02,82.48,82.58,67.529,-0.72%,2911636
2015/8/6,82.48,82.66,80.93,81.6,66.727,-1.19%,2905819
2015/8/7,81.45,81.85,80.88,81.11,66.327,-0.60%,2541271
2015/8/10,81.74,82.96,80.94,82.62,67.562,1.86%,2711852
2015/8/11,81.79,81.96,80.47,80.98,66.22,-1.98%,1698271
2015/8/12,80.46,81.68,79.93,81.34,66.515,0.44%,1701571
2015/8/13,81.28,81.52,80.85,81.02,66.253,-0.39%,1136582
2015/8/14,80.74,82.13,80.72,81.74,66.842,0.89%,1464658
2015/8/17,81.48,82.21,80.92,82.15,67.177,0.50%,1420838
2015/8/18,82.16,82.48,81.89,82.35,67.341,0.24%,1513500
2015/8/19,81.69,82.1,81.17,81.5,66.646,-1.03%,1529191
2015/8/20,80.68,80.84,79.74,79.95,65.378,-1.90%,2316581
2015/8/21,79.29,79.94,77.98,77.98,63.767,-2.46%,3243463
2015/8/24,72.83,77.29,72.1,74.74,61.118,-4.15%,3598950
2015/8/25,77.06,77.06,72.4,72.44,59.237,-3.08%,2551490
2015/8/26,74.17,74.5,72.66,74.12,60.611,2.32%,2860412
2015/8/27,75,77.93,74.99,77.92,63.718,5.13%,3186878
2015/8/28,77.58,80.05,77.53,79.2,64.765,1.64%,3264440
2015/8/31,78.76,78.83,77.71,77.91,63.71,-1.63%,1773006
2015/9/1,76.23,76.88,75.36,75.71,61.911,-2.82%,2011257
2015/9/2,76.42,76.86,75.59,76.54,62.59,1.10%,2846732
2015/9/3,77.02,78,76.58,77.16,63.097,0.81%,1568240
2015/9/4,76.2,77.04,75.85,76.53,62.582,-0.82%,1914049
2015/9/8,78.04,78.72,77.77,78.69,64.348,2.82%,1822386
2015/9/9,79.32,80,78.58,78.94,64.552,0.32%,3485552
2015/9/10,78.99,79.3,78.01,79.04,64.634,0.13%,3590060
2015/9/11,79.48,80.31,78.86,79.17,64.74,0.16%,2557271
2015/9/14,79.17,79.185,78.54,78.69,64.348,-0.61%,2656023
2015/9/15,79.1,80.76,78.71,80.52,65.844,2.33%,1527108
2015/9/16,80.44,81.91,80.33,81.69,66.801,1.45%,2657241
2015/9/17,81.4,82.3,80.92,81.11,66.327,-0.71%,2180048
2015/9/18,80.05,80.26,78.73,78.95,64.56,-2.66%,3592586
2015/9/21,79.33,80.16,78.67,79.57,65.067,0.79%,1929684
2015/9/22,78.51,78.54,77.04,77.43,63.318,-2.69%,1771060
2015/9/23,77.42,77.63,76,76.34,62.426,-1.41%,1524878
2015/9/24,75.51,76.09,74.729,75.69,61.895,-0.85%,2179014
2015/9/25,76.32,76.76,75.325,75.62,61.837,-0.09%,2004530
2015/9/28,75.04,75.37,74.58,74.66,61.052,-1.27%,1918967
2015/9/29,74.82,75.055,74.36,74.91,61.257,0.33%,1600611
2015/9/30,75.79,76.5,75.2,76.4,62.475,1.99%,1557550
2015/10/1,77.23,77.97,76.67,77.33,63.236,1.22%,1897611
2015/10/2,76.2,79.05,75.92,79.01,64.61,2.17%,1805027
2015/10/5,78.49,80.54,78.09,79.98,65.403,1.23%,2201536
2015/10/6,79.92,80.52,79.37,79.43,64.953,-0.69%,1745081
2015/10/7,79.78,81.71,79.78,81.2,66.4,2.23%,2315213
2015/10/8,80.94,83.17,80.94,82.98,67.856,2.19%,1720650
