Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,36.74,36.79,35.83,35.85,27.796,-2.14%,6220690
2015/3/25,35.79,36.09,35.61,35.745,27.715,-0.29%,4567267
2015/3/26,35.43,35.68,35.26,35.55,27.563,-0.55%,5171059
2015/3/27,35.64,35.64,34.975,35.1,27.215,-1.27%,4975924
2015/3/30,35.22,35.44,35.01,35.38,27.432,0.80%,3443522
2015/3/31,35.34,35.7,35.06,35.46,27.494,0.23%,2945108
2015/4/1,35.4,35.43,34.94,35.27,27.346,-0.54%,2787781
2015/4/2,35.32,35.93,35.14,35.625,27.622,1.01%,4377450
2015/4/6,35.36,36.14,35.21,36.03,27.936,1.14%,2686874
2015/4/7,36.07,36.16,35.77,35.805,27.761,-0.62%,3231627
2015/4/8,35.75,35.92,35.43,35.82,27.901,0.04%,3282902
2015/4/9,35.69,35.92,35.45,35.74,27.838,-0.22%,3285671
2015/4/10,35.71,35.78,35.19,35.47,27.628,-0.76%,4165685
2015/4/13,35.47,35.68,35.38,35.41,27.581,-0.17%,2480964
2015/4/14,35.32,35.98,35.23,35.87,27.94,1.30%,4476919
2015/4/15,35.95,36.75,35.74,36.73,28.61,2.40%,3795300
2015/4/16,36.57,36.66,36.22,36.36,28.321,-1.01%,3152980
2015/4/17,36.09,36.55,35.65,35.97,28.018,-1.07%,4618339
2015/4/20,36.24,36.43,35.8,35.99,28.033,0.06%,2855635
2015/4/21,36.19,36.21,35.74,36,28.041,0.03%,3194874
2015/4/22,36.01,36.295,35.96,36.14,28.15,0.39%,1881491
2015/4/23,36.01,36.42,35.98,36.29,28.267,0.42%,1701661
2015/4/24,36.36,36.36,35.92,36.12,28.134,-0.47%,2276153
2015/4/27,36.12,36.585,35.96,36.37,28.329,0.69%,2725679
2015/4/28,36.43,36.67,36.13,36.6,28.508,0.63%,1486069
2015/4/29,36.37,37.07,36.28,36.8,28.664,0.55%,3079560
2015/4/30,36.54,36.956,36.17,36.25,28.236,-1.49%,2558368
2015/5/1,36.45,36.79,36.33,36.69,28.578,1.21%,1277334
2015/5/4,36.7,36.98,36.62,36.71,28.594,0.05%,1489263
2015/5/5,36.54,36.66,35.85,35.91,27.971,-2.18%,2126262
2015/5/6,35.9,36.03,35.325,35.39,27.566,-1.45%,2910035
2015/5/7,35.43,35.77,35.23,35.57,27.706,0.51%,1865126
2015/5/8,35.69,35.88,35.35,35.645,27.764,0.21%,2589534
2015/5/11,35.28,35.44,34.78,34.955,27.227,-1.94%,5266305
