Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,47.57,47.74,46.96,47.02,36.8,-1.30%,2194602
2015/3/25,47.62,47.62,46.75,46.76,36.597,-0.55%,2955205
2015/3/26,46.99,47.45,46.8,47.11,36.871,0.75%,2408509
2015/3/27,46.35,46.6,45.89,46.5,36.685,-1.29%,1840545
2015/3/30,46.95,47.58,46.76,47.33,37.34,1.78%,1719403
2015/3/31,47.18,47.7,46.55,47.53,37.497,0.42%,2508086
2015/4/1,46.84,46.95,45.59,46.31,36.535,-2.57%,3773067
2015/4/2,46.42,47.36,45.91,47.26,37.284,2.05%,2166941
2015/4/6,47.3,47.46,46.68,46.74,36.874,-1.10%,2335670
2015/4/7,46.9,47.23,46.65,47.01,37.087,0.58%,1527674
2015/4/8,47.44,47.805,47.03,47.59,37.545,1.23%,2269918
2015/4/9,47.32,47.892,46.99,47.79,37.703,0.42%,2173605
2015/4/10,47.69,48.4,47.55,48.22,38.042,0.90%,1845499
2015/4/13,48.02,48.11,47.28,47.36,37.363,-1.78%,1970961
2015/4/14,47.62,48,47.13,47.81,37.718,0.95%,2118243
2015/4/15,48.18,48.905,47.97,48.52,38.278,1.49%,2542389
2015/4/16,48.51,48.51,47.35,47.38,37.379,-2.35%,2240353
2015/4/17,46.98,47,46.05,46.41,36.614,-2.05%,2603764
2015/4/20,46.62,47.55,46.62,47.38,37.379,2.09%,1916155
2015/4/21,47.29,47.77,46.74,46.81,36.929,-1.20%,1610483
2015/4/22,47.01,47.03,46.4,46.82,36.937,0.02%,1893952
2015/4/23,46.67,48.63,46.24,48.42,38.2,3.42%,3332479
2015/4/24,48.66,48.99,47.87,48.11,37.955,-0.64%,2595965
2015/4/27,48.45,49.28,48.45,48.6,38.342,1.02%,2607747
2015/4/28,48.71,49.6,48.68,49.56,39.099,1.98%,2931867
2015/4/29,48.95,49.56,48.71,49.19,38.807,-0.75%,2005003
2015/4/30,48.9,49.39,48.65,48.86,38.547,-0.67%,3100379
2015/5/1,49.3,49.4,48.43,49,38.657,0.29%,2214357
2015/5/4,49.26,49.44,48.94,49.22,38.831,0.45%,2376527
2015/5/5,49.39,49.81,48.76,48.9,38.578,-0.65%,1763410
2015/5/6,49.16,49.43,48.41,48.59,38.334,-0.63%,1847802
2015/5/7,48.26,48.73,47.83,48.66,38.389,0.14%,1235246
2015/5/8,49.31,49.39,48.84,48.9,38.578,0.49%,1719605
2015/5/11,49,49.13,48.65,48.93,38.602,0.06%,1600560
2015/5/12,48.89,48.96,48.32,48.33,38.129,-1.23%,1890603
2015/5/13,48.52,49.07,48.45,48.76,38.468,0.89%,1448678
2015/5/14,49.23,49.65,49.05,49.6,39.13,1.72%,2587214
2015/5/15,49.64,49.78,49.25,49.32,38.91,-0.56%,1237495
2015/5/18,49.1,49.33,48.8,49.05,38.697,-0.55%,1177878
2015/5/19,48.8,48.93,47.74,47.95,37.829,-2.24%,1955755
2015/5/20,47.81,48.28,47.7,48.06,37.916,0.23%,1278237
2015/5/21,48.14,48.21,47.52,47.77,37.687,-0.60%,1355618
2015/5/22,47.72,48.34,47.2,48.1,37.947,0.69%,1752075
2015/5/26,47.88,47.95,47.01,47.19,37.229,-1.89%,1337462
2015/5/27,47.15,47.9,47.07,47.81,37.718,1.31%,1337649
2015/5/28,47.48,47.63,47.21,47.58,37.537,-0.48%,960981
2015/5/29,47.47,47.74,47.29,47.3,37.316,-0.59%,1451591
2015/6/1,47.58,48,47,47.59,37.545,0.61%,1721388
