Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,1339.96,1349.52,1335,1339.67,1339.67,0.54%,15146
2015/3/25,1339.9,1344.99,1322,1328.48,1328.48,-0.84%,9050
2015/3/26,1325.52,1328.94,1307.72,1322.66,1322.66,-0.44%,17862
2015/3/27,1327.49,1334.43,1307.51,1330.6,1330.6,0.60%,22796
2015/3/30,1335.02,1347.69,1323.45,1338,1338,0.56%,19168
2015/3/31,1334,1349.98,1312.02,1328.66,1328.66,-0.70%,33398
2015/4/1,1324.08,1330.15,1313.01,1329.82,1329.82,0.09%,24150
2015/4/2,1325.52,1356,1317.61,1353.13,1353.13,1.75%,36035
2015/4/6,1349.02,1369.13,1345.75,1359.24,1359.24,0.45%,55307
2015/4/7,1355.01,1356.9,1321.73,1333.99,1333.99,-1.86%,30721
2015/4/8,1331.13,1358,1331.13,1351.11,1351.11,1.28%,21791
2015/4/9,1347,1347,1332.51,1346.41,1346.41,-0.35%,10415
2015/4/10,1347.8,1347.8,1329.3,1344.84,1344.84,-0.12%,18218
2015/4/13,1317.6,1350,1317.6,1330.02,1330.02,-1.10%,23230
2015/4/14,1329.2,1338.99,1315.01,1334.68,1334.68,0.35%,10108
2015/4/15,1329.33,1348.9,1328.16,1342.46,1342.46,0.58%,20852
2015/4/16,1330,1336.29,1320.05,1332.73,1332.73,-0.72%,36922
2015/4/17,1319.25,1328,1311.12,1324.89,1324.89,-0.59%,34285
2015/4/20,1323.15,1327.09,1307,1311.38,1311.38,-1.02%,29706
2015/4/21,1311.04,1358,1311.04,1355.33,1355.33,3.35%,45873
2015/4/22,1348.1,1360,1330.51,1338.85,1338.85,-1.22%,18366
2015/4/23,1327.12,1344.99,1313.31,1321,1321,-1.33%,46847
2015/4/24,1312.01,1352.5,1310.33,1345.1,1345.1,1.82%,29406
2015/4/27,1347.1,1367.99,1332.02,1339.02,1339.02,-0.45%,35721
2015/4/28,1336.01,1364.49,1332.34,1356.65,1356.65,1.32%,30237
2015/4/29,1352,1359.95,1333.61,1350.02,1350.02,-0.49%,26234
2015/4/30,1349.02,1354.95,1316.3,1326.49,1326.49,-1.74%,29265
2015/5/1,1327.15,1347.65,1327.15,1345.69,1345.69,1.45%,22913
2015/5/4,1347.9,1353.98,1321.39,1339.55,1339.55,-0.46%,23099
2015/5/5,1335.02,1344.99,1315.04,1321,1321,-1.38%,40955
2015/5/6,1322.26,1330.78,1304.21,1330.77,1330.77,0.74%,40199
2015/5/7,1327.01,1347.75,1324.6,1333.28,1333.28,0.19%,25530
2015/5/8,1344.98,1352.1,1318.01,1323.97,1323.97,-0.70%,38183
2015/5/11,1318,1327.5,1302,1307.05,1307.05,-1.28%,34438
2015/5/12,1305.65,1307.5,1292.11,1306.88,1306.88,-0.01%,32525
2015/5/13,1310.84,1319.63,1305.42,1318.29,1318.29,0.87%,36982
2015/5/14,1320.53,1335.23,1310.32,1335.23,1335.23,1.28%,23673
2015/5/15,1333.64,1341.79,1323.5,1335.24,1335.24,0.00%,39520
2015/5/18,1334.76,1350,1326.01,1347.8,1347.8,0.94%,15486
2015/5/19,1350,1374.79,1330,1371.89,1371.89,1.79%,31104
2015/5/20,1369.29,1387.4,1364,1382.03,1382.03,0.74%,19187
2015/5/21,1382,1382,1370,1373.39,1373.39,-0.63%,32759
2015/5/22,1370.56,1377.95,1356.25,1373,1373,-0.03%,15227
2015/5/26,1370,1381.99,1354.87,1359,1359,-1.02%,13619
2015/5/27,1361,1374.97,1351.17,1370.33,1370.33,0.83%,18503
2015/5/28,1366.2,1378.8,1361.21,1377.25,1377.25,0.50%,17081
2015/5/29,1371,1377.81,1355,1360.6,1360.6,-1.21%,22189
2015/6/1,1361.33,1374.51,1354.88,1362.74,1362.74,0.16%,11603
2015/6/2,1359.78,1364.99,1355.08,1361.04,1361.04,-0.12%,15034
2015/6/3,1367.94,1372.99,1355,1372.99,1372.99,0.88%,29446
2015/6/4,1367.95,1377.24,1360,1364.81,1364.81,-0.60%,11431
2015/6/5,1368.4,1382,1356.5,1366.99,1366.99,0.16%,13049
2015/6/8,1367.53,1372.37,1345.06,1351.5,1351.5,-1.13%,16692
2015/6/9,1350.89,1369.93,1335,1346.35,1346.35,-0.38%,14292
2015/6/10,1351.07,1356.48,1343,1350.24,1350.24,0.29%,13276
2015/6/11,1354.94,1365.95,1352.5,1358.52,1358.52,0.61%,25116
2015/6/12,1355.3,1367.88,1348,1367.88,1367.88,0.69%,15378
2015/6/15,1367.01,1381.62,1361.9,1366.35,1366.35,-0.11%,20284
2015/6/16,1363.59,1368,1346,1349.9,1349.9,-1.20%,18829
2015/6/17,1352,1358,1340.56,1356.93,1356.93,0.52%,29722
2015/6/18,1360,1369.4,1354.27,1360,1360,0.23%,19580
2015/6/19,1367.29,1375.23,1362,1366.71,1366.71,0.49%,26167
2015/6/22,1373.9,1380,1359.04,1371.04,1371.04,0.32%,22180
2015/6/23,1372.9,1380,1364.49,1371.86,1371.86,0.06%,27244
2015/6/24,1374.18,1386.39,1368.95,1374.27,1374.27,0.18%,30212
2015/6/25,1377.6,1380.35,1366.5,1373.17,1373.17,-0.08%,20021
2015/6/26,1372,1379.95,1364,1374.01,1374.01,0.06%,18104
2015/6/29,1364.4,1374.01,1343.01,1357.42,1357.42,-1.21%,35421
2015/6/30,1369.16,1369.16,1336.04,1340,1340,-1.28%,37687
2015/7/1,1343.99,1359.9,1317.23,1357.75,1357.75,1.32%,46282
2015/7/2,1360,1369.99,1355,1362.99,1362.99,0.39%,18078
2015/7/6,1358.93,1376.8,1355,1371.63,1371.63,0.63%,32540
2015/7/7,1371.63,1388.78,1354.98,1381.98,1381.98,0.75%,24237
2015/7/8,1377,1389.99,1365,1376.45,1376.45,-0.40%,21495
2015/7/9,1385.98,1393.05,1366.05,1384.14,1384.14,0.56%,11421
