Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,16.84,16.89,16.72,16.775,14.802,-0.62%,2552932
2015/3/25,16.88,16.88,16.42,16.42,14.489,-2.12%,1884364
2015/3/26,16.32,16.32,16.11,16.18,14.277,-1.46%,3618554
2015/3/27,16.11,16.25,16.09,16.15,14.251,-0.19%,2421537
2015/3/30,16.22,16.45,16.16,16.22,14.312,0.43%,2204951
2015/3/31,16.16,16.23,15.98,16.01,14.127,-1.29%,2785342
2015/4/1,16.03,16.13,15.875,16.11,14.215,0.62%,2808249
2015/4/2,16.09,16.23,16.01,16.18,14.277,0.43%,1719968
2015/4/6,16.04,16.385,16.03,16.25,14.339,0.43%,1196246
2015/4/7,16.18,16.34,16.12,16.12,14.224,-0.80%,1261359
2015/4/8,16.16,16.27,16.01,16.06,14.171,-0.37%,1756675
2015/4/9,16.03,16.11,15.84,15.94,14.065,-0.75%,1926271
2015/4/10,15.94,16.02,15.86,15.92,14.048,-0.13%,3884696
2015/4/13,15.93,16.1,15.89,16.07,14.18,0.94%,1774738
2015/4/14,16.04,16.19,15.98,15.98,14.101,-0.56%,1992999
2015/4/15,15.97,16.075,15.94,15.95,14.074,-0.19%,4012015
2015/4/16,15.87,16.14,15.68,15.89,14.021,-0.38%,3488423
2015/4/17,15.71,15.79,15.535,15.59,13.756,-1.89%,3227262
2015/4/20,15.67,15.74,15.57,15.645,13.805,0.35%,2427244
2015/4/21,15.66,15.74,15.51,15.52,13.695,-0.80%,1906118
2015/4/22,15.54,15.635,15.41,15.555,13.726,0.23%,4363515
2015/4/23,15.51,15.635,15.435,15.56,13.73,0.03%,2629226
2015/4/24,15.53,15.66,15.43,15.53,13.704,-0.19%,1681511
2015/4/27,15.59,15.86,15.55,15.57,13.739,0.26%,2900581
2015/4/28,15.59,15.995,15.51,15.97,14.092,2.57%,3971833
2015/4/29,15.9,15.99,15.77,15.785,13.929,-1.16%,3211045
2015/4/30,15.72,15.88,15.66,15.78,13.924,-0.03%,4275995
2015/5/1,15.9,16.08,15.89,16.045,14.158,1.68%,2536988
2015/5/4,16.05,16.19,15.94,16.17,14.268,0.78%,2291390
2015/5/5,16.13,16.27,15.92,16.02,14.136,-0.93%,5742343
2015/5/6,15.05,15.33,14.82,14.99,13.227,-6.43%,11731367
2015/5/7,15.01,15.02,14.82,14.97,13.209,-0.13%,7108398
2015/5/8,15.09,15.22,15.03,15.14,13.359,1.14%,3376093
2015/5/11,15.12,15.92,15.12,15.71,13.862,3.76%,7703007
2015/5/12,15.6,15.6,15.28,15.35,13.545,-2.29%,4116461
2015/5/13,15.32,15.5,15.21,15.26,13.465,-0.59%,3045947
2015/5/14,15.38,15.44,15.13,15.385,13.576,0.82%,3264920
2015/5/15,15.35,15.59,15.31,15.55,13.721,1.07%,2960490
2015/5/18,15.56,15.69,15.375,15.675,13.831,0.80%,3539059
2015/5/19,15.67,15.7,15.54,15.68,13.836,0.03%,2719338
2015/5/20,15.67,15.74,15.6,15.63,13.792,-0.32%,2039435
2015/5/21,15.58,15.69,15.52,15.63,13.792,0.00%,1579702
2015/5/22,15.63,15.655,15.5,15.54,13.712,-0.58%,2800115
2015/5/26,15.55,15.635,15.26,15.34,13.536,-1.29%,2740730
2015/5/27,15.4,15.57,15.31,15.44,13.624,0.65%,2706216
2015/5/28,15.37,15.41,15.26,15.35,13.545,-0.58%,3222229
2015/5/29,15.31,15.4,15.145,15.15,13.368,-1.30%,2048590
2015/6/1,15.2,15.47,15.01,15.225,13.434,0.50%,2371775
2015/6/2,15.16,15.27,15.075,15.16,13.377,-0.43%,1542524
2015/6/3,15.22,15.3,15.1,15.22,13.43,0.40%,1751373
2015/6/4,15.17,15.23,14.965,15,13.236,-1.45%,2167839
2015/6/5,15.01,15.06,14.85,15,13.236,0.00%,1913554
2015/6/8,14.93,14.98,14.82,14.835,13.09,-1.10%,1731615
2015/6/9,14.81,14.85,14.54,14.56,12.848,-1.85%,2793312
2015/6/10,14.58,14.77,14.57,14.65,12.927,0.62%,2368265
2015/6/11,14.66,14.7,14.55,14.58,12.865,-0.48%,2224208
2015/6/12,14.51,14.58,14.37,14.405,12.711,-1.20%,2247812
2015/6/15,14.33,14.375,14.2,14.2,12.53,-1.42%,3712506
2015/6/16,14.2,14.28,14.17,14.2,12.53,0.00%,2405223
2015/6/17,14.26,14.335,14.17,14.22,12.548,0.14%,2558795
2015/6/18,14.41,14.62,14.39,14.54,12.83,2.25%,5027742
2015/6/19,14.47,14.99,14.47,14.97,13.209,2.96%,5635549
2015/6/22,15.01,15.15,14.9,15.05,13.28,0.53%,2044878
2015/6/23,15.09,15.16,14.975,14.99,13.227,-0.40%,2537417
2015/6/24,14.98,15.12,14.81,14.83,13.086,-1.07%,2491668
2015/6/25,14.82,14.91,14.68,14.75,13.015,-0.54%,3139455
2015/6/26,14.81,15.2,14.65,15.2,13.412,3.05%,12078806
2015/6/29,15.04,15.111,14.44,14.45,12.751,-4.93%,3593249
2015/6/30,14.53,14.63,14.33,14.59,12.874,0.97%,4461922
2015/7/1,14.73,14.81,14.54,14.64,12.918,0.34%,2384353
2015/7/2,14.69,14.99,14.56,14.6,12.883,-0.27%,2998641
2015/7/6,14.45,14.53,14.24,14.3,12.618,-2.05%,2853043
2015/7/7,14.34,14.4,14.04,14.35,12.662,0.35%,3163456
2015/7/8,14.25,14.33,14.12,14.16,12.495,-1.32%,2478801
2015/7/9,14.31,14.41,14.14,14.18,12.512,0.14%,2075306
2015/7/10,14.29,14.38,14.13,14.25,12.574,0.49%,1638250
2015/7/13,14.32,14.51,14.21,14.43,12.733,1.26%,2069461
2015/7/14,14.39,14.47,14.32,14.43,12.733,0.00%,2159770
2015/7/15,14.41,14.54,14.35,14.43,12.733,0.00%,1885679
2015/7/16,14.56,14.71,14.51,14.66,12.936,1.59%,1713302
2015/7/17,14.63,14.84,14.55,14.81,13.068,1.02%,3646558
2015/7/20,14.81,14.92,14.72,14.9,13.148,0.61%,2080204
2015/7/21,14.87,14.91,14.58,14.58,12.865,-2.15%,3015608
2015/7/22,14.55,14.73,14.475,14.61,12.892,0.21%,3084668
2015/7/23,14.59,14.76,14.5,14.72,12.989,0.75%,2878311
2015/7/24,14.71,14.89,14.57,14.86,13.112,0.95%,4045509
2015/7/27,15.07,15.08,14.71,14.83,13.086,-0.20%,4297983
2015/7/28,14.86,14.86,14.46,14.785,13.046,-0.30%,2679098
2015/7/29,14.72,14.88,14.655,14.83,13.086,0.30%,3024847
2015/7/30,14.82,14.82,14.6,14.8,13.059,-0.20%,2129394
2015/7/31,14.88,14.94,14.705,14.73,12.998,-0.47%,2621760
2015/8/3,14.76,14.77,14.47,14.54,12.83,-1.29%,2265491
2015/8/4,14.56,14.77,14.51,14.555,12.843,0.10%,1862950
2015/8/5,14.67,14.67,14.51,14.6,12.883,0.31%,3075570
2015/8/6,14.56,14.6,13.73,14.02,12.371,-3.97%,3733812
2015/8/7,14.06,14.14,13.78,14.11,12.451,0.64%,3427177
2015/8/10,14.2,14.38,14.07,14.35,12.662,1.70%,2328691
2015/8/11,14.28,14.29,13.87,13.96,12.318,-2.72%,3066185
2015/8/12,13.68,14.26,13.59,14.12,12.459,1.15%,4385992
2015/8/13,15.23,15.92,14.795,15.19,13.404,7.58%,8864102
2015/8/14,15.25,15.35,15.075,15.18,13.395,-0.07%,4415857
2015/8/17,15.1,15.3,15.09,15.25,13.456,0.46%,3251317
2015/8/18,15.24,15.28,15.07,15.13,13.351,-0.79%,2298304
2015/8/19,15.08,15.3,14.89,15.03,13.262,-0.66%,2318317
2015/8/20,14.87,14.87,14.25,14.26,12.583,-5.12%,3599319
2015/8/21,14.22,14.35,13.91,13.91,12.274,-2.45%,4667040
2015/8/24,13.1,13.58,12.67,13.04,11.506,-6.25%,11162558
2015/8/25,13.31,13.65,12.93,12.94,11.418,-0.77%,7805368
2015/8/26,13.26,13.47,12.86,13.22,11.665,2.16%,5347646
2015/8/27,13.41,13.67,13.295,13.62,12.018,3.03%,7053580
2015/8/28,13.57,13.89,13.5,13.8,12.177,1.32%,4005010
2015/8/31,13.75,13.8,13.445,13.63,12.027,-1.23%,3669712
2015/9/1,13.31,13.36,12.98,13.07,11.533,-4.11%,4956588
2015/9/2,13.28,13.58,12.96,13.13,11.586,0.46%,3997841
2015/9/3,12.92,13.49,12.92,13.32,11.753,1.45%,3653721
