Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,26.533,26.533,26.02,26.06,25.163,-1.39%,1435749
2015/3/25,26.13,26.13,25.583,25.592,24.711,-1.80%,1612827
2015/3/26,25.46,25.76,25.263,25.66,24.777,0.27%,1453419
2015/3/27,25.617,25.753,25.54,25.69,24.806,0.12%,1360734
2015/3/30,25.723,25.937,25.695,25.827,24.938,0.53%,1270665
2015/3/31,25.703,25.827,25.653,25.767,24.88,-0.23%,1855680
2015/4/1,25.657,25.66,24.993,25.185,24.318,-2.26%,3066705
2015/4/2,25.083,25.19,24.401,24.473,23.631,-2.83%,4524999
2015/4/6,24.357,24.57,24.11,24.133,23.303,-1.39%,2703090
2015/4/7,24.133,24.378,24.083,24.172,23.34,0.16%,1747062
2015/4/8,24.107,24.163,23.82,23.963,23.139,-0.86%,2816160
2015/4/9,23.847,24.117,23.833,23.893,23.071,-0.29%,1752018
2015/4/10,23.897,24.083,23.86,24.047,23.219,0.64%,2090925
2015/4/13,23.967,24.313,23.967,24,23.174,-0.20%,1369497
2015/4/14,23.823,24.107,23.77,24.067,23.238,0.28%,1478838
2015/4/15,24.11,24.3,24.01,24.193,23.361,0.52%,1639902
2015/4/16,24.203,24.377,24.007,24.333,23.496,0.58%,1771398
2015/4/17,24.213,24.337,24.11,24.26,23.425,-0.30%,1863093
2015/4/20,24.35,24.843,24.293,24.747,23.895,2.01%,1362048
2015/4/21,24.827,25.07,24.757,24.928,24.07,0.73%,1863534
2015/4/22,24.977,24.977,24.68,24.833,23.979,-0.38%,1542444
2015/4/23,24.71,25.21,24.637,25.097,24.233,1.06%,1598226
2015/4/24,25.067,25.163,24.7,24.78,23.927,-1.26%,1472877
2015/4/27,24.903,25.17,24.75,24.83,23.975,0.20%,3371754
2015/4/28,24.8,25.09,24.74,24.963,24.104,0.54%,1645086
2015/4/29,24.817,24.87,24.26,24.38,23.541,-2.34%,3293109
2015/4/30,24.273,24.53,23.643,23.71,22.894,-2.75%,3417063
2015/5/1,23.593,24.03,23.553,24.003,23.177,1.24%,2780607
2015/5/4,24,24.217,23.782,23.957,23.132,-0.19%,2058840
2015/5/5,23.89,24.022,23.461,23.498,22.69,-1.92%,2515563
2015/5/6,23.617,23.617,23.313,23.59,22.778,0.39%,1244505
2015/5/7,23.607,23.993,23.593,23.917,23.094,1.39%,1180476
2015/5/8,24.153,24.38,24.097,24.13,23.3,0.89%,1372278
2015/5/11,24.133,24.19,23.963,24.047,23.219,-0.34%,1461099
2015/5/12,23.857,24.023,23.707,24.003,23.177,-0.18%,1342659
2015/5/13,24.013,24.047,23.62,23.743,22.926,-1.08%,2165316
2015/5/14,23.783,24.01,23.583,23.617,22.804,-0.53%,3337122
2015/5/15,23.603,23.813,23.557,23.653,22.839,0.15%,1412298
2015/5/18,23.587,24.17,23.577,24.1,23.271,1.89%,1636593
2015/5/19,24.15,24.267,23.93,23.97,23.145,-0.54%,1855785
2015/5/20,23.95,24.163,23.577,23.59,22.778,-1.59%,1691412
2015/5/21,23.727,24.08,23.455,24.013,23.187,1.79%,2738331
2015/5/22,23.977,24.103,23.643,23.743,22.926,-1.12%,1529826
2015/5/26,23.813,23.873,23.327,23.403,22.598,-1.43%,1401063
2015/5/27,23.63,23.893,23.393,23.86,23.039,1.95%,1778016
2015/5/28,23.85,23.863,23.64,23.8,22.981,-0.25%,1768497
