Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,48.52,48.54,46.77,46.95,24.955,-3.43%,2152977
2015/3/25,47.11,47.62,46.79,47.06,25.013,0.23%,1432183
2015/3/26,47.85,47.85,46.77,47.16,25.066,0.21%,1013485
2015/3/27,46.94,47.49,46.31,47.05,25.008,-0.23%,1213333
2015/3/30,47.44,48.18,47.26,48.04,25.534,2.10%,2092800
2015/3/31,47.81,48.71,47.7,48.24,25.64,0.42%,2363749
2015/4/1,48.22,49.15,48.22,48.34,25.693,0.21%,1620637
2015/4/2,48.25,49.1,47.75,48.07,25.55,-0.56%,1272767
2015/4/6,48.16,49.1,48.15,48.87,25.975,1.66%,1491437
2015/4/7,48.79,48.91,48.24,48.45,25.752,-0.86%,1658482
2015/4/8,48.64,48.87,47.54,47.67,25.337,-1.61%,1274886
2015/4/9,47.79,48.22,47.56,48.08,25.555,0.86%,1101099
2015/4/10,48.19,48.44,48.07,48.25,25.646,0.35%,879390
2015/4/13,48.34,48.55,47.26,47.65,25.327,-1.24%,1469822
2015/4/14,47.97,49.22,47.87,49.2,26.151,3.25%,1381221
2015/4/15,49.5,51.53,49.25,51.07,27.144,3.80%,2730355
2015/4/16,50.83,50.97,49.78,50.34,26.756,-1.43%,1297137
2015/4/17,49.95,50.1,49.22,49.54,26.331,-1.59%,1420675
2015/4/20,49.57,49.98,49.07,49.13,26.113,-0.83%,1993117
2015/4/21,49.38,49.47,47.87,48.06,25.545,-2.18%,2178873
2015/4/22,48.32,48.98,47.77,48.94,26.012,1.83%,1580972
2015/4/23,49.05,49.77,49.01,49.26,26.182,0.65%,867785
2015/4/24,49.3,49.61,48.96,49.23,26.166,-0.06%,1035325
2015/4/27,49.44,49.51,48.485,48.57,25.816,-1.34%,1320380
2015/4/28,47.96,48.47,47.74,48.24,25.962,-0.68%,1424608
2015/4/29,47.97,48.71,47.77,48.59,26.15,0.73%,995168
2015/4/30,48.59,48.768,47.26,48.1,25.886,-1.01%,2809448
2015/5/1,48.12,48.72,47.85,48.66,26.188,1.16%,1318412
2015/5/4,48.65,48.86,48.105,48.12,25.897,-1.11%,1470311
2015/5/5,48.36,48.97,47.91,47.95,25.806,-0.35%,1917259
2015/5/6,46.89,46.89,44.26,44.84,24.132,-6.49%,7018711
2015/5/7,44.77,44.91,43.28,43.92,23.637,-2.05%,3742761
2015/5/8,44.21,44.83,43.43,44.75,24.084,1.89%,2672398
2015/5/11,44.79,44.79,43.265,43.38,23.346,-3.06%,1912522
2015/5/12,43.32,43.62,42.91,43.36,23.336,-0.05%,2571400
2015/5/13,44.4,47.29,44.21,44.51,23.954,2.65%,5341979
2015/5/14,44.65,44.84,44.32,44.64,24.024,0.29%,1452447
2015/5/15,44.63,45.94,44.18,45.69,24.589,2.35%,1750150
2015/5/18,45.52,46.22,45.221,45.85,24.676,0.35%,1532236
2015/5/19,45.39,45.662,44.72,45.11,24.277,-1.61%,1836097
2015/5/20,45.19,45.3,44.684,45.15,24.299,0.09%,1165115
2015/5/21,45.2,45.93,44.95,45.09,24.267,-0.13%,1445089
2015/5/22,44.86,45.02,44.09,44.15,23.761,-2.08%,1690938
2015/5/26,43.87,44.24,43.63,43.65,23.492,-1.13%,1358246
2015/5/27,43.66,43.99,42.78,43.1,23.196,-1.26%,1747480
2015/5/28,42.86,43.05,41.83,42.21,22.717,-2.06%,2404099
2015/5/29,42.25,42.36,41.61,41.92,22.561,-0.69%,2346531
2015/6/1,41.88,42.05,41.23,41.31,22.232,-1.46%,1750920
2015/6/2,41.34,42.07,41.27,41.57,22.372,0.63%,1569674
2015/6/3,41.26,41.38,40.69,40.69,21.899,-2.12%,1781934
2015/6/4,40.4,40.7,39.72,39.75,21.393,-2.31%,2019184
2015/6/5,39.12,40.09,38.64,39.89,21.468,0.35%,4608693
2015/6/8,39.7,40.04,39.34,39.46,21.237,-1.08%,2164211
2015/6/9,39.77,40.01,39.33,39.44,21.226,-0.05%,1811690
2015/6/10,39.96,40.05,39.29,39.32,21.161,-0.30%,2336210
2015/6/11,39.46,39.67,39.105,39.38,21.194,0.15%,3169449
2015/6/12,39.2,39.21,38.44,38.83,20.898,-1.40%,3557405
2015/6/15,38.59,39.53,38.53,39.02,21,0.49%,2526725
2015/6/16,39,39.38,38.51,38.95,20.962,-0.18%,2476248
2015/6/17,39.07,39.29,38.67,39.21,21.102,0.67%,1709168
2015/6/18,39.29,39.49,38.75,39.27,21.134,0.15%,1688965
2015/6/19,39.19,39.55,38.81,39.04,21.011,-0.59%,2078696
2015/6/22,39.79,41.3,39.79,40.79,21.952,4.48%,3713848
2015/6/23,40.82,41.08,40.59,40.64,21.872,-0.37%,1801708
2015/6/24,40.54,40.82,40.27,40.36,21.721,-0.69%,1501162
2015/6/25,40.21,40.36,39.3,39.31,21.156,-2.60%,1796584
2015/6/26,39.26,39.93,38.94,39.92,21.484,1.55%,1906554
2015/6/29,39.35,39.88,39.07,39.11,21.048,-2.03%,1582305
2015/6/30,39.45,39.63,38.957,39.48,21.247,0.95%,2106129
2015/7/1,39.54,39.74,38.64,38.8,20.881,-1.72%,2363165
2015/7/2,39.07,39.528,38.76,39.22,21.107,1.08%,1136514
2015/7/6,38.77,38.978,37.78,37.93,20.413,-3.29%,1708464
2015/7/7,37.86,39.23,37.46,39.12,21.054,3.14%,2565524
2015/7/8,38.93,39.76,38.275,38.51,20.725,-1.56%,2173036
2015/7/9,39.24,39.93,39.05,39.14,21.064,1.64%,1893727
2015/7/10,39.16,39.61,38.8,39.54,21.28,1.02%,1693743
2015/7/13,39.95,41.38,39.95,41.2,22.173,4.20%,2168359
2015/7/14,41.13,41.49,41.02,41.4,22.281,0.49%,1890884
2015/7/15,41,41.19,40.32,40.63,21.866,-1.86%,1925838
2015/7/16,40.77,41,40.55,40.98,22.055,0.86%,1638563
2015/7/17,40.82,40.88,40.27,40.39,21.737,-1.44%,2053357
2015/7/20,40.25,40.4,38.84,39.09,21.037,-3.22%,2581196
2015/7/21,39.09,39.622,38.9,39.48,21.247,1.00%,2749826
2015/7/22,39.26,39.28,38.02,38.3,20.612,-2.99%,2939158
2015/7/23,38.32,38.73,37.95,38.67,20.811,0.97%,3574034
2015/7/24,38.77,38.819,37.6,37.68,20.279,-2.56%,2937760
2015/7/27,37.4,38.15,36.92,37.87,20.381,0.50%,1830406
2015/7/28,37.84,39.195,37.6,38.76,20.86,2.35%,2537241
2015/7/29,38.59,40.08,38.14,40,21.527,3.20%,2572146
2015/7/30,39.13,39.79,37.414,37.91,20.728,-5.23%,2686523
2015/7/31,38.04,38.38,37.73,37.79,20.662,-0.32%,2633804
2015/8/3,37.55,37.55,36.41,36.57,19.995,-3.23%,2783198
2015/8/4,36.5,36.65,35.52,35.69,19.514,-2.41%,3039830
2015/8/5,38.52,38.87,34.63,34.82,19.039,-2.44%,5577273
2015/8/6,34.77,35.64,33.72,35.31,19.306,1.41%,3157995
2015/8/7,35.18,35.76,34.15,34.32,18.765,-2.80%,1911674
2015/8/10,34.78,35.719,34.54,35.7,19.52,4.02%,2418964
2015/8/11,35.17,36.06,34.72,36.04,19.706,0.95%,2545287
2015/8/12,35.87,37.94,35.87,37.76,20.646,4.77%,2479335
2015/8/13,37.53,38.22,35.96,36.34,19.87,-3.76%,5006763
2015/8/14,36.51,36.768,35.92,36.28,19.837,-0.17%,3051502
2015/8/17,36.26,36.79,36.16,36.59,20.006,0.85%,2615711
2015/8/18,36.85,36.92,34.84,35.62,19.476,-2.65%,3507206
2015/8/19,35.28,35.56,33.75,34.99,19.131,-1.77%,4263159
2015/8/20,35.03,35.7,34.53,34.88,19.071,-0.31%,4489009
2015/8/21,34.58,35.16,33.99,34.13,18.661,-2.15%,3383529
2015/8/24,32.82,33.68,31.43,32.17,17.59,-5.74%,4431414
2015/8/25,33.54,33.54,31.62,31.63,17.294,-1.68%,3818015
2015/8/26,32.6,32.61,31.59,32.56,17.803,2.94%,3317883
2015/8/27,32.81,34.67,32.51,34.48,18.853,5.90%,2767091
2015/8/28,34.65,36.08,34.49,35.63,19.481,3.34%,3194660
2015/8/31,35.2,36.36,34.57,36.01,19.689,1.07%,3446251
2015/9/1,34.92,35.41,34.69,34.94,19.104,-2.97%,4036498
2015/9/2,35.53,35.7,34.22,35.34,19.323,1.14%,2606064
2015/9/3,35.59,36.46,35.18,35.67,19.503,0.93%,2218650
2015/9/4,34.52,35.6,34.355,35.4,19.356,-0.76%,3084324
2015/9/8,35.37,36.48,35.24,36.43,19.919,2.91%,2414010
2015/9/9,36.32,36.94,35.71,35.84,19.596,-1.62%,2607590
2015/9/10,36.08,36.28,35.29,36.16,19.771,0.89%,2127043
2015/9/11,35.38,35.76,34.687,35.19,19.241,-2.68%,1935435
2015/9/14,35.03,35.11,34.37,34.5,18.864,-1.96%,2104973
2015/9/15,34.96,35.21,34.57,34.85,19.055,1.01%,2459663
2015/9/16,35.16,36.22,35.16,36.07,19.722,3.50%,3049288
2015/9/17,36.29,37.06,35.94,36.28,19.837,0.58%,2219888
2015/9/18,35.57,35.89,35.14,35.74,19.542,-1.49%,4600672
2015/9/21,35.95,36.68,35.57,36.49,19.952,2.10%,1682693
2015/9/22,35.67,37.22,35.63,36.71,20.072,0.60%,2499941
2015/9/23,36.77,37.19,35.255,35.33,19.317,-3.76%,1950207
2015/9/24,35.17,35.24,33.86,34.83,19.044,-1.42%,2217917
2015/9/25,35.09,35.28,34.6,35.19,19.241,1.03%,1736377
2015/9/28,34.69,34.93,32.87,33,18.043,-6.22%,2768798
2015/9/29,33.29,33.57,30.67,30.86,16.873,-6.48%,4358873
2015/9/30,31.27,32.24,30.84,32.2,17.606,4.34%,3107803
2015/10/1,32.5,33,32.19,32.78,17.923,1.80%,3053907
2015/10/2,32.32,34.63,32.22,34.6,18.918,5.55%,3264751
2015/10/5,35.15,36.98,35.11,36.94,20.198,6.76%,2782211
