Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,78.37,78.76,77.99,77.99,55.84,-0.61%,759586
2015/3/25,78.17,78.34,77.19,77.25,55.31,-0.95%,1171592
2015/3/26,77,77.26,76.56,76.85,55.023,-0.52%,1226696
2015/3/27,76.88,77.34,76.78,77.02,55.145,0.22%,666535
2015/3/30,77.31,78.185,77.31,78.04,55.875,1.32%,817121
2015/3/31,77.9,78.65,77.61,77.98,55.832,-0.08%,1030382
2015/4/1,77.36,77.81,76.79,77.68,55.618,-0.38%,1297599
2015/4/2,77.81,78.89,77.54,78.72,56.362,1.34%,996106
2015/4/6,78.93,79.11,78.42,79.02,56.577,0.38%,886526
2015/4/7,78.87,79.04,78.27,78.27,56.04,-0.95%,1267242
2015/4/8,78.33,79.28,78.16,78.91,56.498,0.82%,1399448
2015/4/9,78.78,78.98,77.91,78.12,55.933,-1.00%,2002340
2015/4/10,78.1,78.66,77.79,78.62,56.291,0.64%,913140
2015/4/13,77.98,78.14,77.23,77.42,55.432,-1.53%,1606576
2015/4/14,77.39,77.96,76.97,77.95,55.811,0.68%,1662274
2015/4/15,78.11,78.21,77.235,77.39,55.41,-0.72%,1591880
2015/4/16,77.4,77.88,77.04,77.39,55.41,0.00%,1507660
2015/4/17,77,77.17,76.46,76.94,55.088,-0.58%,1612833
2015/4/20,77.35,78.36,77.18,77.88,55.761,1.22%,2419225
2015/4/21,77.74,77.87,76.45,76.64,54.873,-1.59%,1815163
2015/4/22,76.64,78.1,76.18,77.86,55.747,1.59%,2102551
2015/4/23,77.81,78.275,77.33,77.8,55.704,-0.08%,1024932
2015/4/24,77.96,77.99,76.92,77.5,55.489,-0.39%,1517453
2015/4/27,77.62,78.01,77.235,77.26,55.317,-0.31%,1638643
2015/4/28,77.24,77.505,76.28,76.35,54.665,-1.18%,1488810
2015/4/29,76.21,76.44,75.6,76.24,54.587,-0.14%,1819253
2015/4/30,76.2,76.43,75.37,75.76,54.243,-0.63%,1509530
2015/5/1,76.22,76.87,75.97,76.75,54.952,1.31%,1031600
2015/5/4,76.99,77.39,76.81,77.07,55.181,0.42%,819589
2015/5/5,76.82,77.24,76.25,76.27,54.608,-1.04%,1225940
2015/5/6,76.35,76.84,75.4,75.74,54.229,-0.69%,1348909
2015/5/7,76.27,76.63,75.78,76.29,54.622,0.73%,1250420
2015/5/8,77.11,78.01,76.89,77.09,55.195,1.05%,931119
2015/5/11,77.14,77.81,76.89,76.89,55.052,-0.26%,1020832
2015/5/12,76.42,76.63,75.82,76.42,54.716,-0.61%,773532
2015/5/13,76.46,77.03,76.4,76.76,54.959,0.44%,809123
2015/5/14,77.27,77.84,76.87,77.79,55.696,1.34%,1092222
2015/5/15,77.87,78.13,77.76,78.13,55.94,0.44%,1836339
2015/5/18,78,78.35,77.95,78.02,55.861,-0.14%,1246302
2015/5/19,78.29,78.6,77.73,77.79,55.696,-0.29%,1211406
2015/5/20,77.97,78.28,77.325,77.57,55.539,-0.28%,1090569
2015/5/21,77.64,77.93,77.38,77.59,55.553,0.03%,864194
2015/5/22,77.52,77.98,76.89,76.97,55.109,-0.80%,1124044
2015/5/26,76.79,76.83,75.3,75.51,54.064,-1.90%,1665712
2015/5/27,75.78,75.97,75.31,75.63,54.15,0.16%,1780536
2015/5/28,75.56,75.6,75.09,75.37,53.964,-0.34%,1103164
2015/5/29,75.18,75.303,74.05,74.53,53.362,-1.11%,2347877
2015/6/1,74.77,75.115,73.96,74.69,53.477,0.21%,1260847
2015/6/2,74.43,75.08,74.25,74.61,53.42,-0.11%,958452
2015/6/3,74.91,75.31,74.58,74.97,53.677,0.48%,665070
2015/6/4,74.62,74.78,73.94,73.98,52.969,-1.32%,906688
2015/6/5,73.88,74.05,73.28,73.57,52.675,-0.55%,1451229
2015/6/8,73.37,73.68,73.29,73.37,52.532,-0.27%,1285388
2015/6/9,73.24,73.26,72.4,72.81,52.131,-0.76%,1176216
2015/6/10,72.66,73.37,72.57,73.21,52.775,0.55%,1242657
2015/6/11,73.25,73.43,72.98,73.12,52.71,-0.12%,624312
2015/6/12,72.77,72.85,72.28,72.5,52.263,-0.85%,1117303
2015/6/15,71.77,72.12,71.57,71.72,51.701,-1.08%,1274364
2015/6/16,71.77,72.38,71.55,72.33,52.141,0.85%,1152502
2015/6/17,72.5,72.93,72.33,72.62,52.35,0.40%,814390
2015/6/18,72.69,73.44,72.63,72.75,52.444,0.18%,1641874
2015/6/19,72.47,72.51,71.94,72.15,52.011,-0.82%,1720024
2015/6/22,72.47,73.03,72.47,72.77,52.458,0.86%,1088820
2015/6/23,72.85,72.86,71.85,71.85,51.795,-1.26%,1011262
2015/6/24,71.66,71.98,70.94,70.94,51.139,-1.27%,905371
2015/6/25,71.23,71.31,70.38,70.62,50.908,-0.45%,1303937
2015/6/26,70.85,71.24,70.69,70.84,51.067,0.31%,1261429
2015/6/29,70.42,70.68,69.2,69.2,49.885,-2.32%,1602853
2015/6/30,69.49,69.926,69.02,69.49,50.094,0.42%,1652271
2015/7/1,70.49,71.5,69.85,69.9,50.389,0.59%,1343917
2015/7/2,70.06,70.36,69.1,69.36,50,-0.77%,1702657
2015/7/6,69.23,69.345,68.75,69.26,49.928,-0.14%,1906894
2015/7/7,69.39,70.6,68.97,70.53,50.843,1.83%,1747223
2015/7/8,70.05,70.38,69.43,69.76,50.288,-1.09%,1996206
2015/7/9,70.83,71.39,70.78,70.99,51.175,1.76%,2288892
2015/7/10,71.95,72.88,71.87,72.69,52.4,2.39%,2403048
2015/7/13,73.12,73.12,72.4,72.65,52.372,-0.06%,1884385
2015/7/14,72.59,72.89,72.45,72.65,52.372,0.00%,1492501
2015/7/15,73.16,73.469,72.6,73,52.624,0.48%,2843024
2015/7/16,73.33,73.64,72.98,73.45,52.948,0.62%,1624284
2015/7/17,73.6,73.84,73.37,73.8,53.201,0.48%,2250410
2015/7/20,73.7,74.18,73.41,74.06,53.388,0.35%,3645573
2015/7/21,74.3,74.56,71.59,73.16,52.739,-1.22%,4082324
2015/7/22,73.07,73.74,72.51,73.7,53.128,0.74%,2063999
2015/7/23,74.13,74.505,72.88,73.04,52.653,-0.90%,1795344
2015/7/24,73.02,73.11,71.825,71.84,51.788,-1.64%,1255588
2015/7/27,71.59,72,70.98,71.47,51.521,-0.52%,1662247
2015/7/28,71.8,72.52,71.21,72.41,52.199,1.32%,1479297
2015/7/29,72.56,73.31,72.08,73.2,52.768,1.09%,1328972
2015/7/30,72.96,73.15,72.16,72.88,52.537,-0.44%,964819
2015/7/31,73.23,73.42,72.801,73.08,52.681,0.27%,983927
2015/8/3,73.14,73.17,72.35,72.72,52.422,-0.49%,1181682
2015/8/4,72.75,73.3,72.51,72.78,52.465,0.08%,963243
2015/8/5,73.02,74.07,72.985,73.94,53.301,1.59%,1976208
2015/8/6,73.87,73.89,71.19,72.27,52.098,-2.26%,2155330
2015/8/7,72.06,72.62,71.68,72.46,52.235,0.26%,1387805
2015/8/10,73.17,74.1,73.14,73.99,53.337,2.11%,1655401
2015/8/11,73.22,74.02,72.675,72.87,52.53,-1.51%,1222427
2015/8/12,72.47,73.09,71.3,73,52.624,0.18%,1217736
2015/8/13,73.18,73.455,72.67,73.11,52.703,0.15%,948286
2015/8/14,73,73.74,72.91,73.57,53.035,0.63%,1099947
2015/8/17,73,73.91,72.95,73.87,53.251,0.41%,635231
2015/8/18,73.65,73.88,73.21,73.26,52.811,-0.83%,858251
2015/8/19,72.96,73.2,72.02,72.55,52.299,-0.97%,1190227
2015/8/20,71.89,71.91,70.32,70.4,50.75,-2.96%,1840295
2015/8/21,69.65,70.45,68.82,68.91,49.675,-2.12%,1965036
2015/8/24,65.645,68.21,64.31,66.8,48.154,-3.06%,3091059
2015/8/25,68.51,68.58,66.1,66.16,47.693,-0.96%,2142951
2015/8/26,67.49,67.61,65.76,67.42,48.601,1.90%,1882212
2015/8/27,68.24,68.52,66.57,67.79,48.868,0.55%,1871524
2015/8/28,67.62,68,67.19,67.74,48.832,-0.07%,1379352
2015/8/31,67.59,67.95,66.95,66.98,48.284,-1.12%,1234579
2015/9/1,65.83,66.42,64.8,65.17,46.979,-2.70%,1708993
2015/9/2,65.82,66.47,65.01,66.46,47.909,1.98%,1301311
2015/9/3,66.71,67.52,66.53,66.84,48.183,0.57%,1228431
2015/9/4,65.94,66.52,65.65,66.04,47.607,-1.20%,1712779
2015/9/8,67.28,68.07,67.07,68.05,49.055,3.04%,816348
2015/9/9,68.55,68.58,66.94,67.06,48.342,-1.45%,835434
2015/9/10,66.94,67.93,66.6,67.4,48.587,0.51%,922303
2015/9/11,67.18,67.68,66.92,67.66,48.774,0.39%,291592
2015/9/14,67.7,67.7,66.83,67.15,48.407,-0.75%,236263
2015/9/15,67.5,68.42,67.05,68.21,49.171,1.58%,1138546
2015/9/16,68.55,69.99,68.38,69.68,50.231,2.16%,1890874
2015/9/17,69.69,69.97,68.8,69.06,49.784,-0.89%,1828677
2015/9/18,67.8,68.51,67.18,67.36,48.919,-2.46%,2360160
2015/9/21,67.72,68.114,67.35,67.65,49.129,0.43%,1317984
2015/9/22,66.71,67.09,66.4,66.78,48.497,-1.29%,1241678
2015/9/23,66.72,66.97,66.25,66.82,48.526,0.06%,1102270
2015/9/24,66.42,66.7,65.84,66.38,48.207,-0.66%,1023199
2015/9/25,66.73,67.28,65.44,65.74,47.742,-0.96%,1170693
2015/9/28,65.51,65.72,64.42,64.79,47.052,-1.45%,1255681
2015/9/29,64.92,65.09,64.122,64.85,47.096,0.09%,1408488
2015/9/30,65.58,66.04,65.28,65.9,47.858,1.62%,2278208
2015/10/1,65.6,66.14,64.44,65.91,47.866,0.02%,3471977
2015/10/2,64.87,68.04,64.87,68,49.383,3.17%,1552834
2015/10/5,68.3,68.97,68.3,68.75,49.928,1.10%,1293193
2015/10/6,68.9,69.04,68.19,68.68,49.877,-0.10%,1528006
2015/10/7,69.11,70.03,68.99,69.93,50.785,1.82%,1197134
2015/10/8,69.43,71.17,69.43,70.95,51.526,1.46%,1192682
2015/10/9,70.88,71.219,70.47,70.94,51.518,-0.01%,1106574
2015/10/12,71.12,71.39,70.71,71.1,51.635,0.23%,607214
2015/10/13,70.81,71.46,70.58,70.92,51.504,-0.25%,843457
2015/10/14,71,71.58,70.62,70.87,51.468,-0.07%,927793
2015/10/15,70.99,72.21,70.81,71.71,52.078,1.19%,2380012
2015/10/16,72.03,72.74,71.81,72.18,52.419,0.66%,1882534
2015/10/19,72,72.6,71.4,72.23,52.455,0.07%,1657226
2015/10/20,72.75,73.8,71.1,72.36,52.55,0.18%,3965900
2015/10/21,72.86,73.4,72.47,72.81,52.876,0.62%,1827102
2015/10/22,73.02,74.73,73.02,74.35,53.995,2.12%,2570870
2015/10/23,74.88,75.12,73.54,73.74,53.552,-0.82%,2000003
2015/10/26,73.84,74.62,73.43,74.55,54.14,1.10%,1042901
2015/10/27,74.27,74.98,73.83,74.92,54.409,0.50%,1610632
2015/10/28,75.07,75.26,74.062,74.84,54.351,-0.11%,1498678
2015/10/29,74.85,75.45,74.39,75.33,54.707,0.65%,1002207
2015/10/30,75.37,75.58,74.81,74.92,54.409,-0.54%,1223829
2015/11/2,74.93,75.31,74.8,75,54.467,0.11%,3229804
2015/11/3,74.75,75.21,74.27,74.81,54.329,-0.25%,1365944
2015/11/4,74.89,74.99,73.41,73.53,53.399,-1.71%,1506489
2015/11/5,73.69,73.88,73,73.25,53.196,-0.38%,2178357
2015/11/6,73.12,73.52,72.425,73.5,53.378,0.34%,1141408
2015/11/9,73.46,73.59,72.16,72.52,52.666,-1.33%,1530830
2015/11/10,72.52,73.23,72.49,73.12,53.102,0.83%,1258668
2015/11/11,73.23,73.42,72.83,73.07,53.065,-0.07%,2914605
2015/11/12,72.6,73.15,72.445,72.63,52.746,-0.60%,1202432
2015/11/13,72.54,72.66,71.45,71.53,51.947,-1.51%,967357
2015/11/16,71.43,73.065,71.19,72.99,53.007,2.04%,1620085
2015/11/17,73.04,73.41,71.82,72.03,52.31,-1.32%,1596153
2015/11/18,72.21,73,71.99,72.89,52.935,1.19%,1655555
2015/11/19,72.85,73.49,72.48,73.15,53.123,0.36%,1266831
2015/11/20,73.22,73.75,73.22,73.75,53.559,0.82%,1302708
2015/11/23,73.75,74.22,73.3,73.88,53.654,0.18%,1360747
2015/11/24,73.26,73.26,72.14,73.01,53.022,-1.18%,1429861
2015/11/25,73.06,74.4,72.69,74.04,53.77,1.41%,1215365
2015/11/27,73.79,74.3,73.11,73.69,53.516,-0.47%,545701
2015/11/30,73.95,74.1,73.21,73.92,53.683,0.31%,1727355
2015/12/1,74.42,75.16,74.19,75,54.467,1.46%,1956677
2015/12/2,75.05,75.22,74.06,74.14,53.842,-1.15%,1202250
2015/12/3,74.17,74.585,73.48,74.1,53.813,-0.05%,2056115
2015/12/4,74.27,75.66,74.19,75.24,54.641,1.54%,2373868
2015/12/7,75.01,77.09,74.62,76.53,55.578,1.71%,3788924
2015/12/8,76.12,76.64,75.66,76.31,55.418,-0.29%,2424270
2015/12/9,75.85,76.59,74.68,75.01,54.474,-1.70%,2398392
2015/12/10,75.19,76.17,75.07,75.44,54.786,0.57%,1540271
2015/12/11,74.48,75.4,73.84,74.2,53.886,-1.64%,1985881
2015/12/14,74.45,75.2,73.67,74.09,53.806,-0.15%,2141450
2015/12/15,74.39,74.74,73.77,73.98,53.726,-0.15%,1995432
2015/12/16,73.98,74.89,73.56,74.73,54.634,1.01%,1906796
2015/12/17,74.7,74.74,73.53,73.67,53.859,-1.42%,2057037
2015/12/18,73.52,74.2,73.29,73.62,53.822,-0.07%,2061955
2015/12/21,74.26,74.5,73.92,74.39,54.385,1.05%,1281987
2015/12/22,74.59,75.58,74.17,75.41,55.131,1.37%,1580186
2015/12/23,75.63,76.42,75.36,76.33,55.804,1.22%,1827709
2015/12/24,76.2,76.63,75.8,76.08,55.621,-0.33%,900006
2015/12/28,75.82,76.525,75.72,76.51,55.935,0.57%,1251710
2015/12/29,76.95,77.242,76.52,77.15,56.403,0.84%,1475427
2015/12/30,77.09,77.57,76.58,76.63,56.023,-0.67%,1632802
2015/12/31,74.9,76.47,74.44,75.66,55.314,-1.27%,2015255
2016/1/4,74.39,74.44,72.81,73.57,53.786,-2.76%,2150743
2016/1/5,74.04,74.24,73.17,73.96,54.071,0.53%,1820392
2016/1/6,73.18,73.44,71.565,71.94,52.594,-2.73%,2415181
2016/1/7,70.42,71.71,69.965,70.51,51.549,-1.99%,1721749
2016/1/8,71.16,71.41,69.71,69.9,51.103,-0.87%,1502654
2016/1/11,70.23,70.56,68.85,69.65,50.92,-0.36%,1714798
2016/1/12,70.29,71.11,70.07,70.8,51.761,1.65%,1556161
2016/1/13,70.94,71.24,69.14,69.25,50.628,-2.19%,1113466
2016/1/14,69.56,71.09,69.01,70.75,51.724,2.17%,1364138
2016/1/15,68.94,70.04,68.83,69.67,50.935,-1.53%,1472297
2016/1/19,70.43,70.72,68.69,68.89,50.364,-1.12%,1748741
2016/1/20,68.01,68.7,66.48,67.94,49.67,-1.38%,2177314
2016/1/21,68.26,69.23,67.09,68.65,50.189,1.05%,1198735
2016/1/22,69.7,71,69.25,70.61,51.622,2.86%,1601168
2016/1/25,70.25,70.73,69.77,69.88,51.088,-1.03%,1353624
2016/1/26,70.29,72.07,70.23,71.99,52.631,3.02%,1796262
2016/1/27,71.86,72.76,71.01,71.52,52.287,-0.65%,2266802
2016/1/28,71.84,72.005,70.62,71.89,52.558,0.52%,1921328
2016/1/29,72.25,73.47,72.18,73.35,53.625,2.03%,2020292
2016/2/1,72.91,74.52,72.65,73.95,54.064,0.82%,1739649
2016/2/2,73.08,73.22,72.21,72.37,52.909,-2.14%,1580322
2016/2/3,72.86,73.24,71.78,72.47,52.982,0.14%,1750366
2016/2/4,72.51,73.78,72.07,72.65,53.113,0.25%,1960548
2016/2/5,72.58,72.76,70.89,71.21,52.061,-1.98%,2649194
2016/2/8,70.24,70.41,68.05,69.72,50.971,-2.09%,3711156
2016/2/9,69.72,72.83,69.72,71.62,52.36,2.73%,4780394
2016/2/10,72.39,74.77,72.15,73.47,53.713,2.58%,3863169
2016/2/11,72.5,73.38,71.25,71.89,52.558,-2.15%,2923335
2016/2/12,72.63,73.41,71.25,73.35,53.625,2.03%,1772715
2016/2/16,74.05,75.96,73.15,75.75,55.38,3.27%,2114234
2016/2/17,76.2,76.53,75.1,75.46,55.168,-0.38%,2073189
2016/2/18,75.39,76.52,75.25,76.01,55.57,0.73%,2036312
2016/2/19,75.99,76.52,75.4,76.52,55.943,0.67%,1466170
2016/2/22,76.98,77.6,76.3,77.12,56.381,0.78%,1341638
2016/2/23,77.04,77.64,76.72,76.82,56.162,-0.39%,1350891
2016/2/24,75.92,77.02,75.4,76.9,56.22,0.10%,1911521
2016/2/25,77.08,77.85,76.3,77.71,56.813,1.05%,1997041
2016/2/26,78,78.25,77.35,77.61,56.739,-0.13%,1226686
2016/2/29,77.72,78.69,77.62,77.81,56.886,0.26%,2051434
2016/3/1,78.63,79.23,78.28,79,57.756,1.53%,1961070
2016/3/2,78.71,79.14,77.98,78.41,57.324,-0.75%,2231831
2016/3/3,78.53,78.74,77.24,78.39,57.31,-0.03%,4042025
2016/3/4,78.47,78.97,77.89,78.76,57.58,0.47%,2099633
2016/3/7,77.84,78.62,77.47,78.5,57.756,-0.33%,1446493
2016/3/8,77.93,78.385,77.42,77.86,57.285,-0.82%,1318953
2016/3/9,78.25,78.28,77.15,77.63,57.116,-0.30%,1323239
2016/3/10,78.02,78.54,77.15,77.58,57.079,-0.06%,1569319
2016/3/11,78.28,79.27,78.23,78.95,58.087,1.77%,1606325
2016/3/14,78.57,79.195,77.74,78.97,58.101,0.03%,746048
2016/3/15,78.32,79.19,78.21,78.89,58.043,-0.10%,1222372
2016/3/16,78.6,79.84,78.24,79.69,58.631,1.01%,909541
2016/3/17,79.84,80.76,79.75,80.46,59.198,0.97%,1591012
2016/3/18,80.58,81.34,80.53,80.98,59.58,0.65%,2246349
2016/3/21,80.67,81.74,80.53,81.48,59.948,0.62%,1361230
2016/3/22,81.15,81.92,80.89,81.34,59.845,-0.17%,1187302
2016/3/23,81.57,81.96,80.99,81.29,59.808,-0.06%,1711230
2016/3/24,80.97,81.4,80.63,81.34,59.845,0.06%,1186625
2016/3/28,81.38,82.51,81.23,82.2,60.478,1.06%,1617460
2016/3/29,82.2,82.98,81.93,82.8,60.919,0.73%,1158867
2016/3/30,82.99,83.859,82.77,83.32,61.302,0.63%,1743136
2016/3/31,83.41,84.23,83,83.23,61.236,-0.11%,1680537
2016/4/1,82.29,84.09,82.19,83.9,61.729,0.80%,2003253
2016/4/4,83.85,84.29,83.46,83.88,61.714,-0.02%,1722467
2016/4/5,83.76,83.87,83.15,83.32,61.302,-0.67%,1299762
2016/4/6,83.47,84.08,83.32,84,61.802,0.82%,1131651
