Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,12.67,12.67,12.36,12.375,12.375,-2.56%,8404993
2015/3/25,12.39,12.454,11.82,11.905,11.905,-3.80%,12645617
2015/3/26,11.71,11.785,11.43,11.63,11.63,-2.31%,9095774
2015/3/27,11.66,11.905,11.555,11.8,11.8,1.46%,7660336
2015/3/30,11.85,12.17,11.825,12.13,12.13,2.80%,11237660
2015/3/31,12.08,12.18,11.99,12.11,12.11,-0.16%,10621277
2015/4/1,11.51,11.55,11.08,11.485,11.485,-5.16%,21684763
2015/4/2,11.45,11.8,11.45,11.7,11.7,1.87%,6482398
2015/4/6,11.5,11.64,11.4,11.54,11.54,-1.37%,3067076
2015/4/7,11.58,11.78,11.45,11.54,11.54,0.00%,3774007
2015/4/8,11.57,11.65,11.46,11.52,11.52,-0.17%,2957687
2015/4/9,11.48,11.59,11.415,11.57,11.57,0.43%,2148169
2015/4/10,11.55,11.59,11.48,11.58,11.58,0.09%,1858476
2015/4/13,11.53,11.74,11.51,11.64,11.64,0.52%,2112935
2015/4/14,11.65,11.67,11.42,11.46,11.46,-1.55%,2664856
2015/4/15,11.54,12,11.46,11.94,11.94,4.19%,4960423
2015/4/16,11.93,12.4,11.86,12.37,12.37,3.60%,7829686
2015/4/17,12.35,12.35,11.66,11.84,11.84,-4.28%,4353593
2015/4/20,11.88,11.95,11.74,11.81,11.81,-0.25%,3512973
2015/4/21,11.88,12.22,11.76,12.17,12.17,3.05%,5633081
2015/4/22,12.23,12.51,12.14,12.36,12.36,1.56%,6454017
2015/4/23,11.86,12.363,11.71,12.245,12.245,-0.93%,6275767
2015/4/24,12.25,12.25,11.31,11.62,11.62,-5.10%,8253119
2015/4/27,11.69,11.88,11.48,11.59,11.59,-0.26%,3074881
2015/4/28,11.56,11.7,11.47,11.56,11.56,-0.26%,3349189
2015/4/29,11.46,11.7,11.39,11.67,11.67,0.95%,2075564
2015/4/30,11.68,11.75,11.5,11.52,11.52,-1.29%,2390020
2015/5/1,11.6,11.88,11.57,11.81,11.81,2.52%,5236902
2015/5/4,12.64,13.12,12.425,12.5,12.5,5.84%,13465814
2015/5/5,12.31,12.46,12.04,12.06,12.06,-3.52%,5235800
2015/5/6,12.14,12.32,11.93,12.1,12.1,0.33%,2628116
2015/5/7,12.07,12.22,11.96,12.09,12.09,-0.08%,3860612
2015/5/8,12.2,12.36,12.1,12.3,12.3,1.74%,2971042
2015/5/11,12.31,12.53,12.27,12.43,12.43,1.06%,2572229
2015/5/12,12.3,12.455,12.16,12.41,12.41,-0.16%,2955261
2015/5/13,12.5,12.64,12.26,12.37,12.37,-0.32%,4061726
2015/5/14,12.45,12.55,12.3,12.44,12.44,0.57%,3256928
2015/5/15,12.63,12.73,12.46,12.61,12.61,1.37%,3894948
2015/5/18,12.57,12.84,12.57,12.81,12.81,1.59%,2715977
2015/5/19,12.87,12.94,12.7,12.77,12.77,-0.31%,3742298
2015/5/20,12.76,12.89,12.6,12.61,12.61,-1.25%,3488529
2015/5/21,12.63,12.65,12.48,12.57,12.57,-0.32%,2119109
2015/5/22,12.67,12.78,12.53,12.66,12.66,0.72%,2067798
2015/5/26,12.6,12.645,12.39,12.465,12.465,-1.54%,2497827
2015/5/27,12.49,13.115,12.45,13.01,13.01,4.37%,4858687
2015/5/28,12.96,13.27,12.91,12.99,12.99,-0.15%,3756333
2015/5/29,13.01,13.33,12.97,13.26,13.26,2.08%,5035199
2015/6/1,13.25,13.355,13.06,13.09,13.09,-1.28%,3963456
2015/6/2,13.01,13.01,12.76,12.98,12.98,-0.84%,11354429
2015/6/3,13.5,13.5,13.204,13.26,13.26,2.16%,32642094
2015/6/4,13.21,13.26,12.84,12.88,12.88,-2.87%,7787998
2015/6/5,12.88,12.96,12.73,12.93,12.93,0.39%,3744467
2015/6/8,13.01,13.02,12.385,12.48,12.48,-3.48%,6491327
2015/6/9,12.51,12.63,12.37,12.47,12.47,-0.08%,8315834
2015/6/10,12.56,12.725,12.411,12.64,12.64,1.36%,6783864
2015/6/11,12.69,12.83,12.62,12.78,12.78,1.11%,5922198
2015/6/12,12.38,12.55,12.17,12.39,12.39,-3.05%,6225604
2015/6/15,12.28,12.48,12.08,12.41,12.41,0.16%,5073161
2015/6/16,12.57,12.65,12.37,12.51,12.51,0.81%,4264427
2015/6/17,12.51,12.51,12.17,12.37,12.37,-1.12%,6328328
2015/6/18,12.41,12.62,12.35,12.59,12.59,1.78%,4928942
2015/6/19,12.61,12.67,12.37,12.51,12.51,-0.64%,5488240
2015/6/22,12.63,12.66,12.43,12.55,12.55,0.32%,3106425
2015/6/23,12.57,12.65,12.4,12.58,12.58,0.24%,5162200
2015/6/24,12.54,12.705,12.45,12.52,12.52,-0.48%,5505136
2015/6/25,12.58,12.71,12.48,12.51,12.51,-0.08%,2948799
2015/6/26,12.46,12.51,11.93,12,12,-4.08%,10679474
2015/6/29,11.89,12.09,11.65,11.72,11.72,-2.33%,5731297
2015/6/30,11.8,11.97,11.66,11.69,11.69,-0.26%,4275156
2015/7/1,11.76,11.86,11.52,11.57,11.57,-1.03%,4952593
2015/7/2,11.62,11.64,11.36,11.46,11.46,-0.95%,4866908
2015/7/6,11.32,11.48,11.13,11.26,11.26,-1.75%,4234508
2015/7/7,11.32,11.36,10.845,11.35,11.35,0.80%,5840161
2015/7/8,11.2,11.35,10.93,11.06,11.06,-2.56%,8060962
2015/7/9,11.19,11.25,10.85,10.9,10.9,-1.45%,8991994
2015/7/10,11.04,11.35,10.88,11.34,11.34,4.04%,7221806
2015/7/13,11.31,11.34,11.04,11.17,11.17,-1.50%,6219202
2015/7/14,11.15,11.285,11.1,11.22,11.22,0.45%,5520992
2015/7/15,11.24,11.3,11.01,11.08,11.08,-1.25%,6557514
2015/7/16,10.89,11.105,10.74,10.86,10.86,-1.99%,12304646
2015/7/17,10.89,10.94,10.71,10.87,10.87,0.09%,5906061
2015/7/20,10.8,10.93,10.72,10.74,10.74,-1.20%,4262802
2015/7/21,10.71,10.93,10.64,10.84,10.84,0.93%,5064123
2015/7/22,10.49,10.5,10.21,10.3,10.3,-4.98%,11986679
2015/7/23,10.39,10.7,10.39,10.53,10.53,2.23%,6931284
2015/7/24,10.61,10.61,10.28,10.31,10.31,-2.09%,5472164
2015/7/27,10.2,10.35,10.03,10.14,10.14,-1.65%,5424273
2015/7/28,10.23,10.63,10.09,10.54,10.54,3.94%,8670795
2015/7/29,10.55,10.76,10.47,10.73,10.73,1.80%,6065923
2015/7/30,10.69,10.8,10.6,10.72,10.72,-0.09%,3858996
2015/7/31,10.67,10.79,10.56,10.62,10.62,-0.93%,4559934
2015/8/3,10.55,10.89,10.3,10.34,10.34,-2.64%,11218551
2015/8/4,10.17,10.3,9.87,10.21,10.21,-1.26%,14133569
2015/8/5,10.27,10.48,10.235,10.31,10.31,0.98%,6224088
2015/8/6,10.09,10.29,10.05,10.16,10.16,-1.45%,4855914
2015/8/7,10.12,10.35,10.05,10.25,10.25,0.89%,4393093
2015/8/10,10.17,10.52,10.14,10.43,10.43,1.76%,3898143
2015/8/11,10.31,10.38,9.99,10.01,10.01,-4.03%,5813176
2015/8/12,9.88,10.13,9.715,10.1,10.1,0.90%,4797676
2015/8/13,10.07,10.11,9.85,9.87,9.87,-2.28%,2561145
2015/8/14,9.78,9.92,9.7,9.91,9.91,0.41%,2984006
2015/8/17,9.92,10.12,9.8,10.1,10.1,1.92%,2566862
2015/8/18,10.04,10.09,9.83,9.85,9.85,-2.48%,3845285
2015/8/19,9.9,9.93,9.58,9.67,9.67,-1.83%,2892680
2015/8/20,9.57,9.91,9.23,9.27,9.27,-4.14%,3513161
2015/8/21,9.2,9.43,9.09,9.18,9.18,-0.97%,7429395
