Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,214.51,216.23,214,214.515,214.515,-0.36%,500318
2015/3/25,214.96,215.52,208.95,208.98,208.98,-2.58%,591378
2015/3/26,208.42,211.89,206.86,211.19,211.19,1.06%,575184
2015/3/27,210.38,215.87,209.93,215.42,215.42,2.00%,594303
2015/3/30,217.24,220.11,216.25,219.38,219.38,1.84%,657877
2015/3/31,217.57,219.98,216.14,216.24,216.24,-1.43%,707574
2015/4/1,216.64,216.78,212.77,215.3,215.3,-0.43%,804274
2015/4/2,215.34,216.8,214.31,215.58,215.58,0.13%,480103
2015/4/6,213.28,218.3,212.81,216.2,216.2,0.29%,569246
2015/4/7,216.47,217.77,215.595,216.125,216.125,-0.03%,351245
2015/4/8,216.54,218.14,215.1,218.1,218.1,0.91%,589197
2015/4/9,217.28,222.935,216.47,218.52,218.52,0.19%,461963
2015/4/10,219.29,220.52,218.07,220.015,220.015,0.68%,363803
2015/4/13,220.39,220.69,217.95,218.22,218.22,-0.82%,516045
2015/4/14,218.35,219.13,216.92,217.04,217.04,-0.54%,396699
2015/4/15,217.25,218.375,215.53,215.91,215.91,-0.52%,504662
2015/4/16,216.06,216.57,214.5,215.41,215.41,-0.23%,599373
2015/4/17,214.25,215.69,212.15,214.05,214.05,-0.63%,495476
2015/4/20,215.66,218.11,214.34,217.15,217.15,1.45%,566244
2015/4/21,218.72,219.92,216.135,217.07,217.07,-0.04%,475866
2015/4/22,217.07,217.36,214.19,216.67,216.67,-0.18%,770523
2015/4/23,225,230.77,224,228.31,228.31,5.37%,1374785
2015/4/24,228.05,229.8,227.09,229.35,229.35,0.46%,747589
2015/4/27,230,230,224.82,225.13,225.13,-1.84%,498525
2015/4/28,225.2,226.56,223.55,226.26,226.26,0.50%,709550
2015/4/29,225.46,225.8,220.57,220.96,220.96,-2.34%,687614
2015/4/30,220.87,222.86,216.72,217.83,217.83,-1.42%,657049
2015/5/1,219,222.48,218.21,222.04,222.04,1.93%,691948
2015/5/4,221.85,223.51,220.61,222.79,222.79,0.34%,407854
2015/5/5,221.82,223.1,218.76,219.52,219.52,-1.47%,576434
2015/5/6,220.26,220.6,216.41,217.38,217.38,-0.97%,671424
2015/5/7,217.88,220.66,217.84,219.38,219.38,0.92%,584488
2015/5/8,221.03,223.86,220.39,221.09,221.09,0.78%,586685
2015/5/11,220.81,222.61,220,220.48,220.48,-0.28%,634532
2015/5/12,219.35,221.31,218.58,220.195,220.195,-0.13%,501726
2015/5/13,220.01,222.02,218.6,219.58,219.58,-0.28%,507225
2015/5/14,221.23,222.62,218.86,222.28,222.28,1.23%,456622
2015/5/15,222.78,223.452,221.778,223.05,223.05,0.35%,485683
2015/5/18,223.05,225,222.81,224.27,224.27,0.55%,440871
2015/5/19,224.6,225.93,223.62,223.93,223.93,-0.15%,395113
2015/5/20,224.54,224.98,222.11,222.33,222.33,-0.71%,339988
2015/5/21,220.98,225.46,220.98,224.94,224.94,1.17%,465442
2015/5/22,224.37,226,223.62,224.4,224.4,-0.24%,356353
2015/5/26,224.23,225.87,222.46,222.83,222.83,-0.70%,562938
2015/5/27,223.25,223.85,222.37,222.54,222.54,-0.13%,360434
2015/5/28,222.72,223.585,221.26,222.67,222.67,0.06%,438622
2015/5/29,221.68,222.92,219.27,219.53,219.53,-1.41%,821940
2015/6/1,220.8,223.18,218.82,222.49,222.49,1.35%,568537
2015/6/2,221.14,223.79,221.14,222.9,222.9,0.18%,577978
2015/6/3,223.78,225,222.9,224.22,224.22,0.59%,336903
2015/6/4,223.11,224.86,221.87,222.12,222.12,-0.94%,433607
2015/6/5,221.61,223.11,221.02,222.09,222.09,-0.01%,349690
2015/6/8,221.61,223.14,221.61,221.84,221.84,-0.11%,425804
2015/6/9,221.41,223.95,220.78,222.93,222.93,0.49%,327794
2015/6/10,223.53,226.21,222.93,225.68,225.68,1.23%,389849
2015/6/11,226.47,227.67,225.57,226.03,226.03,0.16%,410758
2015/6/12,225.1,226.33,224.71,225.45,225.45,-0.26%,411532
2015/6/15,223.8,224.83,222.18,223.32,223.32,-0.94%,511505
2015/6/16,223.56,226.46,223.24,225.86,225.86,1.14%,378230
2015/6/17,227.09,227.735,224.08,226.22,226.22,0.16%,376701
2015/6/18,226.52,229.98,226.52,229.36,229.36,1.39%,583172
2015/6/19,229.43,231.38,228.03,229.45,229.45,0.04%,969501
2015/6/22,230.57,230.956,229.34,230.64,230.64,0.52%,426432
2015/6/23,230.95,232.24,230.288,231.76,231.76,0.49%,388764
2015/6/24,230.83,231.8,229.845,230.19,230.19,-0.68%,422044
2015/6/25,230.96,233.45,230.61,231.77,231.77,0.69%,512550
2015/6/26,232.93,233.84,231.5,232.41,232.41,0.28%,635114
2015/6/29,231.08,231.13,226.268,226.43,226.43,-2.57%,568469
