Date,Open,High,Low,Close,Adj. Close,Change,Volume
2020/3/20,45.01,46.01,45,45,41.889,-0.55%,3557
2020/3/23,42,42,39.98,40,37.235,-11.11%,11888
2020/3/24,40,40,39,40,37.235,0,77832
2020/3/25,40,44.8,38,41.01,38.175,2.52%,6995
2020/3/26,45,47.5,44.25,45,41.889,9.73%,29072
2020/3/27,45,47.5,44.99,45.235,42.108,0.52%,263228
2020/3/30,44.25,50,44.25,50,46.544,10.53%,117962
2020/3/31,46.5,50,44.78,50,46.544,0.00%,210314
2020/4/1,45.99,48.5,44,46.7,43.472,-6.60%,1206140
2020/4/2,45.024,48.66,43.2,44,40.958,-5.78%,9264179
2020/4/3,43.75,49.3,41.8,47.32,44.049,7.55%,22550686
2020/4/6,47,47.85,44.7,45.94,42.764,-2.92%,10293656
2020/4/7,45.15,46.99,42.93,44.28,41.219,-3.61%,12145730
2020/4/8,42.21,45.2,41.26,44.09,41.042,-0.43%,22263117
2020/4/9,44.05,50.25,44,49.14,45.743,11.45%,17320908
2020/4/13,48.55,48.67,45.72,46,42.82,-6.39%,8545135
2020/4/14,45.91,46.3,43.97,45.89,42.718,-0.24%,10152078
2020/4/15,44.19,44.85,42.8,44.55,41.47,-2.92%,7934872
2020/4/16,44.08,46.407,43.55,45.62,42.466,2.40%,8738163
2020/4/17,47,48.56,45.92,46.15,42.96,1.16%,7877295
2020/4/20,45,46.98,44.9,45.39,42.252,-1.65%,5406460
2020/4/21,44.5,47.2,44.5,45.9,42.727,1.12%,6845537
2020/4/22,47.31,49.55,46,47.05,43.798,2.51%,6801923
2020/4/23,47.44,48.04,46.48,47.47,44.188,0.89%,5174839
2020/4/24,48.02,48.5,46.31,47.85,44.542,0.80%,6446904
2020/4/27,48.08,48.6,47.61,48.22,44.887,0.77%,5541142
2020/4/28,49.07,50.95,48.65,49.86,46.413,3.40%,5367432
2020/4/29,50.77,51.73,49.71,51.15,47.614,2.59%,4343874
2020/4/30,50.97,51.6,50.5,50.91,47.391,-0.47%,6122344
2020/5/1,50.33,50.53,48.31,49.71,46.274,-2.36%,3089653
2020/5/4,48.85,49.67,47.51,49.53,46.106,-0.36%,5675901
2020/5/5,49.53,50.64,47.96,48.09,44.766,-2.91%,4102721
2020/5/6,48.61,49,47.89,48.31,44.97,0.46%,2931809
2020/5/7,49.02,53.29,48.99,51.81,48.228,7.24%,4803211
2020/5/8,52.12,54.17,52.11,52.95,49.29,2.20%,4381595
2020/5/11,52,52.4,51.06,51.81,48.228,-2.15%,3150608
2020/5/12,52.19,52.29,49.69,49.72,46.283,-4.03%,3059822
2020/5/13,49,50.3,47.885,48.21,44.877,-3.04%,4567027
2020/5/14,47.61,48.4,47.23,48,44.682,-0.44%,4849918
2020/5/15,47.32,49.22,47.2,48.89,45.51,1.85%,2981386
2020/5/18,50.12,52.34,50.12,52.13,48.526,6.63%,4452633
2020/5/19,51.68,52.928,51.055,52.31,48.694,0.35%,2050277
2020/5/20,52.55,54.7,52.475,53.18,49.504,1.66%,4755123
2020/5/21,52.36,53.55,51.87,52.03,48.619,-2.16%,3813099
2020/5/22,52.46,52.72,50.92,51.71,48.32,-0.62%,2134326
2020/5/26,53.03,53.99,50.7,50.89,47.554,-1.59%,6247010
2020/5/27,51.59,52.65,50.77,52.38,48.947,2.93%,5202304
2020/5/28,52.87,52.95,50.93,50.96,47.62,-2.71%,4260743
2020/5/29,50.44,52.87,50.18,52.65,49.199,3.32%,7522693
2020/6/1,52.45,54.44,52.11,54.08,50.535,2.72%,3073306
2020/6/2,54.16,54.75,53.29,54.15,50.6,0.13%,2638087
2020/6/3,55,55.58,54.55,55.47,51.834,2.44%,4134460
2020/6/4,55.3,56.66,54.69,55.4,51.769,-0.13%,3281326
2020/6/5,57.83,58.709,56,58.57,54.731,5.72%,4615096
2020/6/8,58.68,61.32,58.36,61.26,57.244,4.59%,5964233
2020/6/9,60.4,61.46,59.24,60.65,56.674,-1.00%,4609470
2020/6/10,60.61,60.96,59.02,59.03,55.161,-2.67%,2657074
2020/6/11,56,58.07,55.705,56.25,52.563,-4.71%,3293895
2020/6/12,57.73,58.98,55.1,56.04,52.367,-0.37%,4313050
2020/6/15,54.51,57.8,53.83,57.67,53.89,2.91%,4464319
2020/6/16,59.5,59.8,57.375,57.85,54.058,0.31%,3510267
2020/6/17,58.12,58.19,56.46,56.74,53.021,-1.92%,2441519
2020/6/18,56.44,57.68,56.24,57.49,53.722,1.32%,2137452
2020/6/19,58.96,58.96,55.95,57,53.264,-0.85%,7096091
2020/6/22,56.88,58.18,56.64,57.06,53.32,0.11%,2026992
2020/6/23,57.69,57.87,56.59,56.8,53.077,-0.46%,2386939
2020/6/24,56.15,56.97,55.25,55.54,51.899,-2.22%,3021969
2020/6/25,55.05,56.5,54.76,56.2,52.516,1.19%,2942165
2020/6/26,56.23,56.48,54.442,55.79,52.133,-0.73%,6634303
2020/6/29,55.89,56.8,55.33,56.57,52.862,1.40%,2257457
2020/6/30,55.97,57.1,55.51,56.86,53.133,0.51%,2518132
2020/7/1,57,57,55.75,55.78,52.124,-1.90%,2400757
2020/7/2,56.43,57.24,55.77,56.5,52.796,1.29%,3162928
2020/7/6,57.38,57.58,56.43,56.86,53.133,0.64%,1999116
2020/7/7,56.43,57.31,56.12,56.82,53.095,-0.07%,2537942
2020/7/8,57.03,57.15,56.27,56.92,53.189,0.18%,6694895
2020/7/9,56.86,57.94,56.07,56.11,52.432,-1.42%,2424151
2020/7/10,56.23,57.31,56.04,56.98,53.245,1.55%,2137282
2020/7/13,56.56,57.94,56.465,56.89,53.161,-0.16%,2882539
2020/7/14,56.22,57.45,56.03,57.37,53.609,0.84%,2754955
2020/7/15,58.01,59,57.86,58.2,54.385,1.45%,2358423
2020/7/16,58,58.56,57.658,58.32,54.497,0.21%,2628822
2020/7/17,58.73,59.03,58.15,58.55,54.712,0.39%,2983081
2020/7/20,58.42,59.65,57.99,58.56,54.721,0.02%,2407812
2020/7/21,58.38,58.94,58.1,58.44,54.609,-0.20%,2314045
2020/7/22,57.96,58.93,57.68,58.48,54.647,0.07%,2034327
2020/7/23,58.5,59.468,58.34,59.06,55.189,0.99%,2566689
2020/7/24,59.18,59.195,57.63,58.13,54.32,-1.57%,3142148
2020/7/27,57.86,58.44,57.6,58.32,54.497,0.33%,2670339
2020/7/28,59.82,61.83,59.7,60.28,56.329,3.36%,4473631
2020/7/29,60.96,64.36,60.96,64.3,60.085,6.67%,4885387
2020/7/30,63.44,64.52,63.15,63.39,59.235,-1.42%,2306996
2020/7/31,62.93,63.19,62.18,62.74,58.627,-1.03%,3156178
2020/8/3,63.02,63.82,62.74,63.21,59.067,0.75%,3200490
2020/8/4,62.58,62.9,61.97,62.61,58.506,-0.95%,1739425
2020/8/5,62.74,63.65,62.34,63.09,58.954,0.77%,2644969
2020/8/6,62.89,63.52,62.865,63.48,59.319,0.62%,1557463
2020/8/7,63.16,64.47,63.16,64.41,60.188,1.47%,1169123
2020/8/10,64.29,65.3,64.29,65.21,60.935,1.24%,1572675
2020/8/11,65.52,65.95,64.33,64.37,60.151,-1.29%,2787721
2020/8/12,64.97,65.47,64.22,64.9,60.646,0.82%,1496578
2020/8/13,64.96,64.96,63.83,64,59.805,-1.39%,1436187
2020/8/14,63.71,64.51,63.6,64.07,59.87,0.11%,1633916
2020/8/17,64.46,64.53,63.71,63.96,59.767,-0.17%,1785505
2020/8/18,63.85,64.4,63.375,63.45,59.291,-0.80%,1680153
2020/8/19,63.48,63.59,62.59,62.92,58.796,-0.84%,1549081
2020/8/20,62.16,63.25,61.81,62.97,59.029,0.08%,1291462
2020/8/21,63.03,63.74,62.59,63.63,59.648,1.05%,2649469
2020/8/24,63.61,64.23,63.04,63.8,59.807,0.27%,3199942
2020/8/25,64.41,64.81,63.905,64.29,60.267,0.77%,1604343
2020/8/26,64.28,64.79,63.748,64.18,60.163,-0.17%,1161925
2020/8/27,64.47,64.905,63.17,63.23,59.273,-1.48%,1341726
2020/8/28,63.27,63.63,62.65,63.59,59.61,0.57%,1129890
2020/8/31,63.61,63.84,62.84,62.9,58.964,-1.09%,1736431
2020/9/1,62.52,64.28,62.325,64.05,60.042,1.83%,2334134
2020/9/2,63.73,65.56,63.65,65.34,61.251,2.01%,1827188
2020/9/3,64.88,65.45,61.06,61.85,57.979,-5.34%,3096875
2020/9/4,62.5,62.6,60.43,61.49,57.642,-0.58%,2697093
2020/9/8,61.43,61.75,60.46,60.63,56.836,-1.40%,2138023
2020/9/9,61.03,62.53,61,62.08,58.195,2.39%,1888567
2020/9/10,61.98,61.98,59.73,59.9,56.151,-3.51%,3828933
2020/9/11,60.26,60.71,59.775,60.14,56.376,0.40%,2273409
2020/9/14,60.57,60.57,59.067,59.99,56.236,-0.25%,2420195
2020/9/15,60.03,61.62,60.03,60.3,56.526,0.52%,1629575
2020/9/16,60.86,61.01,59.4,59.79,56.048,-0.85%,2457021
2020/9/17,58.75,61.09,58.04,61.04,57.22,2.09%,2219891
2020/9/18,61.16,62.64,60.39,60.88,57.07,-0.26%,3806523
2020/9/21,60,60.22,58.67,59.41,55.692,-2.41%,2512107
2020/9/22,58.94,61.12,58.86,60.99,57.173,2.66%,1841562
2020/9/23,60.77,61.77,60.2,60.41,56.629,-0.95%,1733683
2020/9/24,60.85,62.75,60.46,62.08,58.195,2.76%,2375112
2020/9/25,61.61,62.35,61.19,61.55,57.698,-0.85%,1557768
2020/9/28,62.27,62.88,61.9,62.51,58.598,1.56%,1233920
2020/9/29,62.42,62.76,61.88,62.41,58.504,-0.16%,1448947
2020/9/30,62.71,63.6,61.95,62.42,58.514,0.02%,2494042
