Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,72.9,73.24,72.41,72.45,51.679,-0.56%,2861855
2015/3/25,72.98,74.235,72.71,73.72,52.585,1.75%,4783441
2015/3/26,74.61,74.7,73.12,73.73,52.592,0.01%,4952509
2015/3/27,73.04,73.63,72.55,72.72,51.872,-1.37%,3598985
2015/3/30,73.44,74.32,73.35,73.98,52.77,1.73%,3906940
2015/3/31,73,73.72,72.69,73,52.071,-1.32%,4892869
2015/4/1,74.22,74.58,73.47,74.24,52.956,1.70%,4429167
2015/4/2,73.64,74.77,73.35,74.55,53.177,0.42%,5277579
2015/4/6,74.95,77.01,74.5,76.51,54.575,2.63%,6997452
2015/4/7,76.59,77.12,76.02,76.81,54.789,0.39%,4482065
2015/4/8,77.02,77.21,76.48,76.6,54.639,-0.27%,5089682
2015/4/9,76.64,78.05,76.6,77.83,55.517,1.61%,4097984
2015/4/10,78.12,78.52,77.61,78.45,55.959,0.80%,3338221
2015/4/13,78.85,79.04,77.695,77.74,55.453,-0.91%,2654992
2015/4/14,78.35,79.577,78.23,79.3,56.565,2.01%,4573449
2015/4/15,80.19,82.06,79.74,81.51,58.142,2.79%,6766474
2015/4/16,81.17,81.74,80.35,81.37,58.042,-0.17%,5510780
2015/4/17,80.84,81.12,79.71,80.53,57.443,-1.03%,6579346
2015/4/20,80.62,81.44,80.26,80.37,57.329,-0.20%,3881136
2015/4/21,80.37,80.47,79.23,79.45,56.672,-1.14%,2982318
2015/4/22,79.68,79.94,78.75,79.59,56.772,0.18%,3466230
2015/4/23,79.85,80.75,79.64,80.04,57.093,0.57%,3425361
2015/4/24,79.69,80,79.2,79.77,56.901,-0.34%,3432011
2015/4/27,80.14,80.44,79.41,79.43,56.658,-0.43%,4671104
2015/4/28,79.22,79.82,78.81,79.7,56.851,0.34%,2747615
2015/4/29,79.51,80.28,79.3,80.11,57.143,0.51%,3929699
2015/4/30,80.4,80.64,79.4,80.1,57.136,-0.01%,3855088
2015/5/1,79.96,80.6,79.65,80.5,57.421,0.50%,3351709
2015/5/4,80.59,80.69,79.41,80.03,57.086,-0.58%,2778351
2015/5/5,80.62,81.08,78.49,78.62,56.08,-1.76%,4876324
2015/5/6,81.99,82.02,78.98,79.42,56.651,1.02%,6800009
2015/5/7,78.61,78.96,77.17,77.61,55.36,-2.28%,6703253
2015/5/8,78.34,78.38,76.72,77.9,55.567,0.37%,6213059
2015/5/11,78.07,78.175,76.61,76.68,54.696,-1.57%,4985753
2015/5/12,76.72,76.97,76.01,76.68,54.696,0.00%,4101038
2015/5/13,77.06,77.33,75.69,76.17,54.333,-0.67%,3524789
2015/5/14,76.28,77.18,76.19,76.29,54.418,0.16%,2457482
2015/5/15,76.1,77.115,75.6,76.84,54.811,0.72%,2724745
2015/5/18,76.42,77.36,76.25,77.24,55.096,0.52%,3209162
2015/5/19,76.51,76.79,75.81,75.84,54.097,-1.81%,5170806
2015/5/20,76.23,77.04,75.81,76.62,54.654,1.03%,3627559
2015/5/21,76.93,77.43,76.51,76.95,54.889,0.43%,3460102
2015/5/22,76.32,77.29,75.85,77.01,54.932,0.08%,3740877
2015/5/26,76.33,77,76.02,76.72,54.725,-0.38%,5200648
2015/5/27,76.63,77.46,76.11,76.82,54.796,0.13%,4090261
2015/5/28,76.67,78.04,76.306,77.73,55.445,1.18%,4787805
2015/5/29,77.96,78.34,77.02,78.19,55.773,0.59%,6048923
2015/6/1,78.89,79.35,77.911,78.89,56.273,0.90%,5066495
2015/6/2,79.11,79.89,78.02,79.44,56.665,0.70%,5438433
