Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,42.36,42.64,41.7,41.82,29.443,-1.48%,1914483
2015/3/25,41.93,42.13,41.48,41.5,29.218,-0.77%,2814689
2015/3/26,41.47,41.78,40.96,41.18,28.992,-0.77%,1934029
2015/3/27,41.17,41.71,41,41.33,29.098,0.36%,1781350
2015/3/30,41.46,42.095,41.24,41.97,29.548,1.55%,1743599
2015/3/31,42.03,42.185,41.56,41.92,29.513,-0.12%,2913662
2015/4/1,41.25,41.45,40.6,41.26,29.049,-1.57%,4105782
2015/4/2,41.28,41.74,41.265,41.34,29.105,0.19%,3980733
2015/4/6,41.46,42.81,41.44,42.4,29.851,2.56%,3198223
2015/4/7,42.5,42.55,41.744,41.84,29.457,-1.32%,2372871
2015/4/8,41.78,41.99,41.46,41.7,29.358,-0.33%,2026164
2015/4/9,41.62,41.67,41.2,41.27,29.056,-1.03%,2352974
2015/4/10,41.34,41.98,41.28,41.67,29.337,0.97%,1971634
2015/4/13,41.59,41.71,40.91,40.98,28.851,-1.66%,1628190
2015/4/14,41.06,41.49,41.01,41.25,29.042,0.66%,1425557
2015/4/15,41.35,41.93,41.19,41.26,29.049,0.02%,1276022
2015/4/16,41.24,41.55,40.65,41.32,29.091,0.15%,2423661
2015/4/17,41.09,41.46,40.75,40.98,28.851,-0.82%,1919165
2015/4/20,41.1,42.1,41.02,41.82,29.443,2.05%,2128307
2015/4/21,41.86,42.17,41.09,41.21,29.013,-1.46%,2713482
2015/4/22,41.53,42.01,41.36,41.85,29.464,1.55%,2606474
2015/4/23,41.89,42.1,41.76,41.96,29.541,0.26%,2313216
2015/4/24,41.87,42.55,41.71,42.29,29.774,0.79%,2898580
2015/4/27,42.5,42.55,41.31,41.6,29.288,-1.63%,2608091
2015/4/28,41.49,42.05,41.22,42.04,29.598,1.06%,2022945
2015/4/29,41.84,42.01,41.46,41.82,29.443,-0.52%,1973827
2015/4/30,41.68,41.77,41.02,41.54,29.246,-0.67%,4176031
2015/5/1,41.34,41.99,41.1,41.96,29.541,1.01%,2735973
2015/5/4,42.02,42.925,41.94,42.69,30.055,1.74%,3347627
2015/5/5,42.51,42.56,41.54,41.56,29.26,-2.65%,4280286
2015/5/6,41.73,41.87,41.23,41.74,29.386,0.43%,3425996
2015/5/7,41.93,42.365,41.76,41.96,29.541,0.53%,2903049
2015/5/8,42.45,42.68,41.835,42.06,29.612,0.24%,3851572
2015/5/11,42,42.48,41.91,42.05,29.605,-0.02%,3863118
2015/5/12,41.82,41.965,41.47,41.89,29.492,-0.38%,2733944
2015/5/13,42,42.2,41.45,41.68,29.344,-0.50%,2726197
2015/5/14,41.95,42.31,41.85,42.28,29.767,1.44%,3172347
2015/5/15,42.46,42.83,42.27,42.54,29.95,0.61%,3518837
2015/5/18,42.34,42.68,42.23,42.63,30.013,0.21%,2422256
2015/5/19,42.41,43.09,42.24,43.03,30.295,0.94%,3019882
2015/5/20,43.05,43.52,42.83,43.33,30.506,0.70%,3496123
2015/5/21,43.32,43.78,43.15,43.76,30.809,0.99%,3021110
2015/5/22,43.62,43.97,43.39,43.86,30.879,0.23%,3076563
2015/5/26,43.74,43.74,42.99,43.12,30.358,-1.69%,2896209
2015/5/27,43.3,43.39,43.05,43.25,30.45,0.30%,3912685
2015/5/28,43.16,43.38,42.82,43.05,30.309,-0.46%,3190437
2015/5/29,43.06,43.14,42.505,42.63,30.013,-0.98%,5332994
2015/6/1,42.77,43.21,42.53,42.91,30.21,0.66%,2781026
2015/6/2,42.66,42.75,42.04,42.29,29.774,-1.44%,2812345
2015/6/3,42.28,42.36,41.05,41.34,29.105,-2.25%,3373609
2015/6/4,41.2,41.5,40.82,40.91,28.802,-1.04%,2952614
2015/6/5,40.37,40.47,40.07,40.41,28.725,-1.22%,4170842
2015/6/8,40.32,40.47,40.14,40.14,28.533,-0.67%,3397121
2015/6/9,40.1,40.39,40.017,40.14,28.533,0.00%,2624480
2015/6/10,40.37,40.73,40.22,40.24,28.604,0.25%,3471846
2015/6/11,40.45,40.64,40.17,40.4,28.718,0.40%,3673115
2015/6/12,40.18,40.34,39.67,39.7,28.22,-1.73%,1877941
2015/6/15,39.68,40.22,39.51,40.01,28.44,0.78%,2691263
2015/6/16,39.88,40.22,39.61,40.19,28.568,0.45%,1933192
2015/6/17,40.33,40.52,40.01,40.49,28.782,0.75%,2746607
2015/6/18,40.44,41.29,40.42,41.18,29.272,1.70%,3438058
2015/6/19,41.13,41.42,40.98,40.99,29.137,-0.46%,3640458
2015/6/22,41.1,41.2,40.62,40.72,28.945,-0.66%,2506497
2015/6/23,40.95,41.05,40.1,40.17,28.554,-1.35%,2207609
2015/6/24,40.18,40.31,39.61,39.61,28.156,-1.39%,3326792
2015/6/25,39.81,39.97,39.035,39.14,27.822,-1.19%,3999301
2015/6/26,39.1,39.62,38.93,39.59,28.142,1.15%,4075161
2015/6/29,39.49,40.203,39.19,39.22,27.879,-0.93%,4046834
2015/6/30,39.49,39.5,39.11,39.28,27.921,0.15%,3943649
2015/7/1,39.34,39.53,39.2,39.45,28.042,0.43%,2580142
2015/7/2,39.7,40.2,39.7,39.94,28.391,1.24%,2732308
2015/7/6,39.78,40.38,39.72,40.33,28.668,0.98%,2647194
2015/7/7,40.58,41.78,40.52,41.64,29.599,3.25%,3834845
