Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,51.74,51.91,51.32,51.54,35.663,-0.73%,1194857
2015/3/25,51.67,51.78,50.84,50.85,35.186,-1.34%,1196544
2015/3/26,50.69,51.11,50.44,50.81,35.158,-0.08%,1138558
2015/3/27,50.67,50.72,50.24,50.49,34.937,-0.63%,929724
2015/3/30,50.95,51.46,50.75,51.29,35.49,1.58%,889244
2015/3/31,50.87,51.41,50.52,51.37,35.545,0.16%,1520971
2015/4/1,51.28,51.36,50.63,51.02,35.303,-0.68%,1187748
2015/4/2,50.98,51.58,50.88,51.41,35.573,0.76%,786327
2015/4/6,50.72,51.66,50.34,51.39,35.559,-0.04%,946261
2015/4/7,51.57,51.9,51.2,51.29,35.49,-0.19%,1032871
2015/4/8,51.29,51.85,51.25,51.84,35.871,1.07%,1053166
2015/4/9,51.77,52.23,51.5,51.96,35.954,0.23%,947719
2015/4/10,51.96,52.06,49.81,50.28,34.791,-3.23%,3142376
2015/4/13,50.27,50.98,50.04,50.8,35.151,1.03%,2747131
2015/4/14,50.65,51.49,50.28,51.01,35.296,0.41%,2347476
2015/4/15,51.12,51.835,51.12,51.7,35.774,1.35%,1371153
2015/4/16,51.56,52.02,51.16,51.85,35.878,0.29%,983525
2015/4/17,51.4,51.5,50.57,50.77,35.13,-2.08%,1152980
2015/4/20,51.15,51.3,50.74,50.81,35.158,0.08%,1224788
2015/4/21,50.92,51.2,50.66,51,35.289,0.37%,1044474
2015/4/22,51.05,51.75,50.7,51.73,35.795,1.43%,1175641
2015/4/23,51.16,51.47,50.85,51.31,35.504,-0.81%,1480305
2015/4/24,51.8,52.42,50.14,51.62,35.718,0.60%,2036549
2015/4/27,51.75,52.15,51.39,51.48,35.622,-0.27%,1416954
2015/4/28,51.36,52.12,51.22,52.11,36.057,1.22%,1097430
2015/4/29,51.92,52.42,51.79,51.95,35.947,-0.31%,1109834
2015/4/30,51.7,51.9,50.91,51.12,35.372,-1.60%,964162
