Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,21.56,22.3,21.35,21.94,19.262,1.86%,4952775
2015/3/25,22,22.13,21.59,21.6,18.964,-1.55%,3178002
2015/3/26,21.52,21.72,21.4,21.52,18.894,-0.37%,3477525
2015/3/27,21.53,22.21,21.51,22.02,19.333,2.32%,7100460
2015/3/30,22.24,22.65,22.11,22.44,19.701,1.91%,4119898
2015/3/31,22.41,22.77,22.15,22.23,19.517,-0.94%,6007557
2015/4/1,22.27,22.32,21.95,22.29,19.57,0.27%,4487699
2015/4/2,22.27,22.72,22.24,22.7,19.93,1.84%,3495378
2015/4/6,22.63,22.95,22.55,22.67,19.903,-0.13%,3016422
2015/4/7,22.67,22.7,22.125,22.17,19.464,-2.21%,4261830
2015/4/8,22.2,22.505,22.16,22.47,19.728,1.35%,3313616
2015/4/9,21.99,22.42,21.82,22.31,19.587,-0.71%,6233228
2015/4/10,22.31,22.43,22.04,22.32,19.596,0.04%,3098108
2015/4/13,22.38,22.53,22.2,22.23,19.517,-0.40%,2905670
2015/4/14,22.26,22.58,22.07,22.54,19.789,1.39%,3219285
2015/4/15,22.65,22.9,22.5,22.78,20,1.06%,3565021
2015/4/16,22.65,22.65,22.205,22.34,19.614,-1.93%,4059324
2015/4/17,22.11,22.26,21.705,22.19,19.482,-0.67%,5245057
2015/4/20,22.3,22.42,21.7,21.9,19.227,-1.31%,4519062
2015/4/21,21.95,22.37,21.95,22.21,19.499,1.42%,5060619
2015/4/22,22.18,22.2,21.455,21.69,19.043,-2.34%,7439984
2015/4/23,20.52,20.74,19.65,19.97,17.533,-7.93%,27580445
2015/4/24,19.87,20.59,19.86,20.12,17.664,0.75%,14884567
2015/4/27,20.24,20.32,19.74,19.87,17.445,-1.24%,7623377
2015/4/28,19.84,19.99,19.555,19.94,17.506,0.35%,5308955
2015/4/29,19.7,19.885,19.47,19.86,17.436,-0.40%,5837127
2015/4/30,19.76,19.77,19.27,19.3,16.945,-2.82%,7395726
2015/5/1,19.39,19.8,19.31,19.62,17.226,1.66%,4854419
2015/5/4,19.69,19.83,19.37,19.49,17.111,-0.66%,3736595
2015/5/5,19.53,19.68,19.35,19.46,17.085,-0.15%,7734717
2015/5/6,19.5,19.63,19.24,19.41,17.041,-0.26%,4240748
2015/5/7,19.36,19.78,19.33,19.7,17.296,1.49%,4832066
2015/5/8,19.92,20.2,19.73,19.79,17.375,0.46%,4635041
2015/5/11,19.82,19.885,19.46,19.52,17.138,-1.36%,4176240
2015/5/12,19.4,19.655,19.205,19.53,17.146,0.05%,5748423
2015/5/13,19.56,19.78,19.325,19.43,17.059,-0.51%,4013866
2015/5/14,19.5,19.68,19.43,19.58,17.19,0.77%,3480429
2015/5/15,19.44,20.03,19.4,19.89,17.463,1.58%,7860725
2015/5/18,19.91,20.05,19.77,19.9,17.471,0.05%,6608755
2015/5/19,20.27,20.44,19.875,20.05,17.603,0.75%,8652888
2015/5/20,20.16,20.24,19.75,20.12,17.664,0.35%,5861695
2015/5/21,20.12,20.185,19.94,20,17.559,-0.60%,5628531
2015/5/22,19.96,19.99,19.64,19.76,17.348,-1.20%,6721259
2015/5/26,19.68,19.81,19.47,19.49,17.111,-1.37%,4292320
2015/5/27,19.5,19.56,19.165,19.38,17.015,-0.56%,5550808
2015/5/28,19.32,19.68,19.3,19.43,17.059,0.26%,5144771
2015/5/29,19.37,19.54,19.18,19.18,16.839,-1.29%,4264921
2015/6/1,19.29,19.46,19.24,19.27,16.918,0.47%,4345931
2015/6/2,19.23,19.44,19.11,19.21,16.866,-0.31%,5075493
2015/6/3,19.34,19.66,19.19,19.34,16.98,0.68%,6843132
2015/6/4,19.2,19.33,18.9,19.04,16.716,-1.55%,7702702
2015/6/5,18.95,19.16,18.83,19.08,16.751,0.21%,3266851
2015/6/8,19.02,19.08,18.85,18.89,16.585,-1.00%,3328237
2015/6/9,18.78,18.95,18.61,18.85,16.62,-0.21%,4478697
2015/6/10,18.91,19.19,18.89,19.1,16.84,1.33%,3219825
2015/6/11,19.19,19.43,19.17,19.23,16.955,0.68%,4377788
2015/6/12,19.09,19.29,19.09,19.27,16.99,0.21%,3405589
2015/6/15,19.2,19.66,19.17,19.38,17.087,0.57%,5326065
2015/6/16,19.33,19.42,19.2,19.38,17.087,0.00%,4448334
2015/6/17,19.4,19.49,19.26,19.47,17.166,0.46%,3858860
2015/6/18,19.5,19.71,19.47,19.56,17.246,0.46%,3281517
2015/6/19,19.64,20.15,19.62,19.99,17.625,2.20%,6966081
2015/6/22,20.07,20.33,20.07,20.25,17.854,1.30%,5536744
2015/6/23,20.32,20.6,20.17,20.31,17.907,0.30%,5974131
2015/6/24,20.75,21.01,20.5,20.54,18.11,1.13%,6341898
2015/6/25,20.6,20.81,20.42,20.42,18.004,-0.58%,4084337
2015/6/26,20.49,20.52,20.26,20.48,18.057,0.29%,4449739
2015/6/29,20.29,20.51,20.05,20.08,17.704,-1.95%,3826348
2015/6/30,20.2,20.39,20.09,20.15,17.766,0.35%,4948938
2015/7/1,20.31,20.46,20.14,20.43,18.013,1.39%,5687636
2015/7/2,20.5,20.78,20.29,20.55,18.119,0.59%,8672660
2015/7/6,20.37,20.91,20.32,20.57,18.136,0.10%,5720001
2015/7/7,20.54,20.93,20.475,20.91,18.436,1.65%,8037915
2015/7/8,20.75,20.91,20.35,20.45,18.03,-2.20%,4881652
2015/7/9,20.66,20.77,20.31,20.32,17.916,-0.64%,5905526
2015/7/10,20.5,20.775,20.46,20.69,18.242,1.82%,2986494
2015/7/13,20.81,20.88,20.64,20.75,18.295,0.29%,3109173
2015/7/14,20.81,20.94,20.73,20.89,18.418,0.67%,2421475
2015/7/15,20.89,20.9,20.387,20.49,18.066,-1.91%,4233471
2015/7/16,20.61,20.68,20.305,20.49,18.066,0.00%,4027652
2015/7/17,20.55,20.57,19.983,20.09,17.713,-1.95%,7770607
2015/7/20,20.12,20.135,19.695,19.73,17.396,-1.79%,6093610
2015/7/21,19.75,20,19.61,19.68,17.352,-0.25%,5305321
2015/7/22,19.67,20.23,19.66,20.16,17.775,2.44%,6884193
2015/7/23,20.22,20.62,19.84,20.18,17.792,0.10%,9921714
2015/7/24,20.25,20.25,19.37,19.49,17.184,-3.42%,8624031
