Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,70.21,70.99,69.06,69.83,62.384,-0.80%,361300
2015/3/25,70,70,68.65,68.68,61.357,-1.65%,168531
2015/3/26,68.6,68.6,67.61,67.87,60.633,-1.18%,322751
2015/3/27,67.88,69.85,67.646,69.14,61.768,1.87%,221098
2015/3/30,69.49,70.448,68.902,70.21,62.723,1.55%,161336
2015/3/31,70.04,70.35,69.58,69.76,62.321,-0.64%,197569
2015/4/1,69.51,70.22,68.35,68.97,61.616,-1.13%,242311
2015/4/2,69.16,69.25,67.97,68.5,61.196,-0.68%,265355
2015/4/6,67.99,68.84,67.722,67.81,60.579,-1.01%,308732
2015/4/7,67.68,68.86,67.67,68.37,61.08,0.83%,276925
2015/4/8,68.49,69.21,68.415,68.9,61.553,0.78%,190909
2015/4/9,68.92,69.06,68,68.59,61.276,-0.45%,269476
2015/4/10,68.75,69.28,68.54,68.92,61.571,0.48%,104919
2015/4/13,69,69.455,68.35,68.49,61.187,-0.62%,116967
2015/4/14,68.5,68.82,67.65,68.78,61.446,0.42%,149355
2015/4/15,69,69.67,68.72,69.25,61.866,0.68%,295791
2015/4/16,69.22,69.63,69,69.18,61.803,-0.10%,166386
2015/4/17,68.71,69.42,67.85,68.08,60.821,-1.59%,332206
2015/4/20,68.53,69.66,68.47,68.91,61.562,1.22%,251225
2015/4/21,69.12,69.45,68.63,68.67,61.348,-0.35%,165332
2015/4/22,68.67,68.67,67.49,68.55,61.24,-0.17%,191972
2015/4/23,69.76,72.55,68.5,70.03,62.563,2.16%,615500
2015/4/24,70.28,72.49,67.44,67.59,60.383,-3.48%,351397
2015/4/27,67.56,68.53,66.95,67.42,60.231,-0.25%,251182
2015/4/28,67.31,68.08,67.31,67.45,60.258,0.04%,204907
2015/4/29,67.26,67.42,66.07,66.5,59.409,-1.41%,235476
2015/4/30,66.03,66.89,64.86,64.89,57.971,-2.42%,262883
2015/5/1,65.05,66.4,64.852,65.89,58.864,1.54%,411374
2015/5/4,65.75,66.67,65.522,65.89,58.864,0.00%,353848
2015/5/5,65.66,66.44,65.1,65.46,58.48,-0.65%,233958
2015/5/6,65.56,65.73,64.5,65.17,58.221,-0.44%,317050
2015/5/7,65.24,66.24,64.75,65.76,58.748,0.91%,296226
2015/5/8,66.61,66.8,65.204,66.3,59.23,0.82%,233257
2015/5/11,66.17,67.19,65.958,66.52,59.427,0.33%,156545
2015/5/12,66.12,66.97,65.4,66.73,59.615,0.32%,201593
2015/5/13,66.98,67.17,66.325,66.4,59.32,-0.49%,152925
2015/5/14,66.5,68.15,66.04,68.13,60.865,2.61%,263916
2015/5/15,68.15,68.54,67.6,68.52,61.214,0.57%,221723
2015/5/18,68.2,69.14,68.09,68.94,61.821,0.61%,208592
2015/5/19,68.82,69.57,68.77,69.05,61.92,0.16%,212768
2015/5/20,69.24,69.5,68.55,68.81,61.705,-0.35%,210831
2015/5/21,68.82,68.96,67.61,67.76,60.763,-1.53%,228266
2015/5/22,67.61,68.14,67.28,67.6,60.62,-0.24%,171109
2015/5/26,67.31,67.31,66.11,66.95,60.037,-0.96%,190379
2015/5/27,67.16,68.09,66.78,68.01,60.987,1.58%,250225
2015/5/28,68.01,68.28,67,67.87,60.862,-0.21%,224753
2015/5/29,67.4,67.43,66,66.28,59.436,-2.34%,322096
2015/6/1,66.46,67.14,65.86,66.84,59.938,0.84%,248846
2015/6/2,66.71,68.12,66.5,67.28,60.333,0.66%,163022
2015/6/3,67.62,68.3,67.05,68.23,61.184,1.41%,186556
2015/6/4,67.84,68.28,67.62,67.67,60.682,-0.82%,122499
2015/6/5,67.74,68.49,67,68.43,61.364,1.12%,119546
2015/6/8,68.14,68.79,67.78,68.42,61.355,-0.01%,163598
2015/6/9,68.49,68.56,67.62,68.46,61.391,0.06%,125129
2015/6/10,68.94,69.6,68.61,69.18,62.036,1.05%,202598
2015/6/11,69.08,69.67,69.04,69.21,62.063,0.04%,135176
2015/6/12,68.85,68.89,68.35,68.77,61.669,-0.64%,137244
2015/6/15,68.3,68.52,67.6,67.86,60.853,-1.32%,192253
2015/6/16,68.04,68.59,67.866,68.27,61.22,0.60%,354600
2015/6/17,68.63,68.96,68.19,68.8,61.696,0.78%,175174
2015/6/18,69.07,70.48,68.81,70.05,62.817,1.82%,229707
2015/6/19,70,71.08,69.522,70.6,63.31,0.79%,412027
2015/6/22,70.97,71.52,69.83,71.28,63.92,0.96%,239444
2015/6/23,71.46,71.46,70,70.41,63.139,-1.22%,276858
2015/6/24,70.58,70.96,69.9,70.88,63.561,0.67%,234168
2015/6/25,71.04,71.66,70.67,71.51,64.126,0.89%,214310
2015/6/26,71.72,72.16,71.2,71.8,64.386,0.41%,626736
2015/6/29,71.41,71.82,69.86,69.93,62.709,-2.60%,192930
2015/6/30,70.52,70.76,69.95,70.18,62.933,0.36%,148031
2015/7/1,70.99,71.11,70.21,70.95,63.624,1.10%,225603
2015/7/2,71.11,71.39,69.8,69.86,62.646,-1.54%,113112
2015/7/6,69.43,70.49,69.09,70.08,62.843,0.31%,211081
2015/7/7,70.04,70.37,69.13,70.07,62.834,-0.01%,186735
