Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,34.22,34.37,33.74,33.81,19.859,-1.02%,5578635
2015/3/25,33.84,34,33.04,33.11,19.448,-2.07%,10860356
2015/3/26,33.03,33.41,32.93,33.02,19.395,-0.27%,4587998
2015/3/27,33.08,33.43,32.87,33.15,19.472,0.39%,3026387
2015/3/30,33.26,33.65,32.99,33.56,19.713,1.24%,4132879
2015/3/31,33.46,33.83,33.415,33.66,19.771,0.30%,5808133
2015/4/1,33.23,33.74,32.84,33.67,19.777,0.03%,5761411
2015/4/2,33.64,34.03,33.64,33.85,19.883,0.53%,3347094
2015/4/6,33.95,34.6,33.9,34.38,20.194,1.57%,4392246
2015/4/7,34.38,34.4,33.9,33.94,19.936,-1.28%,3165200
2015/4/8,34.02,34.15,33.725,34.08,20.018,0.41%,3627637
2015/4/9,33.97,34.02,33.41,33.72,19.807,-1.06%,4498513
2015/4/10,33.76,34.17,33.72,34.05,20,0.98%,4049985
2015/4/13,33.98,34,33.5,33.53,19.695,-1.53%,3315916
2015/4/14,33.69,33.93,33.56,33.86,19.889,0.98%,2906817
2015/4/15,33.89,34.19,33.51,33.56,19.713,-0.89%,4991708
2015/4/16,33.55,33.55,33.06,33.46,19.654,-0.30%,4558424
2015/4/17,33.33,33.6,33.21,33.29,19.554,-0.51%,3044837
2015/4/20,33.38,33.9,33.38,33.8,19.854,1.53%,3464693
2015/4/21,33.85,34.1,33.516,33.61,19.742,-0.56%,2479984
2015/4/22,33.67,34.046,33.5,33.97,19.953,1.07%,4616926
2015/4/23,33.92,34.495,33.9,34.24,20.112,0.79%,4247822
2015/4/24,34.23,34.72,34.1,34.58,20.312,0.99%,4283569
2015/4/27,34.24,34.75,33.95,34.02,19.983,-1.62%,4333602
2015/4/28,33.9,34.385,33.81,34.37,20.188,1.03%,3842616
2015/4/29,34.03,34.49,33.96,34.41,20.212,0.12%,3669558
2015/4/30,34.36,34.49,33.81,34.03,19.989,-1.10%,5945518
2015/5/1,34.12,34.24,33.76,34.19,20.083,0.47%,4769492
2015/5/4,34.22,34.73,34.14,34.45,20.235,0.76%,3149382
2015/5/5,34.29,34.38,33.7,33.75,19.824,-2.03%,3719134
2015/5/6,33.7,33.84,32.92,33.38,19.607,-1.10%,5847438
2015/5/7,33.57,33.86,33.19,33.4,19.619,0.06%,5431194
2015/5/8,33.99,34.24,33.68,33.9,19.912,1.50%,5450945
2015/5/11,33.75,34.225,33.72,33.75,19.824,-0.44%,4233739
2015/5/12,33.58,33.76,33.37,33.64,19.76,-0.33%,4049335
2015/5/13,33.67,33.76,33.08,33.29,19.554,-1.04%,4229336
2015/5/14,33.42,33.683,33.36,33.58,19.724,0.87%,3268525
2015/5/15,33.68,34.05,33.62,33.93,19.93,1.04%,2926019
2015/5/18,33.76,34.33,33.68,34.28,20.135,1.03%,3541493
2015/5/19,34.11,34.75,33.98,34.6,20.323,0.93%,6574341
2015/5/20,34.63,35.09,34.52,34.85,20.47,0.72%,4737496
2015/5/21,34.84,34.98,34.46,34.56,20.3,-0.83%,4573340
2015/5/22,34.44,34.61,34.13,34.42,20.218,-0.41%,3595871
2015/5/26,34.4,34.44,34.157,34.32,20.159,-0.29%,3780371
2015/5/27,34.46,34.77,34.38,34.67,20.365,1.02%,3804131
2015/5/28,34.67,34.92,34.52,34.8,20.441,0.37%,4345327
2015/5/29,34.75,34.9,34.58,34.71,20.388,-0.26%,3628440
2015/6/1,34.73,34.965,34.56,34.77,20.423,0.17%,5041976
2015/6/2,32.35,32.42,31.65,31.81,20.156,-8.51%,10570157
2015/6/3,31.9,31.97,31.38,31.46,19.935,-1.10%,6317424
2015/6/4,31.42,31.69,31.37,31.45,19.928,-0.03%,5658197
2015/6/5,31.12,31.16,30.75,30.95,19.611,-1.59%,6069047
2015/6/8,30.52,30.57,30.1,30.12,19.321,-2.68%,7184711
2015/6/9,30.17,30.255,30.06,30.1,19.309,-0.07%,5471988
2015/6/10,30.34,30.485,30.14,30.22,19.386,0.40%,5853134
2015/6/11,30.47,30.6,30.3,30.53,19.585,1.03%,5840440
2015/6/12,30.4,30.51,30.12,30.15,19.341,-1.24%,3058482
2015/6/15,30.13,30.22,29.92,29.92,19.193,-0.76%,3994562
2015/6/16,29.92,30.13,29.75,30.03,19.264,0.37%,5661950
2015/6/17,30,30.43,29.95,30.36,19.475,1.10%,4897549
2015/6/18,30.37,30.96,30.36,30.82,19.771,1.52%,4600812
2015/6/19,30.7,30.95,30.52,30.53,19.585,-0.94%,4644879
2015/6/22,30.89,30.93,30.54,30.61,19.636,0.26%,3807711
2015/6/23,30.57,30.64,30.03,30.06,19.283,-1.80%,3933954
2015/6/24,30.06,30.21,29.72,29.72,19.065,-1.13%,4777101
2015/6/25,29.82,29.89,29.6,29.64,19.014,-0.27%,3430983
2015/6/26,29.63,29.92,29.51,29.75,19.084,0.37%,4237350
2015/6/29,29.77,30.09,29.44,29.45,18.892,-1.01%,5166331
