Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,78.38,78.53,77.38,77.63,53.736,-1.15%,2198386
2015/3/25,78.59,80.08,78.33,79,54.684,1.76%,4134983
2015/3/26,79.7,79.93,78.4,78.44,54.296,-0.71%,2035792
2015/3/27,78.61,78.84,77.32,77.61,53.722,-1.06%,1979020
2015/3/30,78.26,80.04,78.15,79.56,55.071,2.51%,3035697
2015/3/31,78.45,79.39,78.4,78.6,54.407,-1.21%,2715708
2015/4/1,79.07,80.295,78.94,79.94,55.335,1.70%,3257472
2015/4/2,79.28,80.07,77.94,78.17,54.109,-2.21%,4424716
2015/4/6,78.49,79.335,77.82,78.55,54.372,0.49%,3260542
2015/4/7,78.64,78.845,77.7,77.77,53.832,-0.99%,2775919
2015/4/8,78.06,78.8,77.171,77.41,53.583,-0.46%,2352452
2015/4/9,77.28,77.91,76.8,77.81,53.86,0.52%,3572685
2015/4/10,78,78.54,77.56,78.34,54.227,0.68%,2306277
2015/4/13,78.45,78.48,76.43,76.93,53.251,-1.80%,3996764
2015/4/14,77.58,78.238,77.28,77.83,53.874,1.17%,3443902
2015/4/15,77.95,79.18,77.9,78.94,54.642,1.43%,2990007
2015/4/16,78.82,79.465,78.13,79.24,54.85,0.38%,2545740
2015/4/17,78.67,78.78,77.75,78.01,53.999,-1.55%,2410618
2015/4/20,78.26,79.66,78.12,79.3,54.892,1.65%,2620139
2015/4/21,79.3,79.64,78.7,79.5,55.03,0.25%,2458132
2015/4/22,79.92,81.07,79.34,80.92,56.013,1.79%,2822270
2015/4/23,81.14,81.72,80.84,81.23,56.227,0.38%,2919041
2015/4/24,81.38,81.84,80.902,81.59,56.477,0.44%,2067713
2015/4/27,81.87,81.93,81.01,81.07,56.117,-0.64%,2039966
2015/4/28,81.23,81.99,81.05,81.61,56.491,0.67%,2265009
2015/4/29,81.43,81.94,80.89,81,56.068,-0.75%,2855564
2015/4/30,80.9,81.17,78.9,79.31,54.898,-2.09%,4829408
2015/5/1,79.41,81.66,79.14,81.61,56.491,2.90%,3061894
2015/5/4,82,82.19,80.74,80.84,55.958,-0.94%,2833678
2015/5/5,81.1,81.4,80.35,80.44,55.681,-0.49%,2279344
2015/5/6,80.55,80.7,79.61,79.82,55.251,-0.77%,3398708
2015/5/7,79.8,80.12,78.91,79.94,55.335,0.15%,4047619
2015/5/8,80.4,81.819,79.44,81.63,56.504,2.11%,3008871
2015/5/11,81.98,81.98,80.26,80.54,55.75,-1.34%,2406418
2015/5/12,80.28,80.8,79.65,80.5,55.722,-0.05%,2245616
2015/5/13,80.95,81.18,80.11,80.77,55.909,0.34%,2343143
2015/5/14,80.41,81.68,80.4,81.63,56.892,1.06%,2658345
2015/5/15,81.54,81.54,80.86,81.05,56.488,-0.71%,2046500
2015/5/18,81.11,81.56,80.52,81.33,56.683,0.35%,2015663
2015/5/19,80.9,81.1,80.23,80.7,56.244,-0.77%,2549160
2015/5/20,80.74,81.22,80.14,80.52,56.118,-0.22%,2551703
2015/5/21,80.69,81.38,80.27,81,56.453,0.60%,2289441
2015/5/22,80.62,81.08,80.51,80.97,56.432,-0.04%,1734980
2015/5/26,80.17,80.38,78.87,79.36,55.31,-1.99%,3202850
2015/5/27,79.82,80.38,78.87,79.19,55.191,-0.21%,3369594
2015/5/28,78.94,79.67,77.98,79.56,55.449,0.47%,3302186
2015/5/29,79.56,80.54,78.9,79.12,55.143,-0.55%,3734321
2015/6/1,79.55,80.25,79.2,79.35,55.303,0.29%,3007512
2015/6/2,79.38,79.5,78.47,79.1,55.129,-0.32%,3281529
2015/6/3,78.79,78.86,77.72,78.3,54.571,-1.01%,3198839
2015/6/4,77.71,78.07,77.18,77.38,53.93,-1.17%,2622961
2015/6/5,77.24,78.61,77.165,78.05,54.397,0.87%,1934356
