Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,28.34,28.48,28.08,28.22,27.714,-0.32%,1010592
2015/3/25,28.35,28.35,27.845,27.85,27.35,-1.31%,1121168
2015/3/26,27.83,28.39,27.83,28.24,27.733,1.40%,1704372
2015/3/27,28.16,28.256,27.63,28.01,27.507,-0.81%,1421819
2015/3/30,28.22,28.84,28.21,28.83,28.313,2.93%,1534763
2015/3/31,28.62,28.68,28.32,28.53,28.018,-1.04%,1630813
2015/4/1,28.43,28.64,28.28,28.4,27.89,-0.46%,1317658
2015/4/2,28.37,29.06,28.29,28.44,27.93,0.14%,918249
2015/4/6,28.36,29.24,28.32,29.12,28.597,2.39%,1193671
2015/4/7,29.06,29.1,28.66,28.66,28.146,-1.58%,1447545
2015/4/8,28.72,28.89,28.28,28.47,27.959,-0.66%,1745892
2015/4/9,28.46,28.73,28.233,28.69,28.175,0.77%,1540930
2015/4/10,28.77,28.92,28.47,28.62,28.106,-0.24%,1223626
2015/4/13,28.64,29.07,28.55,28.71,28.195,0.31%,941580
2015/4/14,28.74,29.09,28.58,29.06,28.539,1.22%,801623
2015/4/15,29.17,30.03,29.05,29.95,29.413,3.06%,2523788
2015/4/16,29.82,29.865,29.48,29.52,28.99,-1.44%,2009019
2015/4/17,29.15,29.33,29.005,29.11,28.588,-1.39%,1012693
2015/4/20,29.26,29.56,29.25,29.32,28.794,0.72%,823930
2015/4/21,29.39,29.57,29.07,29.17,28.647,-0.51%,888821
2015/4/22,29.21,29.335,28.76,29.01,28.489,-0.55%,1231764
2015/4/23,28.99,29.34,28.89,29.21,28.686,0.69%,1320311
2015/4/24,29.17,29.425,29.03,29.28,28.755,0.24%,1942552
2015/4/27,29.34,29.73,29.205,29.48,28.951,0.68%,1427599
2015/4/28,29.49,29.63,29.37,29.56,29.03,0.27%,1591523
2015/4/29,29.36,29.72,29.18,29.68,29.147,0.41%,1922966
2015/4/30,29.63,29.7,28.51,28.91,28.391,-2.59%,4873269
2015/5/1,28.98,28.99,27.68,28.23,27.723,-2.35%,5296553
2015/5/4,28.22,28.32,27.98,28.13,27.625,-0.35%,3991886
2015/5/5,28.11,28.38,27.885,27.95,27.448,-0.64%,3424252
2015/5/6,28.18,28.32,27.774,28,27.498,0.18%,2361945
2015/5/7,27.92,28.23,27.87,28.03,27.527,0.11%,1666310
2015/5/8,28.31,28.78,28.22,28.77,28.254,2.64%,1776905
2015/5/11,28.71,29.22,28.64,29.18,28.656,1.43%,2220788
2015/5/12,29.01,29.1,28.56,28.76,28.244,-1.44%,2061080
2015/5/13,28.81,29.27,28.77,29.23,28.706,1.63%,2270087
2015/5/14,29.47,29.59,29.18,29.37,28.843,0.48%,3007440
2015/5/15,29.41,29.86,29.39,29.68,29.147,1.06%,2715837
2015/5/18,29.57,30.09,29.34,30.01,29.472,1.11%,2053001
2015/5/19,29.99,30.1,29.31,29.43,28.902,-1.93%,2745124
2015/5/20,29.49,29.7,29.42,29.63,29.098,0.68%,1169154
2015/5/21,29.8,30.2,29.73,30.15,29.609,1.75%,1500189
2015/5/22,30.03,30.08,29.57,29.62,29.089,-1.76%,1129803
2015/5/26,29.44,29.47,28.81,28.92,28.401,-2.36%,2271178
2015/5/27,29,29.585,28.78,29.53,29,2.11%,1548553
2015/5/28,29.36,29.51,29.01,29.41,28.882,-0.41%,1076476
2015/5/29,29.38,29.47,29.1,29.32,28.794,-0.31%,1670326
2015/6/1,29.4,29.64,29.15,29.5,28.971,0.61%,1396231
2015/6/2,29.47,30.07,29.24,30.04,29.501,1.83%,2236536
2015/6/3,30,30.39,29.88,30.07,29.53,0.10%,2147637
2015/6/4,29.85,29.85,29.07,29.18,28.656,-2.96%,2787891
2015/6/5,29.1,29.52,29.006,29.4,28.872,0.75%,1586192
