Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,69.99,70.23,68.97,68.975,51.663,-1.56%,9964722
2015/3/25,68.86,68.87,67.2,67.21,50.341,-2.56%,11980492
2015/3/26,66.54,67.45,65.68,67.155,50.299,-0.08%,13835913
2015/3/27,67.22,67.93,66.75,67.025,50.202,-0.19%,8560377
2015/3/30,67.74,69,67.46,68.88,51.591,2.77%,11404465
2015/3/31,68.16,69.54,68.16,69.34,51.936,0.67%,13035272
2015/4/1,68.47,69.47,68.451,69.43,52.003,0.13%,10455804
2015/4/2,69.52,69.61,67.76,67.97,50.91,-2.10%,14206170
2015/4/6,66.19,67.96,66.18,67.76,50.753,-0.31%,11906307
2015/4/7,67.72,68.12,67.26,67.315,50.419,-0.66%,13947968
2015/4/8,66.94,67.59,66.93,67.26,50.378,-0.08%,15783095
2015/4/9,67.42,69.09,67.31,68.81,51.539,2.30%,14169160
2015/4/10,68.67,69.2,68.47,69.16,51.801,0.51%,10437909
2015/4/13,71.23,71.9,68.64,68.73,51.479,-0.62%,28612894
2015/4/14,69.16,69.2,68.6,68.97,51.659,0.35%,12305130
2015/4/15,69.29,69.5,68.19,68.46,51.277,-0.74%,11923436
2015/4/16,68.16,68.25,67.73,67.91,50.865,-0.80%,10649873
2015/4/17,67.49,67.95,66.96,67.115,50.269,-1.17%,14011108
2015/4/20,67.25,68.8,67.19,68.64,51.412,2.27%,12893801
2015/4/21,68.84,68.94,68.38,68.57,51.359,-0.10%,7839274
2015/4/22,68.76,69.205,68.25,68.94,51.636,0.54%,13289516
2015/4/23,67.35,68.43,66.96,68.34,51.187,-0.87%,18341076
2015/4/24,68.03,68.32,67.67,68.24,51.112,-0.15%,8757832
2015/4/27,68.77,69.68,68.61,69.23,51.854,1.45%,11818352
2015/4/28,69.04,69.82,69.01,69.65,52.168,0.61%,8272889
2015/4/29,69.19,69.34,68,68.67,51.434,-1.41%,7660433
2015/4/30,68.33,68.59,67.61,68,50.932,-0.98%,8319804
2015/5/1,68.31,68.54,67.955,68.42,51.247,0.62%,7166205
2015/5/4,68.45,69.36,68.22,69.055,51.723,0.93%,7013837
2015/5/5,68.85,69,68.13,68.37,51.209,-0.99%,8660553
2015/5/6,68.2,68.85,67.5,67.81,50.79,-0.82%,7858176
2015/5/7,67.8,68.45,67.79,68.43,51.254,0.91%,6513976
2015/5/8,68.85,69.41,68.55,69.41,51.988,1.43%,7393302
2015/5/11,69.17,69.35,68.82,69.05,51.719,-0.52%,6379210
2015/5/12,68.7,69.02,68.1,68.785,51.52,-0.38%,8070350
2015/5/13,69.23,70.5,69,69.73,52.228,1.37%,12031238
2015/5/14,69.99,70.66,69.81,70.52,52.82,1.13%,10945698
