Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,78.73,79.39,78.11,78.35,69.415,-0.01%,1240136
2015/3/25,77.71,77.8,75.26,75.3,66.713,-3.89%,3396208
2015/3/26,74.05,75.47,73.24,75,66.447,-0.40%,2771508
2015/3/27,77.16,80.1,76.92,79.85,70.744,6.47%,5257371
2015/3/30,80.01,80.89,79.6,80.75,71.542,1.13%,2525340
2015/3/31,80.2,82.03,79.82,81.85,72.516,1.36%,2751214
2015/4/1,81.8,82.32,80.67,82.21,72.835,0.44%,2343016
2015/4/2,82.09,83.32,81.94,82.45,73.048,0.29%,1654093
2015/4/6,81.73,82.64,81.56,82.3,72.915,-0.18%,1684137
2015/4/7,82.35,82.95,80.68,80.72,71.515,-1.92%,1776489
2015/4/8,81.4,81.89,80.83,81.47,72.18,0.93%,2130449
2015/4/9,81.54,82.06,80.99,82.01,72.658,0.66%,1788181
2015/4/10,82.2,82.23,80.939,81.24,71.976,-0.94%,1232827
2015/4/13,81.18,81.61,79.88,79.99,70.868,-1.54%,1858352
2015/4/14,80.01,80.2,79.12,80.08,70.948,0.11%,1569026
2015/4/15,80.13,80.425,79.33,79.44,70.381,-0.80%,2582554
2015/4/16,79.79,80.495,78.64,80.3,71.143,1.08%,2457767
2015/4/17,79.5,79.5,78.15,79.03,70.018,-1.58%,2993298
2015/4/20,74.61,75.1,71.64,72.71,64.418,-8.00%,12691569
2015/4/21,73.68,74.25,73,73.91,65.482,1.65%,4934964
2015/4/22,74.15,74.22,73.18,73.23,64.879,-0.92%,2528542
2015/4/23,73.61,73.91,72.5,72.73,64.436,-0.68%,2879918
2015/4/24,73.43,73.48,72.37,72.47,64.206,-0.36%,2402903
2015/4/27,72.99,73.15,70.19,70.46,62.425,-2.77%,3354708
2015/4/28,70.52,71.1,69.07,70.01,62.026,-0.64%,3264349
2015/4/29,69.68,70.01,67.85,68.61,60.786,-2.00%,3033808
2015/4/30,68.96,69.32,67.583,68.06,60.299,-0.80%,1738934
2015/5/1,68.24,68.962,67.75,67.94,60.192,-0.18%,2261258
2015/5/4,68.7,69.38,67.845,68.23,60.449,0.43%,1992735
2015/5/5,68.05,68.32,66.55,66.69,59.085,-2.26%,2105441
2015/5/6,67.08,67.16,65.91,66.9,59.271,0.31%,2777030
