Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,478.36,482.98,473.12,473.74,473.142,-0.96%,840444
2015/3/25,474.48,478.74,452.01,453.99,453.417,-4.17%,1415763
2015/3/26,448,457.72,441.87,448.375,447.809,-1.24%,1133768
2015/3/27,449.48,460.12,448.04,454.5,453.926,1.37%,856036
2015/3/30,459.05,462.59,453.111,459.78,459.199,1.16%,640941
2015/3/31,456.23,464.52,450.02,451.48,450.91,-1.81%,885141
2015/4/1,450,450,433.47,441.18,440.623,-2.28%,1502395
2015/4/2,443.18,444.79,434.43,438.27,437.717,-0.66%,798341
2015/4/6,434.25,445.75,434.01,440.23,439.674,0.45%,631824
2015/4/7,440.19,454.2,440.19,441.65,441.092,0.32%,508055
2015/4/8,444.37,458.94,440.05,453.19,452.618,2.61%,563777
2015/4/9,452.33,458.445,449.51,455.04,454.465,0.41%,465268
2015/4/10,456.63,463.47,454.42,461.39,460.807,1.40%,588316
2015/4/13,460.94,469.898,456.57,456.98,456.403,-0.96%,479254
2015/4/14,455.94,458.855,449.02,455.07,454.495,-0.42%,444118
2015/4/15,457,457,445.01,453.89,453.317,-0.26%,617190
2015/4/16,454.55,458.3,452.97,457.42,456.842,0.78%,603697
2015/4/17,451.58,455.777,442.6,447.52,446.955,-2.16%,676056
2015/4/20,449.82,455.88,445.39,452.42,451.849,1.09%,346602
2015/4/21,454.75,463.73,450.02,463.22,462.635,2.39%,1177517
2015/4/22,464.92,477.1,463.84,472.63,472.033,2.03%,978730
2015/4/23,478,482,475.07,480.08,479.474,1.58%,1070759
2015/4/24,479.16,486,475.02,480.09,479.484,0.00%,909087
2015/4/27,483.61,485.75,467.2,473.48,472.882,-1.38%,1113532
2015/4/28,474.53,477.55,459.001,466.34,465.751,-1.51%,910648
2015/4/29,463.87,473.593,461.11,469.7,469.107,0.72%,808637
2015/4/30,467.28,471.22,451.59,457.46,456.882,-2.61%,683158
2015/5/1,463.02,474.97,462.45,471.16,470.565,2.99%,710998
2015/5/4,473.45,477.73,470.535,474.17,473.571,0.64%,592221
2015/5/5,472.16,473.1,462.29,465.5,464.912,-1.83%,552709
2015/5/6,469.16,478,465.805,470.01,469.417,0.97%,844687
2015/5/7,480.01,482.99,462,468.62,468.028,-0.30%,1340388
2015/5/8,470,484.85,470,481.29,480.682,2.70%,1415222
2015/5/11,484.26,488,476.62,477.56,476.957,-0.78%,641263
2015/5/12,474.99,480.95,465.26,479.4,478.795,0.39%,680828
2015/5/13,479.67,480.27,473,477.46,476.857,-0.40%,610915
2015/5/14,481.66,492.22,474,491.43,490.809,2.93%,788522
2015/5/15,495,498.49,486.23,489.01,488.393,-0.49%,466844
2015/5/18,488.01,500.36,487.81,496.74,496.113,1.58%,707303
2015/5/19,495.51,506.25,493.311,504.15,503.513,1.49%,711573
2015/5/20,507.5,516.81,503.42,512.77,512.123,1.71%,822537
2015/5/21,513.09,518.199,510.2,516,515.348,0.63%,864253
2015/5/22,513.74,519.459,513.5,513.88,513.231,-0.41%,771492
2015/5/26,511.8,514.45,503.16,506.63,505.99,-1.41%,774781
2015/5/27,509.05,515.8,505.55,515.37,514.719,1.73%,625685
2015/5/28,512.11,514.32,509.46,512.12,511.473,-0.63%,702544
2015/5/29,509.51,517.18,509.45,512.56,511.913,0.09%,763502
2015/6/1,517.08,517.08,505.12,513.81,513.161,0.24%,551229
2015/6/2,511.25,512.95,505.25,508.9,508.257,-0.96%,641752
2015/6/3,509.64,514.91,508.775,514.22,513.571,1.05%,627927
2015/6/4,510.84,519.8,510.19,518.62,517.965,0.86%,816693
2015/6/5,519.4,539.8,516.85,539.4,538.719,4.01%,1205629
2015/6/8,540.98,544,525.56,526.09,525.426,-2.47%,1025896
2015/6/9,526.09,526.09,526.09,526.09,525.426,0.00%,12135
2015/6/10,505.73,513.73,498.602,512.32,511.673,-2.62%,1810879
2015/6/11,513.29,514.85,499.9,501.1,500.467,-2.19%,1115595
2015/6/12,499.44,500.78,490.868,492.29,491.668,-1.76%,983899
2015/6/15,490.11,499.9,482.918,499.06,498.43,1.38%,1302585
2015/6/16,498.18,505.15,497.065,501.76,501.126,0.54%,639015
2015/6/17,501.76,515,501.76,512.89,512.242,2.22%,851805
2015/6/18,515.11,533.17,514.975,527.97,527.303,2.94%,997268
2015/6/19,531.64,534.77,520.96,522.28,521.62,-1.08%,1150932
2015/6/22,526.85,531.998,518,520.71,520.052,-0.30%,751839
2015/6/23,522.16,523.625,514,521.05,520.392,0.07%,474535
2015/6/24,519.01,522.23,513.43,516.59,515.938,-0.86%,454908
2015/6/25,517.97,525.95,516.6,519.24,518.584,0.51%,483159
2015/6/26,522.53,524.72,513.66,520.63,519.973,0.27%,408218
2015/6/29,514.59,520.5,504.52,504.97,504.332,-3.01%,600676
2015/6/30,512.2,514.8,505.62,510.13,509.486,1.02%,635786
2015/7/1,515.23,516.05,504.33,506.51,505.87,-0.71%,527856
2015/7/2,509.5,512.5,505.285,511.08,510.435,0.90%,374932
2015/7/6,505.46,519.66,505.11,512.24,511.593,0.23%,458096
2015/7/7,515.74,517.89,507.5,517.61,516.956,1.05%,457560
2015/7/8,515.54,518.44,508.28,509.3,508.657,-1.61%,406812
2015/7/9,505.15,513.18,503.64,509.03,508.387,-0.05%,650672
2015/7/10,514.5,526.23,509.03,526.01,525.346,3.34%,723546
2015/7/13,532.28,539.5,531.95,536.21,535.533,1.94%,812651
2015/7/14,537,544.86,536.11,542.9,542.214,1.25%,597228
2015/7/15,546.96,551.93,540.43,543.38,542.694,0.09%,467485
2015/7/16,547,552,542.43,551.53,550.834,1.50%,437827
2015/7/17,552.62,552.98,545.5,551.98,551.283,0.08%,489029
2015/7/20,555,569.915,552.338,561.17,560.461,1.66%,935535
2015/7/21,560,563.3,553.56,560,559.293,-0.21%,560146
2015/7/22,557.58,563.23,553.78,556.53,555.827,-0.62%,770518
2015/7/23,558.19,559.78,553.14,556.61,555.907,0.01%,492476
2015/7/24,550.51,558,533.51,541.85,541.166,-2.65%,933390
2015/7/27,538.74,543,530.35,540.03,539.348,-0.34%,658253
2015/7/28,553.3,559.65,545,552.45,551.752,2.30%,872005
2015/7/29,555.23,558.66,540.02,546.27,545.58,-1.12%,648472
2015/7/30,545.63,550.25,536.02,547.1,546.409,0.15%,557047
2015/7/31,551.29,558.5,547.85,553.66,552.961,1.20%,501079
2015/8/3,558.47,561.31,546,554.27,553.57,0.11%,701711
2015/8/4,586,605.93,578.21,580.94,580.206,4.81%,1939816
2015/8/5,584.3,595.887,581.38,592.4,591.652,1.97%,725272
2015/8/6,593.66,593.66,579,582.47,581.734,-1.68%,726679
2015/8/7,586,586,574.25,579.04,578.309,-0.59%,794012
2015/8/10,584.67,591.84,580.88,581,580.266,0.34%,640257
2015/8/11,577.77,583.375,565.75,566.99,566.274,-2.41%,760921
2015/8/12,561.85,580.88,555.5,579.25,578.519,2.16%,859790
2015/8/13,578.89,585.79,572.9,574.1,573.375,-0.89%,516189
2015/8/14,572.9,579.35,568.96,576.3,575.572,0.38%,491682
2015/8/17,574.73,578.57,571.59,576.76,576.032,0.08%,444651
2015/8/18,578.95,579.98,569.1,569.67,568.951,-1.23%,581172
2015/8/19,567.32,575.12,562,568.91,568.192,-0.13%,477440
2015/8/20,561.33,567.86,546.01,546.65,545.96,-3.91%,790411
2015/8/21,537.75,557.19,525.23,527.18,526.514,-3.56%,1501738
2015/8/24,498,526.1,480.5,504.58,503.943,-4.29%,1761657
2015/8/25,520.94,528.38,496.53,499.02,498.39,-1.10%,1235232
2015/8/26,513.22,535.87,506.25,535.47,534.794,7.30%,1064486
2015/8/27,540,547.51,526.65,538,537.321,0.47%,759468
2015/8/28,530.39,543.12,530.16,536.7,536.022,-0.24%,507771
2015/8/31,526.26,534.72,511.87,513.5,512.852,-4.32%,835294
2015/9/1,500.86,510.99,494.29,496.42,495.793,-3.33%,899200
2015/9/2,503.71,518.99,493.75,518.78,518.125,4.50%,748501
2015/9/3,523.45,523.64,506.83,508.51,507.868,-1.98%,608071
2015/9/4,500.51,507.97,498.98,499.99,499.359,-1.68%,806805
2015/9/8,514.88,543.19,510.13,542.76,542.075,8.55%,1242214
2015/9/9,549.28,549.99,520.29,527.35,526.684,-2.84%,567709
2015/9/10,525.66,536.43,524.36,531.22,530.549,0.73%,522519
2015/9/11,528.41,533.3,524.73,533.3,532.627,0.39%,519335
2015/9/14,533.47,535.045,524.858,531.4,530.729,-0.36%,345268
2015/9/15,531.4,542.99,527.01,541.45,540.766,1.89%,465257
2015/9/16,541,545,533.62,540.99,540.307,-0.08%,448371
2015/9/17,538.02,556.31,537.949,550.97,550.274,1.84%,818636
2015/9/18,547.99,554,542.99,550.36,549.665,-0.11%,1191633
2015/9/21,551.55,557.87,522.12,529.38,528.712,-3.81%,888632
2015/9/22,521.3,531.44,519.57,530.18,529.511,0.15%,925836
2015/9/23,531.49,541.3,522.58,536.5,535.823,1.19%,990302
2015/9/24,532.01,534.92,515.655,522,521.341,-2.70%,1050434
2015/9/25,529.24,529.5,480.083,490.67,490.05,-6.00%,1522790
2015/9/28,491.01,492.42,435.515,453.98,453.407,-7.48%,2611821
2015/9/29,444.59,477.37,441.38,451.82,451.249,-0.48%,1621578
2015/9/30,460.58,474.84,454.97,465.14,464.553,2.95%,1411981
2015/10/1,464.01,473.51,456.32,472.97,472.373,1.68%,877361
2015/10/2,458.05,479.29,452.151,479.07,478.465,1.29%,1160503
2015/10/5,484.1,489,464,473.14,472.543,-1.24%,915025
2015/10/6,468,476.89,448.1,459.82,459.239,-2.82%,1121437
2015/10/7,463.39,486.08,456.88,485.76,485.147,5.64%,1270966
2015/10/8,482.78,496.68,468.544,491.21,490.59,1.12%,840160
2015/10/9,494.02,504.98,487.24,503.92,503.284,2.59%,900148
2015/10/12,521.21,531.87,514.27,526.83,526.165,4.55%,1306602
2015/10/13,518.01,525.905,506.96,508.04,507.398,-3.57%,984526
2015/10/14,509.91,523,502.514,509.28,508.637,0.24%,774685
2015/10/15,509.66,520,505.02,519.35,518.694,1.98%,736052
2015/10/16,521.79,522,509.06,514.59,513.94,-0.92%,754618
2015/10/19,515.85,530.66,513,523.56,522.899,1.74%,870953
2015/10/20,522.15,526.5,510.75,514.67,514.02,-1.70%,707840
2015/10/21,521.25,524.52,500.66,518.53,517.875,0.75%,868497
2015/10/22,518.12,528.88,511.25,525.11,524.447,1.27%,972732
2015/10/23,530.19,539.11,525.31,536.7,536.022,2.21%,805367
2015/10/26,537.7,550.89,534.86,545.87,545.181,1.71%,709657
2015/10/27,545.16,568.38,545.16,567.79,567.073,4.02%,898374
2015/10/28,561.65,571.16,553.62,571.14,570.419,0.59%,890210
2015/10/29,568.56,578,559,560.02,559.313,-1.95%,693330
2015/10/30,562.33,565.663,552.5,557.39,556.686,-0.47%,731934
2015/11/2,561.85,580.98,560.2,579,578.269,3.88%,993784
2015/11/3,581,581,564.5,578,577.27,-0.17%,944478
2015/11/4,578.01,588.05,549.5,564,563.288,-2.42%,1526460
2015/11/5,564.94,574.25,561,564.16,563.448,0.03%,1035460
2015/11/6,561.03,566.075,552.89,562,561.29,-0.38%,666702
2015/11/9,560.83,564.56,555.815,558.52,557.815,-0.62%,658343
2015/11/10,559,565.5,551.01,564.86,564.147,1.14%,571160
2015/11/11,567.5,571.75,560.15,566.41,565.695,0.27%,597593
2015/11/12,566.02,566.37,551.51,552.53,551.832,-2.45%,579353
2015/11/13,551.19,557.25,545.12,548.9,548.207,-0.66%,548667
2015/11/16,550.26,559.18,545.204,558.38,557.675,1.73%,574037
2015/11/17,559.44,573.345,556.786,570.91,570.189,2.24%,691909
2015/11/18,571.4,588.98,571.4,587.09,586.349,2.83%,707994
2015/11/19,587,592.59,580.58,581.35,580.616,-0.98%,584783
2015/11/20,583.95,587.375,576.59,579.57,578.838,-0.31%,745698
2015/11/23,575.99,584.594,567.06,570.85,570.129,-1.50%,857079
2015/11/24,567.05,569.93,560.53,567.47,566.753,-0.59%,674195
2015/11/25,567.96,572.94,560,561.69,560.981,-1.02%,774101
2015/11/27,564.08,566.52,559.25,563.1,562.389,0.25%,466682
2015/11/30,563.99,565.68,540.26,544.5,543.812,-3.30%,866466
2015/12/1,549.25,550.32,536.3,545.74,545.051,0.23%,651576
2015/12/2,545.01,555.88,541.205,546.88,546.189,0.21%,699141
2015/12/3,547.59,549.99,534.13,535.73,535.054,-2.04%,748546
2015/12/4,538.09,559.3,538.005,558.66,557.955,4.28%,621603
2015/12/7,559.66,560.15,544.56,546.61,545.92,-2.16%,492202
2015/12/8,542.87,558,540,556.33,555.628,1.78%,440857
2015/12/9,553.76,562.86,543,547.39,546.699,-1.61%,566715
2015/12/10,547.24,551.69,542.55,548.17,547.478,0.14%,554363
2015/12/11,538.9,547.5,532.5,534.51,533.835,-2.49%,699528
2015/12/14,537.14,540.43,527.05,539.94,539.258,1.02%,633725
2015/12/15,543.42,557.15,540,556.45,555.747,3.06%,782564
2015/12/16,559.09,563.79,547.55,559.67,558.963,0.58%,741131
2015/12/17,560,563.03,551.2,551.49,550.794,-1.46%,619309
2015/12/18,548.34,552.03,542.15,544.23,543.543,-1.32%,1188304
2015/12/21,545.95,547.09,528.28,532.55,531.878,-2.15%,863276
2015/12/22,535.59,539.61,526.261,528.34,527.673,-0.79%,622154
2015/12/23,531.06,537.48,528.41,535.85,535.173,1.42%,415911
2015/12/24,535.56,539.85,534.108,537.63,536.951,0.33%,169358
2015/12/28,536.45,540.72,531.58,540.28,539.598,0.49%,351206
2015/12/29,542.28,553.75,541.763,550.21,549.515,1.84%,520437
2015/12/30,550.54,551.88,544.69,548.19,547.498,-0.37%,297514
2015/12/31,542.62,550.66,542.62,542.87,542.184,-0.97%,310486
2016/1/4,531.76,532.91,507.1,516.55,515.898,-4.85%,1025784
2016/1/5,519.38,521.78,504.06,508.98,508.337,-1.47%,889433
2016/1/6,499,524.67,496,519.48,518.824,2.06%,887604
2016/1/7,510.5,515.35,501.91,501.96,501.326,-3.37%,930973
2016/1/8,505.02,511.31,490.99,491.68,491.059,-2.05%,793073
2016/1/11,495.05,498.698,469.8,480.82,480.213,-2.21%,863041
2016/1/12,486,486.99,452.67,474.98,474.38,-1.21%,1717670
2016/1/13,474.85,474.85,451.39,459.57,458.99,-3.24%,1396908
2016/1/14,461.85,486.517,453.16,479.08,478.475,4.25%,1193273
2016/1/15,464.59,476.24,456,462.95,462.365,-3.37%,1350667
2016/1/19,470.2,474.44,441.88,447.02,446.456,-3.44%,1219291
2016/1/20,438.53,468.82,432.05,461.95,461.367,3.34%,1229627
2016/1/21,462.16,469.98,452.01,461.57,460.987,-0.08%,889888
2016/1/22,469.43,484.57,464.23,482.99,482.38,4.64%,821119
2016/1/25,468.53,482.27,465.11,473.12,472.523,-2.04%,920163
2016/1/26,474.4,474.4,456.25,463.56,462.975,-2.02%,608833
2016/1/27,460.63,463.24,431.51,434.16,433.612,-6.34%,1225847
2016/1/28,436,436.7,400,415.11,414.586,-4.39%,2297301
2016/1/29,415.22,428.91,405.06,420.09,419.56,1.20%,1148206
2016/2/1,417.19,420.77,408.422,418.27,417.742,-0.43%,1000163
2016/2/2,412.68,415.63,402.23,409.89,409.372,-2.00%,887522
2016/2/3,413.05,422.49,392.35,421.01,420.478,2.71%,1248453
2016/2/4,417.17,437.525,408.12,412.59,412.069,-2.00%,1284735
2016/2/5,416.1,420.53,393.07,396.61,396.109,-3.87%,1432659
2016/2/8,380.7,393.64,376.61,390.53,390.037,-1.53%,1225635
2016/2/9,357,388,350.26,365.97,365.508,-6.29%,2112333
2016/2/10,370.02,378.19,363,367.48,367.016,0.41%,1232404
2016/2/11,358.3,375.98,357.01,367.24,366.776,-0.07%,941817
2016/2/12,371.36,379.04,365.13,379.01,378.531,3.20%,728165
2016/2/16,386.4,393.95,382.22,391.76,391.265,3.36%,1094001
2016/2/17,393.73,398.75,385,397.26,396.758,1.40%,842318
2016/2/18,395.65,405,386.01,387.3,386.811,-2.51%,729536
2016/2/19,386.45,396.24,380.02,394.98,394.481,1.98%,605250
