Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,114.82,116.69,114.75,116.13,95.188,0.76%,1171831
2015/3/25,116,116.11,113.7,113.71,93.205,-2.08%,1042445
2015/3/26,113.35,113.91,112.89,113.4,92.951,-0.27%,1021855
2015/3/27,113.72,113.72,112.66,113.14,92.737,-0.23%,1189547
2015/3/30,114.21,115.98,114,115.52,94.688,2.10%,1163326
2015/3/31,115.14,116.27,113.755,115.99,95.074,0.41%,1378111
2015/4/1,114.91,115.39,112.91,113.23,92.811,-2.38%,1380543
2015/4/2,113.11,113.87,112.47,112.8,92.459,-0.38%,991093
2015/4/6,112.59,115.59,111.893,114.38,93.754,1.40%,847258
2015/4/7,113.89,114.71,112.73,112.81,92.467,-1.37%,666201
2015/4/8,112.01,113.49,110.27,111.55,91.434,-1.12%,1257918
2015/4/9,111.48,112.26,110.97,111.7,91.557,0.13%,1437137
2015/4/10,111.51,111.64,110.17,111.55,91.434,-0.13%,999396
2015/4/13,111.46,111.8,111.07,111.28,91.213,-0.24%,682841
2015/4/14,110.01,111.8,110,111.52,91.41,0.22%,1305284
2015/4/15,111.71,114.44,111.71,114.14,93.557,2.35%,1693432
2015/4/16,113.74,114.68,112.73,114.33,93.713,0.17%,1033264
2015/4/17,113.37,113.69,112,112.31,92.057,-1.77%,903177
2015/4/20,113.14,114.58,113.03,114.14,93.557,1.63%,589931
2015/4/21,114.14,114.45,113.11,113.72,93.213,-0.37%,964224
2015/4/22,113.83,114.28,112.15,114.02,93.459,0.26%,843898
2015/4/23,113.45,114.27,112.38,114.02,93.459,0.00%,863013
2015/4/24,114.03,114.19,111.46,112.13,91.91,-1.66%,1045301
2015/4/27,112.57,114.96,112.17,114.84,94.131,2.42%,1951884
2015/4/28,114.15,114.7,112.94,113.54,93.065,-1.13%,1587599
2015/4/29,113.15,113.46,111.4,112.33,92.074,-1.07%,1705155
2015/4/30,117.12,122.66,116.44,118.6,97.213,5.58%,3902752
2015/5/1,119.15,122.055,119.15,121.24,99.377,2.23%,1351369
2015/5/4,121.5,122.66,121.09,122.21,100.172,0.80%,995946
2015/5/5,121.48,122.48,119.88,120.2,98.524,-1.64%,937219
2015/5/6,121.06,121.8,119.77,120.85,99.057,0.54%,1055391
2015/5/7,120.67,120.99,119.065,119.44,97.901,-1.17%,1091165
2015/5/8,120.81,120.98,119.6,120.08,98.426,0.54%,1070046
2015/5/11,119.63,121.39,119.38,120.65,98.893,0.47%,681546
2015/5/12,120.13,122.7,119.65,121.66,99.721,0.84%,989261
2015/5/13,122.26,124.46,121.77,123.62,101.328,1.61%,1317438
2015/5/14,123.42,124.7,122.86,124.41,102.508,0.64%,1019109
2015/5/15,124.34,124.41,122.82,124.37,102.475,-0.03%,681410
2015/5/18,124,125.53,123.96,125.06,103.043,0.55%,1006289
2015/5/19,124.83,125.62,124.13,125.01,103.002,-0.04%,945227
2015/5/20,124.98,125.456,124.371,125,102.994,-0.01%,523910
2015/5/21,125.1,126.29,125.1,125.67,103.546,0.54%,759416
2015/5/22,125.46,126,125.13,125.13,103.101,-0.43%,505315
2015/5/26,124.7,124.864,123.51,123.74,101.956,-1.11%,811197
2015/5/27,124,124.84,123.78,124.66,102.714,0.74%,860479
2015/5/28,124.04,124.698,123.64,123.82,102.022,-0.67%,722231
2015/5/29,123.83,123.83,122.25,122.89,101.256,-0.75%,717526
2015/6/1,122.79,124.48,122.32,123.83,102.03,0.76%,900951
2015/6/2,123.83,126.56,123.24,125.53,103.431,1.37%,1182730
2015/6/3,126.3,126.67,125.26,126.3,104.065,0.61%,913242
2015/6/4,125.69,125.78,124.2,124.53,102.607,-1.40%,925609
2015/6/5,124.1,125.34,123.38,125.17,103.134,0.51%,534071
