Date,Open,High,Low,Close,Adj. Close,Change,Volume
2024/9/24,50.48,50.795,50.28,50.73,50.405,0.46%,1014649
2024/9/25,50.93,51.1,50.4,50.76,50.435,0.06%,1586906
2024/9/26,50.77,51,49.97,50.05,49.729,-1.40%,948966
2024/9/27,50.2,50.42,49.715,49.95,49.63,-0.20%,1588120
2024/9/30,50.02,50.72,49.905,50.58,50.256,1.26%,1949096
2024/10/1,50.62,51.08,50.185,50.51,50.186,-0.14%,1900112
2024/10/2,50.3,50.45,49.9,50.37,50.047,-0.28%,775109
2024/10/3,50.21,50.32,49.59,49.73,49.411,-1.27%,1514012
2024/10/4,49.65,50,49.21,49.82,49.501,0.18%,1031158
2024/10/7,49.44,49.49,48.65,48.7,48.388,-2.25%,1073776
2024/10/8,49.3,49.57,49.14,49.3,48.984,1.23%,1335954
2024/10/9,49.38,49.93,49.26,49.83,49.511,1.08%,1068119
2024/10/10,49.76,49.91,49.21,49.25,48.934,-1.16%,979109
2024/10/11,49.38,49.665,49.19,49.66,49.342,0.83%,1363750
2024/10/14,49.86,50.299,49.78,50.16,49.838,1.01%,752606
2024/10/15,50.52,50.7,49.833,49.97,49.65,-0.38%,1166007
2024/10/16,49.92,50.24,49.11,49.15,48.835,-1.64%,1648327
2024/10/17,49.52,49.57,48.86,49.46,49.143,0.63%,1217533
2024/10/18,49.65,50.19,49.33,50.14,49.819,1.37%,1145736
2024/10/21,50.11,50.415,49.8,49.84,49.52,-0.60%,1374413
2024/10/22,49.62,49.78,48.83,49.53,49.212,-0.62%,809639
2024/10/23,49.64,49.94,49.39,49.75,49.431,0.44%,1462126
2024/10/24,47.605,48.14,45.95,46.48,46.182,-6.57%,3481251
2024/10/25,47.06,47.56,46.34,46.54,46.242,0.13%,1660706
2024/10/28,46.86,47.29,46.54,47.26,46.957,1.55%,2341163
2024/10/29,47.26,47.8,47.2,47.32,47.017,0.13%,1635489
2024/10/30,47.1,47.38,46.73,46.81,46.51,-1.08%,1491719
2024/10/31,46.75,47.27,46.54,47.14,46.838,0.70%,2469815
2024/11/1,47.25,47.62,46.98,47.33,47.027,0.40%,3123061
2024/11/4,47.3,47.9,47.205,47.86,47.553,1.12%,1299330
2024/11/5,47.88,48.56,47.755,48.55,48.239,1.44%,1402925
2024/11/6,49.19,49.47,47.65,48.62,48.308,0.14%,2280486
2024/11/7,48.89,49.25,48.57,49.04,48.726,0.86%,1504889
2024/11/8,49.4,50.45,49.27,50.18,49.858,2.32%,1466715
2024/11/11,50.44,51.11,50.37,50.88,50.554,1.39%,1879808
2024/11/12,50.88,51.385,50.665,51.08,50.916,0.39%,1611213
2024/11/13,51.27,52.157,51.1,51.29,51.126,0.41%,2016675
2024/11/14,51.04,51.29,49.93,50.11,49.95,-2.30%,1523390
2024/11/15,50.22,50.22,49.55,49.91,49.75,-0.40%,2460992
2024/11/18,49.99,50.54,49.89,50.05,49.89,0.28%,1186177
2024/11/19,49.82,49.92,49.46,49.51,49.352,-1.08%,1195960
2024/11/20,49.55,49.61,48.87,49.44,49.282,-0.14%,1013790
2024/11/21,49.28,49.66,48.68,49.63,49.471,0.38%,1359032
2024/11/22,49.86,50.69,49.78,50.63,50.468,2.01%,763296
2024/11/25,50.96,51.52,50.88,51.23,51.066,1.19%,1929206
2024/11/26,51.51,51.725,51.1,51.59,51.425,0.70%,2523865
2024/11/27,51.75,52.06,51.135,51.16,50.996,-0.83%,2313313
2024/11/29,51.04,51.08,50.05,50.33,50.169,-1.62%,1521821
2024/12/2,50.27,50.33,49.415,49.86,49.7,-0.93%,2194928
2024/12/3,49.81,50.02,49.185,49.66,49.501,-0.40%,1389805
2024/12/4,49.46,49.852,49.31,49.66,49.501,0.00%,1052592
2024/12/5,49.4,49.446,48.82,48.85,48.694,-1.63%,1532390
2024/12/6,49.22,49.77,49.145,49.42,49.262,1.17%,1289518
2024/12/9,49.32,49.5,48.48,48.68,48.524,-1.50%,1384142
2024/12/10,48.69,49.4,48.38,49.13,48.973,0.92%,1222377
2024/12/11,49.23,49.56,48.83,49.01,48.853,-0.24%,1242603
