Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,41.58,41.66,41.26,41.29,34.296,-0.72%,1258997
2015/3/25,41.4,41.44,40.57,40.57,33.698,-1.74%,1521460
2015/3/26,40.41,40.52,40.15,40.3,33.474,-0.67%,1977815
2015/3/27,40.3,40.42,40.1,40.17,33.366,-0.32%,1263359
2015/3/30,40.01,40.54,39.94,40.33,33.731,0.40%,1338519
2015/3/31,40.29,40.67,40.13,40.56,33.923,0.57%,1317674
2015/4/1,40.42,40.49,39.97,40.03,33.48,-1.31%,1389735
2015/4/2,39.95,40.165,39.765,40.12,33.555,0.22%,1547724
2015/4/6,40.07,40.71,39.96,40.58,33.94,1.15%,1781706
2015/4/7,40.56,40.61,40.445,40.46,33.84,-0.30%,817160
2015/4/8,40.53,40.92,40.41,40.49,33.865,0.07%,1017280
2015/4/9,40.43,40.73,40.3,40.72,34.057,0.57%,1132699
2015/4/10,40.8,41.29,40.76,41.02,34.308,0.74%,1890198
2015/4/13,40.88,41.05,40.43,40.53,33.898,-1.19%,1111049
2015/4/14,40.45,40.53,40.06,40.22,33.639,-0.76%,982818
2015/4/15,40.36,40.52,40.25,40.31,33.714,0.22%,931584
2015/4/16,40.28,40.28,39.93,40.17,33.597,-0.35%,1167411
2015/4/17,39.94,40.05,39.3,39.36,32.92,-2.02%,2177591
2015/4/20,39.52,39.95,39.49,39.79,33.279,1.09%,2531374
2015/4/21,39.95,40.045,39.58,39.59,33.112,-0.50%,2484152
2015/4/22,39.56,39.87,39.25,39.75,33.246,0.40%,1480454
2015/4/23,39.78,40.13,39.74,39.99,33.447,0.60%,1432283
2015/4/24,40.14,41.24,40,41.23,34.484,3.10%,2784403
2015/4/27,41.41,41.46,40.5,40.59,33.949,-1.55%,2131154
2015/4/28,40.45,40.96,40.35,40.85,34.166,0.64%,1522475
2015/4/29,40.62,40.68,39.98,40.22,33.639,-1.54%,1636868
2015/4/30,40.2,40.9,40.05,40.63,33.982,1.02%,2680856
2015/5/1,40.67,40.78,40.19,40.25,33.664,-0.94%,2116307
2015/5/4,40.36,40.79,40.329,40.49,33.865,0.60%,1614346
2015/5/5,40.35,40.56,39.77,39.79,33.279,-1.73%,1498770
2015/5/6,39.81,39.99,39.19,39.43,32.978,-0.90%,2380343
2015/5/7,39.35,39.77,39.145,39.75,33.246,0.81%,2560099
2015/5/8,40.07,40.285,39.92,40.27,33.681,1.31%,1743189
2015/5/11,40.22,40.43,39.99,40.04,33.489,-0.57%,2207833
2015/5/12,40.02,40.24,39.86,40.18,33.606,0.35%,951049
2015/5/13,40.25,40.46,39.96,40.04,33.489,-0.35%,975339
2015/5/14,40.2,40.76,40.2,40.72,34.057,1.70%,1618206
2015/5/15,40.81,40.99,40.61,40.74,34.074,0.05%,1614294
2015/5/18,40.71,41.02,40.64,40.9,34.208,0.39%,1003692
2015/5/19,40.85,40.96,40.65,40.83,34.149,-0.17%,982809
2015/5/20,40.76,40.82,40.54,40.62,33.974,-0.51%,1013787
2015/5/21,40.68,40.85,40.6,40.67,34.015,0.12%,841735
2015/5/22,40.61,40.81,40.47,40.59,33.949,-0.20%,817588
2015/5/26,40.59,40.59,39.745,39.88,33.355,-1.75%,1933794
2015/5/27,39.92,40.1,39.85,40.08,33.522,0.50%,1889267
2015/5/28,40.09,40.19,39.92,40.17,33.597,0.22%,2028086
2015/5/29,40.2,40.37,40.05,40.29,33.698,0.30%,2711093
2015/6/1,40.38,40.51,40.05,40.32,33.723,0.07%,1020367
2015/6/2,40.16,40.32,40.01,40.11,33.547,-0.52%,962153
2015/6/3,40.22,40.28,39.95,40.1,33.539,-0.02%,1035694
2015/6/4,39.92,40.2,39.815,39.99,33.447,-0.27%,1808507
2015/6/5,39.9,40.02,39.57,39.85,33.33,-0.35%,1672716
2015/6/8,39.79,40.07,39.71,39.96,33.422,0.28%,820710
2015/6/9,39.92,40.18,39.87,40.03,33.48,0.18%,1399576
2015/6/10,40.06,40.61,40.03,40.48,33.857,1.12%,1675098
2015/6/11,40.54,40.98,40.46,40.68,34.024,0.49%,1803439
2015/6/12,40.64,40.78,40.34,40.43,33.815,-0.61%,1167521
2015/6/15,40.23,40.47,40.05,40.22,33.639,-0.52%,1595593
2015/6/16,40.14,40.43,40.12,40.41,33.798,0.47%,944630
2015/6/17,40.43,40.53,40.12,40.43,33.815,0.05%,982373
2015/6/18,40.53,40.75,40.48,40.59,33.949,0.40%,1068120
2015/6/19,40.51,40.6,40.31,40.33,33.731,-0.64%,1309883
2015/6/22,40.47,40.6,40.34,40.39,33.781,0.15%,763155
2015/6/23,40.35,40.42,40.05,40.12,33.555,-0.67%,847047
2015/6/24,40.03,40.16,39.83,39.83,33.313,-0.72%,898699
2015/6/25,39.87,39.9,39.58,39.65,33.162,-0.45%,970963
2015/6/26,39.68,39.94,39.55,39.92,33.388,0.68%,2032828
2015/6/29,39.45,39.57,38.99,39.04,32.886,-2.20%,1023756
2015/6/30,39.31,39.37,39.01,39.17,32.996,0.33%,1418407
2015/7/1,39.33,39.48,39.17,39.43,33.215,0.66%,1076092
2015/7/2,39.48,39.53,39.23,39.44,33.223,0.03%,974914
2015/7/6,39.24,39.665,39.202,39.66,33.409,0.56%,1356687
2015/7/7,39.69,39.85,39.435,39.8,33.527,0.35%,1413786
2015/7/8,39.58,39.81,39.51,39.58,33.341,-0.55%,1207002
2015/7/9,39.92,39.97,39.48,39.48,33.257,-0.25%,1392442
2015/7/10,39.84,39.85,39.6,39.74,33.476,0.66%,836980
2015/7/13,40,40.04,39.88,39.98,33.678,0.60%,666073
2015/7/14,40.01,40.41,39.98,40.35,33.99,0.93%,1008504
2015/7/15,40.37,40.53,40.29,40.41,34.04,0.15%,1152471
2015/7/16,40.59,40.92,40.47,40.74,34.318,0.82%,1184236
2015/7/17,40.93,40.93,40.7,40.76,34.335,0.05%,1055580
2015/7/20,40.74,40.87,40.67,40.8,34.369,0.10%,1054967
2015/7/21,40.82,40.87,40.16,40.39,34.024,-1.00%,1177361
2015/7/22,40.35,40.59,40.09,40.23,33.889,-0.40%,1370386
2015/7/23,40.06,40.766,40.06,40.6,34.2,0.92%,2795443
2015/7/24,41.01,41.63,40.97,41.16,34.672,1.38%,2549633
2015/7/27,41.14,41.73,41.08,41.53,34.984,0.90%,2350766
2015/7/28,41.77,42.14,41.68,42,35.38,1.13%,2371012
2015/7/29,42,42.84,41.99,42.77,36.028,1.83%,2127717
2015/7/30,42.73,42.85,42.539,42.75,36.012,-0.05%,1727124
2015/7/31,42.93,42.98,42.5,42.53,35.826,-0.51%,1613960
2015/8/3,42.57,42.72,42.27,42.55,35.843,0.05%,1103516
2015/8/4,42.49,42.87,42.37,42.71,35.978,0.38%,1363405
2015/8/5,42.97,43.35,42.86,43.21,36.399,1.17%,1540596
2015/8/6,43.19,43.25,42.64,42.8,36.054,-0.95%,1639677
2015/8/7,42.8,42.95,42.49,42.59,35.877,-0.49%,1179376
2015/8/10,42.86,42.98,42.73,42.88,36.121,0.68%,976162
2015/8/11,42.62,42.96,42.53,42.93,36.163,0.12%,1131416
2015/8/12,42.77,42.931,42.46,42.87,36.113,-0.14%,1569481
2015/8/13,42.74,42.99,42.61,42.79,36.045,-0.19%,1186813
2015/8/14,42.84,43.19,42.84,43.11,36.315,0.75%,1161643
2015/8/17,42.83,43.35,42.58,43.35,36.517,0.56%,783906
2015/8/18,43.31,43.71,43.31,43.51,36.652,0.37%,1248335
2015/8/19,43.29,43.37,42.855,42.95,36.18,-1.29%,1626540
2015/8/20,42.72,43.35,42.63,42.97,36.197,0.05%,1853914
2015/8/21,42.64,42.78,41.975,42,35.38,-2.26%,2127933
2015/8/24,39.48,41.35,39.48,40.13,33.805,-4.45%,3894426
2015/8/25,40.79,41.01,39.6,39.66,33.409,-1.17%,2385411
