Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,74.915,75.632,74.418,74.84,46.421,0.20%,6409732
2015/3/25,75.016,75.106,73.247,73.291,45.461,-2.07%,7081286
2015/3/26,72.977,73.392,72.385,73.027,45.297,-0.36%,6975277
2015/3/27,73.09,73.757,73.033,73.568,45.633,0.74%,4455494
2015/3/30,74.059,75.035,73.883,74.783,46.386,1.65%,4768280
2015/3/31,74.053,74.355,73.726,73.757,45.75,-1.37%,5601909
2015/4/1,73.864,73.933,72.599,72.952,45.25,-1.09%,5444249
2015/4/2,73.373,74.059,72.996,73.713,45.722,1.04%,6717114
2015/4/6,72.958,74.707,72.958,74.172,46.007,0.62%,4540028
2015/4/7,74.11,74.607,73.914,73.94,45.863,-0.31%,3604317
2015/4/8,74.078,74.67,73.669,74.16,46,0.30%,3947228
2015/4/9,74.072,74.726,73.744,74.185,46.015,0.03%,3318427
2015/4/10,74.349,74.852,73.902,74.55,46.242,0.49%,3582648
2015/4/13,74.242,74.651,73.782,73.889,45.832,-0.89%,4815280
2015/4/14,73.663,74.33,73.367,74.065,45.941,0.24%,4141564
2015/4/15,74.311,74.75,73.958,74.179,46.011,0.15%,4408952
2015/4/16,73.851,74.456,73.581,73.933,45.859,-0.33%,4616165
2015/4/17,73.197,73.329,72.284,72.442,44.934,-2.02%,6862169
2015/4/20,73.014,73.738,72.933,73.323,45.48,1.22%,6367939
2015/4/21,74.72,74.89,73.071,73.6,45.652,0.38%,7285507
2015/4/22,73.625,73.902,72.832,73.606,45.656,0.01%,4437919
2015/4/23,73.266,74.204,73.021,73.795,45.773,0.26%,4183503
2015/4/24,73.908,74.072,73.04,73.103,45.344,-0.94%,5598282
2015/4/27,73.417,73.549,72.813,72.838,45.18,-0.36%,6229423
2015/4/28,72.498,73.153,72.341,73.052,45.313,0.29%,4364442
2015/4/29,72.738,73.147,72.48,72.612,45.039,-0.60%,4598278
2015/4/30,72.329,72.769,71.296,71.586,44.403,-1.41%,6195801
2015/5/1,72.115,72.826,72.064,72.649,45.063,1.48%,4420094
2015/5/4,72.863,73.719,72.813,73.285,45.457,0.88%,6235220
2015/5/5,73.008,73.556,72.19,72.417,44.918,-1.18%,4811800
2015/5/6,73.354,73.354,71.913,72.423,44.922,0.01%,5863812
2015/5/7,72.454,73.354,72.115,73.027,45.297,0.83%,5014440
2015/5/8,74.078,74.792,73.826,74.531,46.23,2.06%,5891752
2015/5/11,73.908,74.569,73.908,74.072,45.945,-0.62%,4804840
2015/5/12,73.663,74.154,73.014,73.858,45.812,-0.29%,4455721
2015/5/13,73.612,74.261,73.543,73.864,46.066,0.01%,4829541
2015/5/14,74.147,75.123,74.147,74.978,46.761,1.51%,4336036
2015/5/15,74.94,75.135,74.21,74.569,46.506,-0.55%,4710897
2015/5/18,74.594,74.965,74.512,74.581,46.513,0.02%,3869025
2015/5/19,74.638,75.173,74.581,74.934,46.733,0.47%,4462482
2015/5/20,75.305,75.305,74.638,74.808,46.655,-0.17%,3865252
2015/5/21,74.77,75.305,74.701,74.965,46.753,0.21%,3370609
2015/5/22,74.89,75.305,74.607,74.651,46.557,-0.42%,3797050
2015/5/26,74.607,74.651,73.26,73.549,45.87,-1.48%,5457625
2015/5/27,73.883,74.185,73.43,74.034,46.172,0.66%,5347123
2015/5/28,73.801,74.261,73.801,74.065,46.192,0.04%,4615112
2015/5/29,73.952,74.015,73.272,73.738,45.987,-0.44%,8042501
2015/6/1,73.776,74.028,73.291,73.631,45.921,-0.15%,3720870
2015/6/2,73.461,74.292,73.153,73.845,46.054,0.29%,5566797
2015/6/3,74.279,74.965,73.883,74.581,46.513,1.00%,4973361
2015/6/4,74.154,74.525,73.499,73.719,45.976,-1.16%,5691221
2015/6/5,73.373,73.87,73.115,73.631,45.921,-0.12%,4238423
2015/6/8,73.342,73.858,73.071,73.115,45.599,-0.70%,5143705
2015/6/9,73.323,73.789,73.014,73.191,45.646,0.10%,3971643
2015/6/10,73.946,74.261,73.575,73.946,46.117,1.03%,4998638
2015/6/11,74.254,74.512,73.902,74.462,46.439,0.70%,4302192
2015/6/12,73.921,74.279,73.644,74.009,46.156,-0.61%,3726670
2015/6/15,72.505,72.706,71.995,72.127,44.983,-2.54%,9490892
2015/6/16,72.064,72.612,71.945,72.335,45.112,0.29%,7843672
2015/6/17,72.549,72.675,71.731,72.417,45.163,0.11%,6037286
2015/6/18,71.926,73.354,71.926,72.939,45.489,0.72%,5964098
2015/6/19,72.75,73.096,72.303,72.303,45.093,-0.87%,6683759
2015/6/22,72.624,72.863,72.347,72.549,45.246,0.34%,4720316
2015/6/23,72.48,72.697,72.322,72.517,45.226,-0.04%,5772490
2015/6/24,72.184,72.266,71.63,71.724,44.732,-1.09%,6786927
2015/6/25,71.894,72.152,71.303,71.303,44.469,-0.59%,6016236
2015/6/26,71.41,71.736,71.144,71.441,44.555,0.19%,5827981
2015/6/29,70.95,71.133,70.138,70.189,43.774,-1.75%,6610886
2015/6/30,70.636,70.787,69.616,69.811,43.538,-0.54%,9391941
2015/7/1,70.503,70.592,69.314,69.742,43.495,-0.10%,6557540
2015/7/2,70.063,70.227,68.735,68.949,43.001,-1.14%,8198402
2015/7/6,68.194,69.106,67.936,68.823,42.922,-0.18%,6665966
2015/7/7,68.936,69.364,67.999,69.283,43.209,0.67%,7519321
2015/7/8,68.446,69.05,68.131,68.389,42.651,-1.29%,6048147
2015/7/9,69.226,69.503,68.546,68.546,42.749,0.23%,4059866
2015/7/10,69.465,70.031,68.918,69.339,43.244,1.16%,6849670
2015/7/13,69.975,70.472,69.698,70.22,43.793,1.27%,6185783
2015/7/14,70.17,70.258,69.868,70.176,43.766,-0.06%,4747083
2015/7/15,70.17,70.378,69.736,70.013,43.664,-0.23%,4519908
2015/7/16,70.686,70.711,69.88,70.019,43.668,0.01%,4868346
2015/7/17,70.019,70.151,69.604,69.692,43.464,-0.47%,5506107
2015/7/20,69.836,69.862,68.918,69.528,43.362,-0.24%,11894562
2015/7/21,65.67,66.048,64.053,64.638,40.312,-7.03%,31048281
2015/7/22,64.355,64.506,63.493,63.908,39.857,-1.13%,14989002
2015/7/23,64.305,64.311,63.398,63.65,39.696,-0.40%,9416552
2015/7/24,63.562,63.682,62.467,62.498,38.978,-1.81%,10468349
2015/7/27,62.165,62.643,61.913,62.222,38.805,-0.44%,12013419
2015/7/28,62.322,62.48,61.687,62.284,38.844,0.10%,8871453
2015/7/29,62.36,62.668,61.416,62.53,38.997,0.39%,18965908
2015/7/30,62.542,63.744,62.303,63.392,39.535,1.38%,10708479
2015/7/31,63.512,63.87,63.09,63.128,39.37,-0.42%,11468195
2015/8/3,63.128,63.128,61.787,62.568,39.021,-0.89%,11319467
2015/8/4,62.952,63.008,62.244,62.322,38.868,-0.39%,8830967
2015/8/5,62.914,63.014,62.133,62.222,38.805,-0.16%,6182924
2015/8/6,62.297,62.435,61.901,62.291,38.848,0.11%,6671335
2015/8/7,62.127,62.297,61.674,61.857,38.577,-0.70%,4604860
2015/8/10,62.209,62.801,62.209,62.649,39.072,1.28%,9642705
2015/8/11,62.102,62.234,61.676,62.058,38.703,-0.94%,12189814
2015/8/12,61.202,62.203,60.824,62.108,38.986,0.08%,7376022
2015/8/13,62.014,62.303,61.712,61.913,38.863,-0.31%,7452321
2015/8/14,61.743,62.228,61.668,62.115,38.989,0.33%,7012746
2015/8/17,61.756,62.571,61.429,62.53,39.25,0.67%,6718994
2015/8/18,62.278,62.943,62.278,62.561,39.27,0.05%,7516604
2015/8/19,62.115,62.536,61.592,61.806,38.796,-1.21%,5751870
2015/8/20,61.359,61.768,60.302,60.302,37.852,-2.43%,9667458
2015/8/21,59.761,59.924,58.477,58.534,36.742,-2.93%,12115203
2015/8/24,55.802,58.647,54.858,57.187,35.896,-2.30%,17089359
2015/8/25,58.754,58.999,55.815,55.884,35.079,-2.28%,13162373
2015/8/26,57.074,57.703,55.89,57.621,36.169,3.11%,11726560
2015/8/27,58.263,58.829,57.615,58.697,36.844,1.87%,11875631
2015/8/28,58.534,58.874,58.32,58.678,36.833,-0.03%,8311722
2015/8/31,57.288,58.288,56.979,57.653,36.189,-1.75%,11239707
2015/9/1,56.306,57.067,56.186,56.463,35.442,-2.06%,10783880
2015/9/2,57.036,57.432,56.621,57.42,36.043,1.69%,8963758
2015/9/3,57.898,58.263,57.671,57.841,36.307,0.73%,7205479
2015/9/4,57.155,57.36,56.866,57.067,35.821,-1.34%,7251083
2015/9/8,57.992,58.502,57.867,58.414,36.667,2.36%,7650744
2015/9/9,58.936,59.056,57.734,57.804,36.284,-1.04%,7601003
2015/9/10,57.923,57.955,57.199,57.52,36.106,-0.49%,9725789
2015/9/11,57.395,58.112,57.269,58.106,36.473,1.02%,7134972
2015/9/14,58.087,58.175,57.514,57.791,36.276,-0.54%,5210636
2015/9/15,58.288,58.597,57.948,58.326,36.611,0.93%,6527197
2015/9/16,58.351,59.226,58.326,59.119,37.109,1.36%,5568299
2015/9/17,59.087,59.736,58.615,58.722,36.86,-0.67%,8271970
2015/9/18,58.156,58.272,56.973,57.313,35.975,-2.40%,16634951
2015/9/21,57.476,58.005,57.269,57.615,36.165,0.53%,4737102
2015/9/22,55.997,56.451,55.167,55.507,34.842,-3.66%,12518842
2015/9/23,55.475,55.62,54.059,54.726,34.352,-1.41%,11638215
2015/9/24,53.965,54.745,53.807,54.638,34.297,-0.16%,11324521
2015/9/25,55.148,55.488,54.58,54.94,34.486,0.55%,11834209
2015/9/28,54.5,55.047,54.305,54.644,34.3,-0.54%,8484538
2015/9/29,54.487,55.431,54.412,55.368,34.755,1.32%,6542828
2015/9/30,55.784,56.369,55.43,56.004,35.154,1.15%,8026989
2015/10/1,55.947,56.281,55.085,55.607,34.905,-0.71%,5829335
2015/10/2,55.06,56.57,54.638,56.495,35.462,1.60%,7347883
2015/10/5,56.916,58.197,56.778,58.062,36.445,2.77%,7806003
2015/10/6,57.992,58.433,57.904,58.244,36.56,0.31%,5381301
2015/10/7,59.157,59.257,58.257,58.848,36.939,1.04%,6009578
2015/10/8,58.439,59.402,58.427,59.364,37.263,0.88%,6438367
2015/10/9,59.578,60.378,59.478,60.019,37.674,1.10%,6514702
2015/10/12,59.748,60.082,59.541,60.057,37.698,0.06%,5076665
2015/10/13,59.264,59.629,58.932,59.333,37.243,-1.21%,6481971
2015/10/14,59.327,59.698,57.747,58.005,36.41,-2.24%,8911518
2015/10/15,58.345,58.672,57.992,58.641,36.809,1.10%,6085593
2015/10/16,59.157,59.251,58.295,58.527,36.738,-0.19%,5002796
2015/10/19,58.213,58.433,57.401,57.93,36.363,-1.02%,8761506
2015/10/20,59.364,61.479,58.578,60.176,37.773,3.88%,14309288
2015/10/21,60.566,62.102,60.428,61.655,38.701,2.46%,16934233
2015/10/22,61.857,63.077,61.737,62.801,39.42,1.86%,9092852
2015/10/23,63.222,63.499,63.046,63.323,39.748,0.83%,7997325
2015/10/26,63.323,63.549,62.933,63.077,39.594,-0.39%,4292262
2015/10/27,62.807,62.914,62.121,62.228,39.061,-1.35%,5397055
2015/10/28,62.536,62.631,61.781,62.505,39.234,0.45%,6085720
2015/10/29,62.454,62.687,61.825,62.335,39.128,-0.27%,5223673
2015/10/30,62.322,62.417,61.838,61.932,38.875,-0.65%,6373251
2015/11/2,62.19,62.668,61.894,62.549,39.262,1.00%,4874198
2015/11/3,62.542,63.147,62.177,62.933,39.503,0.61%,4909822
2015/11/4,63.197,63.587,62.933,63.14,39.633,0.33%,4951438
2015/11/5,63.203,63.556,62.756,63.436,39.819,0.47%,4501438
2015/11/6,62.958,63.436,62.486,63.436,39.819,0.00%,4346046
2015/11/9,63.31,63.461,62.435,62.719,39.369,-1.13%,5028735
2015/11/10,62.196,62.565,61.643,62.102,39.234,-0.98%,4351430
2015/11/11,62.329,62.555,61.718,61.838,39.067,-0.43%,3452609
2015/11/12,61.208,62.763,60.969,62.442,39.449,0.98%,13995943
2015/11/13,62.127,62.703,60.661,60.717,38.36,-2.76%,9879035
2015/11/16,60.768,61.586,60.654,61.567,38.896,1.40%,8102347
2015/11/17,61.781,61.863,61.296,61.391,38.785,-0.29%,7196196
2015/11/18,61.441,61.586,60.944,61.492,38.849,0.16%,6676933
2015/11/19,61.655,62.234,61.567,61.863,39.083,0.60%,6938592
2015/11/20,62.077,62.649,61.762,61.812,39.052,-0.08%,7783220
2015/11/23,61.787,62.039,61.605,61.731,39,-0.13%,6637461
2015/11/24,61.403,61.598,60.705,61.271,38.71,-0.75%,8491709
2015/11/25,61.303,61.705,61.202,61.215,38.674,-0.09%,6890571
2015/11/27,61.051,61.152,60.755,60.919,38.487,-0.48%,3050574
2015/11/30,61.082,61.202,60.378,60.447,38.189,-0.77%,8834129
2015/12/1,60.441,61.328,60.428,60.856,38.447,0.68%,7302486
2015/12/2,60.705,60.938,59.868,59.943,37.871,-1.50%,6185231
2015/12/3,59.975,60.289,59.408,59.597,37.652,-0.58%,9665100
2015/12/4,59.78,60.812,59.654,60.245,38.061,1.09%,14664644
2015/12/7,60.176,60.573,60.019,60.359,38.133,0.19%,7438447
2015/12/8,59.773,59.987,59.091,59.301,37.465,-1.75%,11141750
2015/12/9,58.892,60.151,58.66,59.257,37.437,-0.07%,10982219
2015/12/10,59.201,59.578,57.665,59.075,37.322,-0.31%,9237591
2015/12/11,58.534,59.553,58.483,58.716,37.095,-0.61%,15798758
2015/12/14,58.716,58.886,58.024,58.546,36.988,-0.29%,10722910
2015/12/15,58.955,59.572,58.672,58.691,37.079,0.25%,10516103
2015/12/16,59.138,60.057,58.804,59.868,37.823,2.01%,15680701
2015/12/17,59.868,60.245,59.056,59.075,37.322,-1.32%,7630899
2015/12/18,58.722,59.364,58.112,58.112,36.714,-1.63%,13756962
2015/12/21,58.54,59.087,58.332,58.911,37.219,1.37%,13838305
2015/12/22,59.352,60.044,59.157,59.704,37.72,1.35%,7379404
2015/12/23,60.101,60.793,60.057,60.604,38.288,1.51%,7432067
2015/12/24,60.346,60.743,60.334,60.604,38.288,0.00%,2197121
2015/12/28,60.403,60.61,60.227,60.472,38.205,-0.22%,5731249
2015/12/29,60.837,61.529,60.636,61.215,38.674,1.23%,5230088
2015/12/30,60.994,61.359,60.743,60.982,38.527,-0.38%,5023915
2015/12/31,60.673,60.843,60.233,60.459,38.197,-0.86%,4689097
2016/1/4,59.44,60.189,59.132,60.145,37.998,-0.52%,8551684
2016/1/5,59.874,60.415,59.66,60.239,38.058,0.16%,6758374
2016/1/6,59.094,59.559,58.238,58.603,37.024,-2.72%,13189585
2016/1/7,57.565,58.748,57.539,57.835,36.539,-1.31%,11097780
2016/1/8,57.627,57.823,56.778,56.891,35.942,-1.63%,11919386
2016/1/11,57.325,57.52,56.589,56.954,35.982,0.11%,11417665
2016/1/12,57.262,57.363,56.432,56.954,35.982,0.00%,12230625
2016/1/13,57.061,57.061,55.639,55.903,35.318,-1.85%,13647576
2016/1/14,56.06,56.375,55.293,56.016,35.39,0.20%,11752089
2016/1/15,54.745,55.419,53.789,53.889,34.046,-3.80%,16633078
2016/1/19,54.342,54.342,53.159,53.644,33.891,-0.45%,11869818
2016/1/20,53.14,53.858,52.48,53.386,33.728,-0.48%,15255995
2016/1/21,53.386,54.619,53.203,53.851,34.022,0.87%,9123408
2016/1/22,54.72,54.991,54.047,54.342,34.332,0.91%,7384337
2016/1/25,54.11,54.216,53.298,53.43,33.756,-1.68%,16595570
2016/1/26,53.675,54.418,53.625,53.902,34.054,0.88%,11748061
2016/1/27,53.933,55.11,53.335,54.003,34.117,0.19%,12845167
2016/1/28,54.311,54.877,54.072,54.405,34.372,0.74%,9148254
2016/1/29,54.67,55.186,54.6,55.186,34.865,1.44%,12532619
2016/2/1,54.789,55.28,54.405,55.104,34.813,-0.15%,8003595
2016/2/2,54.229,54.581,53.543,53.757,33.962,-2.44%,11753872
2016/2/3,54.116,54.355,53.046,54.097,34.177,0.63%,13197444
2016/2/4,54.179,55.828,54.141,55.456,35.036,2.51%,9409463
2016/2/5,55.406,55.702,55.028,55.28,34.924,-0.32%,8289279
2016/2/8,54.965,55.003,54.009,54.613,34.503,-1.21%,10897973
2016/2/9,54.286,55.236,54.078,54.902,34.686,0.53%,11696484
2016/2/10,54.978,55.664,54.588,54.726,34.575,-0.32%,5750309
2016/2/11,53.738,54.468,52.766,53.279,33.66,-2.64%,12254042
2016/2/12,53.486,54.204,53.43,54.091,34.173,1.52%,9353341
2016/2/16,54.965,55.066,53.845,54.424,34.384,0.62%,11060061
2016/2/17,54.569,55.689,54.525,55.456,35.29,1.90%,8167132
2016/2/18,55.727,56.035,55.481,55.607,35.386,0.27%,7940431
2016/2/19,55.601,56.004,55.016,55.525,35.334,-0.15%,18778080
2016/2/22,56.13,59.729,55.928,58.131,36.992,4.69%,34676807
2016/2/23,58.043,58.169,56.945,57.646,36.684,-0.83%,18381000
2016/2/24,57.338,59.251,57.338,58.911,37.489,2.19%,26998697
2016/2/25,59.1,62.133,58.955,61.718,39.275,4.76%,26795019
2016/2/26,63.065,63.279,60.73,61.479,39.123,-0.39%,23286289
2016/2/29,61.315,62.222,60.736,60.806,38.694,-1.09%,14069177
2016/3/1,58.037,59.817,57.942,59.817,38.066,-1.63%,19630269
2016/3/2,59.635,60.415,59.408,60.12,38.258,0.51%,8655746
2016/3/3,59.912,60.51,59.83,60.485,38.49,0.61%,7306094
2016/3/4,60.522,61.23,60.277,61.045,38.847,0.93%,7427117
2016/3/7,60.761,61.334,60.447,60.994,38.815,-0.08%,10022752
2016/3/8,60.503,61.353,60.494,60.982,38.806,-0.02%,8488323
2016/3/9,61.246,61.347,60.667,60.793,38.686,-0.31%,6608574
2016/3/10,60.793,61.12,59.817,60.529,38.518,-0.43%,7639055
2016/3/11,61.158,61.454,60.713,60.887,38.746,0.59%,6405411
2016/3/14,60.604,61.278,60.598,60.938,38.778,0.08%,6315536
2016/3/15,60.453,60.856,60.34,60.598,38.562,-0.56%,4370207
2016/3/16,60.541,61.674,60.415,61.353,39.043,1.25%,7306638
2016/3/17,61.561,62.473,61.29,62.203,39.583,1.39%,6619853
2016/3/18,62.435,63.115,62.19,62.335,39.668,0.21%,15105183
2016/3/21,62.354,62.681,62.171,62.41,39.716,0.12%,6350716
2016/3/22,62.102,62.473,61.869,62.089,39.511,-0.51%,5578095
2016/3/23,62.159,62.596,61.85,62.373,39.692,0.46%,5140969
2016/3/24,61.768,62.354,61.674,62.341,39.672,-0.05%,4524364
2016/3/28,62.278,62.486,62.083,62.247,39.611,-0.15%,3622384
2016/3/29,61.932,63.134,61.724,63.008,40.096,1.22%,5985124
2016/3/30,63.449,63.562,62.87,63.09,40.148,0.13%,4783690
2016/3/31,62.983,63.197,62.297,62.996,40.088,-0.15%,6089880
2016/4/1,62.549,63.222,62.19,62.914,40.036,-0.13%,6416525
2016/4/4,63.121,63.675,62.807,63.103,40.156,0.30%,5891004
2016/4/5,62.775,63.153,62.517,62.845,39.992,-0.41%,4958267
2016/4/6,62.675,63.272,61.938,63.166,40.196,0.51%,8056790
2016/4/7,62.87,63.82,62.725,63.493,40.404,0.52%,6109261
2016/4/8,63.839,64.411,63.537,63.763,40.577,0.43%,4378505
2016/4/11,63.927,64.777,63.631,64.279,40.905,0.81%,7283130
2016/4/12,64.374,65.123,64.374,64.871,41.281,0.92%,5066914
2016/4/13,65.217,65.922,65.205,65.834,41.894,1.48%,5822946
2016/4/14,66.079,66.35,64.128,65.878,41.922,0.07%,8290346
2016/4/15,65.746,66.18,65.582,65.809,41.878,-0.10%,5982093
2016/4/18,65.846,66.295,65.469,66.161,42.102,0.53%,4463809
2016/4/19,66.457,66.888,65.771,66.079,42.05,-0.12%,6118439
2016/4/20,66.344,66.778,66.205,66.413,42.263,0.51%,6075342
2016/4/21,66.432,66.683,66.237,66.35,42.223,-0.09%,4176568
2016/4/22,66.539,66.904,66.035,66.52,42.331,0.26%,4865289
2016/4/25,66.199,66.205,65.625,66.205,42.13,-0.47%,4398399
2016/4/26,66.362,66.561,65.211,65.953,41.97,-0.38%,8763257
2016/4/27,66.91,67.382,66.004,66.639,42.407,1.04%,10071860
