Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,122.19,122.56,121.32,121.38,113.818,-0.32%,460321
2015/3/25,121.51,122.07,118.94,118.98,111.567,-1.98%,471029
2015/3/26,118.43,120,118.01,119.23,111.802,0.21%,684767
2015/3/27,119.24,121.08,118.61,120.74,113.218,1.27%,1318234
2015/3/30,122.16,122.24,119.8,120.19,112.702,-0.46%,953164
2015/3/31,120.45,121.1,117.09,117.1,109.804,-2.57%,1409183
2015/4/1,117.93,119.51,116.88,119.48,112.036,2.03%,1160042
2015/4/2,119.92,120.52,118.62,120.14,112.655,0.55%,693528
2015/4/6,120,121.13,119.77,120.59,113.077,0.37%,1102635
2015/4/7,121.2,121.64,119.449,119.61,112.158,-0.81%,1245346
2015/4/8,119.71,120.32,117.53,118.05,110.695,-1.30%,739225
2015/4/9,118.2,118.9,117.8,118.485,111.103,0.37%,836169
2015/4/10,118.95,119.05,117.66,117.67,110.339,-0.69%,572954
2015/4/13,117.69,119.37,117.51,118.71,111.314,0.88%,554451
2015/4/14,118.66,119.52,118.19,119.08,111.661,0.31%,458939
2015/4/15,119.29,119.78,118.927,119.58,112.13,0.42%,547326
2015/4/16,119.45,120.46,118.87,120.42,112.918,0.70%,644064
2015/4/17,119.2,119.85,118.13,119.75,112.289,-0.56%,1325053
2015/4/20,120.61,121.99,119.695,121.84,114.249,1.75%,719421
2015/4/21,121.34,122.98,120.428,121.94,114.343,0.08%,986574
2015/4/22,122.29,122.8,121.6,122.7,115.055,0.62%,897184
2015/4/23,122.68,124.98,122.51,124.38,116.631,1.37%,952947
2015/4/24,123.35,124.49,120.87,121.18,113.63,-2.57%,973393
2015/4/27,121.01,121.01,118.65,119.28,111.849,-1.57%,1161335
2015/4/28,119,119.005,117.81,118.04,110.686,-1.04%,831975
2015/4/29,118.1,118.33,116.32,116.79,109.514,-1.06%,739222
2015/4/30,116.72,116.98,115.47,115.82,108.604,-0.83%,831883
2015/5/1,116.19,116.44,115.185,116.19,108.951,0.32%,846307
2015/5/4,116.1,116.82,115.77,116.33,109.082,0.12%,1083552
2015/5/5,116.25,116.73,113.72,114.24,107.123,-1.80%,913101
2015/5/6,113.81,115.3,113.04,114.54,107.404,0.26%,899262
2015/5/7,114.91,115.62,113.82,113.885,106.79,-0.57%,694205
2015/5/8,115.16,116.13,114.92,115.95,108.726,1.81%,760966
2015/5/11,115.64,116.22,114.78,115.16,107.985,-0.68%,478411
2015/5/12,114.28,115.74,113.01,115.44,108.248,0.24%,690755
2015/5/13,115.5,116.58,115.36,115.54,108.342,0.09%,659450
2015/5/14,116.2,116.63,114.98,116.31,109.064,0.67%,667180
2015/5/15,116.66,118.18,115.35,118.16,110.798,1.59%,600550
2015/5/18,117.67,118.888,117.1,118.34,110.967,0.15%,542820
2015/5/19,117.76,118.29,116.18,116.42,109.167,-1.62%,856109
2015/5/20,116.28,116.89,114.15,114.7,107.554,-1.48%,1618330
2015/5/21,114.34,114.956,113.39,113.55,106.476,-1.00%,1181307
2015/5/22,113.23,113.59,112.64,113.4,106.335,-0.13%,995806
2015/5/26,113.31,113.35,112.73,112.93,105.894,-0.41%,858286
2015/5/27,113.2,113.21,112.325,112.74,105.716,-0.17%,899809
2015/5/28,112.33,113.81,112.26,112.54,105.528,-0.18%,842081
2015/5/29,112.75,112.75,111.58,111.81,104.844,-0.65%,1794185
2015/6/1,112.36,115.47,111.604,115.14,107.966,2.98%,1873638
2015/6/2,114.61,115.49,114.05,115,107.835,-0.12%,921587
2015/6/3,115.17,115.17,113.545,114.21,107.094,-0.69%,755059
2015/6/4,115.6,119.98,115.59,118.1,110.742,3.41%,2546849
2015/6/5,117.11,117.75,115.86,116.95,109.664,-0.97%,985753
2015/6/8,117.08,117.51,116.27,116.4,109.148,-0.47%,651939
2015/6/9,116.57,116.87,115.6,115.99,108.764,-0.35%,602046
2015/6/10,116.11,117.73,115.874,116.89,109.607,0.78%,853731
2015/6/11,117.13,117.56,116.474,116.61,109.345,-0.24%,819150
2015/6/12,116.39,117.26,116.25,117,109.711,0.33%,532096
2015/6/15,116.34,118.27,116.316,117.76,110.423,0.65%,932297
2015/6/16,117.41,118.05,116.54,117.41,110.095,-0.30%,517610
2015/6/17,117.8,118.14,116.74,117.65,110.32,0.20%,591049
2015/6/18,118.26,121.18,118.235,120.46,112.955,2.39%,1103610
2015/6/19,120.94,120.94,119.33,119.75,112.289,-0.59%,689386
2015/6/22,120.46,120.67,119.58,119.705,112.247,-0.04%,423172
2015/6/23,120.19,120.79,119.38,120.16,112.674,0.38%,522423
2015/6/24,119.5,120.64,118.27,119.04,111.623,-0.93%,626324
2015/6/25,119.48,119.93,118.7,119.58,112.13,0.45%,486999
