Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,81.9,82.51,81.66,81.85,61.628,-0.18%,6446063
2015/3/25,82.65,84.12,82.32,83.29,62.712,1.76%,8242678
2015/3/26,84,84.6,82.763,83.16,62.615,-0.16%,8150067
2015/3/27,83.01,83.47,82.32,83.31,62.728,0.18%,5728884
2015/3/30,83.88,84.73,83.41,84.48,63.608,1.40%,6537564
2015/3/31,83.72,84.26,83.35,83.44,62.825,-1.23%,7304707
2015/4/1,84,84.8,83.6,84.28,63.458,1.01%,7808393
2015/4/2,84.09,85.43,83.89,84.39,63.541,0.13%,6039614
2015/4/6,84.96,87.04,84.81,85.91,64.685,1.80%,8092454
2015/4/7,86.14,86.99,85.25,86.27,64.956,0.42%,7174540
2015/4/8,86.56,87.08,85.26,86.12,64.843,-0.17%,8739177
2015/4/9,86.38,88.93,86.26,88.45,66.598,2.71%,9207154
2015/4/10,88.78,89.37,88.2,89.11,67.095,0.75%,7314917
2015/4/13,88.98,89.3,87.76,88.02,66.274,-1.22%,7936899
2015/4/14,88.59,89.34,88.345,88.8,66.861,0.89%,12053108
2015/4/15,89.46,92,88.9,92,69.271,3.60%,13207782
2015/4/16,91.25,93.255,90.23,91.89,69.188,-0.12%,17143244
2015/4/17,94.11,94.89,91.54,92.86,69.918,1.06%,19994728
2015/4/20,92.58,93.8,92.21,92.47,69.624,-0.42%,8937996
2015/4/21,92.46,92.68,90.61,91.29,68.736,-1.28%,6850233
2015/4/22,91.87,92.46,91.11,92.16,69.391,0.95%,5910221
2015/4/23,92.32,93.94,92.32,93.05,70.061,0.97%,6185730
2015/4/24,92.51,92.69,91.16,91.61,68.977,-1.55%,7604019
2015/4/27,92.18,92.59,91.45,92.33,69.519,0.79%,7402818
2015/4/28,92.09,92.8,91.48,92.66,69.768,0.36%,4480452
2015/4/29,92.58,94.4,91.9,94.28,70.987,1.75%,8118303
2015/4/30,94.23,95.13,93.43,94.61,71.236,0.35%,8166545
2015/5/1,94.48,94.89,92.81,93,70.024,-1.70%,6926695
2015/5/4,94.18,94.18,92.38,92.98,70.008,-0.02%,4993611
2015/5/5,93.66,94.41,92.03,92.04,69.301,-1.01%,7349516
2015/5/6,92.71,93.57,91.55,92.27,69.474,0.25%,6664751
2015/5/7,91.61,91.68,89.57,90.23,67.938,-2.21%,8668900
2015/5/8,91.32,92.56,90.13,92.43,69.594,2.44%,6078058
2015/5/11,93.39,93.41,91.67,91.77,69.097,-0.71%,7335409
2015/5/12,91.38,92.94,91.14,92.47,69.624,0.76%,5087372
2015/5/13,93.12,93.17,91.77,92.51,69.655,0.04%,5913632
2015/5/14,92.8,93.25,91.9,92.17,69.399,-0.37%,5266416
2015/5/15,91.85,92.69,91.17,92.14,69.376,-0.03%,4640458
2015/5/18,91.96,93,91.65,92.75,69.835,0.66%,4023597
