Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,106.28,106.55,105.29,105.32,95.38,-1.11%,1004023
2015/3/25,105.69,106,103.78,103.78,93.986,-1.46%,1166080
2015/3/26,103.39,104.6,102.735,104.19,94.357,0.40%,1530351
2015/3/27,104.04,104.51,103.43,103.82,94.022,-0.36%,978620
2015/3/30,104.36,105.53,103.92,105.31,95.371,1.44%,783331
2015/3/31,104.59,104.76,103.17,103.4,93.642,-1.81%,1400250
2015/4/1,103.16,104.995,102.43,104.91,95.009,1.46%,1685959
2015/4/2,104.55,105.48,104,104.46,94.602,-0.43%,1005906
2015/4/6,103.33,104.74,103.16,104.51,94.647,0.05%,1204967
2015/4/7,104.86,105.37,103.77,103.78,93.986,-0.70%,1056122
2015/4/8,104,104.49,103.43,104.45,94.593,0.65%,1185036
2015/4/9,104.4,105.31,103.88,105.25,95.317,0.77%,459978
2015/4/10,105.18,105.2,104.34,105.11,95.19,-0.13%,485422
2015/4/13,104.88,106.43,104.86,105.4,95.453,0.28%,718338
2015/4/14,105.13,105.32,103.42,103.82,94.022,-1.50%,1265628
2015/4/15,103.91,104.5,103.45,103.62,93.841,-0.19%,1376453
2015/4/16,103.13,103.74,102.38,103.11,93.379,-0.49%,1717962
2015/4/17,102.23,103.07,101.57,102.86,93.153,-0.24%,1398439
2015/4/20,103.27,104.09,103.14,103.59,93.814,0.71%,782257
2015/4/21,103.75,104.35,103.28,103.56,93.787,-0.03%,630637
2015/4/22,103.74,104.38,103.06,104.25,94.411,0.67%,573536
2015/4/23,103.77,105.6,103.195,105.26,95.326,0.97%,1026981
2015/4/24,105.36,106.46,105.23,106.23,96.205,0.92%,951624
2015/4/27,106.29,107,105.16,105.29,95.353,-0.88%,1335104
2015/4/28,107.49,107.9,104.35,105.67,95.697,0.36%,1554747
2015/4/29,105.27,106.35,105.27,105.66,95.688,-0.01%,1877742
2015/4/30,105.61,106.26,103.7,104.3,94.457,-1.29%,1991239
2015/5/1,104.98,105.88,103.84,104.22,94.384,-0.08%,1064315
2015/5/4,104.39,106.18,104.1,105.73,95.752,1.45%,1151030
2015/5/5,105.35,106.4,104.91,104.93,95.027,-0.76%,1309506
2015/5/6,104.81,105.66,103.35,103.98,94.167,-0.91%,1254842
2015/5/7,104.01,105.18,103.4,104.94,95.036,0.92%,889203
2015/5/8,105.85,107.31,105.85,106.63,96.567,1.61%,713280
2015/5/11,106.5,107.79,106.43,107.57,97.418,0.88%,1256808
2015/5/12,106.82,106.96,105.26,106.08,96.069,-1.39%,1044106
2015/5/13,106.1,106.85,104.71,104.97,95.063,-1.05%,1005954
2015/5/14,105.7,106.05,105.31,105.8,95.815,0.79%,1074778
2015/5/15,106.14,106.65,105.24,105.7,95.725,-0.09%,802124
2015/5/18,105.74,107.3,105.55,107.22,97.101,1.44%,672436
2015/5/19,107.48,108.14,107.15,107.44,97.3,0.21%,663876
2015/5/20,107.56,107.72,106.68,106.7,96.63,-0.69%,631455
2015/5/21,106.6,107.18,105.66,106.87,96.784,0.16%,815402
2015/5/22,106.55,106.89,105.85,105.85,96.159,-0.95%,691737
2015/5/26,105.91,105.91,103.98,104.74,95.151,-1.05%,1081666
2015/5/27,104.77,105.89,103.87,105.49,95.832,0.72%,1426568
2015/5/28,105.59,105.83,104.76,105.34,95.696,-0.14%,1258505
2015/5/29,105.48,105.53,103.71,103.75,94.252,-1.51%,1247664
2015/6/1,104.45,104.45,102.741,103.75,94.252,0.00%,1607269
2015/6/2,103.8,104.99,103.2,103.68,94.188,-0.07%,1642053
2015/6/3,103.8,105.47,103.47,103.59,94.106,-0.09%,1843645
2015/6/4,103.2,103.58,101.79,102.09,92.744,-1.45%,1135919
2015/6/5,101.81,102.75,101.28,102.04,92.698,-0.05%,1105278
2015/6/8,102.04,102.46,101.35,101.42,92.135,-0.61%,799753
2015/6/9,101.42,102.18,100.7,101.91,92.58,0.48%,718185
2015/6/10,102.2,103.54,101.55,103.42,93.952,1.48%,1115424
2015/6/11,103.46,104.81,103.44,104.44,94.878,0.99%,867174
2015/6/12,104.15,104.33,103.37,103.7,94.206,-0.71%,874636
2015/6/15,103.15,103.67,102.37,103.53,94.052,-0.16%,837930
2015/6/16,103.18,104.06,102.92,103.95,94.433,0.41%,753294
2015/6/17,104.36,104.75,103.74,104.04,94.515,0.09%,491853
2015/6/18,104.43,105.67,104.06,105.4,95.75,1.31%,697006
2015/6/19,105.31,105.6,104.74,104.74,95.151,-0.63%,968230
2015/6/22,105.19,106.17,104.78,105.85,96.159,1.06%,627053
2015/6/23,106.23,106.35,104.94,105.13,95.505,-0.68%,997477
2015/6/24,105.16,105.21,103.95,103.95,94.433,-1.12%,875606
2015/6/25,103.98,104.33,103.2,103.32,93.861,-0.61%,868333
2015/6/26,103.84,104.3,103.44,103.6,94.115,0.27%,1761075
2015/6/29,102.88,103.21,100.48,100.61,91.399,-2.89%,1046440
2015/6/30,101.36,101.99,100.44,100.45,91.254,-0.16%,1223174
2015/7/1,101.31,101.89,100.8,101.45,92.162,1.00%,1039173
2015/7/2,101.97,102.23,101.2,102.08,92.734,0.62%,1321464
2015/7/6,100.84,102.38,100.84,101.61,92.307,-0.46%,1405156
2015/7/7,101.76,102.12,100.62,101.24,91.971,-0.36%,3209171
2015/7/8,100.91,101.33,99.96,100.27,91.09,-0.96%,2172731
2015/7/9,101.22,102.11,100.52,100.89,91.653,0.62%,1173474
2015/7/10,102.5,103.38,101.89,103.16,93.716,2.25%,2999326
2015/7/13,104.01,104.57,103.39,103.75,94.252,0.57%,1517232
2015/7/14,103.9,104.56,103.14,104.38,94.824,0.61%,915689
2015/7/15,104.56,105.13,103.98,104.64,95.06,0.25%,881572
2015/7/16,105.63,105.69,104.97,105.28,95.641,0.61%,732059
2015/7/17,105.41,105.41,104.15,104.78,95.187,-0.47%,724386
2015/7/20,104.83,105.97,104.78,105.86,96.168,1.03%,1014788
2015/7/21,106,106.04,105.08,105.94,96.241,0.08%,1344014
2015/7/22,105.78,106.44,105.37,106.39,96.65,0.42%,1120388
2015/7/23,106.59,107.5,106.3,106.5,96.75,0.10%,1118844
2015/7/24,106.34,106.98,105.435,105.58,95.914,-0.86%,707867
2015/7/27,104.34,104.45,98.58,99.59,90.472,-5.67%,3793297
2015/7/28,100.48,100.67,97.38,98.4,89.391,-1.19%,2478732
2015/7/29,98.52,101.65,98.24,101.48,92.189,3.13%,2266042
2015/7/30,101.51,102.91,101.4,102.84,93.425,1.34%,1807904
2015/7/31,103.42,103.66,101.68,101.75,92.435,-1.06%,1143235
2015/8/3,101.67,101.76,100.085,101.22,91.953,-0.52%,1020510
2015/8/4,101.33,101.91,100.84,101.09,91.835,-0.13%,873299
2015/8/5,101.5,102.3,101.17,101.6,92.298,0.50%,715914
2015/8/6,101.86,102.35,100.01,100.6,91.39,-0.98%,1004376
2015/8/7,100.45,101.07,99.97,100.72,91.499,0.12%,560997
2015/8/10,101.85,103.57,101.555,103.35,93.888,2.61%,1005725
2015/8/11,102.35,103.156,101.51,102.22,92.862,-1.09%,891920
2015/8/12,100.73,101.9,99.24,101.43,92.144,-0.77%,1223695
2015/8/13,106.61,106.61,100.11,101.19,91.926,-0.24%,712669
2015/8/14,100.75,101.88,100.59,101.7,92.389,0.50%,1086736
2015/8/17,101.3,102.839,100.75,102.76,93.352,1.04%,662140
2015/8/18,102.74,103.16,102.4,102.55,93.161,-0.20%,901462
2015/8/19,101.94,103.25,100.86,102.57,93.18,0.02%,992321
2015/8/20,101.19,101.83,100.2,100.3,91.117,-2.21%,1122142
2015/8/21,99.48,99.58,96.45,96.48,87.647,-3.81%,1702646
2015/8/24,91,96.26,90.5,92.61,84.431,-4.01%,2590888
2015/8/25,97.5,97.53,93.15,93.19,84.96,0.63%,3421254
2015/8/26,95.21,96.58,92.8,96.27,87.768,3.31%,1701795
2015/8/27,97.19,99.17,96.95,99.09,90.339,2.93%,1899131
2015/8/28,98.36,99.6,97.85,99.45,90.667,0.36%,1372706
2015/8/31,99.16,99.16,96.93,96.99,88.424,-2.47%,1348555
2015/9/1,94.47,95.25,92.13,92.77,84.577,-4.35%,1610630
2015/9/2,94.38,95.25,92.23,93.66,85.388,0.96%,1486759
2015/9/3,93.94,94.86,93.26,93.74,85.461,0.09%,995259
2015/9/4,93.26,93.72,92.36,93.18,84.951,-0.60%,1497532
2015/9/8,94.81,96.31,93.76,96.16,87.668,3.20%,840407
2015/9/9,96.91,97.3,92.83,93.11,84.887,-3.17%,1638933
2015/9/10,92.69,94.09,92.57,93.54,85.279,0.46%,1377281
2015/9/11,93.12,94.64,92.55,94.57,86.218,1.10%,1152868
2015/9/14,94.49,94.76,92.21,92.79,84.595,-1.88%,1516810
2015/9/15,93.4,95.308,92.97,94.9,86.519,2.27%,1086921
2015/9/16,94.82,95.31,94.26,94.66,86.3,-0.25%,963098
2015/9/17,94.82,95.485,93.79,94.06,85.753,-0.63%,1483649
2015/9/18,92.87,93.54,91.99,92.22,84.076,-1.96%,1720250
2015/9/21,93.17,94.32,92.45,92.7,84.513,0.52%,1276261
2015/9/22,92,92.08,90.43,91.24,83.182,-1.57%,1457964
2015/9/23,90.98,91.87,90.56,91.13,83.082,-0.12%,903937
2015/9/24,90.18,90.94,88.68,89.2,81.322,-2.12%,1501046
2015/9/25,90.28,90.46,88.88,89.14,81.268,-0.07%,1242735
2015/9/28,88.34,88.83,85.41,85.53,77.976,-4.05%,1527788
2015/9/29,85.83,86.24,84.644,85.4,77.858,-0.15%,1626134
2015/9/30,86.57,86.67,85.04,86.5,78.861,1.29%,2085041
2015/10/1,86.44,88.46,86.22,88.39,80.584,2.18%,2114140
2015/10/2,86.63,89.37,86.1,89.32,81.432,1.05%,1112867
2015/10/5,90.17,90.66,89.62,90.39,82.407,1.20%,831704
2015/10/6,89.88,90.21,88.23,89.16,81.286,-1.36%,1321387
2015/10/7,89.5,90.06,88.4,88.91,81.058,-0.28%,1505995
2015/10/8,88.7,89.84,88.475,89.58,81.669,0.75%,753402
2015/10/9,89.45,90.27,88.86,89.74,81.815,0.18%,867580
2015/10/12,89.53,90.46,89.35,90.23,82.261,0.55%,625182
2015/10/13,89.63,91.22,89.4,90.23,82.261,0.00%,1226477
2015/10/14,90.46,91.87,90.38,90.92,82.89,0.76%,1360680
2015/10/15,91.45,93.16,91.14,93.1,84.878,2.40%,1257110
2015/10/16,93.46,93.58,92.29,92.65,84.468,-0.48%,984880
2015/10/19,92.5,93.13,92.16,93.06,84.841,0.44%,696166
2015/10/20,93.02,93.45,92.764,93.03,84.814,-0.03%,695668
