Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,20.81,20.94,20.11,20.24,16.281,-0.76%,3996460
2015/3/25,20.78,20.93,20.33,20.34,16.361,0.49%,4192926
2015/3/26,20.37,20.61,19.84,20.01,16.096,-1.62%,4150940
2015/3/27,19.89,19.89,19.45,19.495,15.792,-2.57%,3566481
2015/3/30,19.57,20.27,19.57,20.22,16.379,3.72%,2622484
2015/3/31,20.02,20.16,19.76,20.1,16.282,-0.59%,3410580
2015/4/1,19.77,20.03,19.5,19.78,16.023,-1.59%,4473055
2015/4/2,19.77,20.52,19.6,20.43,16.549,3.29%,2592344
2015/4/6,20.36,20.45,19.94,20.025,16.221,-1.98%,3809488
2015/4/7,19.99,20.54,19.93,20.32,16.46,1.47%,3178137
2015/4/8,20.49,20.69,20.05,20.42,16.541,0.49%,2650562
2015/4/9,20.37,20.793,20.29,20.7,16.768,1.37%,3428836
2015/4/10,20.63,20.8,20.51,20.61,16.695,-0.43%,1617333
2015/4/13,20.56,20.69,20.32,20.53,16.63,-0.39%,2053496
2015/4/14,20.64,21.04,20.54,21,17.011,2.29%,3409425
2015/4/15,21.11,21.52,21.06,21.235,17.201,1.12%,5589241
2015/4/16,21.32,21.38,20.92,20.92,16.946,-1.48%,3919987
2015/4/17,20.56,20.65,20.2,20.44,16.557,-2.29%,3938424
2015/4/20,20.58,21.05,20.555,20.88,16.914,2.15%,4529850
2015/4/21,20.92,21.66,20.58,21.28,17.238,1.92%,6519003
2015/4/22,21.39,21.39,21.08,21.29,17.246,0.05%,3280635
2015/4/23,21.27,22.15,20.01,21.98,17.805,3.24%,5585883
2015/4/24,22.19,22.19,21.74,21.86,17.708,-0.55%,4167728
2015/4/27,21.95,22.29,21.79,21.86,17.708,0.00%,2751105
2015/4/28,21.88,22.39,21.66,22.23,18.007,1.69%,4331413
2015/4/29,21.94,22.15,21.68,21.98,17.805,-1.12%,3504581
2015/4/30,21.47,22.355,21.4,22.13,17.926,0.68%,3719557
2015/5/1,22.36,22.4,21.8,22.07,17.878,-0.27%,2437536
2015/5/4,22.17,22.44,21.96,22.29,18.056,1.00%,2619105
2015/5/5,22.22,22.601,21.8,22.01,17.829,-1.26%,4406418
