Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,75.26,75.55,74.73,74.75,56.761,-1.09%,1854026
2015/3/25,74.74,74.74,73.27,73.27,55.637,-1.98%,2493836
2015/3/26,73.08,74.28,72.67,73.65,55.926,0.52%,2727823
2015/3/27,73.38,73.72,73.18,73.47,55.789,-0.24%,1917627
2015/3/30,72.94,74.29,72.94,73.88,56.328,0.56%,1847208
2015/3/31,73.54,73.8,73.1,73.53,56.062,-0.47%,2597416
2015/4/1,73.26,73.76,72.56,73.45,56.001,-0.11%,2480805
2015/4/2,73.31,74.22,73.26,73.97,56.397,0.71%,1920633
2015/4/6,73.43,74.75,73.1,74.65,56.916,0.92%,1634557
2015/4/7,74.59,75.39,74.32,75.2,57.335,0.74%,2329591
2015/4/8,75.25,75.97,75.07,75.78,57.777,0.77%,1934063
2015/4/9,75.54,76.32,75.32,76.22,58.113,0.58%,1799944
2015/4/10,76.12,76.365,75.71,76.35,58.212,0.17%,1699264
2015/4/13,76.31,77.19,76.29,76.65,58.44,0.39%,1793075
2015/4/14,76.37,76.75,75.8,76.39,58.242,-0.34%,1584895
2015/4/15,76.5,76.72,76.295,76.53,58.349,0.18%,1910697
2015/4/16,76.21,76.66,75.99,76.44,58.28,-0.12%,1177356
2015/4/17,75.9,76.07,75.21,75.68,57.701,-0.99%,2238212
2015/4/20,76.07,76.47,75.84,76.28,58.158,0.79%,1148089
2015/4/21,76.9,77.32,76.28,76.67,58.456,0.51%,2514634
2015/4/22,76.69,78.16,76.42,77.93,59.416,1.64%,3248400
2015/4/23,77.83,78.55,77.44,78.19,59.615,0.33%,2804057
2015/4/24,77.72,77.72,76.05,76.36,58.219,-2.34%,4179514
2015/4/27,76.68,77.73,76.52,76.93,58.654,0.75%,3793337
2015/4/28,76.27,77.595,76.27,77.48,59.073,0.71%,1890603
2015/4/29,77.3,78.12,77.15,77.65,59.203,0.22%,1587869
2015/4/30,77.58,78.19,76.75,77.12,58.799,-0.68%,2143363
2015/5/1,77.84,77.96,77.29,77.65,59.203,0.69%,1185715
2015/5/4,77.9,78.81,77.66,78.74,60.034,1.40%,1654509
2015/5/5,78.35,79.11,78.23,78.75,60.041,0.01%,3029259
2015/5/6,79.55,79.59,77.41,78.01,59.477,-0.94%,2650202
2015/5/7,78.14,78.535,77.835,78.17,59.599,0.21%,1816245
2015/5/8,78.79,78.965,78.45,78.75,60.041,0.74%,1360999
2015/5/11,78.55,79.11,78.02,78.02,59.485,-0.93%,2279053
2015/5/12,77.48,77.81,77.05,77.76,59.287,-0.33%,2210906
2015/5/13,77.67,78.1,77.27,78,59.47,0.31%,1465980
2015/5/14,78.25,78.32,76,77.72,59.256,-0.36%,3376965
2015/5/15,77.9,78.17,77.49,77.85,59.355,0.17%,1963113
2015/5/18,77.39,78.76,77.01,78.69,59.996,1.08%,2278548
2015/5/19,78.7,79.27,78.66,79.11,60.316,0.53%,2036512
2015/5/20,79.02,79.36,78.44,78.95,60.194,-0.20%,1538579
2015/5/21,78.65,79.13,78.53,78.9,60.156,-0.06%,1412102
2015/5/22,78.67,79.07,78.53,78.62,59.942,-0.35%,1470404
2015/5/26,78.4,78.52,77.47,77.61,59.172,-1.28%,2567923
2015/5/27,77.9,78.7,77.63,78.47,59.828,1.11%,1799329
2015/5/28,78.35,79.205,78.1,79.12,60.324,0.83%,2051194
2015/5/29,78.96,78.97,77.87,77.93,59.416,-1.50%,2597918
2015/6/1,78.23,78.41,77.235,77.44,59.043,-0.63%,2016625
2015/6/2,77.13,77.4,76.5,77.15,58.822,-0.37%,2261132
2015/6/3,77.62,78.92,77.54,78.35,59.737,1.56%,2016607
2015/6/4,77.95,78.42,77.2,77.33,58.959,-1.30%,1648179
2015/6/5,78.23,78.84,77.87,78.52,59.866,1.54%,2639133
2015/6/8,78.48,79.21,78.3,78.79,60.072,0.34%,2375117
2015/6/9,78.75,79.22,78.15,79.15,60.346,0.46%,1964310
2015/6/10,79.55,81.2,79.28,80.68,61.513,1.93%,2756134
2015/6/11,80.74,81.16,80.47,80.84,61.635,0.20%,1260191
2015/6/12,80.73,81.13,80.14,80.64,61.482,-0.25%,1999860
2015/6/15,79.95,80.21,79.19,79.82,60.857,-1.02%,1541775
2015/6/16,79.5,80.24,79.47,79.84,60.873,0.03%,1752806
2015/6/17,80.09,80.36,79.2,79.49,60.606,-0.44%,1980068
2015/6/18,79.82,80.34,79.19,79.91,60.926,0.53%,1763551
2015/6/19,79.17,79.84,78.76,78.95,60.194,-1.20%,3133033
2015/6/22,79.94,79.99,79.335,79.52,60.629,0.72%,1955807
2015/6/23,79.87,80.21,79.655,79.9,60.918,0.48%,1727561
2015/6/24,79.53,80.12,79.42,79.76,60.812,-0.18%,2429637
2015/6/25,79.91,79.98,78.66,78.66,59.973,-1.38%,1823606
2015/6/26,79,79.23,78.66,78.98,60.217,0.41%,2453358
2015/6/29,77.7,78.05,76.26,76.29,58.425,-3.41%,2330288
2015/6/30,77.43,77.73,76.2,77,58.969,0.93%,2507349
2015/7/1,77.93,78.06,77.09,77.43,59.298,0.56%,1408430
2015/7/2,77.12,77.41,76.4,77.01,58.977,-0.54%,1396019
2015/7/6,76.07,76.66,75.84,76.62,58.678,-0.51%,1272797
2015/7/7,76.47,76.76,74.61,76.63,58.686,0.01%,1929943
2015/7/8,75.88,75.965,74.5,74.6,57.131,-2.65%,1398283
2015/7/9,75.72,76.28,74.86,74.95,57.399,0.47%,2543136
2015/7/10,75.92,76.34,75.64,75.97,58.18,1.36%,2047502
2015/7/13,77.02,77.3,76.59,77.22,59.137,1.65%,1741329
2015/7/14,76.86,77.62,76.86,77.54,59.382,0.41%,1531695
2015/7/15,77.85,78.1,77.45,77.99,59.727,0.58%,1288156
2015/7/16,78.3,79.45,78.3,79.3,60.73,1.68%,2401812
2015/7/17,79.16,79.475,78.91,79.38,60.792,0.10%,1447485
2015/7/20,79.55,80.05,79.01,79.8,61.113,0.53%,1961576
2015/7/21,79.65,80.79,79.34,79.95,61.228,0.19%,1938173
2015/7/22,79.54,81.03,79.54,80.82,61.894,1.09%,2157872
2015/7/23,80.89,81.26,79.48,79.71,61.044,-1.37%,2070054
2015/7/24,77.8,77.8,75.12,75.38,57.728,-5.43%,5198477
2015/7/27,74.6,74.98,73.63,74.83,57.307,-0.73%,3448796
2015/7/28,75.23,76.18,74.79,76.17,58.333,1.79%,2740450
2015/7/29,76.29,76.5,75.93,76.42,58.525,0.33%,1879711
2015/7/30,76.45,77.16,76.37,77.15,59.084,0.96%,1232699
2015/7/31,77.15,77.33,76.41,76.56,58.632,-0.76%,1928868
2015/8/3,76.6,77.22,76.07,77.19,59.114,0.82%,2011015
2015/8/4,77.32,78.18,76.96,78.15,59.85,1.24%,2140003
2015/8/5,78.88,79.36,78,78.1,59.811,-0.06%,1665760
2015/8/6,78,79,77.89,78.35,60.003,0.32%,2680266
2015/8/7,78.18,78.86,77.47,78.51,60.125,0.20%,1448940
2015/8/10,79.29,79.796,79.01,79.53,60.906,1.30%,2062464
2015/8/11,78.44,79,78.02,78.43,60.064,-1.38%,2038571
2015/8/12,77.55,77.69,75.81,77.21,59.13,-1.56%,2943110
2015/8/13,77.03,77.945,77.03,77.55,59.39,0.44%,1915063
2015/8/14,77.29,78.509,77.29,78.47,60.095,1.19%,1496177
2015/8/17,77.36,78.22,77.13,78.13,59.834,-0.43%,2034371
2015/8/18,77.81,78.61,77.65,78.38,60.026,0.32%,1415099
2015/8/19,77.92,78.65,77.54,77.95,59.696,-0.55%,2289718
2015/8/20,76.96,77.02,75.82,75.92,58.142,-2.60%,2820795
2015/8/21,75.21,75.46,73.75,73.88,56.579,-2.69%,4060152
2015/8/24,69.58,72.21,68.98,69.46,53.195,-5.98%,1287068
2015/8/25,71.53,72.07,68.04,68.09,52.145,-1.97%,4179494
2015/8/26,69.93,70.84,68.78,70.77,54.198,3.94%,3644194
2015/8/27,71.8,73.29,71.57,72.94,55.86,3.07%,3134864
2015/8/28,72.93,73.18,72.05,73.11,55.99,0.23%,2003942
2015/8/31,72.3,72.77,71.7,71.92,55.078,-1.63%,2616762
2015/9/1,70.6,70.68,69.21,69.68,53.363,-3.11%,3690174
2015/9/2,70.44,72.85,69.85,70.82,54.236,1.64%,2249009
2015/9/3,71,72.23,70.8,71.45,54.719,0.89%,2311190
2015/9/4,70.58,70.85,69.68,70.03,53.631,-1.99%,2448151
2015/9/8,71.68,72.29,71.19,72.22,55.308,3.13%,2350038
2015/9/9,72.7,73.55,71.1,71.26,54.573,-1.33%,2209253
2015/9/10,71,72.24,70.7,71.62,54.849,0.51%,2372754
2015/9/11,71.1,71.56,70.44,71.52,54.772,-0.14%,1981594
2015/9/14,71.52,71.77,71.1,71.3,54.604,-0.31%,1522680
2015/9/15,71.48,72.21,71.11,71.93,55.086,0.88%,3418293
2015/9/16,71.93,72.21,71.46,72.09,55.209,0.22%,2475464
2015/9/17,72.2,73.41,71.22,71.49,54.749,-0.83%,3090279
2015/9/18,70.14,70.7,68.79,69,52.842,-3.48%,4757863
2015/9/21,69.72,70.665,69.25,69.84,53.486,1.22%,2551139
2015/9/22,68.55,69.15,67.87,68.61,52.544,-1.76%,3236041
2015/9/23,68.66,68.93,68.13,68.56,52.505,-0.07%,2372971
2015/9/24,67.78,68.15,67.09,67.73,51.87,-1.21%,3485352
2015/9/25,68.66,69.21,68.12,68.74,52.643,1.49%,2718616
2015/9/28,68.08,68.57,66.27,66.39,50.843,-3.42%,2356097
2015/9/29,66.29,66.97,65.76,66.62,51.28,0.35%,2432892
2015/9/30,67.55,67.72,66.29,67.21,51.734,0.89%,2844156
2015/10/1,66.94,67.38,65.95,67.11,51.657,-0.15%,2190738
2015/10/2,65.3,67.12,63.97,67.12,51.665,0.01%,3499422
2015/10/5,67.8,68.85,67.69,68.67,52.858,2.31%,3978321
2015/10/6,68.35,68.7,67.95,68.11,52.427,-0.82%,1684020
2015/10/7,68.75,69.42,68.1,69.02,53.127,1.34%,2436610
2015/10/8,68.58,69.57,68.39,69.45,53.458,0.62%,1190807
2015/10/9,69.45,69.55,68.145,68.77,52.935,-0.98%,2626384
2015/10/12,68.55,69.25,68.43,69.11,53.197,0.49%,1423567
2015/10/13,68.55,69.15,67.66,67.71,52.119,-2.03%,1650888
2015/10/14,67.5,67.6,66.48,66.64,51.295,-1.58%,2612650
2015/10/15,67.44,68.64,67.12,68.51,52.735,2.81%,2033626
2015/10/16,68.95,68.95,67.97,68.51,52.735,0.00%,2279443
2015/10/19,67.94,68.51,67.58,67.82,52.204,-1.01%,1960192
2015/10/20,67.73,68.49,67.66,68.26,52.542,0.65%,2364656
2015/10/21,68.5,68.62,67.18,67.19,51.719,-1.57%,2259877
2015/10/22,67.46,69.91,67.46,69.27,53.32,3.10%,3160819
2015/10/23,69.03,69.21,65.29,67.14,51.68,-3.07%,6390737
2015/10/26,67.14,68.44,66.45,66.92,51.511,-0.33%,3978672
2015/10/27,66.44,67.79,66.22,67.47,51.934,0.82%,3392974
2015/10/28,67.46,70.37,67.45,70.34,54.143,4.25%,3690239
2015/10/29,70.34,70.55,69.43,69.78,53.712,-0.80%,2010645
2015/10/30,69.89,70.19,69,69,53.112,-1.12%,2886892
2015/11/2,69.19,70.58,69.02,70.32,54.128,1.91%,1822421
2015/11/3,69.96,71.83,69.82,71.25,54.844,1.32%,3056003
2015/11/4,71.17,71.64,70.72,71.27,54.859,0.03%,1956476
2015/11/5,71.34,72.88,71.06,72.46,55.775,1.67%,3251918
2015/11/6,74.64,75.4,72.86,73.62,56.668,1.60%,4261705
2015/11/9,73.83,73.89,72.17,72.42,55.744,-1.63%,3290928
2015/11/10,72.09,72.63,71.09,71.43,54.982,-1.37%,2780497
2015/11/11,71.75,72.27,71.43,71.65,55.152,0.31%,2946145
2015/11/12,71.21,71.52,70.62,70.62,54.359,-1.44%,2922298
2015/11/13,70.33,70.92,69.83,69.96,53.851,-0.93%,1986018
2015/11/16,68.99,70.59,68.99,70.59,54.336,0.90%,2078444
2015/11/17,70.76,71.64,70.31,70.98,54.636,0.55%,1861287
2015/11/18,71.15,72.96,71,72.88,56.099,2.68%,2198034
2015/11/19,72.78,73.13,72.35,72.62,55.898,-0.36%,1427116
2015/11/20,73.13,73.5,72.61,72.78,56.022,0.22%,1595482
2015/11/23,72.78,73.19,72.42,72.62,55.898,-0.22%,1785210
2015/11/24,71.87,72.64,71.55,72.34,55.683,-0.39%,1615301
2015/11/25,72.58,73.03,72.11,72.82,56.052,0.66%,1559314
2015/11/27,72.71,72.88,72.11,72.8,56.037,-0.03%,798839
2015/11/30,72.81,73.095,72.49,72.58,55.868,-0.30%,2023033
2015/12/1,72.95,73.27,71.98,72.43,55.752,-0.21%,1877922
2015/12/2,72.64,72.91,71.92,72.36,55.698,-0.10%,2469112
2015/12/3,72.48,72.94,71.17,71.34,54.913,-1.41%,2408927
2015/12/4,71.8,73.77,71.44,73.69,56.722,3.29%,2147622
2015/12/7,73.43,73.43,72.09,72.52,55.821,-1.59%,1614390
2015/12/8,71.1,72.24,70.8,70.96,54.621,-2.15%,2896755
2015/12/9,70.43,70.76,68.71,68.83,52.981,-3.00%,4596132
2015/12/10,68.83,69.85,68.744,69.05,53.15,0.32%,2789542
2015/12/11,67.88,68.13,66.01,66.12,50.895,-4.24%,2993845
2015/12/14,66.58,67.11,64.5,65.73,50.595,-0.59%,3585541
2015/12/15,66.44,67.57,66.44,67.41,51.888,2.56%,4619676
2015/12/16,68.1,69.09,66.9,68.61,52.812,1.78%,4486050
2015/12/17,68.5,68.61,65.91,66.4,51.111,-3.22%,3755026
2015/12/18,65.81,65.82,64.71,64.73,49.825,-2.52%,3825835
2015/12/21,65.36,65.81,65.02,65.77,50.626,1.61%,2202926
2015/12/22,66.36,66.55,65.34,66.4,51.111,0.96%,2196842
2015/12/23,66.7,67.218,66.56,67.16,51.696,1.14%,1832254
2015/12/24,67.16,67.43,67.06,67.14,51.68,-0.03%,685914
2015/12/28,67.01,67.311,66.429,67.17,51.703,0.04%,1366621
2015/12/29,67.63,68.32,67.42,67.65,52.073,0.71%,1487860
2015/12/30,67.27,67.54,66.555,66.57,51.503,-1.60%,1117638
2015/12/31,66.07,67.25,65.88,66.36,51.341,-0.32%,1533796
2016/1/4,64.77,65.18,64.14,65.14,50.397,-1.84%,2589174
2016/1/5,64.97,65.65,64.74,65.24,50.474,0.15%,1508987
2016/1/6,64,64.07,62.83,63.07,48.795,-3.33%,2361902
2016/1/7,62.03,62.14,60,60.22,46.59,-4.52%,3194508
2016/1/8,60.76,60.84,58.53,58.65,45.376,-2.61%,1939538
2016/1/11,58.98,59.44,57.455,58.44,45.213,-0.36%,3002133
2016/1/12,59.27,59.49,58.15,59.35,45.917,1.56%,2613290
2016/1/13,59.77,59.96,56.72,56.81,43.952,-4.28%,2297948
2016/1/14,57.28,58.24,56.14,57.44,44.44,1.11%,3695633
2016/1/15,55.54,55.92,53.77,54.97,42.529,-4.30%,4242605
2016/1/19,55.84,55.93,54.76,55.54,42.97,1.04%,4877153
2016/1/20,54.1,55.791,53.21,55.13,42.652,-0.74%,6009905
2016/1/21,55.2,55.96,54.24,54.43,42.111,-1.27%,2840900
2016/1/22,55.51,56.35,55.14,55.83,43.194,2.57%,2829461
2016/1/25,55.41,55.59,54.19,54.22,41.948,-2.88%,3622111
2016/1/26,54.59,56.08,54.49,55.93,43.271,3.15%,3333873
2016/1/27,53.78,54.49,51.77,51.91,40.161,-7.19%,6068199
2016/1/28,52.1,52.66,50.73,51.98,40.215,0.13%,4552511
2016/1/29,52.44,55.83,52.41,55.73,43.117,7.21%,5960367
2016/2/1,55.15,55.34,54.295,54.79,42.389,-1.69%,3587018
2016/2/2,53.5,53.5,52.19,52.97,40.981,-3.32%,5012343
2016/2/3,53.54,53.91,51.7,53.78,41.608,1.53%,5264316
2016/2/4,53.68,56.16,53.39,55.11,42.637,2.47%,3943141
2016/2/5,55.11,55.98,53.99,54.42,42.103,-1.25%,3247105
2016/2/8,53.53,53.9,52.46,53.57,41.445,-1.56%,4004178
2016/2/9,52.16,53.95,52.16,53.4,41.314,-0.32%,4211660
2016/2/10,53.87,55.065,53.7,53.73,41.569,0.62%,2628291
2016/2/11,51.44,53.07,51.44,52.38,40.525,-2.51%,3714393
2016/2/12,53.52,54.9,52.87,54.68,42.304,4.39%,2529903
2016/2/16,55.21,57.27,55.02,56.64,43.821,3.58%,3249657
2016/2/17,57.17,58.04,56.41,56.58,43.774,-0.11%,3058272
2016/2/18,56.68,56.88,55.145,55.58,43.001,-1.77%,3101513
2016/2/19,55.19,56.91,54.75,56.19,43.472,1.10%,4855814
2016/2/22,56.66,57.65,55.92,56.82,43.96,1.12%,3614326
2016/2/23,56.76,56.77,55.3,55.63,43.039,-2.09%,3156739
2016/2/24,54.16,54.36,52.67,54.18,41.917,-2.61%,4880106
2016/2/25,54.28,54.74,53.62,54.74,42.351,1.03%,4042555
2016/2/26,55.35,56.09,54.72,55.41,42.869,1.22%,2667484
2016/2/29,55.49,55.64,54.31,54.78,42.382,-1.14%,3656033
2016/3/1,55.42,57.28,55.4,57.14,44.207,4.31%,2674064
2016/3/2,57.17,57.86,56.88,57.69,44.633,0.96%,2649114
2016/3/3,57.71,58.19,57.05,58.05,44.912,0.62%,2322008
2016/3/4,58.45,59.74,58.095,58.67,45.391,1.07%,3422855
2016/3/7,57.95,58.82,57.79,58.5,45.26,-0.29%,2572144
2016/3/8,57.81,58.08,57.07,57.28,44.316,-2.09%,3083406
2016/3/9,57.8,57.99,56.88,56.99,44.091,-0.51%,3869269
2016/3/10,57.5,57.5,56.02,56.57,43.766,-0.74%,4351817
2016/3/11,57.3,57.99,56.79,57.95,44.834,2.44%,3518748
2016/3/14,57.79,58.14,57.3,57.76,44.687,-0.33%,2718556
2016/3/15,57.3,57.37,56.615,56.75,43.906,-1.75%,3470522
2016/3/16,56.54,57.405,56.11,56.85,43.983,0.18%,5406147
2016/3/17,56.66,57.75,56.35,57.4,44.409,0.97%,5872251
2016/3/18,57.76,59.2,57.61,59.05,45.685,2.87%,6149891
2016/3/21,58.99,60.27,58.61,59.94,46.374,1.51%,4571004
2016/3/22,59.32,59.8,58.93,59.36,45.925,-0.97%,2946088
2016/3/23,59.26,60.054,58.93,59.64,46.142,0.47%,5657784
2016/3/24,58.74,59,58.04,58.75,45.453,-1.49%,3158207
2016/3/28,58.29,59.13,57.93,58.41,45.19,-0.58%,3521169
2016/3/29,57.84,58.65,57,58.49,45.252,0.14%,2154427
2016/3/30,58.55,59.9,58.01,58.52,45.538,0.05%,3570397
2016/3/31,58.4,59.21,58.25,58.52,45.538,0.00%,2627134
2016/4/1,58.04,59.15,57.71,58.95,45.873,0.73%,2059390
2016/4/4,58.97,59.39,58.51,58.8,45.756,-0.25%,1674434
2016/4/5,58.01,58.24,56.56,57.61,44.83,-2.02%,4117832
2016/4/6,57.46,58.33,57.36,58.2,45.289,1.02%,1709181
2016/4/7,57.57,57.87,55.88,56.18,43.717,-3.47%,2451763
2016/4/8,56.9,57.17,56.06,56.27,43.787,0.16%,1817676
2016/4/11,56.75,57.18,56.36,56.57,44.021,0.53%,1618264
2016/4/12,56.85,57.78,56.51,57.49,44.737,1.63%,1703145
2016/4/13,58,59.77,57.94,59.74,46.488,3.91%,2468908
2016/4/14,59.57,60.75,59.29,60.08,46.752,0.57%,2446637
2016/4/15,60.05,60.35,59.18,59.57,46.355,-0.85%,2477079
2016/4/18,59.36,59.94,59.2,59.89,46.604,0.54%,1773157
2016/4/19,60,60.77,59.83,60.26,46.892,0.62%,2307355
2016/4/20,60.56,61.81,60.18,61.75,48.052,2.47%,2436887
2016/4/21,61.75,62.32,61,61.19,47.616,-0.91%,1715375
2016/4/22,61.33,62.08,61.23,61.89,48.161,1.14%,1367321
2016/4/25,61.44,61.92,60.89,61.41,47.787,-0.78%,1486731
2016/4/26,61.64,62.64,61.39,62.48,48.62,1.74%,2991901
2016/4/27,63.08,64.69,62.26,63.93,49.748,2.32%,3412196
2016/4/28,63.31,63.89,62.635,62.81,48.877,-1.75%,2425982
2016/4/29,62.35,62.76,61.7,62.3,48.48,-0.81%,2381801
2016/5/2,62.35,63,61.7,62.91,48.954,0.98%,1807913
2016/5/3,61.84,61.93,60.18,61.06,47.515,-2.94%,2877869
2016/5/4,60.41,60.88,59.49,60.02,46.705,-1.70%,3214854
2016/5/5,60.11,60.36,59.54,59.74,46.488,-0.47%,1615712
2016/5/6,59.38,59.82,58.855,59.76,46.503,0.03%,1955900
2016/5/9,59.78,60.51,59.46,59.8,46.534,0.07%,1476126
2016/5/10,60.11,61.19,60.02,61.11,47.554,2.19%,1961713
2016/5/11,60.9,61.25,60.34,60.38,46.986,-1.19%,1601112
2016/5/12,60.73,61.19,59.61,60.03,46.713,-0.58%,1560493
2016/5/13,59.9,60.73,59.13,59.23,46.091,-1.33%,1724813
2016/5/16,58.99,60.12,58.99,59.71,46.464,0.81%,1650012
2016/5/17,59.53,60.25,58.9,59.69,46.449,-0.03%,2314638
2016/5/18,59.69,61.63,59.33,61.5,47.857,3.03%,2352630
2016/5/19,61.03,61.61,60.09,60.72,47.25,-1.27%,2224222
2016/5/20,61.17,61.73,60.91,61.43,47.803,1.17%,2097066
2016/5/23,61.31,61.67,60.8,61.25,47.663,-0.29%,1679544
2016/5/24,61.73,62.7,61.57,62.55,48.674,2.12%,1806517
2016/5/25,62.95,64.1,62.73,63.68,49.554,1.81%,2597528
2016/5/26,63.56,63.916,62.795,62.87,48.923,-1.27%,2210321
2016/5/27,63.21,63.38,62.89,63.33,49.281,0.73%,1779705
2016/5/31,63.64,63.64,62.73,63.06,49.071,-0.43%,2300276
2016/6/1,62.32,63.14,61.73,62.96,48.993,-0.16%,1846257
2016/6/2,62.9,63,62.379,63,49.024,0.06%,1632465
2016/6/3,61.8,61.8,60.43,61.01,47.476,-3.16%,3327248
2016/6/6,61.25,62.87,61.16,62.55,48.674,2.52%,2650689
2016/6/7,62.69,62.69,61.74,61.77,48.067,-1.25%,2170854
2016/6/8,61.77,62.12,61.38,61.54,47.888,-0.37%,2687644
2016/6/9,61.01,61.01,60.115,60.29,46.916,-2.03%,2830775
2016/6/10,59.48,59.53,58.98,59.18,46.052,-1.84%,5045498
2016/6/13,58.91,60.1,58.72,59.11,45.997,-0.12%,3181695
2016/6/14,58.88,59.48,57.86,58.22,45.305,-1.51%,3642839
2016/6/15,58.51,58.815,57.87,57.91,45.064,-0.53%,4224372
2016/6/16,57.43,57.57,56.67,57.55,44.783,-0.62%,3313180
2016/6/17,57.53,58.17,57.4,57.94,45.087,0.68%,3731049
2016/6/20,58.89,59.73,58.59,58.65,45.639,1.23%,3799411
2016/6/21,58.98,59.03,58.39,58.78,45.741,0.22%,2678544
2016/6/22,58.78,59.282,58.46,58.49,45.515,-0.49%,3358363
2016/6/23,59.48,60.3,59.48,60.27,46.9,3.04%,2174019
2016/6/24,56.01,56.85,54.975,54.99,42.791,-8.76%,5169699
2016/6/27,53.9,54.03,50.595,50.79,39.523,-7.64%,5286970
2016/6/28,51.8,51.94,50.62,51.27,39.896,0.95%,4167632
2016/6/29,51.73,52.2,51.34,52.16,40.854,1.74%,4752935
2016/6/30,52.59,53.93,52.53,53.92,42.232,3.37%,6593633
2016/7/1,53.58,54.397,53.26,53.84,42.169,-0.15%,2504386
2016/7/5,53.15,53.16,52.205,52.6,41.198,-2.30%,2852113
2016/7/6,52.05,52.19,51.22,52.12,40.822,-0.91%,3997466
