Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,55.54,56.121,55.255,55.325,33.88,-0.94%,2842351
2015/3/25,55.45,55.83,53.44,53.61,32.83,-3.10%,4358270
2015/3/26,52.5,54.26,52.12,53.525,32.778,-0.16%,4253925
2015/3/27,53.74,53.91,52.58,52.76,32.309,-1.43%,2938036
2015/3/30,53.23,53.35,52.53,53.08,32.505,0.61%,2209431
2015/3/31,52.68,52.68,51.74,52.03,31.862,-1.98%,3776822
2015/4/1,52.05,52.325,51.05,51.79,31.715,-0.46%,3640921
2015/4/2,51.57,53.04,51.323,52.45,32.119,1.27%,3695871
2015/4/6,52.05,53,52,52.74,32.297,0.55%,2444939
2015/4/7,52.97,54.1,52.94,53.75,32.916,1.92%,3338936
2015/4/8,53.84,54.3,53.07,53.31,32.646,-0.82%,4025892
2015/4/9,52.88,54.81,52.88,54.69,33.491,2.59%,3384013
2015/4/10,54.58,55.99,54.56,55.58,34.036,1.63%,3725765
2015/4/13,55.56,56.18,55.34,55.41,33.932,-0.31%,1938744
2015/4/14,55.97,56.2,55.23,55.77,34.153,0.65%,2710605
2015/4/15,56.27,57.04,56.25,56.67,34.704,1.61%,3736967
2015/4/16,56.1,56.55,55.45,55.96,34.269,-1.25%,4461663
2015/4/17,56.16,58.57,56.06,57.43,35.169,2.63%,9537530
2015/4/20,58,59.48,57.71,59.135,36.213,2.97%,4910500
2015/4/21,59.61,59.61,57.92,58.41,35.769,-1.23%,3509829
2015/4/22,58.1,58.46,57.83,58.23,35.659,-0.31%,2271266
2015/4/23,58.7,59.39,58.21,58.75,35.977,0.89%,2750245
2015/4/24,58.96,59.03,57.9,58.34,35.726,-0.70%,2455528
2015/4/27,58.35,58.49,57.7,57.915,35.466,-0.73%,2214774
2015/4/28,58.03,59.07,57.52,59,36.131,1.87%,3685895
2015/4/29,57.85,58.63,56.68,58.17,35.953,-1.41%,3996556
2015/4/30,57.74,59.08,57.737,58.72,36.293,0.95%,3902566
2015/5/1,58.98,60.09,58.85,59.63,36.855,1.55%,3432463
2015/5/4,59.56,59.86,58.735,59.21,36.596,-0.70%,2074529
2015/5/5,58.68,58.98,57.29,57.7,35.662,-2.55%,4170449
2015/5/6,57.88,57.95,55.634,56.29,34.791,-2.44%,3500329
2015/5/7,56.46,57.05,56.09,56.43,34.878,0.25%,2291155
2015/5/8,56.9,57.46,56.58,57.235,35.375,1.43%,2413513
2015/5/11,57.36,57.47,56.68,56.76,35.081,-0.83%,1761251
2015/5/12,56.26,56.62,55.594,56.16,34.711,-1.06%,1586349
2015/5/13,56.77,57.33,56.49,56.59,34.976,0.77%,1653699
2015/5/14,56.97,57.55,56.74,57.43,35.496,1.48%,1518464
2015/5/15,57.67,57.88,56.85,56.89,35.162,-0.94%,2299902
2015/5/18,56.68,57.2,56.56,56.9,35.168,0.02%,1789087
2015/5/19,56.9,56.98,54.36,55.15,34.086,-3.08%,6521731
2015/5/20,54.97,55.43,54.45,54.6,33.746,-1.00%,3153521
2015/5/21,54.43,55.61,54.3,55.37,34.222,1.41%,2886103
2015/5/22,55.42,56.01,55.2,55.79,34.482,0.76%,1745075
2015/5/26,55.48,55.67,54.37,54.59,33.74,-2.15%,2748297
2015/5/27,54.75,55.77,54.63,55.34,34.204,1.37%,2282227
2015/5/28,55.62,56.94,55.62,56.365,34.837,1.85%,3727655
2015/5/29,56.37,56.4,55.26,55.64,34.389,-1.29%,2710977
2015/6/1,55.74,55.83,54.96,55.2,34.117,-0.79%,2414645
2015/6/2,55.29,55.76,54.95,55.29,34.173,0.16%,2611339
2015/6/3,55.52,56.12,55.36,55.665,34.405,0.68%,1805386
2015/6/4,55.63,55.65,54.3,54.54,33.709,-2.02%,3307696
2015/6/5,54.24,54.54,53.78,54.43,33.641,-0.20%,2500999
2015/6/8,54.27,54.343,52.67,53.04,32.782,-2.55%,3769495
2015/6/9,53.17,53.21,52.23,52.62,32.523,-0.79%,4191511
2015/6/10,53.08,53.91,52.76,53.59,33.122,1.84%,3034837
2015/6/11,53.83,54.5,53.51,54.3,33.561,1.32%,2895601
2015/6/12,53.91,54.31,53.41,53.55,33.097,-1.38%,2264718
2015/6/15,53.22,53.77,52.77,53.37,32.986,-0.34%,3213553
2015/6/16,53.2,53.52,53.05,53.2,32.881,-0.32%,2639326
2015/6/17,53.18,53.69,52.78,53.18,32.869,-0.04%,2008208
2015/6/18,53.29,54.215,53.02,54.14,33.462,1.81%,2252282
2015/6/19,54.03,54.16,53.25,53.35,32.974,-1.46%,4805262
2015/6/22,53.69,54,53.33,53.865,33.292,0.97%,1853504
2015/6/23,53.8,53.99,52.09,52.29,32.319,-2.92%,5030408
2015/6/24,52.27,52.49,51.63,51.97,32.121,-0.61%,3168370
2015/6/25,51.92,51.92,50.37,50.69,31.33,-2.46%,5463677
2015/6/26,50,50.99,49.51,50.06,30.94,-1.24%,6308500
2015/6/29,48.97,50,48.623,49.02,30.298,-2.08%,6360392
2015/6/30,49.59,49.59,47.42,47.5,29.358,-3.10%,7949630
2015/7/1,47.87,48.11,46.84,47.57,29.401,0.15%,5135602
2015/7/2,47.81,48.81,47.65,48.15,29.76,1.22%,4713708
