Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,101.94,102.71,100.36,101.46,84.332,-0.29%,3644486
2015/3/25,101.24,101.46,94.02,95.57,79.437,-5.81%,10500008
2015/3/26,91.97,93.47,88.25,93.04,77.334,-2.65%,13850746
2015/3/27,93.59,99.53,93.55,98.83,82.146,6.22%,9735671
2015/3/30,100.09,101.1,99.11,100.13,83.227,1.32%,4715410
2015/3/31,99.57,100.59,98.02,98.29,81.697,-1.84%,3861148
2015/4/1,97.98,98.3,94.77,96.84,80.492,-1.48%,4613291
2015/4/2,97.11,97.64,96.01,96.51,80.218,-0.34%,3025664
2015/4/6,94.14,96.12,93.61,95.47,79.353,-1.08%,3263793
2015/4/7,95.53,97.7,95.25,96.78,80.442,1.37%,3088045
2015/4/8,96.65,97.7,96.08,97.47,81.016,0.71%,2974678
2015/4/9,97.24,99.94,97.06,99.84,82.986,2.43%,3253064
2015/4/10,99.87,100.43,98.8,99.64,82.819,-0.20%,2127956
2015/4/13,99.5,100.566,98.385,98.58,81.938,-1.06%,2450045
2015/4/14,98.24,98.47,94.57,95.64,79.495,-2.98%,4966499
2015/4/15,96.7,97.39,95.525,96.23,79.985,0.62%,3041336
2015/4/16,95.55,96.39,95.06,95.68,79.528,-0.57%,2606784
2015/4/17,94.76,94.9,93.25,94.28,78.364,-1.46%,3517314
2015/4/20,94.99,96,94.61,94.93,78.905,0.69%,2304906
2015/4/21,96.05,96.29,94.91,95.42,79.312,0.52%,2075708
2015/4/22,95.79,96.99,94.8,96.83,80.484,1.48%,2454282
2015/4/23,95.46,96.45,95.1,95.815,79.64,-1.05%,1914006
2015/4/24,95.74,95.805,92.1,93.385,77.62,-2.54%,4133853
2015/4/27,93.81,96.22,93.55,94.55,78.589,1.25%,3831298
2015/4/28,95.28,95.49,90.68,94.545,78.585,-0.01%,4526161
2015/4/29,93.26,94.21,92.3,93.59,77.791,-1.01%,3534536
2015/4/30,94.15,94.75,91.34,92.25,76.677,-1.43%,5306384
2015/5/1,95.87,98.33,94.2,98.295,81.702,6.55%,7376272
2015/5/4,98.94,99.47,97.57,99.11,82.379,0.83%,4707802
2015/5/5,98.49,98.74,94.62,94.63,78.655,-4.52%,4777723
2015/5/6,95.19,95.49,92.33,94.57,78.605,-0.06%,4255068
2015/5/7,96,97.35,95.93,97.07,80.683,2.64%,3199379
2015/5/8,97.87,98.495,97.41,97.71,81.215,0.66%,3028125
2015/5/11,97.74,97.74,96.31,97.16,80.758,-0.56%,2035065
