Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,38.66,38.87,38.24,38.24,29.456,-1.09%,2950477
2015/3/25,38.4,38.59,37.99,38,29.271,-0.63%,3431468
2015/3/26,38,38.07,37.805,37.88,29.178,-0.32%,2960148
2015/3/27,37.87,38.3,37.87,38.16,29.394,0.74%,3763836
2015/3/30,38.19,38.34,38.03,38.26,29.471,0.26%,2839348
2015/3/31,37.91,37.98,37.705,37.73,29.294,-1.39%,3112379
2015/4/1,37.51,37.55,37.095,37.53,29.139,-0.53%,3719914
2015/4/2,37.54,38.03,37.51,37.64,29.224,0.29%,2987363
2015/4/6,37.55,37.96,37.52,37.83,29.372,0.50%,3914809
2015/4/7,37.86,38.24,37.84,37.97,29.48,0.37%,2844374
2015/4/8,37.97,38.27,37.95,38.15,29.62,0.47%,2822517
2015/4/9,38.1,38.28,38.04,38.17,29.636,0.05%,2190683
2015/4/10,38.16,38.31,38.04,38.17,29.636,0.00%,2557919
2015/4/13,38.11,38.17,37.57,37.61,29.201,-1.47%,4033728
2015/4/14,37.63,37.83,37.53,37.8,29.348,0.51%,2013539
2015/4/15,37.81,38,37.63,37.66,29.24,-0.37%,1683298
2015/4/16,37.5,37.65,37.17,37.32,28.976,-0.90%,2812652
2015/4/17,37.08,37.42,37.01,37.33,28.983,0.03%,3618669
2015/4/20,37.47,37.84,37.28,37.3,28.96,-0.08%,2862349
2015/4/21,37.33,37.7,37.28,37.6,29.193,0.80%,2353399
2015/4/22,37.62,37.73,37.315,37.63,29.216,0.08%,3978133
2015/4/23,37.6,38.1,37.51,37.95,29.465,0.85%,3361071
2015/4/24,37.95,38.07,37.74,37.93,29.449,-0.05%,2925186
2015/4/27,37.93,38.13,37.73,37.77,29.325,-0.42%,2815372
2015/4/28,37.73,37.91,37.52,37.72,29.286,-0.13%,1672479
2015/4/29,37.59,37.705,37.375,37.43,29.061,-0.77%,2383457
2015/4/30,37.38,37.46,36.845,37.03,28.75,-1.07%,4295050
2015/5/1,37.12,37.24,36.85,37.16,28.851,0.35%,3928166
2015/5/4,36.8,37.45,36.6,36.67,28.471,-1.32%,5410391
2015/5/5,36.5,36.52,36.02,36.12,28.044,-1.50%,8045864
2015/5/6,36.16,36.24,35.84,35.97,27.927,-0.42%,5775660
2015/5/7,35.97,36.56,35.86,36.37,28.238,1.11%,3509494
2015/5/8,36.59,36.71,36.51,36.61,28.424,0.66%,2663414
2015/5/11,36.52,36.71,36.37,36.49,28.331,-0.33%,2177995
2015/5/12,36.36,36.7,36.31,36.61,28.424,0.33%,2430037
2015/5/13,36.62,36.94,36.61,36.85,28.611,0.66%,3188908
2015/5/14,37,37.48,36.92,37.43,29.061,1.57%,3854859
2015/5/15,37.36,37.48,37.26,37.27,28.937,-0.43%,3141127
2015/5/18,37.28,37.58,37.16,37.49,29.108,0.59%,2639403
2015/5/19,38.21,38.48,37.95,38.3,29.736,2.16%,6950024
2015/5/20,38.31,38.35,37.93,38.07,29.558,-0.60%,2864590
2015/5/21,38.02,38.235,37.79,38.1,29.581,0.08%,2262681
2015/5/22,37.99,38.03,37.67,37.67,29.247,-1.13%,1985106
2015/5/26,37.58,37.72,37.393,37.48,29.1,-0.50%,2623130
2015/5/27,37.48,37.61,37.31,37.55,29.154,0.19%,1610144
2015/5/28,37.54,37.57,37.205,37.25,28.921,-0.80%,2315920
2015/5/29,37.24,37.31,37.1,37.16,28.851,-0.24%,4846253
2015/6/1,37.21,37.42,37.07,37.23,28.906,0.19%,4108173
2015/6/2,37.22,37.41,37.04,37.3,28.96,0.19%,3210275
2015/6/3,37.46,37.6,37.16,37.57,29.17,0.72%,3836210
2015/6/4,37.57,37.61,37.35,37.52,29.131,-0.13%,6661507
2015/6/5,37.44,37.465,37.025,37.09,28.797,-1.15%,5086197
2015/6/8,37.05,37.19,37,37.06,28.774,-0.08%,2749233
2015/6/9,37.6,37.6,37.08,37.1,28.805,0.11%,3119618
2015/6/10,37.23,37.44,37.18,37.23,28.906,0.35%,3804876
2015/6/11,37.25,37.46,37.12,37.13,28.828,-0.27%,6312057
2015/6/12,37.1,37.19,36.92,36.92,28.665,-0.57%,5712233
2015/6/15,36.71,37.08,36.68,37.01,28.735,0.24%,3488898
2015/6/16,37.01,37.29,37.01,37.25,28.921,0.65%,2200692
2015/6/17,37.25,37.37,37,37.31,28.968,0.16%,3744204
2015/6/18,37.42,37.7,37.36,37.4,29.038,0.24%,3026996
2015/6/19,37.29,37.575,37.27,37.38,29.022,-0.05%,3980174
2015/6/22,37.5,37.66,37.43,37.6,29.193,0.59%,2041662
2015/6/23,37.59,37.61,37.45,37.59,29.185,-0.03%,1965544
2015/6/24,37.21,38.995,37.13,38.75,30.086,3.09%,15418734
2015/6/25,38.7,38.71,38.06,38.3,29.736,-1.16%,9127847
2015/6/26,38.21,38.43,38.1,38.37,29.791,0.18%,10551277
2015/6/29,38.42,38.42,37.42,37.54,29.146,-2.16%,11969272
2015/6/30,37.25,37.27,35.965,36.1,28.261,-3.84%,16804259
2015/7/1,35.9,36.17,35.77,35.99,28.175,-0.30%,11503486
2015/7/2,36,36.09,35.74,35.92,28.12,-0.19%,5430222
2015/7/6,35.7,35.915,35.5,35.68,27.932,-0.67%,8391049
2015/7/7,35.68,36.14,35.45,36.03,28.206,0.98%,4365693
2015/7/8,35.85,36.22,35.7,36.05,28.222,0.06%,5114077
2015/7/9,36.41,36.47,36,36,28.183,-0.14%,4578482
2015/7/10,36.26,36.322,36.01,36.05,28.222,0.14%,2521214
2015/7/13,36.16,36.32,36.065,36.12,28.277,0.19%,2975388
2015/7/14,36.11,36.227,36.01,36.17,28.316,0.14%,2634101
2015/7/15,36.18,36.31,35.97,36.03,28.206,-0.39%,2385378
2015/7/16,36.11,36.22,35.98,36.14,28.293,0.31%,2213047
2015/7/17,36.09,36.36,35.96,36.35,28.457,0.58%,3565743
2015/7/20,36.32,36.32,36.03,36.27,28.394,-0.22%,2839570
2015/7/21,36.25,36.42,36.14,36.3,28.418,0.08%,4290541
2015/7/22,36.29,36.41,36.14,36.22,28.355,-0.22%,3356478
2015/7/23,36.2,36.33,36.07,36.14,28.293,-0.22%,3469860
2015/7/24,36.14,36.14,35.89,36,28.183,-0.39%,3058821
2015/7/27,35.89,35.89,35.55,35.78,28.011,-0.61%,4181609
2015/7/28,35.84,36.05,35.62,36.02,28.199,0.67%,3925434
2015/7/29,36.07,36.34,35.995,36.25,28.379,0.64%,2742746
2015/7/30,36.1,36.12,35.92,36.06,28.23,-0.52%,3172475
2015/7/31,36.23,36.5,36.14,36.31,28.426,0.69%,3099156
2015/8/3,36.02,36.36,35.89,36.27,28.394,-0.11%,2464059
2015/8/4,36.28,36.47,36,36.45,28.535,0.50%,8687199
2015/8/5,36.63,36.86,36.55,36.76,28.778,0.85%,6263908
2015/8/6,36.6,36.61,35.97,36.25,28.379,-1.39%,11785540
2015/8/7,35.76,36.94,35.73,36.93,28.911,1.88%,11239742
2015/8/10,37.19,37.95,36.91,37.59,29.428,1.79%,14246204
2015/8/11,37.42,38.12,37.38,37.97,29.725,1.01%,9812278
2015/8/12,37.86,38.77,37.65,38.63,30.242,1.74%,10159283
2015/8/13,38.69,38.79,38.24,38.52,30.156,-0.28%,7792174
2015/8/14,38.52,41.87,38.42,41.38,32.395,7.42%,30108254
2015/8/17,40.81,41.37,40.7,41.15,32.215,-0.56%,11117422
2015/8/18,41.14,41.34,41.02,41.15,32.215,0.00%,6704906
2015/8/19,41.1,41.15,40.69,40.96,32.066,-0.46%,6957305
2015/8/20,40.75,41.02,40.52,40.55,31.745,-1.00%,6354832
2015/8/21,40.48,40.68,39.67,39.7,31.08,-2.10%,7892577
2015/8/24,38.74,39.83,38.12,39.26,30.735,-1.11%,13331275
2015/8/25,39.98,40.19,39.04,39.04,30.563,-0.56%,9560147
2015/8/26,39.8,40.04,39.12,39.95,31.275,2.33%,8679321
2015/8/27,40.21,40.53,39.61,40.3,31.549,0.88%,5484956
