Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,73.81,73.98,73,73.04,57.9,-0.95%,1264074
2015/3/25,73.17,73.17,71.88,72,57.075,-1.42%,2659477
2015/3/26,72.04,72.395,71.49,72.19,57.226,0.26%,1204056
2015/3/27,72.05,73.56,71.93,73.26,58.074,1.48%,2263877
2015/3/30,73.53,75,73.06,74.73,59.239,2.01%,1185425
2015/3/31,74.4,75.04,73.7,74.45,59.018,-0.37%,1723140
2015/4/1,74.02,74.55,73.44,74.51,59.065,0.08%,1562756
2015/4/2,74.58,75.49,74.31,75.4,59.771,1.19%,1200683
2015/4/6,74.94,76.7,74.88,76.16,60.373,1.01%,1808614
2015/4/7,76.15,78.365,76.15,78.24,62.022,2.73%,2918463
2015/4/8,78.16,78.81,77.3,78.67,62.363,0.55%,2750628
2015/4/9,78.66,79.18,77.61,77.92,61.768,-0.95%,2607056
2015/4/10,78.01,78.22,77.37,77.9,61.752,-0.03%,2123057
2015/4/13,77.99,78.03,76.63,76.63,60.746,-1.63%,1967950
2015/4/14,76.69,77.06,76.35,76.96,61.007,0.43%,1692392
2015/4/15,77.27,77.48,76.73,76.88,60.944,-0.10%,1004513
2015/4/16,76.74,77.28,76.7,76.91,60.968,0.04%,1584669
2015/4/17,76.43,77.26,76.38,76.97,61.015,0.08%,1820773
2015/4/20,77.27,77.59,75.762,75.98,60.23,-1.29%,1968849
2015/4/21,76,76.57,75.71,75.93,60.191,-0.07%,1117350
2015/4/22,75.93,76.21,75.17,75.53,59.874,-0.53%,1069133
2015/4/23,75.44,75.69,75.03,75.12,59.549,-0.54%,872232
2015/4/24,75.48,75.51,74.54,75.13,59.557,0.01%,966834
2015/4/27,75.41,75.42,74.56,74.6,59.136,-0.71%,1187997
2015/4/28,74.24,75.275,73.95,74.7,59.216,0.13%,1223761
2015/4/29,74.16,74.69,73.64,74.07,58.716,-0.84%,1288593
2015/4/30,74.05,74.48,73.33,73.51,58.272,-0.76%,991030
2015/5/1,73.59,74.14,73.17,74.04,58.693,0.72%,1053988
2015/5/4,74.1,74.255,73.47,73.65,58.383,-0.53%,907069
2015/5/5,73.5,73.68,72.73,72.92,57.805,-0.99%,1753879
