Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,104.25,105.65,104.01,105.01,105.01,0.82%,333114
2015/3/25,105,105.17,103.24,104,104,-0.96%,378040
2015/3/26,104,104.73,103.6,104.52,104.52,0.50%,390901
2015/3/27,104.29,105.77,104.25,105.7,105.7,1.13%,263517
2015/3/30,106,107.965,106,107.37,107.37,1.58%,283133
2015/3/31,106.94,107.14,105.95,106.73,106.73,-0.60%,535483
2015/4/1,106.2,106.73,104.79,106.69,106.69,-0.04%,295939
2015/4/2,107,108,106.45,106.88,106.88,0.18%,206590
2015/4/6,106.45,108.11,106.063,107.98,107.98,1.03%,169999
2015/4/7,107.91,108.798,107.84,107.93,107.93,-0.05%,211230
2015/4/8,107.86,108.8,107.525,108.3,108.3,0.34%,239964
2015/4/9,108.12,108.8,107.1,108.75,108.75,0.42%,157605
2015/4/10,109,109,108.17,108.52,108.52,-0.21%,229061
2015/4/13,108.74,109.66,108.18,108.53,108.53,0.01%,219470
2015/4/14,108.49,109.6,108.05,108.98,108.98,0.41%,191283
2015/4/15,109.2,110.08,108.78,109.39,109.39,0.38%,167761
2015/4/16,109.15,109.61,108.58,108.77,108.77,-0.57%,237550
2015/4/17,108.09,108.344,106.73,107.27,107.27,-1.38%,207114
2015/4/20,107.99,109.175,107.99,108.78,108.78,1.41%,120697
2015/4/21,109.44,109.44,108.73,109.21,109.21,0.40%,141636
2015/4/22,109.06,109.72,108.45,109.69,109.69,0.44%,106139
2015/4/23,109.19,109.983,108.96,109.15,109.15,-0.49%,142464
2015/4/24,109.16,109.16,108.13,108.39,108.39,-0.70%,147207
2015/4/27,108.54,109.14,107.73,108.59,108.59,0.18%,227974
2015/4/28,108.59,108.67,107.69,108.24,108.24,-0.32%,245060
2015/4/29,108.12,108.6,107.61,108.22,108.22,-0.02%,194634
2015/4/30,105.69,108.61,104.27,104.97,104.97,-3.00%,327861
2015/5/1,104.96,105.05,101.57,102.39,102.39,-2.46%,326855
2015/5/4,102.32,103.06,102.1,102.5,102.5,0.11%,290582
2015/5/5,102.5,103.01,100.6,101.61,101.61,-0.87%,255306
2015/5/6,101.65,102.065,100.42,101.9,101.9,0.29%,239208
2015/5/7,101.77,101.88,101.09,101.59,101.59,-0.30%,251193
2015/5/8,102.73,103.51,101.72,102.9,102.9,1.29%,299736
2015/5/11,102.56,103.28,102.38,102.61,102.61,-0.28%,162640
2015/5/12,102.2,103.47,101.05,103.21,103.21,0.58%,205850
2015/5/13,103.23,103.98,102.88,103.49,103.49,0.27%,124560
2015/5/14,104,105.29,104,105.08,105.08,1.54%,186001
2015/5/15,105.31,105.83,104.47,104.8,104.8,-0.27%,208497
2015/5/18,104.56,105.25,103.92,104.76,104.76,-0.04%,186734
2015/5/19,105,105,103.73,104.03,104.03,-0.70%,178172
2015/5/20,104.38,104.79,103.69,104.47,104.47,0.42%,143293
2015/5/21,104.24,104.88,103.66,104.21,104.21,-0.25%,103781
2015/5/22,104.3,104.52,102.78,103.14,103.14,-1.03%,120155
2015/5/26,102.57,103.055,101.28,101.98,101.98,-1.12%,129030
2015/5/27,102.51,102.91,101.18,102.74,102.74,0.75%,152159
2015/5/28,102.21,103.11,101.01,102.39,102.39,-0.34%,285949
2015/5/29,102.17,102.89,100.29,101.33,101.33,-1.04%,135066
2015/6/1,101.79,102.48,101.015,101.92,101.92,0.58%,122867
2015/6/2,101.18,102.99,100.91,102.33,102.33,0.40%,144892
2015/6/3,102.43,104.21,102.36,103.53,103.53,1.17%,198893
2015/6/4,102.92,103.602,100.89,101.48,101.48,-1.98%,206369
2015/6/5,101.75,103.37,101.53,103.03,103.03,1.53%,256324
2015/6/8,102.81,104.04,102.58,103.5,103.5,0.46%,175570
2015/6/9,103.66,104.4,103.36,103.88,103.88,0.37%,359716
2015/6/10,104.3,106.12,103.9,105.19,105.19,1.26%,226973
2015/6/11,105.18,106.7,105.18,106.7,106.7,1.44%,176133
2015/6/12,106.43,107.14,105.72,106.04,106.04,-0.62%,258217
2015/6/15,105.5,106.01,105,105.55,105.55,-0.46%,211892
2015/6/16,105.22,106.7,105.22,106.38,106.38,0.79%,156682
2015/6/17,106.58,107.04,105.83,106.22,106.22,-0.15%,105280
2015/6/18,106.57,108.3,106.26,107.77,107.77,1.46%,159604
2015/6/19,107.87,107.87,107.16,107.27,107.27,-0.46%,181122
2015/6/22,107.79,108.16,106.65,107.5,107.5,0.21%,232516
2015/6/23,107.5,107.575,106.725,107.46,107.46,-0.04%,162626
2015/6/24,107.43,107.43,106.69,107.03,107.03,-0.40%,157488
2015/6/25,107.32,107.5,106.94,107.15,107.15,0.11%,127298
2015/6/26,107.42,107.505,106.65,107.18,107.18,0.03%,280260
2015/6/29,106.51,107.29,105.91,105.99,105.99,-1.11%,255646
2015/6/30,106.67,106.91,105.08,105.51,105.51,-0.45%,211101
2015/7/1,106.36,107.24,105.6,106.55,106.55,0.99%,154014
2015/7/2,106.93,107.38,106.39,107,107,0.42%,299838
2015/7/6,106.39,108,106.3,107.74,107.74,0.69%,246907
2015/7/7,108.01,108.71,105.51,106.85,106.85,-0.83%,414374
2015/7/8,105.73,106.58,105.15,106.16,106.16,-0.65%,210118
2015/7/9,107.03,107.81,106.67,106.77,106.77,0.57%,375978
2015/7/10,107.97,108.22,107.39,108.05,108.05,1.20%,143329
2015/7/13,108.84,109.87,108.824,109.66,109.66,1.49%,153847
2015/7/14,110,111.6,109.79,111.48,111.48,1.66%,251415
2015/7/15,111.64,111.64,110.12,110.34,110.34,-1.02%,159931
2015/7/16,111.15,111.81,110.38,110.5,110.5,0.15%,123172
2015/7/17,110.16,110.93,109.05,109.67,109.67,-0.75%,153926
2015/7/20,110.12,110.12,108.44,108.55,108.55,-1.02%,182227
2015/7/21,107.91,108.415,104.34,105.43,105.43,-2.87%,349978
