Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,25.188,25.29,25.048,25.15,23.426,-0.11%,1057396
2015/3/25,25.125,25.14,24.563,24.688,22.995,-1.84%,883748
2015/3/26,24.458,24.708,24.158,24.618,22.93,-0.28%,794232
2015/3/27,24.575,24.885,24.4,24.76,23.063,0.58%,743228
2015/3/30,24.953,25.213,24.838,25.16,23.435,1.62%,626112
2015/3/31,25.098,25.252,24.96,25.073,23.354,-0.35%,517460
2015/4/1,25.07,25.07,24.48,24.988,23.274,-0.34%,970288
2015/4/2,25.135,25.35,24.585,24.63,22.942,-1.43%,1250008
2015/4/6,24.605,25.145,24.543,25.103,23.382,1.92%,2499460
2015/4/7,25.063,25.565,24.625,24.725,23.03,-1.51%,1042964
2015/4/8,24.788,24.983,24.573,24.878,23.172,0.62%,716408
2015/4/9,24.788,24.98,24.638,24.958,23.247,0.32%,445800
2015/4/10,24.945,25.09,24.78,24.998,23.284,0.16%,524444
2015/4/13,25,25.185,24.828,25.018,23.302,0.08%,579720
2015/4/14,25,25.14,24.799,24.99,23.277,-0.11%,506036
2015/4/15,25.063,25.358,24.74,25.035,23.319,0.18%,868696
2015/4/16,25.055,25.318,24.83,25.215,23.486,0.72%,956008
2015/4/17,25.095,25.509,24.888,25.258,23.526,0.17%,1453904
2015/4/20,25.35,25.538,25.108,25.438,23.694,0.71%,1276756
2015/4/21,25.553,25.713,25.328,25.445,23.701,0.03%,1091028
2015/4/22,25.535,25.59,25.255,25.465,23.719,0.08%,653960
2015/4/23,25.468,25.705,25.094,25.683,23.922,0.86%,683148
2015/4/24,25.75,25.75,25.183,25.213,23.484,-1.83%,544244
2015/4/27,25.35,25.448,24.421,24.653,22.962,-2.22%,696996
2015/4/28,24.69,24.893,24.023,24.675,22.983,0.09%,702992
2015/4/29,24.678,24.973,24.458,24.6,22.914,-0.30%,611460
2015/4/30,24.568,24.753,23.888,23.99,22.345,-2.48%,822876
2015/5/1,24.143,24.385,24.04,24.183,22.525,0.80%,793140
2015/5/4,24.22,24.53,24.05,24.213,22.553,0.12%,741952
2015/5/5,24.213,24.731,23.875,24.373,22.702,0.66%,1246444
2015/5/6,24.4,24.623,23.843,24.588,22.902,0.88%,755748
2015/5/7,24.448,24.715,24.285,24.448,22.772,-0.57%,542904
2015/5/8,24.648,24.863,24.363,24.643,22.953,0.80%,348100
2015/5/11,24.653,24.698,24.425,24.568,22.883,-0.30%,442988
2015/5/12,24.545,24.69,24.36,24.64,22.951,0.29%,365088
2015/5/13,24.628,24.973,24.56,24.723,23.102,0.34%,735932
2015/5/14,24.783,25.295,24.618,25.23,23.576,2.05%,797672
2015/5/15,25.233,25.415,25.005,25.255,23.6,0.10%,437396
2015/5/18,25.17,25.558,25.088,25.548,23.873,1.16%,382872
2015/5/19,25.505,25.798,25.504,25.648,23.967,0.39%,446624
2015/5/20,25.7,25.703,25.415,25.688,24.004,0.16%,482936
2015/5/21,25.763,25.773,25.453,25.69,24.006,0.01%,444676
2015/5/22,25.633,25.845,25.51,25.653,23.971,-0.14%,348528
2015/5/26,25.568,25.685,25.413,25.51,23.838,-0.56%,458808
2015/5/27,25.648,25.89,25.451,25.585,23.908,0.29%,544272
2015/5/28,25.533,25.538,25.361,25.488,23.817,-0.38%,448644
2015/5/29,25.413,25.5,25.2,25.313,23.654,-0.69%,470768
2015/6/1,25.305,25.454,25.085,25.125,23.478,-0.74%,694148
2015/6/2,25.135,25.415,24.875,25.045,23.404,-0.32%,622660
2015/6/3,25.128,25.363,24.955,25.045,23.404,0.00%,821680
2015/6/4,25.043,25.235,24.828,25.05,23.408,0.02%,1006856
2015/6/5,24.928,24.928,24.63,24.688,23.069,-1.45%,1079736
2015/6/8,24.74,24.968,24.523,24.833,23.205,0.59%,795272
2015/6/9,24.765,24.855,24.505,24.568,22.957,-1.07%,508628
2015/6/10,24.64,24.918,24.49,24.775,23.151,0.84%,510264
2015/6/11,24.893,25.008,24.678,24.988,23.35,0.86%,469140
2015/6/12,24.815,24.934,24.68,24.835,23.207,-0.61%,390272
2015/6/15,24.685,24.72,24.265,24.523,22.915,-1.26%,385764
2015/6/16,24.453,24.55,24.375,24.44,22.838,-0.34%,460016
2015/6/17,24.565,24.565,24.355,24.483,22.878,0.18%,455072
2015/6/18,24.455,24.94,24.403,24.903,23.27,1.72%,533784
2015/6/19,25.008,25.21,24.72,25.11,23.464,0.83%,830936
2015/6/22,25.24,25.31,24.838,25.298,23.639,0.75%,402984
2015/6/23,25.3,25.345,25.058,25.34,23.679,0.17%,322100
2015/6/24,25.348,25.348,24.825,24.868,23.238,-1.86%,405628
2015/6/25,24.955,25.065,24.69,25.038,23.397,0.68%,541432
