Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,73.02,73.02,72.43,72.43,59.984,-0.88%,956055
2015/3/25,72.42,72.63,70.59,70.59,58.46,-2.54%,1498753
2015/3/26,70.15,70.735,69.643,70.61,58.476,0.03%,1635146
2015/3/27,70.63,71.05,69.93,70.54,58.418,-0.10%,1135938
2015/3/30,71.08,72.04,71.02,71.73,59.404,1.69%,1078989
2015/3/31,71.63,72.095,71.37,71.62,59.313,-0.15%,1780910
2015/4/1,71.69,71.7,70.55,71.08,58.866,-0.75%,1526266
2015/4/2,71.23,71.54,70.67,70.67,58.526,-0.58%,1523875
2015/4/6,70.45,71.46,70.13,71.16,58.932,0.69%,1448462
2015/4/7,71.06,71.34,70.56,70.94,58.75,-0.31%,1182609
2015/4/8,71.16,71.47,70.43,70.75,58.592,-0.27%,1542375
2015/4/9,70.74,71.22,70.43,70.91,58.725,0.23%,1169315
2015/4/10,70.89,71.11,70.7,71,58.799,0.13%,861263
2015/4/13,70.73,71.1,70.28,70.3,58.22,-0.99%,865983
2015/4/14,70.21,70.58,69.84,70.14,58.087,-0.23%,1565681
2015/4/15,70.28,71.07,70.16,70.81,58.642,0.96%,1729863
2015/4/16,70.44,70.94,70.29,70.53,58.41,-0.40%,1607763
2015/4/17,70.05,70.05,69.15,69.78,57.789,-1.06%,1722174
2015/4/20,70.19,70.72,70.15,70.63,58.493,1.22%,1375924
2015/4/21,70.76,70.98,69.87,70.01,57.979,-0.88%,1587504
2015/4/22,66.89,70.28,66.64,70.14,58.087,0.19%,4068310
2015/4/23,69.62,69.79,68.62,68.75,56.936,-1.98%,2173648
2015/4/24,69.79,70.13,68.43,68.84,57.01,0.13%,1931560
2015/4/27,69.32,69.33,68.53,68.85,57.019,0.01%,1793426
2015/4/28,68.76,69.14,67.88,68.32,56.58,-0.77%,2111432
2015/4/29,67.94,68.3,67.25,67.65,56.025,-0.98%,1734896
2015/4/30,67.42,67.44,66.19,66.55,55.114,-1.63%,1913164
2015/5/1,66.94,68.09,66.81,68.07,56.373,2.28%,1585824
2015/5/4,68.08,69.27,68.07,69.2,57.309,1.66%,1830272
2015/5/5,69.03,69.71,68.07,68.08,56.381,-1.62%,2117218
2015/5/6,68.3,68.62,67.43,67.78,56.133,-0.44%,1477313
2015/5/7,67.72,68.6,67.53,68.35,56.605,0.84%,1152605
2015/5/8,68.94,69.155,68.71,68.91,57.068,0.82%,1727236
2015/5/11,68.72,69.62,68.671,69.49,57.549,0.84%,1514452
2015/5/12,68.86,69.07,68.45,68.79,56.969,-1.01%,996487
2015/5/13,68.98,69.9,68.85,69.46,57.524,0.97%,1135343
2015/5/14,69.92,70.25,69.58,70.12,58.071,0.95%,2138814
