Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,119.42,121.33,119.23,121,113.95,1.09%,427156
2015/3/25,121.33,121.91,120.06,120.17,113.169,-0.69%,264205
2015/3/26,119.98,119.98,118.35,119.15,112.208,-0.85%,301914
2015/3/27,119.15,120.27,118.92,119.89,112.905,0.62%,191155
2015/3/30,120.63,121.46,119.57,121.03,113.979,0.95%,268864
2015/3/31,120.87,121.23,120.115,120.83,113.79,-0.17%,675108
2015/4/1,120.53,121.47,118.86,119.6,112.632,-1.02%,245784
2015/4/2,119.75,121.8,119.5,120.75,113.715,0.96%,342103
2015/4/6,120.24,122.02,120.24,121.72,114.628,0.80%,533707
2015/4/7,122.57,122.57,120.93,120.94,113.894,-0.64%,156406
2015/4/8,120.91,121.465,120.52,120.99,113.941,0.04%,187838
2015/4/9,120.81,121.47,120.56,121.47,114.393,0.40%,157474
2015/4/10,121.86,121.86,120.52,121.15,114.092,-0.26%,128827
2015/4/13,121.09,121.87,120.69,120.96,113.913,-0.16%,167326
2015/4/14,120.87,120.87,119.26,119.78,112.801,-0.98%,506193
2015/4/15,120.35,120.422,119.04,119.49,112.528,-0.24%,322949
2015/4/16,119.67,120.02,118.83,120.01,113.018,0.44%,264246
2015/4/17,119.62,120.22,118.97,120.18,113.178,0.14%,215892
2015/4/20,120.24,121.74,120.24,121.52,114.44,1.11%,179039
2015/4/21,122.11,122.79,121.2,122.75,115.598,1.01%,332697
2015/4/22,122.54,123.14,121.77,123.02,115.853,0.22%,135595
2015/4/23,122.91,124.78,122.74,123.83,116.615,0.66%,309110
2015/4/24,124.25,125.38,123.1,124.98,117.698,0.93%,498701
2015/4/27,124.95,125,122.5,123.28,116.098,-1.36%,354480
2015/4/28,122.94,123.76,121.4,123.3,116.116,0.02%,223503
2015/4/29,123.17,123.534,120.87,121.93,114.826,-1.11%,331657
2015/4/30,121.75,124.46,121.75,122.96,115.796,0.84%,405781
2015/5/1,123.27,124.11,121.37,122.61,115.467,-0.28%,291785
2015/5/4,122.56,124.63,122.5,124.61,117.35,1.63%,342859
2015/5/5,123.83,124.99,122.65,123.04,115.872,-1.26%,420454
2015/5/6,123.45,123.45,121.97,122.71,115.561,-0.27%,316844
2015/5/7,122.35,123.65,121.85,122.78,115.627,0.06%,393298
2015/5/8,123.87,124.5,123.09,124.3,117.058,1.24%,548258
2015/5/11,124,125.45,124,125.27,117.972,0.78%,279110
2015/5/12,124.27,126.79,123.82,126.13,119.102,0.69%,562527
2015/5/13,126.15,127.1,125.26,126.6,119.545,0.37%,504160
2015/5/14,127.26,129.53,126.46,129.27,122.067,2.11%,771158
2015/5/15,128.93,129.17,128.07,128.38,121.226,-0.69%,694043
2015/5/18,127.97,129.1,127.86,128.64,121.472,0.20%,224765
2015/5/19,128.98,129.46,127.58,128,120.867,-0.50%,314487
2015/5/20,127.61,128.65,127.225,127.67,120.556,-0.26%,282153
2015/5/21,127.75,129.07,127.12,128.91,121.727,0.97%,260124
2015/5/22,129.8,130.251,128.89,129.72,122.492,0.63%,244308
2015/5/26,129.09,129.79,127.18,127.45,120.348,-1.75%,278425
2015/5/27,127.98,129.2,127.3,129,121.812,1.22%,178595
2015/5/28,128.8,129.68,128.09,128.8,121.623,-0.16%,311461
2015/5/29,128.34,129.56,128,128.74,121.566,-0.05%,229573
