Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,137.37,139.03,135.58,135.65,131.722,-1.61%,5124359
2015/3/25,135.65,136.92,133.605,133.71,129.838,-1.43%,1805496
2015/3/26,132.67,133.97,132.21,133.07,129.217,-0.48%,1200832
2015/3/27,133.24,134.52,133.18,133.69,129.819,0.47%,1104716
2015/3/30,134.59,135.8,134.28,135.57,131.645,1.41%,1306432
2015/3/31,134.55,136.24,134.18,134.34,130.45,-0.91%,1431681
2015/4/1,134.67,134.72,131.29,132,128.178,-1.74%,1801438
2015/4/2,132.26,133.68,131.9,133.11,129.256,0.84%,841073
2015/4/6,132.46,134.15,132.27,133.5,129.634,0.29%,980190
2015/4/7,133.96,135,133.02,133.02,129.168,-0.36%,945557
2015/4/8,133,134.16,132.11,132.82,128.974,-0.15%,1268620
2015/4/9,132.91,133.88,132.43,133.57,129.702,0.56%,750593
2015/4/10,133.43,134.45,132.92,133.73,129.858,0.12%,820028
2015/4/13,133.29,134.24,132.72,132.72,128.877,-0.76%,810592
2015/4/14,132.72,133.17,132.08,132.68,128.838,-0.03%,1073546
2015/4/15,133.16,133.98,132.98,133.62,129.751,0.71%,944039
2015/4/16,133.26,133.53,132.31,132.49,128.654,-0.85%,1547435
2015/4/17,131.81,132.29,130.87,132.1,128.275,-0.29%,2040270
2015/4/20,133.23,134.54,133.17,134.03,130.149,1.46%,1379306
2015/4/21,134.28,135.175,133.56,134.44,130.547,0.31%,1758151
2015/4/22,129.18,132.61,128.79,130.69,126.906,-2.79%,3480740
2015/4/23,130.28,130.3,128.68,129.55,125.799,-0.87%,2254308
2015/4/24,130.1,130.67,129.35,130.02,126.255,0.36%,1533591
2015/4/27,130.7,130.7,127,127.27,123.585,-2.12%,2918336
2015/4/28,127.79,127.99,126.34,127.63,123.934,0.28%,2446350
2015/4/29,127.36,128.05,126.54,127.13,123.449,-0.39%,1641954
2015/4/30,126.7,127.35,125.25,125.68,122.041,-1.14%,1966682
2015/5/1,126.495,127.74,126.18,127.66,123.964,1.58%,2293425
2015/5/4,128.24,128.98,127.73,127.78,124.08,0.09%,1179576
2015/5/5,126.15,127.52,126.15,126.65,122.983,-0.88%,1348278
2015/5/6,127.19,127.72,126.373,127.66,123.964,0.80%,1843944
2015/5/7,127.81,128.5,127.18,127.75,124.051,0.07%,2313774
2015/5/8,128.96,130.22,128.96,129.98,126.216,1.75%,2121977
2015/5/11,129.69,130.25,129.493,129.87,126.11,-0.08%,962491
2015/5/12,130,130.24,128.11,129.61,125.857,-0.20%,1465150
2015/5/13,129.36,130.18,129.05,129.85,126.09,0.19%,2084694
2015/5/14,130.62,131.33,129.76,131.1,127.304,0.96%,1304440
2015/5/15,131.12,131.13,129.69,130.16,126.391,-0.72%,1517951
2015/5/18,130.25,130.48,129.74,129.97,126.207,-0.15%,1250036
2015/5/19,129.88,131.23,129.6,130.55,126.77,0.45%,1232209
2015/5/20,130.59,132.96,130.55,132.02,128.197,1.13%,1858528
2015/5/21,132.19,133.48,131.838,132.84,128.994,0.62%,2328749
2015/5/22,132.87,133.3,132.15,132.15,128.324,-0.52%,1320979
2015/5/26,131.31,131.59,129.8,129.8,126.042,-1.78%,1557472
2015/5/27,130.51,131.14,129.93,130.99,127.197,0.92%,1370912
2015/5/28,130.7,130.89,129.54,130.13,126.362,-0.66%,928727
2015/5/29,130.24,130.243,129.25,129.63,125.877,-0.38%,1655168
