Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,33.18,33.47,32.955,32.98,32.26,-0.51%,2383022
2015/3/25,33,33.1,32.3,32.34,31.634,-1.94%,1859502
2015/3/26,32.22,32.55,31.85,32.46,31.751,0.37%,3032593
2015/3/27,32.46,32.58,32.06,32.38,31.673,-0.25%,2129883
2015/3/30,32.47,32.64,32.3,32.3,31.595,-0.25%,1594566
2015/3/31,32.22,32.3,31.57,31.69,30.998,-1.89%,2000134
2015/4/1,31.76,32.01,31.4,31.64,30.949,-0.16%,2296468
2015/4/2,31.71,33,31.71,32.96,32.24,4.17%,3745064
2015/4/6,32.81,33.31,32.74,33.08,32.357,0.36%,1795014
2015/4/7,33.11,33.35,32.93,32.98,32.26,-0.30%,2389423
2015/4/8,33.06,33.22,32.46,32.77,32.054,-0.64%,3240442
2015/4/9,32.77,33.03,32.35,32.38,31.673,-1.19%,1906072
2015/4/10,32.38,32.4,31.96,32.06,31.36,-0.99%,3079668
2015/4/13,32.07,32.15,31.49,31.49,30.802,-1.78%,1739366
2015/4/14,31.19,31.87,31.19,31.87,31.174,1.21%,1757013
2015/4/15,32.03,32.12,31.73,32.01,31.311,0.44%,2714860
2015/4/16,31.93,32.1,31.92,32.06,31.36,0.16%,1901120
2015/4/17,31.84,32.27,31.75,32.09,31.389,0.09%,2594356
2015/4/20,32.24,32.83,32.24,32.69,31.976,1.87%,4813554
2015/4/21,32.91,33.37,32.795,33.35,32.622,2.02%,3106801
2015/4/22,33.57,34.1,33.46,34.09,33.345,2.22%,6788175
2015/4/23,34.08,34.52,33.82,34.44,33.688,1.03%,3805326
2015/4/24,34.6,34.81,34.24,34.31,33.561,-0.38%,4244001
2015/4/27,34.51,34.75,34.03,34.06,33.316,-0.73%,7548155
2015/4/28,34.33,35,33.18,33.97,33.228,-0.26%,10221235
2015/4/29,33.94,35.28,33.92,34.62,33.864,1.91%,5154857
2015/4/30,34.5,34.66,33.89,34.04,33.297,-1.68%,4402560
2015/5/1,34.12,34.28,33.49,33.85,33.111,-0.56%,2815725
2015/5/4,34,34.27,33.89,34.15,33.404,0.89%,1878345
2015/5/5,34.11,34.32,33.61,33.8,33.062,-1.02%,3980334
2015/5/6,33.75,33.8,32.9,33.3,32.573,-1.48%,4407052
2015/5/7,33.2,33.595,32.97,33.3,32.573,0.00%,2264333
2015/5/8,33.49,33.865,33.22,33.77,33.032,1.41%,2636544
2015/5/11,33.71,34.33,33.606,33.97,33.228,0.59%,3780930
