Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,46.667,46.997,46.667,46.77,42.544,0.19%,10662
2015/3/25,47,47.617,45.977,47.617,43.315,1.81%,43500
2015/3/26,47.03,48.657,47.03,48.477,44.097,1.81%,18603
2015/3/27,48.667,48.667,47.458,47.81,43.49,-1.38%,28611
2015/3/30,47.753,48.167,47.018,47.93,43.6,0.25%,14184
2015/3/31,47.93,48.593,47,48.283,43.921,0.74%,20130
2015/4/1,48.167,48.667,48,48.667,44.27,0.80%,19893
2015/4/2,48.067,48.5,48,48,43.663,-1.37%,9690
2015/4/6,48.6,48.863,48.067,48.597,44.206,1.24%,21720
2015/4/7,48.127,49.333,48.127,48.5,44.118,-0.20%,22155
2015/4/8,48.828,49.267,48.4,49.093,44.658,1.22%,8760
2015/4/9,49.183,51.333,49.183,50.833,46.241,3.54%,23907
2015/4/10,50.383,50.833,48.747,50.563,45.995,-0.53%,30801
2015/4/13,50.77,51.968,49.837,50.383,45.831,-0.36%,27336
2015/4/14,50.867,51.417,49.835,50.897,46.298,1.02%,27333
2015/4/15,50.72,51.833,49.987,51.783,47.105,1.74%,18501
2015/4/16,50.687,52,50.681,51.68,47.011,-0.20%,21321
2015/4/17,51.933,52.583,51.733,52.413,47.678,1.42%,52155
2015/4/20,53.333,53.583,52.433,52.67,47.911,0.49%,42255
2015/4/21,52.8,53.703,52.8,53.15,48.348,0.91%,59850
2015/4/22,52.983,53.007,52.42,52.663,47.905,-0.92%,45615
2015/4/23,52.333,52.617,52,52.317,47.59,-0.66%,33996
2015/4/24,51.7,53.33,51.695,52.673,47.914,0.68%,15348
2015/4/27,52.673,53.333,52,52.317,47.59,-0.68%,15852
2015/4/28,52.937,52.937,50,50.257,45.716,-3.94%,32490
2015/4/29,50.257,51.283,46.687,47.83,43.509,-4.83%,92478
2015/4/30,48.527,50.333,48.527,50.253,45.713,5.07%,39204
2015/5/1,51.797,51.797,50.61,51.787,47.108,3.05%,29694
2015/5/4,51.4,51.663,49.867,51.203,46.577,-1.13%,45933
2015/5/5,51.75,53.333,51.083,52.803,48.033,3.12%,66933
2015/5/6,52.667,53.333,52.337,52.337,47.608,-0.88%,33231
2015/5/7,51.781,53,51.761,53,48.212,1.27%,28257
2015/5/8,52.667,53.07,52.667,53.07,48.275,0.13%,18162
2015/5/11,53.013,53.527,52.687,53.325,48.507,0.48%,18066
2015/5/12,53.333,54.823,52.67,53.667,48.818,0.64%,43134
2015/5/13,53.5,54.253,52.4,53.49,48.657,-0.33%,35046
2015/5/14,53.783,54.575,52.917,53.977,49.1,0.91%,25029
2015/5/15,53.933,54.647,52.797,53.577,48.736,-0.74%,31617
2015/5/18,53.01,54.193,52.75,53.083,48.287,-0.92%,25374
2015/5/19,52.95,53.333,52.08,52.1,47.393,-1.85%,30618
2015/5/20,51.673,52.5,51.067,51.683,47.014,-0.80%,20838
2015/5/21,52.317,52.317,50.667,51.15,46.529,-1.03%,35136
2015/5/22,50.333,50.833,49.617,50.667,46.089,-0.94%,52461
2015/5/26,49.567,49.57,48.77,49.163,44.722,-2.97%,33864
2015/5/27,50.167,50.48,49.407,50.02,45.501,1.74%,21537
2015/5/28,49.433,51.327,49.433,51.003,46.395,1.97%,17484
2015/5/29,51.467,51.657,49.853,50.14,45.61,-1.69%,20907
2015/6/1,49.703,51.193,49.68,49.68,45.192,-0.92%,25074
2015/6/2,50.14,50.417,49.407,49.75,45.255,0.14%,12891
2015/6/3,50.093,50.093,49.277,49.667,45.179,-0.17%,22236
2015/6/4,49.807,50.149,48.667,49.833,45.331,0.33%,8448
2015/6/5,50.083,50.4,49.057,49.423,44.958,-0.82%,5208
2015/6/8,49.717,51.033,49.14,49.857,45.352,0.88%,26604
2015/6/9,50.333,51.614,50,50.217,45.68,0.72%,36357
2015/6/10,49.513,51.667,49.513,50.65,46.074,0.86%,79842
2015/6/11,50.319,51.48,50.02,51.32,46.683,1.32%,10884
2015/6/12,50.333,51.167,50.24,50.983,46.377,-0.66%,26514
2015/6/15,50.167,50.823,50.017,50.763,46.177,-0.43%,10170
2015/6/16,50.57,51.078,50.33,50.693,46.113,-0.14%,10191
2015/6/17,50.85,51.163,49.72,50.667,46.089,-0.05%,6654
2015/6/18,49.85,50.567,47.957,50,45.483,-1.32%,40014
2015/6/19,49.367,50,49.132,50,45.483,0.00%,23991
2015/6/22,50,50.177,49.367,50.163,45.631,0.33%,25497
2015/6/23,50.163,50.6,48.779,50.33,45.783,0.33%,26712
2015/6/24,49.35,50.5,49.333,49.333,44.876,-1.98%,21012
2015/6/25,48.85,49.583,48.837,48.837,44.424,-1.01%,4209
2015/6/26,49.377,50.3,48.963,50,45.483,2.38%,14649
