Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,83.16,83.6,82.86,83.19,57.675,-0.13%,1147166
2015/3/25,83.38,83.38,81.54,81.58,56.559,-1.94%,930363
2015/3/26,80.84,81.95,80.77,81.16,56.268,-0.51%,1433218
2015/3/27,81.05,81.38,80.8,81.21,56.302,0.06%,1151345
2015/3/30,81.69,82.29,81.55,81.735,56.666,0.65%,1169007
2015/3/31,81.46,81.65,80.95,80.98,56.143,-0.92%,1472317
2015/4/1,81.15,81.765,80.58,81.6,56.573,0.77%,1511635
2015/4/2,81.79,82.08,81.3,81.96,56.822,0.44%,952189
2015/4/6,81.195,82.35,80.95,82.12,56.933,0.20%,1014033
2015/4/7,80.32,80.54,79.01,79.05,56.191,-3.74%,1456731
2015/4/8,79.38,80.77,79.21,80.61,57.3,1.97%,2281426
2015/4/9,80.63,81.72,80.24,81.44,57.89,1.03%,1965448
2015/4/10,81.29,81.51,80.59,80.98,57.563,-0.56%,1401969
2015/4/13,80.9,81.89,80.61,81.4,57.862,0.52%,1576003
2015/4/14,80.89,82.36,80.635,82.07,58.338,0.82%,1607618
2015/4/15,82.43,83,82.27,82.79,58.85,0.88%,1254534
2015/4/16,82.41,83.23,81.95,83.055,59.038,0.32%,1881193
2015/4/17,82.61,82.61,81.98,82.42,58.587,-0.76%,1936865
2015/4/20,83.19,83.52,82.74,83,58.999,0.70%,1571509
2015/4/21,83.42,83.5,82.66,82.8,58.857,-0.24%,1514464
2015/4/22,83.45,83.45,81.165,82.59,58.708,-0.25%,2073887
2015/4/23,82.57,82.57,81.71,82.07,58.338,-0.63%,1649276
2015/4/24,82.04,82.67,81.83,82.57,58.694,0.61%,1097089
2015/4/27,82.67,83.06,82.2,82.4,58.573,-0.21%,1011016
2015/4/28,82.09,82.79,81.69,82.775,58.839,0.46%,1150583
2015/4/29,82.1,82.87,81.5,81.94,58.246,-1.01%,1370658
2015/4/30,81.52,82.16,80.85,81.18,57.706,-0.93%,1717796
2015/5/1,81.45,81.59,80.96,81.49,57.926,0.38%,904652
2015/5/4,81.9,82.08,81.56,81.92,58.232,0.53%,1005005
2015/5/5,81.51,82.13,81.22,81.39,57.855,-0.65%,973450
2015/5/6,81.58,81.88,80.17,80.62,57.307,-0.95%,1121929
2015/5/7,80.57,80.96,80.29,80.75,57.4,0.16%,2241595
2015/5/8,81.33,81.94,81.24,81.68,58.061,1.15%,1144399
2015/5/11,81.68,82.1,81.58,81.65,58.04,-0.04%,1017427
2015/5/12,81.31,81.39,80.33,81.13,57.67,-0.64%,1003133
2015/5/13,80.91,81.345,80.62,81.18,57.706,0.06%,1369659
2015/5/14,81.68,82.095,81.22,81.98,58.274,0.99%,799369
2015/5/15,82.06,82.22,81.312,81.55,57.969,-0.52%,1569318
2015/5/18,81.5,82.33,81.48,82.13,58.381,0.71%,716099
2015/5/19,82.31,82.5,81.76,81.95,58.253,-0.22%,1056236
2015/5/20,81.88,82.13,81.49,81.79,58.139,-0.20%,847721
2015/5/21,81.52,81.83,81.31,81.69,58.068,-0.12%,830183
2015/5/22,81.62,81.96,81.33,81.57,57.983,-0.15%,888215
2015/5/26,81.44,81.635,80.27,80.67,57.343,-1.10%,1403795
2015/5/27,81.04,81.6,80.65,81.27,57.77,0.74%,1215782
2015/5/28,81.11,81.34,80.885,81.28,57.777,0.01%,992615
