Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,109.39,109.85,109.13,109.23,87.198,-0.36%,1217015
2015/3/25,109.24,109.38,107.55,107.61,85.905,-1.48%,1663569
2015/3/26,107.31,107.38,106.44,106.83,85.282,-0.72%,1489796
2015/3/27,106.64,107.26,106.38,107.13,85.522,0.28%,1467843
2015/3/30,107.72,109.68,107.7,109.64,87.525,2.34%,2033228
2015/3/31,108.75,108.85,107.915,108.13,86.32,-1.38%,1944754
2015/4/1,108,108,106.81,107.11,85.506,-0.94%,1860114
2015/4/2,107.13,107.86,106.97,107.74,86.009,0.59%,1105581
2015/4/6,106.93,108.645,106.82,108.13,86.32,0.36%,1052674
2015/4/7,108.13,108.6,107.34,107.34,85.689,-0.73%,1363305
2015/4/8,106.94,107.69,106.87,107.34,85.689,0.00%,1543983
2015/4/9,107.34,107.89,106.77,107.3,85.657,-0.04%,1218393
2015/4/10,107.71,107.79,107.05,107.65,85.937,0.33%,1699921
2015/4/13,107.36,108.33,107.3,107.87,86.112,0.20%,1267321
2015/4/14,107.71,108.6,107.09,107.79,86.048,-0.07%,1307766
2015/4/15,108.16,108.76,108,108.08,86.28,0.27%,2055744
2015/4/16,107.78,109.01,107.463,108.67,86.751,0.55%,1804348
2015/4/17,107.37,107.58,104.77,105.4,84.141,-3.01%,3553557
2015/4/20,106.14,107.03,105.84,106.14,84.731,0.70%,2667915
2015/4/21,104.66,105.25,101.56,101.88,81.331,-4.01%,5704560
2015/4/22,101.84,102.19,100.83,102.02,81.442,0.14%,4271696
2015/4/23,101.35,103.99,101.35,103.48,82.608,1.43%,3115381
2015/4/24,103.39,104.23,102.7,103.95,82.983,0.45%,2222667
2015/4/27,105.13,105.4,103.04,103.33,82.488,-0.60%,2487722
2015/4/28,103.1,104.31,102.73,103.68,82.767,0.34%,2038695
2015/4/29,103.19,103.58,102.21,102.85,82.105,-0.80%,2177204
2015/4/30,102.67,103.007,100.76,101.11,80.716,-1.69%,3058120
2015/5/1,101.85,102.21,101.49,102.12,81.522,1.00%,1803798
2015/5/4,102.18,102.68,102.12,102.17,81.562,0.05%,1528937
2015/5/5,101.72,102.78,101.71,102.05,81.466,-0.12%,1720434
2015/5/6,102.14,102.53,100.96,101.77,81.243,-0.27%,1778759
2015/5/7,101.43,102.81,101.25,102.58,81.889,0.80%,1744394
2015/5/8,103.4,104.091,103.27,103.73,82.807,1.12%,1423364
2015/5/11,102.39,103.08,101.48,102.22,81.602,-1.46%,5003570
2015/5/12,101.53,102.15,101.13,101.67,81.163,-0.54%,2083133
2015/5/13,101.92,102.47,101.4,101.97,81.402,0.30%,1699283
2015/5/14,102.71,102.94,102.395,102.75,82.025,0.76%,1641616
2015/5/15,102.71,103.17,102.501,102.68,81.969,-0.07%,1627543
2015/5/18,102.7,103.405,102.7,103.17,82.36,0.48%,1382601
2015/5/19,103.6,103.91,103.31,103.66,82.751,0.47%,1667437
2015/5/20,103.92,104.12,103.52,103.7,82.783,0.04%,1824096
2015/5/21,103.62,103.8,103.04,103.09,82.296,-0.59%,1777108
2015/5/22,103.05,103.37,102.71,102.73,82.009,-0.35%,1565397
2015/5/26,102.46,102.7,101.46,101.6,81.107,-1.10%,1545623
2015/5/27,102,102.49,101.4,102.34,81.698,0.73%,1288525
2015/5/28,101.97,102.22,101.65,102.15,81.546,-0.19%,1215735
2015/5/29,102.27,102.28,101.03,101.12,80.724,-1.01%,2046156
2015/6/1,101.59,101.87,100.95,101.01,80.636,-0.11%,1350990
2015/6/2,100.77,101,100.22,100.33,80.093,-0.67%,2446528
2015/6/3,100.81,101.39,100.29,101.01,80.636,0.68%,1828475
2015/6/4,100.11,101.23,99.97,100.21,79.997,-0.79%,1637813
2015/6/5,100.56,100.89,99.28,99.31,79.279,-0.90%,1804080
2015/6/8,98.9,99.09,97.73,97.76,78.528,-1.56%,2447721
2015/6/9,98.01,98.44,97.54,97.8,78.561,0.04%,1883484
2015/6/10,98.04,99.92,98.04,99.18,79.669,1.41%,1891457
2015/6/11,99.07,100.3,99.01,100.13,80.432,0.96%,1709206
2015/6/12,99.64,99.91,98.94,99.47,79.902,-0.66%,1426110
2015/6/15,98.77,99.34,98.215,98.79,79.356,-0.68%,1458011
2015/6/16,98.39,99.77,98.39,99.49,79.918,0.71%,1436190
2015/6/17,99.84,100.18,99.07,99.78,80.151,0.29%,1226010
2015/6/18,100.09,101.7,100.09,101.47,81.509,1.69%,2196547
2015/6/19,101.16,101.35,99.266,99.45,79.886,-1.99%,3014873
2015/6/22,100.41,100.538,99.81,100.04,80.36,0.59%,1263042
2015/6/23,100.34,100.6,99.47,100,80.328,-0.04%,1105187
2015/6/24,99.79,99.935,98.78,98.78,79.348,-1.22%,1402481
2015/6/25,98.37,98.81,97.74,97.81,78.569,-0.98%,1403824
2015/6/26,98.18,98.56,97.72,97.92,78.657,0.11%,2061440
2015/6/29,97.1,97.47,96.1,96.14,77.227,-1.82%,1818607
2015/6/30,96.69,97.11,95.86,96.66,77.645,0.54%,2752041
2015/7/1,99.65,100.44,98.54,99.3,79.766,2.73%,3447955
2015/7/2,99.49,100.46,99.08,99.23,79.709,-0.07%,1996205
2015/7/6,98.42,99.12,98.24,98.94,79.476,-0.29%,1756017
2015/7/7,98.99,100.15,98.3,100.03,80.352,1.10%,2716837
2015/7/8,99.14,99.47,98.62,98.76,79.332,-1.27%,2352208
2015/7/9,100.38,100.99,99.87,100.07,80.384,1.33%,3102032
2015/7/10,101.31,101.35,100.681,101,81.131,0.93%,1225314
2015/7/13,101.9,102.43,101.83,102.33,82.199,1.32%,2174915
2015/7/14,101.98,102.59,101.92,102.38,82.24,0.05%,1211355
2015/7/15,101.99,102.58,101.99,102.42,82.272,0.04%,1737751
2015/7/16,103.35,103.71,103.01,103.29,82.971,0.85%,2020059
2015/7/17,103.17,103.4,102.7,102.94,82.689,-0.34%,1448982
2015/7/20,102.91,103.078,102.52,102.61,82.424,-0.32%,1757264
2015/7/21,103.97,104.73,102.12,104.48,83.927,1.82%,3389475
2015/7/22,104.67,105.86,104.491,105.3,84.585,0.78%,2119126
2015/7/23,105.39,105.59,104.88,105.3,84.585,0.00%,1568749
2015/7/24,105.17,105.55,104.95,105.27,84.561,-0.03%,1604998
2015/7/27,104.16,105.98,104.05,105.59,84.818,0.30%,2239464
2015/7/28,106,106.1,105.18,105.94,85.099,0.33%,1903200
2015/7/29,105.96,106.6,105.71,106.43,85.493,0.46%,1805578
2015/7/30,106.2,106.646,105.92,106.5,85.549,0.07%,1103927
2015/7/31,106.83,107.09,106.02,106.12,85.244,-0.36%,1758505
2015/8/3,106.39,106.94,105.99,106.94,85.903,0.77%,1497683
2015/8/4,106.51,107.11,106.245,106.63,85.654,-0.29%,2118434
2015/8/5,107.11,107.47,105.83,106.08,85.212,-0.52%,2829230
2015/8/6,106.23,106.3,104.92,105.46,84.714,-0.58%,1497251
2015/8/7,105.26,105.58,104.76,105.48,84.73,0.02%,1507252
2015/8/10,106.09,106.61,105.58,105.82,85.003,0.32%,1916174
2015/8/11,105,105.99,104.99,105.89,85.059,0.07%,1515052
2015/8/12,105.05,105.63,104.05,105.43,84.69,-0.43%,1736262
2015/8/13,105.26,107.7,104.555,106.95,85.911,1.44%,3227624
2015/8/14,106.92,107.88,106.75,107.71,86.521,0.71%,1488314
2015/8/17,107.13,107.89,106.49,107.71,86.521,0.00%,1213996
2015/8/18,107.67,107.98,106.79,107.82,86.609,0.10%,889718
2015/8/19,107.28,108.05,106.47,107.22,86.128,-0.56%,1386903
2015/8/20,106.19,106.63,105.66,105.7,84.907,-1.42%,1556788
2015/8/21,105.07,105.26,102.86,102.93,82.681,-2.62%,2293664
2015/8/24,97.985,101.41,95.21,98.78,79.348,-4.03%,5527070
2015/8/25,100.47,100.82,97.64,97.75,78.52,-1.04%,2932260
2015/8/26,100.07,100.29,97.59,100,80.328,2.30%,2601920
2015/8/27,101.2,101.72,99.79,101.4,81.452,1.40%,2711059
2015/8/28,100.84,101.22,99.8,100.43,80.673,-0.96%,1678341
2015/8/31,99.74,100.25,99.32,99.55,79.966,-0.88%,1931186
2015/9/1,97.67,98.55,97.21,97.49,78.312,-2.07%,2542002
2015/9/2,98.81,98.93,97.88,98.93,79.468,1.48%,1643699
2015/9/3,99.17,100.11,99.01,99.37,79.822,0.44%,2383249
2015/9/4,97.96,98.6,97.29,97.76,78.528,-1.62%,1923251
2015/9/8,98.94,99.69,98.5,99.65,80.537,1.93%,2104687
2015/9/9,100.25,100.47,98.3,98.48,79.591,-1.17%,1590770
2015/9/10,98.16,99.75,98.066,99.09,80.084,0.62%,1628132
2015/9/11,98.43,99.52,98.18,99.49,80.407,0.40%,1375340
2015/9/14,99.57,99.84,98.76,99.28,80.238,-0.21%,1601785
2015/9/15,99.52,101.15,99.18,100.86,81.515,1.59%,1694340
2015/9/16,100.76,102.08,100.5,101.91,82.363,1.04%,2034212
2015/9/17,101.94,103.13,101.25,101.66,82.161,-0.25%,1776473
2015/9/18,99.83,100.91,99.44,99.66,80.545,-1.97%,5001765
2015/9/21,100.44,101.43,100.12,100.52,81.24,0.86%,2095698
2015/9/22,99.26,99.65,98.68,98.98,79.995,-1.53%,2326593
2015/9/23,99,99.65,98.48,99.08,80.076,0.10%,1919154
2015/9/24,98.64,99.23,98.32,98.86,79.898,-0.22%,2386959
2015/9/25,99.6,100.61,98.48,99.91,80.747,1.06%,1942905
2015/9/28,99.4,100.26,98.77,99.08,80.076,-0.83%,2845161
2015/9/29,99.21,99.61,98.21,99.47,80.391,0.39%,2128574
2015/9/30,100.35,100.36,99.28,99.53,80.44,0.06%,2548706
2015/10/1,99.85,99.97,97.185,98.34,79.478,-1.20%,2981417
2015/10/2,97.55,100.03,97.18,100.03,80.844,1.72%,2410910
2015/10/5,100.73,101.91,100.48,101.86,82.323,1.83%,1846740
2015/10/6,101.54,101.61,100.9,101.07,81.684,-0.78%,1329553
2015/10/7,101.52,102.46,101.28,102.17,82.573,1.09%,1339301
2015/10/8,101.67,103.21,101.56,103.09,83.317,0.90%,1213710
2015/10/9,103.37,103.75,102.63,102.94,83.196,-0.15%,1290605
2015/10/12,102.66,104,102.65,103.72,83.826,0.76%,983712
2015/10/13,103.22,103.99,103,103.31,83.495,-0.40%,1287612
2015/10/14,103.22,103.73,102.69,102.77,83.058,-0.52%,1938398
2015/10/15,103.62,104.96,103.22,104.96,84.828,2.13%,1657571
2015/10/16,105.24,105.97,105.04,105.9,85.588,0.90%,1869880
2015/10/19,105.74,106.47,104.81,106.32,85.927,0.40%,2395142
2015/10/20,108.58,109.86,107.91,108.95,88.053,2.47%,3135000
2015/10/21,109.5,111.88,109.49,110.7,89.467,1.61%,3117582
2015/10/22,110.82,112.93,110.76,112.32,90.777,1.46%,2487982
2015/10/23,112.79,112.97,111.9,112.28,90.744,-0.04%,2326778
2015/10/26,112.59,112.99,112.22,112.77,91.14,0.44%,1799513
2015/10/27,112.17,113.76,112.12,113.41,91.657,0.57%,2119835
2015/10/28,113.81,114.32,113.08,114.26,92.344,0.75%,1783678
2015/10/29,114.31,114.77,113.685,114.29,92.369,0.03%,1932910
2015/10/30,114.56,114.61,112.89,112.89,91.237,-1.22%,2207261
2015/11/2,113.57,113.98,113.31,113.87,92.029,0.87%,1828571
2015/11/3,113.8,114.14,112.99,113.69,91.884,-0.16%,1534503
2015/11/4,113.71,114.36,113.175,114.08,92.199,0.34%,2031597
2015/11/5,114.43,114.58,113.84,113.97,92.11,-0.10%,1511128
2015/11/6,114.57,114.78,112.59,113.1,91.407,-0.76%,2620778
2015/11/9,112.72,113.07,112.41,112.83,91.189,-0.24%,1585218
2015/11/10,112.9,114.1,112.47,114.05,92.175,1.08%,1488312
2015/11/11,114.31,114.78,113.85,114.38,92.441,0.29%,1226289
2015/11/12,113.83,114.19,112.26,112.31,90.768,-1.81%,1939443
2015/11/13,112.36,112.91,111.83,112,90.518,-0.28%,2043635
2015/11/16,111.85,112.91,111.62,112.89,91.237,0.79%,1653536
2015/11/17,112.81,113.45,112.43,112.74,91.116,-0.13%,1568977
2015/11/18,112.84,114.79,112.75,114.68,92.684,1.72%,1688316
2015/11/19,114.85,115.3,114.13,115.02,92.959,0.30%,1067986
2015/11/20,115.24,116.48,115.08,115.83,93.613,0.70%,1694666
2015/11/23,115.81,116.15,115.39,115.63,93.452,-0.17%,1320807
2015/11/24,115.32,115.77,114.71,115.44,93.298,-0.16%,1486249
2015/11/25,115.45,115.526,114.57,114.8,92.781,-0.55%,1165367
2015/11/27,114.71,115.1,114.35,114.85,92.821,0.04%,548064
2015/11/30,115.17,115.5,114.4,114.57,92.595,-0.24%,1868093
2015/12/1,115.27,116.36,115.14,115.68,93.492,0.97%,1829615
2015/12/2,115.41,116.07,114.62,114.71,92.708,-0.84%,1667849
2015/12/3,114.07,114.28,111.04,111.29,89.944,-2.98%,4310063
2015/12/4,111.72,114.11,111.72,114.06,92.183,2.49%,2226261
2015/12/7,113.19,114,112.88,113.59,91.803,-0.41%,1907479
2015/12/8,112.42,113,111.72,112.37,91.31,-1.07%,1991622
2015/12/9,111.66,112.89,110.83,111.04,90.229,-1.18%,1835515
2015/12/10,110.89,111.75,110.25,110.99,90.189,-0.05%,1580641
2015/12/11,109.68,110.96,109.34,109.76,89.189,-1.11%,1832442
2015/12/14,109.93,112.03,109.671,111.03,90.221,1.16%,2284466
2015/12/15,111.77,113.716,111.75,113.18,91.968,1.94%,2262562
2015/12/16,114.09,114.84,113.08,114.54,93.073,1.20%,1774358
2015/12/17,114.69,114.79,113.24,113.27,92.041,-1.11%,2215697
2015/12/18,113.27,113.27,110.07,110.13,89.49,-2.77%,5050059
2015/12/21,110.86,111.43,110.02,110.94,90.148,0.74%,1423967
2015/12/22,111.72,112.63,110.85,112.48,91.399,1.39%,1771426
2015/12/23,112.84,113.25,112.27,113.21,91.993,0.65%,1465161
2015/12/24,112.87,113.74,112.74,113.27,92.041,0.05%,507317
2015/12/28,113,113.51,112.66,113.48,92.212,0.19%,712141
2015/12/29,114.08,115.19,113.99,115.02,93.463,1.36%,1049629
2015/12/30,115.03,115.27,114.15,114.29,92.87,-0.63%,646678
2015/12/31,114.12,114.32,112.83,112.86,91.708,-1.25%,956059
2016/1/4,110.71,110.96,108.73,109.97,89.36,-2.56%,2845969
2016/1/5,109.92,110.73,109.54,110.47,89.766,0.45%,1870428
2016/1/6,109.34,109.79,108.57,109.04,88.604,-1.29%,1730884
2016/1/7,107.5,108.44,106.03,106.44,86.491,-2.38%,2284352
2016/1/8,107.01,107.44,105.83,105.99,86.126,-0.42%,1984371
2016/1/11,106.47,107.28,105.62,106.79,86.776,0.75%,1549828
2016/1/12,107.69,108.2,106.59,107.98,87.743,1.11%,2116010
2016/1/13,108.27,108.83,105.83,106.06,86.183,-1.78%,2881368
2016/1/14,105.94,108.01,105.83,106.98,86.93,0.87%,1919027
2016/1/15,103.28,105.73,103.28,105.1,85.402,-1.76%,2532432
2016/1/19,106.61,106.67,105.28,105.76,85.939,0.63%,2459588
2016/1/20,104.89,104.95,102.68,103.65,84.224,-2.00%,3320314
2016/1/21,103.86,105.1,101.23,102.7,83.452,-0.92%,3183963
2016/1/22,103.63,103.9,102.08,103.14,83.81,0.43%,2483713
2016/1/25,102.53,103.4,101.55,102.08,82.948,-1.03%,2930028
2016/1/26,102.26,104,102.18,103.25,83.899,1.15%,2018855
2016/1/27,103.07,104.75,102.73,103.31,83.948,0.06%,1694543
2016/1/28,103.79,104.817,103.04,104.47,84.891,1.12%,1391489
2016/1/29,105.28,107.07,104.97,107.04,86.979,2.46%,2195908
2016/2/1,106.79,107.35,106.17,107.01,86.954,-0.03%,1843781
2016/2/2,105.5,106.44,105.5,106.03,86.158,-0.92%,1730188
2016/2/3,106.35,107.51,104.74,106.89,86.857,0.81%,2084988
2016/2/4,106.76,107.57,106.59,107.49,87.345,0.56%,1606996
2016/2/5,107.49,108,106.01,106.29,86.369,-1.12%,2756581
2016/2/8,105.18,106,103.93,105.6,85.809,-0.65%,3409343
2016/2/9,103.95,106.14,103.77,105.92,86.069,0.30%,1983590
2016/2/10,106.35,107.647,105.6,105.72,85.906,-0.19%,1584543
2016/2/11,103.73,104.56,103.07,103.77,84.322,-1.84%,2544641
2016/2/12,104.82,107.58,104.18,107.49,87.345,3.58%,2095910
2016/2/16,108.27,108.5,106.61,107.37,87.247,-0.11%,2322251
2016/2/17,108,109.26,107.63,109.18,88.718,1.69%,1913799
